Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,101.12,101.68,100.76,101.12,42538,0
2017-09-06,17:00:00,101.2,101.68,101.03,101.46,90276,0
2017-09-06,18:00:00,101.44,101.56,101.1,101.43,44436,0
2017-09-06,19:00:00,101.45,103.14,101.41,102.962,142654,0
2017-09-06,20:00:00,102.93,103.62,102.71,103.34,65465,0
2017-09-06,21:00:00,103.29,103.77,103.29,103.64,82931,0
2017-09-06,22:00:00,103.65,104.25,103.45,103.55,274953,0
2017-09-07,16:00:00,103.99,104.35,103.6,104.21,48837,0
2017-09-07,17:00:00,104.22,104.61,103.87,104.31,83012,0
2017-09-07,18:00:00,104.3,104.66,104.06,104.28,110829,0
2017-09-07,19:00:00,104.28,104.28,101.005,101.15,255596,0
2017-09-07,20:00:00,101.09,102.64,101.06,102.26,193143,0
2017-09-07,21:00:00,102.24,102.46,101.86,102,146972,0
2017-09-07,22:00:00,102,102.75,101.89,102.55,406649,0
2017-09-08,16:00:00,102.92,103,101.11,101.18,88266,0
2017-09-08,17:00:00,101.18,101.62,100.74,100.99,118604,0
2017-09-08,18:00:00,100.99,101.56,100.79,101.21,77813,0
2017-09-08,19:00:00,101.21,101.63,100.71,101.25,117994,0
2017-09-08,20:00:00,101.33,101.68,101.03,101.42,75231,0
2017-09-08,21:00:00,101.38,101.97,101.38,101.76,84513,0
2017-09-08,22:00:00,101.81,102.15,101.64,101.71,178658,0
2017-09-11,16:00:00,102.77,103.09,102.19,102.5,72521,0
2017-09-11,17:00:00,102.55,102.57,101.74,102.01,260635,0
2017-09-11,18:00:00,102.01,102.08,101.27,101.505,107931,0
2017-09-11,19:00:00,101.51,101.55,101.165,101.49,73989,0
2017-09-11,20:00:00,101.49,101.57,101.125,101.22,93094,0
2017-09-11,21:00:00,101.22,101.23,100.21,100.35,192818,0
2017-09-11,22:00:00,100.355,100.57,99.75,99.89,322403,0
2017-09-12,16:00:00,100.27,101,100.14,100.71,63965,0
2017-09-12,17:00:00,100.72,101.8,100.48,101.07,140797,0
2017-09-12,18:00:00,100.98,101.09,98.59,98.86,211681,0
2017-09-12,19:00:00,98.87,100.07,98.79,99.49,70300,0
2017-09-12,20:00:00,99.5,99.8,99.03,99.03,81310,0
2017-09-12,21:00:00,99.05,99.88,98.97,99.64,91190,0
2017-09-12,22:00:00,99.61,100.46,99.61,100.3,210332,0
2017-09-13,16:00:00,100.34,101.41,99.91,100.59,97078,0
2017-09-13,17:00:00,100.54,101.2,100.49,100.96,148423,0
2017-09-13,18:00:00,100.96,100.97,100.53,100.71,89516,0
2017-09-13,19:00:00,100.77,101.33,100.77,101.26,69381,0
2017-09-13,20:00:00,101.28,101.4755,101.11,101.37,76690,0
2017-09-13,21:00:00,101.39,101.48,100.99,101.3,89452,0
2017-09-13,22:00:00,101.32,101.71,101.2,101.53,204908,0
2017-09-14,16:00:00,101.77,101.77,100.59,100.79,80058,0
2017-09-14,17:00:00,100.79,100.825,100.11,100.77,207047,0
2017-09-14,18:00:00,100.75,100.85,100,100.29,118460,0
2017-09-14,19:00:00,100.32,100.56,100.01,100.36,108984,0
2017-09-14,20:00:00,100.37,100.74,100.14,100.3,124018,0
2017-09-14,21:00:00,100.2885,100.64,100.25,100.47,128036,0
2017-09-14,22:00:00,100.48,100.58,99.48,99.5,253034,0
2017-09-15,16:00:00,99.62,99.98,99.03,99.2,100160,0
2017-09-15,17:00:00,99.28,99.96,98.8,99.68,161074,0
2017-09-15,18:00:00,99.73,99.87,99.02,99.68,91334,0
2017-09-15,19:00:00,99.655,99.665,99.41,99.53,63812,0
2017-09-15,20:00:00,99.53,99.53,98.42,98.78,164425,0
2017-09-15,21:00:00,98.77,98.84,98.075,98.37,100877,0
2017-09-15,22:00:00,98.45,98.595,97.94,98.27,2147449,0
2017-09-18,16:00:00,98.08,98.97,97.89,98.03,31064,0
2017-09-18,17:00:00,98.08,98.25,97.81,97.99,55972,0
2017-09-18,18:00:00,97.92,98.79,97.82,98.42,163500,0
2017-09-18,19:00:00,98.39,98.39,97.92,98.14,55460,0
2017-09-18,20:00:00,98.15,98.16,97.89,97.96,62015,0
2017-09-18,21:00:00,97.95,97.96,97.43,97.61,48923,0
2017-09-18,22:00:00,97.65,98.03,97.59,98,220094,0
2017-09-19,16:00:00,97.83,98.33,97.58,97.58,62145,0
2017-09-19,17:00:00,97.55,97.59,96.79,96.85,144292,0
2017-09-19,18:00:00,96.8,97.34,96.65,97.29,108451,0
2017-09-19,19:00:00,97.32,97.7,97.23,97.62,78660,0
2017-09-19,20:00:00,97.67,97.68,97.17,97.225,64150,0
2017-09-19,21:00:00,97.25,97.3,96.85,97.11,56479,0
2017-09-19,22:00:00,97.14,97.18,96.75,96.83,164406,0
2017-09-20,16:00:00,96.86,98.03,96.36,97.38,72722,0
2017-09-20,17:00:00,97.32,97.44,96.83,96.83,69181,0
2017-09-20,18:00:00,96.75,96.9,96.6,96.8,58582,0
2017-09-20,19:00:00,96.8,97.02,96.58,96.78,53708,0
2017-09-20,20:00:00,96.75,96.89,96.66,96.78,19701,0
2017-09-20,21:00:00,96.79,96.79,96.08,96.63,69715,0
2017-09-20,22:00:00,96.59,96.97,96.58,96.91,152646,0
2017-09-21,16:00:00,97.05,97.05,95.95,96.12,30355,0
2017-09-21,17:00:00,96.13,96.48,95.55,95.895,41288,0
2017-09-21,18:00:00,95.94,96.08,95.59,95.59,37699,0
2017-09-21,19:00:00,95.64,96.18,95.54,96.18,52947,0
2017-09-21,20:00:00,96.13,96.31,95.73,95.85,76932,0
2017-09-21,21:00:00,95.82,95.85,95.55,95.58,53247,0
2017-09-21,22:00:00,95.58,95.6,95.21,95.26,183109,0
2017-09-22,16:00:00,94.76,95.72,94.55,95.35,26232,0
2017-09-22,17:00:00,95.34,95.42,94.96,95.17,85705,0
2017-09-22,18:00:00,95.165,95.33,95.08,95.22,46124,0
2017-09-22,19:00:00,95.16,95.66,95.15,95.4,72973,0
2017-09-22,20:00:00,95.37,95.57,95.29,95.42,21717,0
2017-09-22,21:00:00,95.42,95.61,95.42,95.49,23587,0
