Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-06-20,18:00:00,4.11,4.11,4.11,4.11,250,0
2017-06-20,19:00:00,4.1125,4.1125,4.1125,4.1125,500,0
2017-06-20,20:00:00,4.12,4.12,4.12,4.12,250,0
2017-06-20,21:00:00,4.12,4.12,4.12,4.12,600,0
2017-06-22,16:00:00,4.15,4.15,4.15,4.15,250,0
2017-06-23,19:00:00,4.43,4.43,4.43,4.43,250,0
2017-06-26,17:00:00,4.5,4.5,4.5,4.5,250,0
2017-06-26,18:00:00,4.3621,4.4199,4.3621,4.4199,1500,0
2017-06-26,19:00:00,4.3621,4.4199,4.312,4.4199,1800,0
2017-06-26,22:00:00,4.06,4.06,4.06,4.06,500,0
2017-06-27,17:00:00,4.43,4.43,4.43,4.43,250,0
2017-06-27,19:00:00,4.06,4.1,4.06,4.06,1821,0
2017-06-27,20:00:00,4.01,4.01,4.01,4.01,500,0
2017-06-27,21:00:00,4.1,4.1,4.1,4.1,250,0
2017-06-27,22:00:00,4.06,4.36,4.06,4.36,489,0
2017-06-28,16:00:00,4.07,4.07,4.01,4.01,700,0
2017-06-28,19:00:00,4.0261,4.0261,4.02,4.02,200,0
2017-06-29,18:00:00,4.08,4.08,4.08,4.08,250,0
2017-06-29,22:00:00,4.21,4.21,4.21,4.21,250,0
2017-06-30,16:00:00,3.9101,3.9101,3.9101,3.9101,1400,0
2017-06-30,21:00:00,4.21,4.21,4.21,4.21,250,0
2017-06-30,22:00:00,4.1665,4.1665,4.1665,4.1665,300,0
2017-07-05,17:00:00,4.19,4.2,4.19,4.2,473,0
2017-07-05,18:00:00,4.19,4.19,4.19,4.19,236,0
2017-07-07,16:00:00,4.08,4.08,4.08,4.08,250,0
2017-07-07,22:00:00,4.06,4.06,4.06,4.06,500,0
2017-07-10,21:00:00,4.09,4.09,4.09,4.09,291,0
2017-07-11,22:00:00,4.1,4.1,4.1,4.1,250,0
2017-07-12,22:00:00,4.1,4.1,4.1,4.1,250,0
2017-07-20,18:00:00,4.09,4.09,4.09,4.09,250,0
2017-07-21,17:00:00,4.0393,4.0393,4.0393,4.0393,1500,0
2017-07-24,22:00:00,4.09,4.2,4.09,4.2,307,0
2017-07-25,22:00:00,4.3,4.48,4.0201,4.07,2207,0
2017-07-26,22:00:00,4.0962,4.0962,4.0962,4.0962,800,0
2017-07-31,22:00:00,4.0161,4.0161,4.0161,4.0161,100,0
2017-08-02,22:00:00,4.1047,4.1047,4.1047,4.1047,200,0
2017-08-09,19:00:00,4.01,4.09,3.88,3.92,3653,0
2017-08-09,20:00:00,3.956,3.956,3.956,3.956,200,0
2017-08-09,22:00:00,3.98,3.98,3.95,3.95,299,0
2017-08-10,17:00:00,4.2,4.3,3.95,4,7271,0
2017-08-10,18:00:00,4,4,3.73,3.92,7043,0
2017-08-11,16:00:00,4,4.1856,3.88,3.88,3994,0
2017-08-11,17:00:00,3.88,3.88,3.88,3.88,100,0
