Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,12.39,12.6649,11.87,11.87,80111,0
2017-09-06,17:00:00,11.8998,12.11,11.7,11.83,70075,0
2017-09-06,18:00:00,11.84,11.8702,11.4308,11.5,56459,0
2017-09-06,19:00:00,11.52,11.7,11.45,11.52,34681,0
2017-09-06,20:00:00,11.53,11.86,11.53,11.82,24649,0
2017-09-06,21:00:00,11.82,11.89,11.5301,11.62,30342,0
2017-09-06,22:00:00,11.59,11.8025,11.59,11.78,88055,0
2017-09-07,16:00:00,11.76,12.19,11.6,12.05,48169,0
2017-09-07,17:00:00,12.085,12.085,11.74,11.74,41248,0
2017-09-07,18:00:00,11.7699,12,11.7699,11.97,33223,0
2017-09-07,19:00:00,11.965,12.24,11.965,12.12,33299,0
2017-09-07,20:00:00,12.1,12.46,12.05,12.45,48333,0
2017-09-07,21:00:00,12.47,12.69,12.36,12.5714,56477,0
2017-09-07,22:00:00,12.59,12.87,12.58,12.81,96263,0
2017-09-08,16:00:00,12.81,13.02,12.56,13.02,26010,0
2017-09-08,17:00:00,13.05,13.44,12.98,13.395,55397,0
2017-09-08,18:00:00,13.42,13.72,13.27,13.5,71138,0
2017-09-08,19:00:00,13.535,13.79,13.46,13.76,28654,0
2017-09-08,20:00:00,13.7503,13.93,13.74,13.89,23069,0
2017-09-08,21:00:00,13.92,14,13.79,13.92,37775,0
2017-09-08,22:00:00,13.96,14.05,13.89,14.04,74881,0
2017-09-11,16:00:00,13.88,14,13.58,13.75,61202,0
2017-09-11,17:00:00,13.7471,14.42,13.71,14.2,91558,0
2017-09-11,18:00:00,14.23,14.6,14.16,14.49,64488,0
2017-09-11,19:00:00,14.5,14.63,14.38,14.5099,50146,0
2017-09-11,20:00:00,14.476,14.5648,14.4,14.51,24436,0
2017-09-11,21:00:00,14.4999,14.55,14.4,14.44,26849,0
2017-09-11,22:00:00,14.405,14.4699,14.25,14.32,94549,0
2017-09-12,16:00:00,14.29,14.29,14.01,14.04,30206,0
2017-09-12,17:00:00,14.04,14.12,13.45,13.6,121210,0
2017-09-12,18:00:00,13.6,13.77,13.6,13.75,38188,0
2017-09-12,19:00:00,13.75,13.8399,13.73,13.75,21092,0
2017-09-12,20:00:00,13.75,13.76,13.6,13.61,24266,0
2017-09-12,21:00:00,13.61,13.79,13.61,13.69,13436,0
2017-09-12,22:00:00,13.69,13.73,13.63,13.71,44423,0
2017-09-13,16:00:00,13.75,13.85,13.67,13.83,9372,0
2017-09-13,17:00:00,13.85,14.2599,13.85,14.2599,41198,0
2017-09-13,18:00:00,14.28,14.68,14.28,14.38,150082,0
2017-09-13,19:00:00,14.35,14.41,14.26,14.32,23272,0
2017-09-13,20:00:00,14.28,14.31,14.18,14.25,10806,0
2017-09-13,21:00:00,14.32,14.32,14.03,14.055,30700,0
2017-09-13,22:00:00,14.08,14.11,13.77,13.99,173891,0
2017-09-14,16:00:00,13.99,14.2377,13.72,14.03,21252,0
2017-09-14,17:00:00,14.0316,14.24,14.0201,14.11,21275,0
2017-09-14,18:00:00,14.14,14.17,13.87,13.91,18523,0
2017-09-14,19:00:00,13.92,13.9899,13.79,13.8099,14612,0
2017-09-14,20:00:00,13.79,13.85,13.76,13.8499,8008,0
2017-09-14,21:00:00,13.86,14.18,13.8577,14.18,11850,0
2017-09-14,22:00:00,14.2,14.2,14.02,14.15,102226,0
2017-09-15,16:00:00,14.19,14.25,14.05,14.245,31416,0
