Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-23,16:00:00,6.05,6.1,6.05,6.0883,2971,0
2017-08-23,17:00:00,6.1,6.1,6.1,6.1,100,0
2017-08-23,18:00:00,6.1,6.1708,6.1,6.1708,600,0
2017-08-23,19:00:00,6.2,6.2,6.2,6.2,100,0
2017-08-23,20:00:00,6.1,6.15,6.1,6.1,500,0
2017-08-23,22:00:00,6.19,6.1944,6.1,6.1,1486,0
2017-08-24,16:00:00,6.05,6.1,6.05,6.1,1400,0
2017-08-24,17:00:00,6.1,6.1,6.1,6.1,100,0
2017-08-24,18:00:00,6.1,6.2,6.1,6.1362,470,0
2017-08-24,20:00:00,6.175,6.175,6.175,6.175,400,0
2017-08-24,21:00:00,6.15,6.1592,6.1,6.1,500,0
2017-08-24,22:00:00,6.1725,6.1725,6.15,6.15,408,0
2017-08-25,17:00:00,6.15,6.1904,6.15,6.1904,800,0
2017-08-25,18:00:00,6.2,6.2,6.2,6.2,100,0
2017-08-25,21:00:00,6.24,6.24,6.24,6.24,350,0
2017-08-25,22:00:00,6.2056,6.2056,6.2056,6.2056,500,0
2017-08-28,16:00:00,6.2,6.2,6.1,6.1,862,0
2017-08-28,17:00:00,6.1259,6.1259,6.1259,6.1259,150,0
2017-08-28,18:00:00,6.125,6.1646,6.125,6.1646,1500,0
2017-08-28,19:00:00,6.1999,6.2,6.1399,6.2,2100,0
2017-08-28,20:00:00,6.2,6.2,6.2,6.2,100,0
2017-08-28,21:00:00,6.25,6.25,6.25,6.25,475,0
2017-08-28,22:00:00,6.3,6.4,6.3,6.35,5839,0
2017-08-29,16:00:00,6.2,6.2,6.151,6.151,2149,0
2017-08-29,21:00:00,6.2305,6.2305,6.2305,6.2305,100,0
2017-08-29,22:00:00,6.25,6.25,6.25,6.25,1297,0
2017-08-30,16:00:00,6.3,6.3,6.2247,6.2247,2012,0
2017-08-30,17:00:00,6.2675,6.2675,6.2675,6.2675,976,0
2017-08-30,18:00:00,6.2906,6.2906,6.2906,6.2906,500,0
2017-08-30,19:00:00,6.3,6.3,6.3,6.3,300,0
2017-08-30,20:00:00,6.2501,6.285,6.25,6.25,3210,0
2017-08-30,21:00:00,6.25,6.25,6.25,6.25,894,0
2017-08-30,22:00:00,6.25,6.3,6.25,6.3,220,0
2017-08-31,16:00:00,6.2,6.285,6.2,6.25,3450,0
2017-08-31,17:00:00,6.25,6.284,6.2,6.284,1690,0
2017-08-31,18:00:00,6.2894,6.34,6.2894,6.34,800,0
2017-08-31,20:00:00,6.3,6.325,6.2,6.2,1924,0
2017-08-31,21:00:00,6.2999,6.3,6.2501,6.2999,1800,0
2017-08-31,22:00:00,6.2999,6.3,6.25,6.3,2257,0
2017-09-01,16:00:00,6.35,6.4395,6.3,6.4,9204,0
2017-09-01,17:00:00,6.45,6.45,6.425,6.4352,2000,0
2017-09-01,18:00:00,6.4404,6.4894,6.35,6.45,10963,0
2017-09-01,19:00:00,6.4999,6.6,6.475,6.5,4660,0
2017-09-01,20:00:00,6.5248,6.7,6.5,6.7,4700,0
2017-09-01,21:00:00,6.6,6.6001,6.55,6.6,2050,0
2017-09-01,22:00:00,6.5449,6.6,6.5449,6.6,1450,0
2017-09-05,16:00:00,6.45,6.45,6.45,6.45,3800,0
2017-09-05,17:00:00,6.45,6.45,6.4,6.4064,800,0
2017-09-05,18:00:00,6.4305,6.4305,6.4305,6.4305,450,0
2017-09-05,19:00:00,6.4,6.4,6.4,6.4,296,0
2017-09-05,20:00:00,6.4001,6.4001,6.4001,6.4001,100,0
2017-09-05,21:00:00,6.4,6.4,6.35,6.375,1050,0
2017-09-05,22:00:00,6.3793,6.4,6.3,6.35,4096,0
2017-09-06,16:00:00,6.2,6.55,6.2,6.55,7300,0
2017-09-06,17:00:00,6.5,6.55,6.5,6.55,200,0
2017-09-06,18:00:00,6.5393,6.5393,6.5393,6.5393,500,0
2017-09-06,19:00:00,6.549,6.55,6.541,6.55,700,0
2017-09-06,21:00:00,6.45,6.45,6.45,6.45,100,0
2017-09-06,22:00:00,6.45,6.5,6.45,6.45,1320,0
2017-09-07,16:00:00,6.3,6.35,6.05,6.25,4227,0
2017-09-07,17:00:00,6.3,6.3,6.3,6.3,100,0
2017-09-07,20:00:00,6.3,6.3,6.25,6.25,400,0
2017-09-07,21:00:00,6.25,6.3,6.25,6.3,200,0
2017-09-07,22:00:00,6.2501,6.2501,6.2501,6.2501,400,0
2017-09-08,16:00:00,6.15,6.15,6.15,6.15,500,0
2017-09-08,17:00:00,6.3,6.3,6.3,6.3,100,0
2017-09-08,19:00:00,6.301,6.301,6.301,6.301,200,0
2017-09-08,20:00:00,6.325,6.325,6.325,6.325,400,0
2017-09-08,21:00:00,6.305,6.305,6.25,6.3,1300,0
2017-09-08,22:00:00,6.3,6.3,6.25,6.25,5015,0
2017-09-11,16:00:00,6.35,6.35,6.35,6.35,1018,0
2017-09-11,17:00:00,6.4796,6.4796,6.3199,6.3199,1400,0
2017-09-11,19:00:00,6.4,6.4,6.3,6.3,500,0
2017-09-11,20:00:00,6.349,6.349,6.349,6.349,2000,0
2017-09-11,21:00:00,6.35,6.35,6.35,6.35,100,0
2017-09-11,22:00:00,6.25,6.25,6.2,6.2,400,0
2017-09-12,16:00:00,6.15,6.15,6,6,17755,0
2017-09-12,17:00:00,6,6.05,5.975,6,9031,0
2017-09-12,18:00:00,5.95,5.9709,5.65,5.7,18286,0
2017-09-12,19:00:00,5.7499,5.8,5.7499,5.75,2110,0
2017-09-12,20:00:00,5.8,5.95,5.75,5.875,9662,0
2017-09-12,21:00:00,5.925,6,5.75,5.975,12600,0
