Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-24,16:00:00,6.6,6.63,6.27,6.342,24099,0
2017-08-24,17:00:00,6.3,6.47,6.28,6.47,13399,0
2017-08-24,18:00:00,6.46,6.46,6.3,6.39,4206,0
2017-08-24,19:00:00,6.3684,6.44,6.343,6.44,3324,0
2017-08-24,20:00:00,6.38,6.4,6.3601,6.38,1797,0
2017-08-24,21:00:00,6.36,6.36,6.31,6.31,7039,0
2017-08-24,22:00:00,6.3,6.49,6.3,6.49,4920,0
2017-08-29,16:00:00,6.1,6.4,5.64,6.03,17458,0
2017-08-29,17:00:00,6.03,6.1506,5.9738,6.0551,32936,0
2017-08-29,18:00:00,6.0769,6.09,6.06,6.06,2666,0
2017-08-29,19:00:00,6.08,6.2,6.055,6.2,15400,0
2017-08-29,20:00:00,6.38,6.3905,6.288,6.3905,2471,0
2017-08-29,21:00:00,6.27,6.27,6.2,6.25,3797,0
2017-08-29,22:00:00,6.2194,6.4,6.2194,6.39,20125,0
2017-08-30,16:00:00,6.02,6.3685,5.945,5.9594,30913,0
2017-08-30,17:00:00,5.9719,6.53,5.9596,6.22,38058,0
2017-08-30,18:00:00,6.39,6.4,6.25,6.33,8437,0
2017-08-30,19:00:00,6.32,6.35,6.32,6.35,300,0
2017-08-30,20:00:00,6.345,6.35,6.345,6.349,2646,0
2017-08-30,21:00:00,6.2942,6.35,6.285,6.285,450,0
2017-08-30,22:00:00,6.31,6.35,5.93,6.24,35088,0
2017-08-31,16:00:00,5.83,6.239,5.8,5.8,54996,0
2017-08-31,17:00:00,5.79,5.9,5.6,5.7996,44673,0
2017-08-31,18:00:00,5.83,6.2,5.825,6.16,26725,0
2017-08-31,19:00:00,6.16,6.2554,6.1336,6.2,10722,0
2017-08-31,20:00:00,6.2114,6.2114,6.1,6.11,7299,0
2017-08-31,21:00:00,6.1,6.1,6.05,6.0726,6360,0
2017-08-31,22:00:00,6.0789,6.0799,5.8542,5.91,15603,0
2017-09-01,16:00:00,6.3959,6.55,5.91,5.9613,27851,0
2017-09-01,17:00:00,5.98,6.1,5.91,6.0836,17495,0
2017-09-01,18:00:00,6.1,6.1,5.96,6.05,14345,0
2017-09-01,19:00:00,5.9865,6.1,5.9865,6.095,9664,0
2017-09-01,20:00:00,6.1,6.1,6.0901,6.1,11796,0
2017-09-01,21:00:00,6.1,6.1,6.095,6.1,3900,0
2017-09-01,22:00:00,6.1,6.1,6,6,25221,0
2017-09-05,16:00:00,6.2403,6.299,6.132,6.2186,3466,0
2017-09-05,17:00:00,6.21,6.229,6.1501,6.2086,6760,0
2017-09-05,18:00:00,6.2299,6.24,6.21,6.219,6500,0
2017-09-05,19:00:00,6.21,6.21,6.18,6.18,200,0
2017-09-05,20:00:00,6.18,6.18,6.1469,6.16,1331,0
2017-09-05,21:00:00,6.165,6.17,6.16,6.17,1400,0
2017-09-05,22:00:00,6.16,6.1601,6.15,6.16,8357,0
2017-09-06,16:00:00,6.15,6.29,6.15,6.2692,7910,0
2017-09-06,17:00:00,6.26,6.26,6.22,6.26,11200,0
2017-09-06,18:00:00,6.26,6.3,6.2529,6.3,17100,0
2017-09-06,19:00:00,6.295,6.3,6.29,6.3,11100,0
2017-09-06,20:00:00,6.3,6.3,6.29,6.3,4300,0
2017-09-06,21:00:00,6.3,6.3,6.2308,6.2308,5200,0
2017-09-06,22:00:00,6.22,6.37,6.18,6.37,15709,0
2017-09-07,16:00:00,6.2,6.22,6.2,6.22,3000,0
2017-09-07,17:00:00,6.21,6.21,6.0601,6.07,17966,0
2017-09-07,18:00:00,6.13,6.18,6.13,6.18,2217,0
2017-09-07,19:00:00,6.18,6.19,6.1707,6.19,2100,0
2017-09-07,20:00:00,6.15,6.15,6.095,6.1,5200,0
2017-09-07,21:00:00,6.11,6.11,6.09,6.09,3400,0
2017-09-07,22:00:00,6.08,6.08,6,6.02,17230,0
2017-09-08,16:00:00,6.15,6.15,6.15,6.15,100,0
2017-09-08,17:00:00,6.1144,6.1144,6.05,6.0919,1700,0
2017-09-08,18:00:00,6.065,6.065,6.0479,6.0479,600,0
2017-09-08,21:00:00,6.05,6.05,6.01,6.01,200,0
2017-09-08,22:00:00,6,6,5.8828,5.8828,19876,0
2017-09-11,16:00:00,5.88,5.949,5.88,5.91,5164,0
2017-09-11,17:00:00,5.87,5.9,5.7501,5.8,12875,0
2017-09-11,18:00:00,5.8,5.809,5.8,5.8,1735,0
2017-09-11,19:00:00,5.8,5.83,5.7601,5.8,2783,0
2017-09-11,20:00:00,5.88,5.88,5.8,5.82,1745,0
2017-09-11,21:00:00,5.8,5.82,5.8,5.8,734,0
2017-09-11,22:00:00,5.8,5.8602,5.72,5.86,4892,0
2017-09-12,17:00:00,5.78,5.78,5.62,5.74,6151,0
2017-09-12,18:00:00,5.7,5.769,5.63,5.75,4880,0
2017-09-12,19:00:00,5.6789,5.68,5.65,5.67,5850,0
2017-09-12,20:00:00,5.65,5.65,5.65,5.65,100,0
2017-09-12,21:00:00,5.64,5.67,5.63,5.65,6181,0
2017-09-12,22:00:00,5.65,5.67,5.62,5.67,2863,0
2017-09-13,16:00:00,5.6201,5.6201,5.61,5.61,1600,0
2017-09-13,17:00:00,5.6,5.6,5.58,5.58,400,0
2017-09-13,18:00:00,5.58,5.61,5.56,5.61,2363,0
2017-09-13,19:00:00,5.61,5.61,5.61,5.61,100,0
2017-09-13,20:00:00,5.61,5.61,5.61,5.61,500,0
