Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,41.5,41.95,40.85,41.95,9884,0
2017-09-05,17:00:00,41.9,42.055,41.8,41.85,23650,0
2017-09-05,18:00:00,41.85,41.85,41.55,41.6,14373,0
2017-09-05,19:00:00,41.575,41.6,40.75,40.85,44196,0
2017-09-05,20:00:00,40.8,40.8,40.55,40.8,14936,0
2017-09-05,21:00:00,40.75,40.85,40.65,40.825,14566,0
2017-09-05,22:00:00,40.825,40.95,40.65,40.7,77672,0
2017-09-06,16:00:00,40.9,40.9739,40.7,40.75,9297,0
2017-09-06,17:00:00,40.75,40.8,40.55,40.7,21752,0
2017-09-06,18:00:00,40.7,40.8,40.6,40.75,20792,0
2017-09-06,19:00:00,40.75,40.825,40.65,40.75,28411,0
2017-09-06,20:00:00,40.725,40.9,40.725,40.875,33700,0
2017-09-06,21:00:00,40.875,40.975,40.85,40.925,32221,0
2017-09-06,22:00:00,40.95,41,40.7,40.75,101443,0
2017-09-07,16:00:00,40.75,40.75,40.2,40.4,10122,0
2017-09-07,17:00:00,40.4,40.6,40.3,40.5,21204,0
2017-09-07,18:00:00,40.45,40.55,40.425,40.5,92870,0
2017-09-07,19:00:00,40.5,40.55,40.35,40.525,23960,0
2017-09-07,20:00:00,40.5,40.75,40.475,40.65,15011,0
2017-09-07,21:00:00,40.625,40.65,40.45,40.5,33851,0
2017-09-07,22:00:00,40.45,40.7,40.45,40.45,93437,0
2017-09-08,16:00:00,40.45,40.9847,40.45,40.9,41114,0
2017-09-08,17:00:00,41,41.55,40.95,41.55,18036,0
2017-09-08,18:00:00,41.45,41.45,41.225,41.35,19673,0
2017-09-08,19:00:00,41.3,41.55,41.2,41.2,19999,0
2017-09-08,20:00:00,41.2,41.2,41,41.025,19984,0
2017-09-08,21:00:00,41.05,41.25,41.05,41.2,27193,0
2017-09-08,22:00:00,41.2,41.5,41.2,41.4,59218,0
2017-09-11,16:00:00,41.8,41.85,41.5,41.7,14534,0
2017-09-11,17:00:00,41.75,41.85,41.6,41.7,26872,0
2017-09-11,18:00:00,41.7,41.8,41.6375,41.8,15182,0
