Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,17.05,17.2,16.9,16.925,34575,0
2017-09-06,17:00:00,16.925,16.95,16.7,16.775,45542,0
2017-09-06,18:00:00,16.775,16.9,16.65,16.85,53519,0
2017-09-06,19:00:00,16.85,16.925,16.75,16.825,40289,0
2017-09-06,20:00:00,16.85,17.05,16.825,16.95,34775,0
2017-09-06,21:00:00,16.95,17,16.8,16.85,62640,0
2017-09-06,22:00:00,16.85,16.85,16.7,16.8,250294,0
2017-09-07,16:00:00,16.75,16.825,16.6,16.65,20357,0
2017-09-07,17:00:00,16.625,16.65,16.5,16.575,74705,0
2017-09-07,18:00:00,16.6,16.65,16.475,16.5,72960,0
2017-09-07,19:00:00,16.525,16.6,16.3,16.4,61051,0
2017-09-07,20:00:00,16.425,16.5,16.35,16.375,43495,0
2017-09-07,21:00:00,16.375,16.475,16.35,16.45,33671,0
2017-09-07,22:00:00,16.4,16.575,16.4,16.5,187576,0
2017-09-08,16:00:00,16.5,16.55,16.425,16.525,28409,0
2017-09-08,17:00:00,16.525,16.75,16.525,16.75,44344,0
2017-09-08,18:00:00,16.75,17,16.725,16.9,58812,0
2017-09-08,19:00:00,16.9,17,16.85,17,36229,0
2017-09-08,20:00:00,17,17.025,16.975,17,27606,0
2017-09-08,21:00:00,17,17,16.8,17,53698,0
2017-09-08,22:00:00,16.975,17.05,16.875,16.95,192438,0
2017-09-11,16:00:00,17.05,17.25,17.05,17.175,39787,0
2017-09-11,17:00:00,17.175,17.3,17.125,17.225,72914,0
2017-09-11,18:00:00,17.225,17.4,17.225,17.375,52807,0
2017-09-11,19:00:00,17.4,17.45,17.35,17.375,49705,0
2017-09-11,20:00:00,17.3675,17.45,17.275,17.375,123665,0
2017-09-11,21:00:00,17.375,17.4,17.225,17.275,76344,0
2017-09-11,22:00:00,17.275,17.3,17.25,17.25,132311,0
2017-09-12,16:00:00,17.25,17.6,17.15,17.475,38442,0
2017-09-12,17:00:00,17.475,17.55,17.355,17.475,48254,0
2017-09-12,18:00:00,17.475,17.7,17.4,17.7,46962,0
2017-09-12,19:00:00,17.675,17.7,17.6,17.625,46880,0
2017-09-12,20:00:00,17.625,17.65,17.4,17.475,54136,0
2017-09-12,21:00:00,17.475,17.625,17.45,17.575,53621,0
2017-09-12,22:00:00,17.6,17.75,17.55,17.7,216553,0
2017-09-13,16:00:00,17.7,17.75,17.45,17.45,36378,0
2017-09-13,17:00:00,17.5,17.55,17.35,17.375,48899,0
2017-09-13,18:00:00,17.4,17.55,17.375,17.55,46723,0
2017-09-13,19:00:00,17.55,17.6,17.35,17.4,46847,0
2017-09-13,20:00:00,17.45,17.45,17.3,17.3,23319,0
2017-09-13,21:00:00,17.3,17.375,17.25,17.325,39475,0
2017-09-13,22:00:00,17.3,17.45,17.3,17.4,166566,0
2017-09-14,16:00:00,17.45,17.45,17.2,17.325,9287,0
2017-09-14,17:00:00,17.325,17.45,17.25,17.45,32876,0
2017-09-14,18:00:00,17.45,17.525,17.4,17.4,33799,0
2017-09-14,19:00:00,17.4,17.4,17.125,17.125,35549,0
2017-09-14,20:00:00,17.125,17.25,17.05,17.225,28362,0
2017-09-14,21:00:00,17.22,17.35,17.175,17.35,31422,0
2017-09-14,22:00:00,17.325,17.425,17.25,17.35,204082,0
2017-09-15,16:00:00,17.45,17.5,17.25,17.45,143240,0
2017-09-15,17:00:00,17.5,17.75,17.475,17.67,38345,0
2017-09-15,18:00:00,17.675,17.75,17.575,17.7,32831,0
2017-09-15,19:00:00,17.7,17.7,17.5,17.525,26056,0
2017-09-15,20:00:00,17.55,17.55,17.325,17.425,44235,0
2017-09-15,21:00:00,17.425,17.45,17.25,17.375,63822,0
2017-09-15,22:00:00,17.375,17.6,17.35,17.6,1489254,0
2017-09-18,16:00:00,17.55,17.7,17.425,17.425,51285,0
2017-09-18,17:00:00,17.45,17.55,17.35,17.375,38047,0
2017-09-18,18:00:00,17.375,17.4,17.2,17.25,38718,0
2017-09-18,19:00:00,17.25,17.425,17.2,17.35,40851,0
