Date,Time,Open,High,Low,Close,Volume,OpenInt
2018-02-14,17:00:00,5,5.28,4.7,4.75,319395,0
2018-02-14,18:00:00,4.75,4.8,4.51,4.63,91269,0
2018-02-14,19:00:00,4.63,4.6999,4.3,4.67,100220,0
2018-02-14,20:00:00,4.67,4.67,4.475,4.4875,33923,0
2018-02-14,21:00:00,4.5,4.6,4.44,4.6,13316,0
2018-02-14,22:00:00,4.534,4.6,4.4,4.4,43006,0
2018-02-15,16:00:00,4.38,4.549,4.38,4.499,8390,0
2018-02-15,17:00:00,4.45,4.499,4.401,4.42,35140,0
2018-02-15,18:00:00,4.4499,4.4499,4.4314,4.44,2900,0
2018-02-15,19:00:00,4.4413,4.4499,4.43,4.44,797,0
2018-02-15,20:00:00,4.45,4.45,4.4,4.4,7630,0
2018-02-15,21:00:00,4.4,4.42,4.3844,4.3999,23455,0
2018-02-15,22:00:00,4.4,4.4,4.3,4.3,37320,0
2018-02-16,16:00:00,4.3,4.4175,4.09,4.211,20534,0
2018-02-16,17:00:00,4.22,4.2505,4.11,4.15,15425,0
2018-02-16,18:00:00,4.1145,4.2,4.01,4.0199,31248,0
2018-02-16,19:00:00,4.02,4.1885,4.01,4.03,16199,0
2018-02-16,20:00:00,4.0461,4.099,4,4.03,25819,0
2018-02-16,21:00:00,4.0787,4.0999,4,4,24026,0
2018-02-16,22:00:00,4.01,4.0599,4,4,28529,0
2018-02-20,16:00:00,4,4.1,4,4.1,7341,0
2018-02-20,17:00:00,4.3393,4.4,4.25,4.4,9949,0
2018-02-20,18:00:00,4.46,4.55,4.4,4.4,21497,0
2018-02-20,19:00:00,4.35,4.3631,4.251,4.3631,5381,0
2018-02-20,20:00:00,4.35,4.499,4.35,4.499,609,0
2018-02-20,21:00:00,4.4,4.4858,4.4,4.4,4800,0
2018-02-20,22:00:00,4.4149,4.4149,4.06,4.11,23799,0
2018-02-21,16:00:00,4.24,4.29,4.2,4.27,3405,0
2018-02-21,17:00:00,4.101,4.2408,4.1,4.2408,5200,0
2018-02-21,18:00:00,4.25,4.35,4.1801,4.35,15883,0
2018-02-21,19:00:00,4.346,4.346,4.25,4.25,3981,0
2018-02-21,20:00:00,4.25,4.26,4.25,4.25,3239,0
2018-02-21,21:00:00,4.26,4.26,4.06,4.06,16496,0
2018-02-21,22:00:00,4.1,4.25,3.75,4.25,54491,0
2018-02-22,16:00:00,4.24,4.409,4.2304,4.409,10122,0
2018-02-22,17:00:00,4.3798,4.48,4.3798,4.42,53847,0
2018-02-22,18:00:00,4.4,4.459,4.4,4.41,5648,0
2018-02-22,19:00:00,4.4289,4.5,4.4,4.48,11577,0
2018-02-22,20:00:00,4.4649,4.4681,4.4649,4.4681,550,0
2018-02-22,21:00:00,4.48,4.48,4.463,4.48,2500,0
2018-02-22,22:00:00,4.4699,4.48,4.4611,4.48,5421,0
2018-02-23,16:00:00,4.5,4.5,4.48,4.48,831,0
2018-02-23,17:00:00,4.4856,4.58,4.45,4.5304,4965,0
2018-02-23,18:00:00,4.5,4.5001,4.5,4.5001,3595,0
2018-02-23,19:00:00,4.51,4.549,4.5,4.5355,5770,0
2018-02-23,20:00:00,4.5001,4.5012,4.5,4.5,2600,0
2018-02-23,21:00:00,4.5,4.505,4.5,4.5,1945,0
2018-02-23,22:00:00,4.5301,4.5301,4.53,4.53,800,0
2018-02-26,16:00:00,4.59,4.68,4.589,4.6558,2627,0
2018-02-26,17:00:00,4.6772,5.01,4.641,4.99,31438,0
2018-02-26,18:00:00,4.99,4.99,4.811,4.88,11001,0
2018-02-26,19:00:00,4.91,4.98,4.9,4.946,4802,0
2018-02-26,20:00:00,4.92,4.94,4.751,4.8599,10790,0
2018-02-26,21:00:00,4.85,4.85,4.75,4.75,4715,0
2018-02-26,22:00:00,4.7545,4.87,4.7545,4.756,14446,0
2018-02-27,16:00:00,5,5,4.8,4.86,15564,0
2018-02-27,17:00:00,4.85,4.925,4.85,4.8566,3684,0
2018-02-27,18:00:00,4.86,4.9568,4.86,4.9568,600,0
2018-02-27,19:00:00,4.861,4.861,4.86,4.86,2212,0
2018-02-27,20:00:00,4.965,4.965,4.8601,4.8601,1517,0
2018-02-27,21:00:00,4.9292,4.95,4.9292,4.95,7075,0
2018-02-27,22:00:00,4.99,5,4.95,5,26951,0
2018-02-28,16:00:00,5.1,5.125,5,5.1,14759,0
2018-02-28,17:00:00,5.1,5.1299,4.83,4.83,18534,0
2018-02-28,18:00:00,4.83,4.8999,4.83,4.8999,903,0
2018-02-28,19:00:00,4.85,4.85,4.85,4.85,100,0
2018-02-28,20:00:00,4.9,4.9,4.9,4.9,700,0
2018-02-28,21:00:00,4.875,5,4.875,4.9255,21730,0
2018-02-28,22:00:00,4.94,5,4.9,5,6532,0
2018-03-01,16:00:00,4.8,4.8,4.8,4.8,508,0
2018-03-01,17:00:00,5.0002,5.0002,4.9658,4.9658,10950,0
2018-03-01,18:00:00,4.9101,4.9101,4.9101,4.9101,1000,0
2018-03-01,19:00:00,4.995,4.995,4.995,4.995,1500,0
2018-03-01,20:00:00,4.9201,4.9201,4.9,4.9,1499,0
2018-03-01,21:00:00,4.91,4.91,4.91,4.91,229,0
2018-03-01,22:00:00,4.9392,4.9809,4.93,4.93,4711,0
2018-03-02,16:00:00,4.95,4.95,4.81,4.81,3889,0
2018-03-02,17:00:00,4.87,4.87,4.81,4.85,1600,0
2018-03-02,18:00:00,4.8501,4.9,4.85,4.85,2070,0
2018-03-02,19:00:00,4.8501,4.94,4.85,4.85,3587,0
2018-03-02,20:00:00,4.85,4.89,4.85,4.85,4900,0
2018-03-02,21:00:00,4.8501,4.87,4.85,4.85,4830,0
2018-03-02,22:00:00,4.8501,4.9,4.8,4.885,16741,0
2018-03-05,16:00:00,4.95,4.95,4.85,4.85,8267,0
2018-03-05,17:00:00,4.85,4.95,4.85,4.91,19115,0
2018-03-05,18:00:00,4.9314,4.9379,4.85,4.895,3965,0
2018-03-05,19:00:00,4.85,4.9292,4.85,4.9,3500,0
2018-03-05,20:00:00,4.9,4.9,4.85,4.85,4953,0
2018-03-05,21:00:00,4.85,4.86,4.85,4.86,2700,0
2018-03-05,22:00:00,4.86,4.9065,4.85,4.85,6284,0
2018-03-06,16:00:00,4.95,4.95,4.83,4.85,499,0
2018-03-06,17:00:00,4.86,4.86,4.85,4.85,2000,0
2018-03-06,18:00:00,4.85,4.8759,4.85,4.85,2000,0
2018-03-06,19:00:00,4.85,4.899,4.85,4.85,998,0
2018-03-06,20:00:00,4.85,4.8999,4.85,4.85,1771,0
2018-03-06,21:00:00,4.85,4.8776,4.85,4.85,2620,0
2018-03-06,22:00:00,4.85,4.89,4.83,4.89,3480,0
2018-03-07,16:00:00,4.92,4.949,4.83,4.8901,2435,0
2018-03-07,17:00:00,4.8,4.81,4.8,4.81,300,0
2018-03-07,18:00:00,4.89,4.899,4.8201,4.8201,1499,0
2018-03-07,19:00:00,4.9,4.9,4.8238,4.8238,799,0
2018-03-07,20:00:00,4.82,4.9,4.82,4.9,15818,0
2018-03-07,21:00:00,4.9136,4.9136,4.9136,4.9136,1000,0
2018-03-07,22:00:00,4.95,5.049,4.95,5,17946,0
2018-03-08,16:00:00,4.95,5,4.93,4.9499,2782,0
2018-03-08,17:00:00,4.92,4.95,4.82,4.945,2398,0
2018-03-08,18:00:00,4.846,4.95,4.846,4.945,9273,0
2018-03-08,19:00:00,4.945,4.95,4.945,4.95,600,0
2018-03-08,20:00:00,4.95,4.95,4.95,4.95,400,0
2018-03-08,21:00:00,4.95,4.95,4.8952,4.95,900,0
2018-03-08,22:00:00,4.9,4.95,4.8902,4.94,4487,0
2018-03-09,16:00:00,4.95,4.95,4.761,4.8,7863,0
2018-03-09,18:00:00,4.8823,4.8823,4.8823,4.8823,200,0
2018-03-09,19:00:00,4.95,4.95,4.851,4.925,1165,0
2018-03-09,20:00:00,4.95,4.95,4.95,4.95,600,0
2018-03-09,21:00:00,4.915,4.915,4.8396,4.8396,355,0
2018-03-09,22:00:00,4.8442,4.98,4.8221,4.98,16272,0
2018-03-12,15:00:00,5,5.2999,4.9752,5.02,151308,0
2018-03-12,16:00:00,5.04,5.04,4.75,4.769,32486,0
2018-03-12,17:00:00,4.844,4.9,4.8,4.85,7200,0
2018-03-12,18:00:00,4.92,4.92,4.85,4.878,6100,0
2018-03-12,19:00:00,4.85,4.8832,4.78,4.814,17507,0
2018-03-12,20:00:00,4.829,4.829,4.78,4.7802,6000,0
2018-03-12,21:00:00,4.79,4.829,4.75,4.81,11000,0
2018-03-13,15:00:00,5,5,4.801,4.83,3841,0
