Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-02,16:00:00,2.5,2.63,2.5,2.63,3475,0
2017-05-02,17:00:00,2.57,2.58,2.57,2.5799,4991,0
2017-05-02,18:00:00,2.5776,2.5776,2.4,2.4,5500,0
2017-05-02,20:00:00,2.5,2.5,2.5,2.5,200,0
2017-05-02,21:00:00,2.5,2.5,2.5,2.5,100,0
2017-05-02,22:00:00,2.53,2.6237,2.53,2.6237,300,0
2017-05-03,16:00:00,3.1,3.1,2.66,2.7358,24600,0
2017-05-03,17:00:00,2.6801,2.7851,2.67,2.67,13471,0
2017-05-03,18:00:00,2.7,2.7,2.67,2.68,7000,0
2017-05-03,19:00:00,2.6804,2.6804,2.6804,2.6804,2000,0
2017-05-03,21:00:00,2.6862,2.6862,2.66,2.66,2039,0
2017-05-03,22:00:00,2.66,2.67,2.66,2.67,200,0
2017-05-04,16:00:00,2.75,2.79,2.75,2.76,3944,0
2017-05-04,17:00:00,2.76,2.76,2.7,2.71,19706,0
2017-05-04,19:00:00,2.71,2.71,2.7,2.7,3700,0
2017-05-04,21:00:00,2.7,2.7014,2.7,2.7,1956,0
2017-05-04,22:00:00,2.7,2.7,2.7,2.7,900,0
2017-05-05,17:00:00,3,3,2.88,2.88,1220,0
2017-05-05,18:00:00,2.8465,2.85,2.8465,2.8489,800,0
2017-05-08,17:00:00,2.9879,3.0386,2.9879,3.02,2600,0
2017-05-08,18:00:00,3.0293,3.07,3.0293,3.03,2800,0
2017-05-08,21:00:00,3,3,3,3,500,0
2017-05-08,22:00:00,3.0089,3.0089,2.99,2.99,2540,0
2017-05-09,17:00:00,3,3,2.9995,2.9995,2000,0
2017-05-09,18:00:00,2.9993,2.9993,2.9989,2.9993,900,0
2017-05-09,19:00:00,2.99,2.99,2.99,2.99,3660,0
2017-05-09,21:00:00,2.71,2.71,2.71,2.71,100,0
2017-05-09,22:00:00,2.74,3.08,2.7,3.08,8200,0
2017-05-10,17:00:00,2.96,3.04,2.81,3.04,8592,0
2017-05-10,18:00:00,3.05,3.05,3.05,3.05,1100,0
2017-05-10,19:00:00,3.0599,3.0599,3.0599,3.0599,200,0
2017-05-10,21:00:00,3.05,3.05,2.87,2.93,1800,0
2017-05-10,22:00:00,2.938,3.06,2.9369,3.06,11800,0
2017-05-11,18:00:00,2.9101,2.9101,2.9101,2.9101,3600,0
2017-05-11,19:00:00,2.97,2.985,2.91,2.91,700,0
2017-05-11,20:00:00,2.93,3,2.93,2.93,1150,0
2017-05-11,22:00:00,2.99,3.0365,2.99,3.0365,6050,0
2017-05-12,16:00:00,3.08,3.08,3.08,3.08,2000,0
2017-05-12,17:00:00,2.9,2.9,2.9,2.9,300,0
2017-05-12,18:00:00,3,3,2.997,2.9992,2000,0
2017-05-12,19:00:00,3,3,3,3,900,0
2017-05-12,22:00:00,3.01,3.05,3.01,3.04,1250,0
2017-05-15,17:00:00,3,3.0599,3,3.0592,4900,0
2017-05-15,18:00:00,3.057,3.0592,3.057,3.0592,200,0
2017-05-15,20:00:00,3.038,3.038,3.03,3.03,370,0
2017-05-15,21:00:00,3.04,3.04,3.028,3.028,690,0
2017-05-15,22:00:00,3.04,3.08,3.04,3.08,4059,0
2017-05-16,17:00:00,3.02,3.08,3.01,3.0601,4300,0
2017-05-16,18:00:00,3.0601,3.0601,3.0601,3.0601,500,0
2017-05-16,22:00:00,3.07,3.09,3.07,3.09,2900,0
2017-05-17,16:00:00,3.09,3.09,3.06,3.08,1280,0
2017-05-17,17:00:00,3.08,3.09,3.07,3.07,2400,0
2017-05-17,18:00:00,3.0001,3.1,3.0001,3.09,3271,0
2017-05-17,19:00:00,3.09,3.09,3.08,3.08,700,0
2017-05-17,20:00:00,3.09,3.1,3.09,3.1,300,0
2017-05-17,21:00:00,3.1,3.1,3.09,3.09,400,0
2017-05-17,22:00:00,3.09,3.1,3.08,3.1,1300,0
2017-05-18,16:00:00,3.1,3.1,3.1,3.1,200,0
2017-05-18,18:00:00,3.04,3.1,3.025,3.07,6600,0
2017-05-18,19:00:00,3.07,3.08,3.06,3.06,700,0
2017-05-18,22:00:00,3.07,3.1,3.07,3.1,454,0
2017-05-19,16:00:00,3.08,3.08,3.08,3.08,500,0
2017-05-19,17:00:00,3.0799,3.1465,3.0799,3.1465,5055,0
2017-05-19,18:00:00,3.14,3.19,3.14,3.19,2700,0
2017-05-19,19:00:00,3.19,3.2,3.16,3.2,4596,0
2017-05-19,22:00:00,3.2,3.2,3.2,3.2,100,0
2017-05-22,16:00:00,3.2,3.24,3.2,3.2392,2254,0
2017-05-22,17:00:00,3.2325,3.2958,3.2325,3.2958,1100,0
2017-05-22,18:00:00,3.28,3.28,3.24,3.24,2137,0
2017-05-22,19:00:00,3.2,3.2,3.2,3.2,3000,0
2017-05-22,22:00:00,3.22,3.229,3.22,3.229,300,0
2017-05-23,16:00:00,3.54,3.54,3.54,3.54,161,0
2017-05-23,17:00:00,3.3171,3.3171,3.3,3.3,6159,0
2017-05-23,18:00:00,3.3,3.4,3.2,3.2,7409,0
2017-05-23,19:00:00,3.2001,3.2001,3.2,3.2,300,0
2017-05-23,22:00:00,3.29,3.29,3.28,3.2899,1000,0
2017-05-24,16:00:00,3.64,3.64,3.4,3.4,6100,0
2017-05-24,17:00:00,3.63,3.63,3.4,3.4,7800,0
2017-05-24,18:00:00,3.3,3.3084,3.2,3.2,7900,0
2017-05-24,19:00:00,3.2021,3.29,3.2,3.29,2400,0
2017-05-24,22:00:00,3.3,3.3,3.29,3.29,300,0
2017-05-25,16:00:00,3.3101,3.3101,3.31,3.31,1500,0
2017-05-25,17:00:00,3.5014,3.5014,3.2,3.2,8200,0
2017-05-25,18:00:00,3.289,3.289,3.1448,3.1448,5100,0
2017-05-25,19:00:00,3.18,3.18,3.18,3.18,200,0
2017-05-25,20:00:00,3.18,3.18,3.18,3.18,100,0
2017-05-25,21:00:00,3.18,3.18,3.1461,3.18,300,0
2017-05-25,22:00:00,3.3,3.31,3.2,3.31,3000,0
2017-05-26,17:00:00,3.5,3.69,3.36,3.399,3100,0
2017-05-26,18:00:00,3.447,3.4492,3.32,3.3492,1100,0
2017-05-26,19:00:00,3.347,3.35,3.347,3.35,500,0
2017-05-26,21:00:00,3.33,3.35,3.33,3.35,1500,0
2017-05-26,22:00:00,3.367,3.49,3.367,3.49,2325,0
2017-05-30,16:00:00,3.7,3.7,3.54,3.54,1500,0
2017-05-30,17:00:00,3.51,3.51,3.33,3.33,3900,0
2017-05-30,18:00:00,3.36,3.5,3.36,3.4792,600,0
2017-05-30,19:00:00,3.43,3.43,3.41,3.41,200,0
2017-05-30,22:00:00,3.467,3.48,3.457,3.4772,900,0
2017-05-31,16:00:00,3.4,3.44,3.4,3.4389,2500,0
2017-05-31,17:00:00,3.2,3.38,3.2,3.23,7096,0
2017-05-31,18:00:00,3.2,3.2,3.2,3.2,652,0
2017-05-31,19:00:00,3.21,3.21,3.21,3.21,100,0
2017-05-31,20:00:00,3.2,3.2,3.2,3.2,100,0
2017-05-31,21:00:00,3.38,3.38,3.38,3.38,100,0
2017-05-31,22:00:00,3.41,3.48,3.41,3.48,2550,0
2017-06-01,16:00:00,3.7,3.7,3.7,3.7,100,0
2017-06-01,17:00:00,3.4967,3.4967,3.19,3.19,700,0
2017-06-01,18:00:00,3.2,3.21,3.2,3.21,500,0
2017-06-01,20:00:00,3.21,3.21,3.21,3.21,200,0
2017-06-01,21:00:00,3.2099,3.43,3.2099,3.4,2200,0
2017-06-01,22:00:00,3.45,3.65,3.45,3.64,3492,0
2017-06-02,16:00:00,3.64,3.64,3.64,3.64,100,0
2017-06-02,17:00:00,3.3,3.3001,3.3,3.3,1400,0
2017-06-02,18:00:00,3.3001,3.35,3.3,3.35,2350,0
2017-06-02,19:00:00,3.39,3.48,3.39,3.48,300,0
2017-06-02,20:00:00,3.39,3.39,3.39,3.39,200,0
