Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-26,16:00:00,2.89,2.9,2.83,2.8531,8100,0
2017-04-26,17:00:00,2.88,2.88,2.88,2.88,400,0
2017-04-27,16:00:00,2.81,2.81,2.81,2.81,2457,0
2017-04-27,17:00:00,2.88,2.88,2.79,2.85,8400,0
2017-04-27,18:00:00,2.87,2.87,2.87,2.87,200,0
2017-04-27,19:00:00,2.87,2.87,2.87,2.87,200,0
2017-04-28,16:00:00,2.86,2.8651,2.86,2.8651,6600,0
2017-04-28,17:00:00,2.86,2.87,2.7,2.7,10827,0
2017-04-28,19:00:00,2.7,2.7,2.7,2.7,500,0
2017-04-28,20:00:00,2.689,2.7,2.689,2.69,1769,0
2017-04-28,21:00:00,2.621,2.7628,2.621,2.76,2636,0
2017-04-28,22:00:00,2.7442,2.79,2.7442,2.77,3060,0
2017-05-01,16:00:00,2.81,2.81,2.69,2.74,9808,0
2017-05-01,17:00:00,2.77,2.77,2.77,2.77,300,0
2017-05-01,18:00:00,2.74,2.74,2.74,2.74,100,0
2017-05-01,19:00:00,2.76,2.76,2.76,2.76,100,0
2017-05-01,20:00:00,2.7862,2.7862,2.7862,2.7862,100,0
2017-05-01,22:00:00,2.8,2.8,2.78,2.8,1300,0
2017-05-02,16:00:00,2.84,2.84,2.84,2.84,6200,0
2017-05-02,21:00:00,2.8102,2.8102,2.8102,2.8102,108,0
2017-05-03,17:00:00,2.69,2.78,2.69,2.78,7836,0
2017-05-03,22:00:00,2.78,2.78,2.78,2.78,300,0
2017-05-04,16:00:00,2.73,2.82,2.73,2.73,8100,0
2017-05-04,20:00:00,2.73,2.81,2.6,2.7101,26775,0
2017-05-05,17:00:00,2.75,2.75,2.52,2.58,16100,0
2017-05-05,18:00:00,2.55,2.7,2.5,2.67,7000,0
2017-05-05,20:00:00,2.71,2.76,2.62,2.72,21720,0
2017-05-05,22:00:00,2.68,2.68,2.68,2.68,200,0
2017-05-08,16:00:00,2.7,2.71,2.6801,2.6801,4400,0
2017-05-08,17:00:00,2.69,2.75,2.6499,2.71,5589,0
2017-05-08,19:00:00,2.67,2.67,2.67,2.67,100,0
2017-05-08,21:00:00,2.72,2.72,2.72,2.72,200,0
2017-05-08,22:00:00,2.74,2.74,2.7,2.74,15100,0
2017-05-09,16:00:00,2.48,2.7,2.48,2.7,14086,0
2017-05-09,17:00:00,2.72,2.75,2.72,2.75,2700,0
2017-05-09,19:00:00,2.7341,2.7341,2.7341,2.7341,175,0
2017-05-09,22:00:00,2.75,2.75,2.68,2.74,3700,0
2017-05-10,16:00:00,2.6816,2.6816,2.6816,2.6816,163,0
2017-05-10,17:00:00,2.73,2.74,2.7,2.7,11493,0
2017-05-10,18:00:00,2.73,2.73,2.7267,2.7267,300,0
2017-05-10,19:00:00,2.7172,2.7172,2.7172,2.7172,680,0
2017-05-10,22:00:00,2.71,2.72,2.7,2.72,1180,0
2017-05-11,16:00:00,2.67,2.67,2.5458,2.6,3400,0
2017-05-11,17:00:00,2.61,2.6657,2.61,2.6371,2670,0
2017-05-11,20:00:00,2.61,2.6349,2.6,2.6349,460,0
2017-05-11,21:00:00,2.6199,2.6199,2.6075,2.6075,636,0
2017-05-11,22:00:00,2.61,2.62,2.61,2.62,1300,0
2017-05-12,16:00:00,2.65,2.65,2.62,2.65,13714,0
2017-05-12,22:00:00,2.69,2.73,2.65,2.73,5400,0
2017-05-15,16:00:00,2.7,2.7,2.7,2.7,367,0
2017-05-15,17:00:00,2.7,2.7,2.7,2.7,6757,0
2017-05-15,22:00:00,2.71,2.7101,2.71,2.7101,240,0
2017-05-16,16:00:00,2.7,2.7,2.7,2.7,2402,0
2017-05-16,17:00:00,2.6801,2.6801,2.6801,2.6801,300,0
2017-05-16,18:00:00,2.7,2.7,2.7,2.7,1500,0
2017-05-16,19:00:00,2.7,2.7,2.68,2.6801,1433,0
2017-05-16,20:00:00,2.6538,2.68,2.6538,2.66,492,0
2017-05-16,21:00:00,2.55,2.5748,2.55,2.5748,600,0
2017-05-16,22:00:00,2.52,2.9,2.52,2.85,27447,0
2017-05-17,16:00:00,2.84,2.84,2.5238,2.5238,472,0
2017-05-17,17:00:00,2.61,2.66,2.55,2.55,900,0
2017-05-17,22:00:00,2.6,2.75,2.6,2.73,600,0
2017-05-18,19:00:00,2.5957,2.5957,2.5957,2.5957,408,0
2017-05-18,22:00:00,2.7322,2.7322,2.7322,2.7322,300,0
2017-05-19,16:00:00,2.74,2.74,2.74,2.74,258,0
2017-05-19,18:00:00,2.6,2.6,2.6,2.6,475,0
2017-05-19,20:00:00,2.58,2.58,2.58,2.58,100,0
2017-05-22,17:00:00,2.6301,2.6301,2.6301,2.6301,500,0
2017-05-22,18:00:00,2.59,2.64,2.59,2.64,2700,0
2017-05-22,19:00:00,2.64,2.64,2.64,2.64,100,0
2017-05-22,21:00:00,2.654,2.7071,2.57,2.57,672,0
2017-05-22,22:00:00,2.7,2.74,2.69,2.74,1099,0
2017-05-23,18:00:00,2.61,2.61,2.6,2.61,500,0
2017-05-23,19:00:00,2.6307,2.6307,2.6307,2.6307,100,0
2017-05-23,22:00:00,2.61,2.61,2.61,2.61,100,0
2017-05-24,18:00:00,2.63,2.63,2.63,2.63,100,0
2017-05-24,19:00:00,2.5999,2.5999,2.58,2.58,417,0
