Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-07,16:00:00,12.15,12.25,12.1,12.15,4903,0
2017-08-07,17:00:00,12.15,12.3,12.1,12.3,4755,0
2017-08-07,18:00:00,12.25,12.3,12.25,12.25,698,0
2017-08-07,19:00:00,12.3,12.4,12.3,12.4,1950,0
2017-08-07,20:00:00,12.45,12.475,12.45,12.45,500,0
2017-08-07,21:00:00,12.4624,12.4624,12.4624,12.4624,150,0
2017-08-07,22:00:00,12.5,12.5,12.35,12.4,5425,0
2017-08-08,16:00:00,12.25,12.3,12.25,12.25,1308,0
2017-08-08,17:00:00,12.4,12.65,12.3,12.45,1700,0
2017-08-08,18:00:00,12.55,12.55,12.4,12.4,800,0
2017-08-08,19:00:00,12.45,12.45,12.35,12.35,1100,0
2017-08-08,20:00:00,12.35,12.35,12.3,12.325,4197,0
2017-08-08,21:00:00,12.3,12.4,12.3,12.3,1900,0
2017-08-08,22:00:00,12.3,12.35,12.2,12.25,3901,0
2017-08-09,16:00:00,12,12,10.65,10.65,13606,0
2017-08-09,17:00:00,10.5,10.95,9.9,10.95,13224,0
2017-08-09,18:00:00,10.8,10.8,10.669,10.7,1850,0
2017-08-09,19:00:00,10.65,10.7,10.6,10.6,1600,0
2017-08-09,20:00:00,10.505,10.6,10.4,10.5,5289,0
2017-08-09,21:00:00,10.355,10.55,10.355,10.5,1876,0
2017-08-09,22:00:00,10.5,10.55,10.45,10.5,7303,0
2017-08-10,16:00:00,10.5,11.55,10.5,10.8,1422,0
2017-08-10,17:00:00,10.7,10.7,10.55,10.55,1278,0
2017-08-10,18:00:00,10.55,10.6,10.55,10.575,300,0
2017-08-10,19:00:00,10.6,10.6,10.575,10.575,452,0
2017-08-10,20:00:00,10.6,10.6,10.575,10.575,200,0
2017-08-10,21:00:00,10.55,10.55,10.35,10.35,9069,0
2017-08-10,22:00:00,10.4,10.4,10.35,10.375,9663,0
2017-08-11,16:00:00,10.55,10.55,10.45,10.45,2080,0
2017-08-11,17:00:00,10.45,10.45,10.4,10.4,1617,0
2017-08-11,18:00:00,10.4,10.4,10.25,10.25,2600,0
2017-08-11,19:00:00,10.25,10.25,10.25,10.25,800,0
2017-08-11,20:00:00,10.25,10.25,10.25,10.25,900,0
2017-08-11,21:00:00,10.2,10.25,10.2,10.2,1978,0
2017-08-11,22:00:00,10.25,10.5,10.25,10.45,14338,0
2017-08-14,16:00:00,10.35,10.5,10.35,10.5,1507,0
2017-08-14,17:00:00,10.5,10.505,10.475,10.5,2900,0
2017-08-14,18:00:00,10.6,10.645,10.6,10.645,1486,0
2017-08-14,19:00:00,10.65,10.65,10.65,10.65,175,0
2017-08-14,20:00:00,10.65,10.65,10.6,10.6,300,0
2017-08-14,21:00:00,10.6,10.6,10.05,10.1,9701,0
2017-08-14,22:00:00,10.1,10.3,10.05,10.25,8820,0
2017-08-15,16:00:00,10.35,10.35,10.2,10.2,672,0
2017-08-15,17:00:00,10.2,10.2,9.95,9.95,1800,0
2017-08-15,18:00:00,9.9,9.9,9.9,9.9,100,0
2017-08-15,19:00:00,10,10,9.9,9.9,300,0
2017-08-15,20:00:00,9.95,9.95,9.7105,9.8,4800,0
2017-08-15,21:00:00,9.8,9.825,9.8,9.825,1695,0
2017-08-15,22:00:00,9.85,9.85,9.8,9.8,1413,0
2017-08-16,16:00:00,9.8435,9.8435,9.8209,9.8209,700,0
2017-08-16,17:00:00,9.8,9.8,9.8,9.8,3249,0
2017-08-16,18:00:00,9.8,9.9,9.8,9.85,300,0
2017-08-16,19:00:00,10,10,10,10,200,0
2017-08-16,20:00:00,10,10,9.9,9.9,600,0
2017-08-16,21:00:00,9.9,9.95,9.875,9.95,4815,0
2017-08-16,22:00:00,9.9,9.95,9.8,9.8,5757,0
2017-08-17,16:00:00,9.75,9.825,9.75,9.825,366,0
2017-08-17,17:00:00,9.8762,9.9,9.8,9.9,889,0
2017-08-17,19:00:00,9.85,9.9,9.85,9.9,1124,0
2017-08-17,20:00:00,9.95,9.95,9.85,9.85,400,0
2017-08-17,21:00:00,9.9,10.075,9.9,10,2876,0
2017-08-17,22:00:00,10,10.15,9.7,9.8,5478,0
2017-08-18,16:00:00,9.6,9.7,9.6,9.7,5538,0
2017-08-18,17:00:00,9.75,9.75,9.7,9.75,600,0
2017-08-18,18:00:00,9.75,9.85,9.75,9.85,6258,0
2017-08-18,19:00:00,9.85,10.05,9.85,10.05,3500,0
2017-08-18,20:00:00,10.1,10.1,10,10,650,0
2017-08-18,21:00:00,10,10.1,9.95,9.95,3475,0
2017-08-18,22:00:00,10,10,9.9,9.9,2697,0
2017-08-21,16:00:00,9.85,9.85,9.85,9.85,100,0
2017-08-21,17:00:00,9.85,9.85,9.85,9.85,400,0
2017-08-21,18:00:00,9.9304,9.95,9.85,9.95,3115,0
