Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-01,16:00:00,21.681,21.931,21.681,21.881,1680,0
2017-09-01,17:00:00,21.881,22.031,21.781,21.931,21674,0
2017-09-01,18:00:00,21.956,21.956,21.881,21.931,1000,0
2017-09-01,19:00:00,21.881,21.931,21.731,21.731,2102,0
2017-09-01,20:00:00,21.831,21.881,21.781,21.831,1502,0
2017-09-01,21:00:00,21.781,21.831,21.731,21.731,605,0
2017-09-01,22:00:00,21.681,21.731,21.631,21.731,5169,0
2017-09-05,16:00:00,21.581,21.731,21.581,21.681,2708,0
2017-09-05,17:00:00,21.681,21.781,21.581,21.581,2464,0
2017-09-05,18:00:00,21.581,21.631,21.286,21.331,7154,0
2017-09-05,19:00:00,21.369,21.369,21.132,21.132,1423,0
2017-09-05,20:00:00,21.161,21.161,21.161,21.161,500,0
2017-09-05,21:00:00,21.128,21.132,21.023,21.032,1969,0
2017-09-05,22:00:00,20.982,21.082,20.882,20.882,3928,0
2017-09-06,16:00:00,20.982,21.132,20.982,21.072,1199,0
2017-09-06,17:00:00,20.982,21.082,20.932,21.082,700,0
2017-09-06,18:00:00,21.082,21.082,20.857,20.932,1502,0
2017-09-06,19:00:00,20.882,20.882,20.832,20.832,200,0
2017-09-06,20:00:00,20.782,20.882,20.732,20.807,1377,0
2017-09-06,21:00:00,20.832,20.882,20.782,20.832,1982,0
2017-09-06,22:00:00,20.832,20.832,20.483,20.483,8354,0
2017-09-07,16:00:00,20.533,20.782,20.533,20.682,1139,0
2017-09-07,17:00:00,20.682,20.707,20.582,20.682,1902,0
2017-09-07,18:00:00,20.757,20.957,20.732,20.892,2921,0
2017-09-07,19:00:00,20.932,20.982,20.882,20.932,2312,0
2017-09-07,20:00:00,20.932,20.932,20.732,20.732,2682,0
2017-09-07,21:00:00,20.732,20.782,20.732,20.782,300,0
2017-09-07,22:00:00,20.782,21.032,20.782,20.882,6534,0
2017-09-08,16:00:00,20.732,20.932,20.732,20.932,732,0
2017-09-08,17:00:00,20.832,21.032,20.832,21.032,300,0
2017-09-08,18:00:00,21.182,21.182,21.132,21.132,200,0
2017-09-08,19:00:00,21.082,21.082,20.932,20.932,614,0
2017-09-08,20:00:00,21.048,21.057,21.048,21.057,200,0
2017-09-08,21:00:00,21.007,21.082,21.007,21.082,347,0
2017-09-08,22:00:00,21.032,21.132,20.932,21.082,4028,0
2017-09-11,16:00:00,21.132,21.381,20.982,21.331,2511,0
2017-09-11,17:00:00,21.331,21.331,21.231,21.331,701,0
2017-09-11,18:00:00,21.331,21.331,21.281,21.281,4630,0
2017-09-11,19:00:00,21.381,21.431,21.281,21.331,1918,0
2017-09-11,20:00:00,21.356,21.481,21.356,21.481,3102,0
2017-09-11,21:00:00,21.406,21.431,21.331,21.331,2763,0
2017-09-11,22:00:00,21.231,21.281,21.157,21.231,2224,0
2017-09-12,17:00:00,21.381,21.381,21.331,21.331,576,0
2017-09-12,18:00:00,21.331,21.431,21.331,21.381,1412,0
2017-09-12,19:00:00,21.331,21.381,21.331,21.381,600,0
2017-09-12,20:00:00,21.356,21.731,21.356,21.681,45039,0
2017-09-12,21:00:00,21.631,21.631,21.481,21.531,2880,0
2017-09-12,22:00:00,21.631,21.681,21.481,21.581,12974,0
2017-09-13,16:00:00,21.481,21.531,21.481,21.531,1947,0
2017-09-13,17:00:00,21.581,21.931,21.581,21.906,1702,0
2017-09-13,18:00:00,21.856,21.931,21.856,21.881,2202,0
2017-09-13,19:00:00,21.881,21.881,21.881,21.881,1101,0
2017-09-13,20:00:00,21.881,21.931,21.831,21.881,1502,0
2017-09-13,21:00:00,21.856,21.881,21.731,21.831,3628,0
2017-09-13,22:00:00,21.831,21.831,21.731,21.731,5600,0
2017-09-14,16:00:00,21.781,22.181,21.781,22.181,2330,0
2017-09-14,17:00:00,22.156,22.561,22.141,22.381,9483,0
2017-09-14,18:00:00,22.431,22.431,22.381,22.381,3610,0
2017-09-14,19:00:00,22.381,22.681,22.381,22.681,6120,0
2017-09-14,20:00:00,22.73,22.73,22.581,22.681,5505,0
2017-09-14,21:00:00,22.681,22.755,22.586,22.73,14453,0
2017-09-14,22:00:00,22.73,23.33,22.73,23.03,44214,0
2017-09-15,16:00:00,23.08,23.285,23.08,23.08,12264,0
2017-09-15,17:00:00,23.13,23.326,23.08,23.286,1101,0
2017-09-15,18:00:00,23.325,23.929,23.325,23.879,7210,0
2017-09-15,19:00:00,23.929,23.929,23.829,23.879,1252,0
2017-09-15,20:00:00,23.854,23.892,23.43,23.43,3112,0
2017-09-15,21:00:00,23.505,23.53,23.43,23.48,5795,0
2017-09-15,22:00:00,23.48,23.48,23.28,23.43,14298,0
2017-09-18,16:00:00,23.48,23.58,23.43,23.58,2367,0
2017-09-18,17:00:00,23.53,23.609,23.53,23.555,3102,0
2017-09-18,18:00:00,23.58,23.58,23.49,23.53,2802,0
2017-09-18,19:00:00,23.53,23.58,23.38,23.48,5493,0
2017-09-18,20:00:00,23.48,23.58,23.38,23.58,28897,0
2017-09-18,21:00:00,23.53,23.58,23.48,23.48,7135,0
2017-09-18,22:00:00,23.53,23.53,23.33,23.38,5780,0
2017-09-19,16:00:00,23.38,23.38,23.355,23.38,1302,0
2017-09-19,17:00:00,23.38,23.43,23.38,23.38,3703,0
2017-09-19,18:00:00,23.33,23.38,23.28,23.37,1972,0
2017-09-19,19:00:00,23.33,23.38,23.33,23.33,300,0
2017-09-19,20:00:00,23.33,23.38,23.33,23.38,1201,0
2017-09-19,21:00:00,23.355,23.38,23.355,23.355,1101,0
2017-09-19,22:00:00,23.355,23.43,22.681,23.28,39555,0
2017-09-20,17:00:00,23.046,23.33,23.046,23.28,1502,0
2017-09-20,18:00:00,23.28,23.38,23.28,23.33,3202,0
2017-09-20,19:00:00,23.38,23.43,23.38,23.38,9123,0
2017-09-20,20:00:00,23.43,23.505,23.33,23.38,5855,0
2017-09-20,21:00:00,23.43,23.53,23.405,23.43,3503,0
2017-09-20,22:00:00,23.43,23.48,23.355,23.48,5770,0
2017-09-21,16:00:00,23.13,24.179,23.13,23.729,6321,0
2017-09-21,17:00:00,23.879,23.979,23.879,23.929,2002,0
2017-09-21,18:00:00,23.879,23.879,23.879,23.879,450,0
2017-09-21,19:00:00,23.929,24.129,23.829,23.929,7615,0
2017-09-21,20:00:00,23.929,23.979,23.898,23.929,2775,0
2017-09-21,21:00:00,23.954,24.079,23.954,24.029,1425,0
2017-09-21,22:00:00,24.079,24.079,23.979,23.979,4668,0
2017-09-22,16:00:00,23.979,24.179,23.43,24.179,949,0
2017-09-22,17:00:00,24.229,24.329,24.189,24.329,12645,0
2017-09-22,18:00:00,24.329,24.629,24.229,24.479,1802,0
2017-09-22,20:00:00,24.363,24.479,24.363,24.479,1902,0
2017-09-22,21:00:00,24.479,24.679,24.479,24.679,800,0
2017-09-22,22:00:00,24.579,24.579,24.424,24.429,9085,0
2017-09-25,16:00:00,24.429,24.978,24.429,24.928,2031,0
2017-09-25,17:00:00,24.779,25.078,24.779,25.028,3003,0
2017-09-25,18:00:00,24.903,24.973,24.869,24.973,3893,0
2017-09-25,19:00:00,24.903,24.978,24.829,24.978,1067,0
2017-09-25,20:00:00,24.854,25.228,24.854,25.228,16339,0
2017-09-25,21:00:00,25.228,25.428,25.178,25.378,3235,0
2017-09-25,22:00:00,25.328,25.728,25.303,25.428,12521,0
2017-09-26,16:00:00,25.478,25.978,25.478,25.978,4854,0
2017-09-26,17:00:00,25.978,26.427,25.978,26.227,15306,0
2017-09-26,18:00:00,26.252,26.427,26.028,26.427,5546,0
2017-09-26,19:00:00,26.327,26.427,26.028,26.277,22334,0
2017-09-26,20:00:00,26.327,26.327,26.128,26.277,19464,0
2017-09-26,21:00:00,26.227,26.277,26.028,26.177,7006,0
2017-09-26,22:00:00,26.177,26.227,25.878,25.928,21011,0
2017-09-27,16:00:00,26.128,26.322,26.128,26.128,8944,0
2017-09-27,17:00:00,26.227,26.277,26.128,26.247,4924,0
2017-09-27,18:00:00,26.227,26.327,26.177,26.227,8861,0
2017-09-27,19:00:00,26.227,26.277,26.028,26.128,29793,0
2017-09-27,20:00:00,26.227,26.727,26.227,26.477,14694,0
2017-09-27,21:00:00,26.427,26.627,26.377,26.552,3566,0
2017-09-27,22:00:00,26.627,26.977,26.527,26.927,13575,0
2017-09-28,16:00:00,26.877,26.877,26.452,26.477,2933,0
2017-09-28,17:00:00,26.527,26.627,26.377,26.577,8221,0
2017-09-28,18:00:00,26.514,26.577,26.327,26.477,2962,0
2017-09-28,19:00:00,26.427,26.527,26.377,26.452,28474,0
2017-09-28,20:00:00,26.477,26.477,26.277,26.477,11513,0
2017-09-28,21:00:00,26.427,26.477,26.402,26.443,1101,0
2017-09-28,22:00:00,26.377,26.577,26.377,26.577,8307,0
2017-09-29,16:00:00,26.427,26.727,26.078,26.227,8670,0
2017-09-29,17:00:00,26.128,26.438,26.078,26.327,15666,0
2017-09-29,18:00:00,26.327,26.377,26.202,26.307,12906,0
2017-09-29,19:00:00,26.377,26.377,26.277,26.327,3308,0
2017-09-29,20:00:00,26.327,26.527,26.327,26.477,6718,0
2017-09-29,21:00:00,26.527,26.527,26.327,26.327,3202,0
2017-09-29,22:00:00,26.327,26.477,26.128,26.128,10351,0
2017-10-02,16:00:00,26.128,26.427,26.028,26.227,4182,0
2017-10-02,17:00:00,26.227,26.477,26.227,26.377,5870,0
2017-10-02,18:00:00,26.377,26.827,26.377,26.777,12371,0
2017-10-02,19:00:00,26.777,26.927,26.677,26.832,3789,0
2017-10-02,20:00:00,26.977,26.977,26.913,26.977,6337,0
2017-10-02,21:00:00,26.977,27.126,26.877,27.027,4104,0
2017-10-02,22:00:00,27.027,27.326,26.977,27.326,8521,0
2017-10-03,16:00:00,27.526,27.526,27.076,27.126,2832,0
2017-10-03,17:00:00,27.151,27.226,26.927,27.076,8280,0
2017-10-03,18:00:00,27.151,27.226,27.108,27.226,3586,0
2017-10-03,19:00:00,27.151,27.276,27.126,27.226,1252,0
2017-10-03,20:00:00,27.176,27.376,27.176,27.376,36317,0
2017-10-03,21:00:00,27.401,27.726,27.381,27.726,3202,0
2017-10-03,22:00:00,27.704,27.926,27.626,27.776,34229,0
2017-10-04,16:00:00,27.826,27.826,26.777,27.676,1501,0
2017-10-04,17:00:00,27.776,27.876,27.526,27.526,3864,0
2017-10-04,18:00:00,27.626,27.626,27.326,27.326,17802,0
2017-10-04,19:00:00,27.376,27.466,27.176,27.176,3954,0
2017-10-04,20:00:00,27.151,27.276,27.101,27.226,5094,0
2017-10-04,21:00:00,27.226,27.276,27.027,27.169,6187,0
2017-10-04,22:00:00,27.126,27.476,27.126,27.326,14867,0
2017-10-05,16:00:00,27.476,27.476,27.126,27.226,822,0
2017-10-05,17:00:00,27.201,27.276,27.126,27.201,12268,0
2017-10-05,18:00:00,27.276,27.326,27.226,27.276,9333,0
2017-10-05,19:00:00,27.258,27.526,27.258,27.501,26568,0
2017-10-05,20:00:00,27.476,27.476,27.326,27.376,7692,0
2017-10-05,21:00:00,27.326,27.476,27.326,27.476,8908,0
2017-10-05,22:00:00,27.376,27.576,27.376,27.476,14556,0
2017-10-06,16:00:00,27.426,27.926,27.426,27.926,1973,0
2017-10-06,17:00:00,27.826,27.826,27.526,27.751,16113,0
2017-10-06,18:00:00,27.676,28.026,27.676,27.676,6213,0
2017-10-06,19:00:00,27.776,27.826,27.576,27.726,3904,0
2017-10-06,20:00:00,27.826,27.826,27.726,27.826,2802,0
2017-10-06,21:00:00,27.826,27.976,27.776,27.826,6706,0
2017-10-06,22:00:00,27.901,28.126,27.676,27.726,12834,0
2017-10-09,16:00:00,28.176,28.426,27.926,28.101,11538,0
2017-10-09,17:00:00,28.126,28.476,28.126,28.476,3231,0
2017-10-09,18:00:00,28.426,28.451,28.201,28.451,5262,0
2017-10-09,19:00:00,28.426,28.526,28.226,28.276,2227,0
2017-10-09,20:00:00,28.298,28.476,28.226,28.226,5649,0
2017-10-09,21:00:00,28.194,28.376,28.026,28.226,7829,0
2017-10-09,22:00:00,28.231,28.85,28.231,28.725,23632,0
2017-10-10,16:00:00,28.825,29.025,28.825,28.875,6019,0
2017-10-10,17:00:00,28.975,29.924,28.775,29.175,19957,0
2017-10-10,18:00:00,29.125,29.474,29.125,29.249,10472,0
2017-10-10,19:00:00,29.274,29.374,29.175,29.175,13612,0
2017-10-10,20:00:00,29.175,29.574,29.075,29.274,14792,0
2017-10-10,21:00:00,29.249,29.424,29.224,29.324,8111,0
2017-10-10,22:00:00,29.474,29.624,29.125,29.224,29238,0
2017-10-11,16:00:00,29.224,29.374,29.05,29.05,1663,0
2017-10-11,17:00:00,29.075,29.274,29.05,29.2,7707,0
2017-10-11,18:00:00,29.224,29.274,28.975,29.125,13015,0
2017-10-11,19:00:00,29.1,29.175,28.975,28.975,3202,0
2017-10-11,20:00:00,28.825,29.075,28.626,29,10381,0
2017-10-11,21:00:00,29,29,28.481,28.526,12709,0
2017-10-11,22:00:00,28.501,28.675,28.476,28.526,15076,0
2017-10-12,16:00:00,28.476,28.725,27.776,27.847,6576,0
2017-10-12,17:00:00,27.826,28.316,27.826,27.976,8321,0
2017-10-12,18:00:00,28.126,28.201,27.926,27.976,3316,0
2017-10-12,19:00:00,27.926,28.226,27.926,28.076,4004,0
2017-10-12,20:00:00,28.101,28.176,27.976,28.076,5191,0
2017-10-12,21:00:00,28.076,28.076,27.676,27.776,6346,0
2017-10-12,22:00:00,27.776,27.776,27.526,27.576,12814,0
2017-10-13,16:00:00,27.576,27.676,27.231,27.376,1109,0
2017-10-13,17:00:00,27.676,27.776,27.426,27.476,7295,0
2017-10-13,18:00:00,27.476,27.626,27.326,27.376,6031,0
2017-10-13,19:00:00,27.326,27.476,27.326,27.476,3577,0
2017-10-13,20:00:00,27.476,27.626,27.376,27.401,1201,0
2017-10-13,21:00:00,27.426,27.446,27.276,27.446,2214,0
2017-10-13,22:00:00,27.476,27.526,27.376,27.426,6568,0
2017-10-16,16:00:00,27.476,27.676,27.476,27.526,1814,0
2017-10-16,17:00:00,27.476,27.676,27.426,27.426,2192,0
2017-10-16,18:00:00,27.376,27.496,27.276,27.431,18101,0
