Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,52.088,52.845,51.671,52.545,31935,0
2017-09-05,17:00:00,52.515,52.56,52.036,52.178,10063,0
2017-09-05,18:00:00,52.035,52.41,52.013,52.41,2933,0
2017-09-05,19:00:00,52.35,52.35,51.983,52.223,4533,0
2017-09-05,20:00:00,52.185,52.23,51.885,52.095,10331,0
2017-09-05,21:00:00,52.099,52.305,52.076,52.268,6365,0
2017-09-05,22:00:00,52.32,52.339,52.17,52.223,30245,0
2017-09-06,16:00:00,52.5,52.5,51.863,52.249,827,0
2017-09-06,17:00:00,52.155,52.245,51.848,52.05,3067,0
2017-09-06,18:00:00,51.99,51.99,51.795,51.968,3333,0
2017-09-06,19:00:00,52.088,52.095,51.968,52.054,3229,0
2017-09-06,20:00:00,52.088,52.47,52.088,52.358,8533,0
2017-09-06,21:00:00,52.339,52.44,52.136,52.238,4900,0
2017-09-06,22:00:00,52.283,52.365,52.133,52.133,28711,0
2017-09-07,16:00:00,52.283,52.283,51.833,51.833,937,0
2017-09-07,17:00:00,51.93,51.96,51.488,51.799,16741,0
2017-09-07,18:00:00,51.758,51.758,51.48,51.533,7416,0
2017-09-07,19:00:00,51.488,51.855,51.488,51.791,9336,0
2017-09-07,20:00:00,51.784,51.855,51.69,51.773,7181,0
2017-09-07,21:00:00,51.855,51.855,51.72,51.788,6433,0
2017-09-07,22:00:00,51.84,51.953,51.75,51.833,32329,0
2017-09-08,16:00:00,51.885,52.007,51.885,52.007,473,0
2017-09-08,17:00:00,51.683,52.05,51.683,52.05,3733,0
2017-09-08,18:00:00,52.178,52.688,52.043,52.688,20660,0
2017-09-08,19:00:00,52.688,52.748,52.309,52.515,18876,0
2017-09-08,20:00:00,52.5,52.556,52.425,52.515,7015,0
2017-09-08,21:00:00,52.523,52.59,52.328,52.328,7703,0
2017-09-08,22:00:00,52.391,52.395,52.2,52.283,41264,0
2017-09-11,16:00:00,52.478,52.785,52.133,52.5,6675,0
2017-09-11,17:00:00,52.628,52.657,52.5,52.541,7257,0
2017-09-11,18:00:00,52.519,52.575,52.433,52.5,4467,0
2017-09-11,19:00:00,52.5,52.583,52.47,52.5,8733,0
2017-09-11,20:00:00,52.5,52.733,52.478,52.5,8000,0
2017-09-11,21:00:00,52.508,52.62,52.493,52.59,6164,0
2017-09-11,22:00:00,52.62,52.77,52.575,52.718,37479,0
2017-09-12,16:00:00,52.703,52.763,52.425,52.714,2855,0
2017-09-12,17:00:00,52.748,53.287,52.62,53.055,14267,0
2017-09-12,18:00:00,53.16,53.445,53.16,53.393,4680,0
2017-09-12,19:00:00,53.348,53.424,53.115,53.183,6935,0
