Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,2.69,2.74,2.64,2.74,14489,0
2017-09-05,17:00:00,2.73,2.87,2.72,2.8,46878,0
2017-09-05,18:00:00,2.805,2.98,2.805,2.96,51413,0
2017-09-05,19:00:00,2.96,3,2.9,2.955,40412,0
2017-09-05,20:00:00,2.9543,3.08,2.95,3.045,72125,0
2017-09-05,21:00:00,3.045,3.14,3.045,3.06,45717,0
2017-09-05,22:00:00,3.06,3.15,3.051,3.14,88153,0
2017-09-06,16:00:00,3.25,3.3052,3.2,3.24,47077,0
2017-09-06,17:00:00,3.24,3.25,3.14,3.22,32315,0
2017-09-06,18:00:00,3.23,3.245,3.17,3.23,27412,0
2017-09-06,19:00:00,3.23,3.25,3.17,3.24,20857,0
2017-09-06,20:00:00,3.24,3.28,3.18,3.25,44398,0
2017-09-06,21:00:00,3.26,3.29,3.22,3.25,30683,0
2017-09-06,22:00:00,3.26,3.48,3.25,3.4,129884,0
2017-09-07,16:00:00,3.41,3.77,3.41,3.7253,84065,0
2017-09-07,17:00:00,3.681,4.22,3.68,4.001,413032,0
2017-09-07,18:00:00,4,4.07,3.93,3.96,95502,0
2017-09-07,19:00:00,3.951,4.01,3.85,3.89,68803,0
2017-09-07,20:00:00,3.89,3.91,3.75,3.86,66536,0
2017-09-07,21:00:00,3.85,3.8558,3.75,3.7528,35225,0
2017-09-07,22:00:00,3.76,3.8,3.74,3.79,63465,0
2017-09-08,16:00:00,3.75,3.87,3.7433,3.8379,38932,0
2017-09-08,17:00:00,3.84,4.03,3.83,3.95,63150,0
2017-09-08,18:00:00,3.95,4.02,3.81,3.99,54996,0
2017-09-08,19:00:00,3.98,4.01,3.91,3.96,23731,0
2017-09-08,20:00:00,3.97,4,3.94,4,24926,0
2017-09-08,21:00:00,4,4.14,3.995,4.08,65095,0
2017-09-08,22:00:00,4.08,4.19,4.06,4.12,68488,0
2017-09-11,16:00:00,4.19,4.39,4.13,4.28,73914,0
2017-09-11,17:00:00,4.28,4.36,4.01,4.05,101242,0
2017-09-11,18:00:00,4.065,4.25,4.0596,4.2,41656,0
2017-09-11,19:00:00,4.19,4.22,4.1,4.11,22667,0
2017-09-11,20:00:00,4.1,4.17,4.01,4.09,52020,0
2017-09-11,21:00:00,4.08,4.17,4.07,4.12,39651,0
2017-09-11,22:00:00,4.1194,4.17,4.08,4.11,62121,0
2017-09-12,16:00:00,4.09,4.11,4,4.0917,42928,0
2017-09-12,17:00:00,4.11,4.19,4.11,4.155,52559,0
2017-09-12,18:00:00,4.155,4.36,4.15,4.33,78454,0
2017-09-12,19:00:00,4.2996,4.43,4.2996,4.3765,48370,0
2017-09-12,20:00:00,4.4,4.48,4.39,4.42,37966,0
2017-09-12,21:00:00,4.43,4.45,4.36,4.405,26226,0
2017-09-12,22:00:00,4.41,4.46,4.37,4.43,76454,0
2017-09-13,16:00:00,4.44,4.5,4.28,4.46,37993,0
2017-09-13,17:00:00,4.45,4.49,4.44,4.44,38178,0
2017-09-13,18:00:00,4.43,4.59,4.43,4.54,70338,0
2017-09-13,19:00:00,4.51,4.6,4.4601,4.475,64100,0
2017-09-13,20:00:00,4.48,4.55,4.42,4.49,27030,0
2017-09-13,21:00:00,4.51,4.54,4.45,4.47,23859,0
2017-09-13,22:00:00,4.46,4.49,4.4201,4.47,53689,0
2017-09-14,16:00:00,4.47,4.55,4.42,4.53,28287,0
2017-09-14,17:00:00,4.51,4.74,4.51,4.665,97590,0
2017-09-14,18:00:00,4.68,4.77,4.65,4.735,53728,0
2017-09-14,19:00:00,4.75,4.75,4.55,4.565,28519,0
2017-09-14,20:00:00,4.55,4.62,4.55,4.605,19033,0
2017-09-14,21:00:00,4.5825,4.61,4.55,4.58,13572,0
2017-09-14,22:00:00,4.59,4.71,4.57,4.68,63810,0
2017-09-15,16:00:00,4.7,4.77,4.63,4.7233,57595,0
2017-09-15,17:00:00,4.75,4.85,4.69,4.745,50901,0
2017-09-15,18:00:00,4.73,4.8,4.7,4.72,15839,0
2017-09-15,19:00:00,4.72,4.75,4.69,4.71,19254,0
2017-09-15,20:00:00,4.72,4.76,4.69,4.76,58528,0
2017-09-15,21:00:00,4.76,4.7816,4.73,4.73,14094,0
2017-09-15,22:00:00,4.745,4.75,4.62,4.63,762044,0
2017-09-18,16:00:00,4.63,4.63,4.4,4.45,56895,0
2017-09-18,17:00:00,4.4128,4.455,4.22,4.22,83611,0
2017-09-18,18:00:00,4.23,4.26,4.162,4.18,74038,0
2017-09-18,19:00:00,4.19,4.2,4.1161,4.135,27318,0
2017-09-18,20:00:00,4.14,4.22,4.1315,4.17,23687,0
2017-09-18,21:00:00,4.17,4.18,4.13,4.15,17735,0
2017-09-18,22:00:00,4.15,4.35,4.15,4.325,78293,0
2017-09-19,16:00:00,4.28,4.324,4.2563,4.29,15577,0
2017-09-19,17:00:00,4.28,4.35,4.25,4.28,7207,0
2017-09-19,18:00:00,4.2799,4.3,4.26,4.29,13994,0
2017-09-19,19:00:00,4.29,4.29,4.25,4.26,9095,0
2017-09-19,20:00:00,4.2699,4.2699,4.22,4.24,12231,0
2017-09-19,21:00:00,4.23,4.25,4.22,4.24,6446,0
2017-09-19,22:00:00,4.2499,4.2593,4.2,4.24,46084,0
