Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,19.79,19.923,19.616,19.77,2268,0
2017-09-05,17:00:00,19.634,19.78,19.605,19.702,2654,0
2017-09-05,18:00:00,19.595,19.682,19.545,19.555,1535,0
2017-09-05,19:00:00,19.6,19.624,19.057,19.624,23036,0
2017-09-05,20:00:00,19.605,19.605,19.351,19.438,3234,0
2017-09-05,21:00:00,19.534,19.565,19.453,19.506,1433,0
2017-09-05,22:00:00,19.497,19.653,19.399,19.634,8347,0
2017-09-06,16:00:00,19.624,19.624,19.624,19.624,1671,0
2017-09-06,17:00:00,19.702,19.878,19.692,19.859,2082,0
2017-09-06,18:00:00,19.663,19.79,19.536,19.692,8104,0
2017-09-06,19:00:00,19.643,19.653,19.428,19.653,5456,0
2017-09-06,20:00:00,19.722,19.829,19.643,19.829,7163,0
2017-09-06,21:00:00,19.78,19.8,19.545,19.575,3161,0
2017-09-06,22:00:00,19.692,19.839,19.634,19.829,10763,0
2017-09-07,16:00:00,19.722,19.722,19.511,19.564,1030,0
2017-09-07,17:00:00,19.536,19.702,19.536,19.663,1227,0
2017-09-07,18:00:00,19.647,19.647,19.565,19.575,1555,0
2017-09-07,19:00:00,19.575,19.595,19.507,19.585,6458,0
2017-09-07,20:00:00,19.565,19.712,19.565,19.653,4988,0
2017-09-07,21:00:00,19.6,19.614,19.507,19.507,1575,0
2017-09-07,22:00:00,19.526,19.575,19.448,19.536,8870,0
2017-09-08,16:00:00,19.595,19.653,19.087,19.087,4831,0
2017-09-08,17:00:00,19.438,19.438,19.155,19.311,5637,0
2017-09-08,18:00:00,19.399,19.585,19.366,19.366,3430,0
2017-09-08,19:00:00,19.351,19.351,19.262,19.311,2251,0
2017-09-08,20:00:00,19.291,19.291,19.155,19.155,1945,0
2017-09-08,21:00:00,19.186,19.204,19.087,19.106,4707,0
2017-09-08,22:00:00,19.067,19.194,18.96,19.184,16494,0
2017-09-11,16:00:00,19.36,19.516,19.321,19.36,2445,0
2017-09-11,17:00:00,19.282,19.448,19.215,19.448,5640,0
2017-09-11,18:00:00,19.394,19.712,19.341,19.575,13446,0
2017-09-11,19:00:00,19.507,19.653,19.409,19.536,7904,0
2017-09-11,20:00:00,19.413,19.634,19.399,19.478,6753,0
2017-09-11,21:00:00,19.51,19.51,19.51,19.51,103,0
2017-09-11,22:00:00,19.418,19.433,19.37,19.399,2571,0
2017-09-12,16:00:00,19.37,19.487,19.37,19.399,1222,0
2017-09-12,17:00:00,19.321,19.712,19.311,19.712,6390,0
2017-09-12,18:00:00,19.643,20.054,19.624,19.809,12761,0
2017-09-12,19:00:00,19.888,19.936,19.741,19.838,3237,0
2017-09-12,20:00:00,19.751,19.819,19.741,19.809,1969,0
2017-09-12,21:00:00,19.692,19.746,19.692,19.746,1783,0
2017-09-12,22:00:00,19.761,19.79,19.663,19.732,4400,0
2017-09-13,16:00:00,19.79,19.79,19.448,19.497,2230,0
2017-09-13,17:00:00,19.643,19.946,19.448,19.927,13655,0
2017-09-13,18:00:00,19.976,20.377,19.868,20.267,16740,0
2017-09-13,19:00:00,20.269,20.317,20.103,20.259,7719,0
2017-09-13,20:00:00,20.318,20.474,20.199,20.425,15520,0
2017-09-13,21:00:00,20.425,20.429,20.357,20.357,3786,0
2017-09-13,22:00:00,20.415,20.504,20.386,20.415,12289,0
2017-09-14,16:00:00,20.523,20.523,20.462,20.467,3989,0
2017-09-14,17:00:00,20.425,21.891,20.425,21.145,37097,0
2017-09-14,18:00:00,21.139,21.183,20.787,20.933,7615,0
2017-09-14,19:00:00,21.022,21.08,20.972,21.031,4227,0
2017-09-14,20:00:00,21.04,21.06,20.972,20.979,2860,0
2017-09-14,21:00:00,21.06,21.08,20.875,20.914,10839,0
2017-09-14,22:00:00,20.914,21.246,20.914,21.246,16003,0
2017-09-15,16:00:00,21.305,21.481,21.305,21.403,13428,0
2017-09-15,17:00:00,21.398,21.764,21.139,21.276,17392,0
2017-09-15,18:00:00,21.314,21.627,21.109,21.109,13490,0
2017-09-15,19:00:00,21.109,21.5,21.109,21.275,11440,0
2017-09-15,20:00:00,21.324,21.324,21.178,21.236,512,0
2017-09-15,21:00:00,21.139,21.207,21.109,21.109,3839,0
2017-09-15,22:00:00,21.139,21.403,21.065,21.236,37962,0
2017-09-18,16:00:00,21.246,21.383,21.236,21.286,5923,0
2017-09-18,17:00:00,21.363,21.891,21.363,21.578,13128,0
2017-09-18,18:00:00,21.598,21.725,21.5,21.657,15518,0
2017-09-18,19:00:00,21.578,21.744,21.363,21.549,25141,0
2017-09-18,20:00:00,21.608,21.744,21.608,21.671,5080,0
2017-09-18,21:00:00,21.705,21.804,21.686,21.696,6517,0
2017-09-18,22:00:00,21.735,21.862,21.677,21.794,11759,0
2017-09-19,16:00:00,21.744,22.004,21.622,22.004,2398,0
2017-09-19,17:00:00,21.804,22.185,21.696,22.126,14634,0
2017-09-19,18:00:00,22.086,22.106,21.881,21.901,3222,0
2017-09-19,19:00:00,21.931,22.038,21.896,22.018,5554,0
2017-09-19,20:00:00,22.048,22.048,21.891,21.891,4001,0
2017-09-19,21:00:00,21.931,21.931,21.852,21.921,2530,0
2017-09-19,22:00:00,21.842,22.048,21.842,22.018,16839,0
2017-09-20,16:00:00,22.086,22.106,21.842,21.842,3245,0
2017-09-20,17:00:00,21.901,22.223,21.823,22.067,18776,0
2017-09-20,18:00:00,22.077,22.213,22.048,22.106,3039,0
2017-09-20,19:00:00,22.13,22.145,22.028,22.028,3355,0
2017-09-20,20:00:00,22.028,22.028,21.95,21.979,2353,0
2017-09-20,21:00:00,22.018,22.018,21.871,21.931,2866,0
2017-09-20,22:00:00,21.931,22.008,21.862,21.999,14104,0
2017-09-21,16:00:00,21.989,22.429,21.911,22.375,4562,0
2017-09-21,17:00:00,22.36,22.36,22.053,22.086,3278,0
2017-09-21,18:00:00,22.116,22.126,21.989,21.989,4699,0
2017-09-21,19:00:00,21.95,22.038,21.95,22.038,4301,0
2017-09-21,20:00:00,22.086,22.341,22.086,22.175,5444,0
2017-09-21,21:00:00,22.077,22.302,22.028,22.302,11776,0
2017-09-21,22:00:00,22.292,22.292,21.999,22.155,10609,0
2017-09-22,16:00:00,22.409,22.429,22.253,22.429,3436,0
2017-09-22,17:00:00,22.38,22.38,22.106,22.106,2067,0
2017-09-22,18:00:00,22.096,22.204,21.999,22.038,2170,0
2017-09-22,19:00:00,22.155,22.204,22.15,22.165,3027,0
2017-09-22,20:00:00,22.252,22.292,22.194,22.194,3787,0
2017-09-22,21:00:00,22.258,22.262,22.067,22.086,2149,0
2017-09-22,22:00:00,22.126,22.19,22.028,22.096,9122,0
2017-09-25,16:00:00,22.106,22.429,22.106,22.135,2539,0
2017-09-25,17:00:00,22.213,22.317,22.213,22.262,5362,0
2017-09-25,18:00:00,22.282,22.282,22.194,22.213,2752,0
2017-09-25,19:00:00,22.165,22.177,22.096,22.116,3229,0
2017-09-25,20:00:00,22.058,22.223,22.028,22.223,6398,0
2017-09-25,21:00:00,22.192,22.267,22.185,22.243,4768,0
2017-09-25,22:00:00,22.233,22.282,22.185,22.282,7123,0
2017-09-26,16:00:00,22.253,22.38,22.233,22.341,13926,0
2017-09-26,17:00:00,22.449,23.152,22.399,22.907,15370,0
2017-09-26,18:00:00,23.064,23.064,22.868,22.907,7406,0
2017-09-26,19:00:00,22.907,22.91,22.8,22.816,5704,0
2017-09-26,20:00:00,22.78,22.898,22.683,22.868,3326,0
2017-09-26,21:00:00,22.878,22.919,22.849,22.907,3647,0
2017-09-26,22:00:00,22.907,22.967,22.868,22.917,11259,0
2017-09-27,16:00:00,22.976,23.308,22.957,23.091,9363,0
2017-09-27,17:00:00,23.24,23.669,23.212,23.386,24495,0
2017-09-27,18:00:00,23.328,23.45,23.195,23.403,11106,0
2017-09-27,19:00:00,23.367,23.552,23.23,23.289,9551,0
2017-09-27,20:00:00,23.348,23.592,23.23,23.465,14726,0
2017-09-27,21:00:00,23.384,23.489,23.376,23.401,10464,0
2017-09-27,22:00:00,23.406,23.406,23.211,23.308,15196,0
2017-09-28,16:00:00,23.357,23.699,23.357,23.603,14647,0
2017-09-28,17:00:00,23.71,23.914,23.71,23.777,13103,0
2017-09-28,18:00:00,23.777,23.797,23.679,23.719,8673,0
2017-09-28,19:00:00,23.694,23.704,23.577,23.67,5500,0
2017-09-28,20:00:00,23.67,23.67,23.555,23.64,4130,0
2017-09-28,21:00:00,23.64,23.65,23.511,23.511,7901,0
2017-09-28,22:00:00,23.488,23.592,23.475,23.485,18692,0
2017-09-29,16:00:00,23.777,23.943,23.181,23.24,14434,0
2017-09-29,17:00:00,23.298,23.485,23.23,23.426,17980,0
2017-09-29,18:00:00,23.396,23.396,23.318,23.357,3290,0
2017-09-29,19:00:00,23.376,23.376,22.644,22.731,33538,0
2017-09-29,20:00:00,22.672,23.293,22.624,23.044,7163,0
2017-09-29,21:00:00,22.967,23.592,22.947,23.562,24023,0
2017-09-29,22:00:00,23.592,23.689,23.328,23.357,11810,0
2017-10-02,16:00:00,23.357,23.709,23.357,23.552,1856,0
2017-10-02,17:00:00,23.602,23.826,23.533,23.533,20661,0
2017-10-02,18:00:00,23.465,23.465,22.898,23.152,8615,0
2017-10-02,19:00:00,23.152,23.162,23.152,23.152,512,0
2017-10-02,20:00:00,23.139,23.23,23.113,23.211,5966,0
2017-10-02,21:00:00,23.211,23.215,23.152,23.152,3479,0
2017-10-02,22:00:00,23.211,23.372,23.122,23.24,20150,0
2017-10-03,16:00:00,23.318,23.924,23.206,23.206,1834,0
2017-10-03,17:00:00,23.512,23.512,23.181,23.181,4884,0
2017-10-03,18:00:00,23.132,23.152,22.771,22.907,10383,0
2017-10-03,19:00:00,22.912,23.367,22.907,23.289,25503,0
2017-10-03,20:00:00,23.328,23.328,23.103,23.201,1944,0
2017-10-03,21:00:00,23.152,23.298,23.152,23.259,1954,0
2017-10-03,22:00:00,23.308,23.308,23.103,23.201,15613,0
2017-10-04,16:00:00,23.221,23.221,23.064,23.064,791,0
2017-10-04,17:00:00,23.132,23.308,23.132,23.152,1466,0
2017-10-04,18:00:00,23.191,23.65,23.152,23.455,12766,0
2017-10-04,19:00:00,23.466,23.67,23.201,23.201,3417,0
2017-10-04,20:00:00,23.259,23.386,23.201,23.211,2251,0
2017-10-04,21:00:00,23.259,23.323,23.249,23.323,921,0
2017-10-04,22:00:00,23.298,23.437,23.191,23.298,12773,0
2017-10-05,16:00:00,23.425,23.455,23.216,23.216,308,0
2017-10-05,17:00:00,23.405,23.445,23.367,23.416,3202,0
2017-10-05,18:00:00,23.445,23.455,23.367,23.415,3854,0
2017-10-05,19:00:00,23.475,23.485,23.211,23.24,3139,0
2017-10-05,20:00:00,23.074,23.435,23.074,23.406,4466,0
2017-10-05,21:00:00,23.317,23.425,23.317,23.425,2251,0
2017-10-05,22:00:00,23.434,23.435,23.249,23.259,7160,0
