Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,78,78,77.34,77.45,7750,0
2017-09-06,17:00:00,77.47,77.95,77.47,77.95,10167,0
2017-09-06,18:00:00,77.96,78,77.68,77.97,22853,0
2017-09-06,19:00:00,77.96,78.42,77.91,78.2,17858,0
2017-09-06,20:00:00,78.29,78.59,78.06,78.18,7201,0
2017-09-06,21:00:00,78.22,78.45,78.11,78.26,8035,0
2017-09-06,22:00:00,78.25,78.595,78.1,78.38,28691,0
2017-09-07,16:00:00,78.7,78.82,78.68,78.79,6499,0
2017-09-07,17:00:00,78.815,79.51,78.77,79.29,43844,0
2017-09-07,18:00:00,79.28,79.28,79.06,79.17,17823,0
2017-09-07,19:00:00,79.22,79.53,79.095,79.44,10702,0
2017-09-07,20:00:00,79.47,79.76,79.32,79.69,24326,0
2017-09-07,21:00:00,79.63,79.73,79.55,79.61,21472,0
2017-09-07,22:00:00,79.665,79.7,79.23,79.41,26734,0
2017-09-08,16:00:00,79.13,79.33,78.23,79.02,7623,0
2017-09-08,17:00:00,79.02,79.46,78.86,79.095,19458,0
2017-09-08,18:00:00,79.23,79.25,79.02,79.09,1680,0
2017-09-08,19:00:00,79.09,79.15,78.96,78.96,10033,0
2017-09-08,20:00:00,78.94,78.94,78.4001,78.77,4123,0
2017-09-08,21:00:00,78.8,78.85,78.61,78.655,7972,0
2017-09-08,22:00:00,78.61,78.93,78.54,78.71,12744,0
2017-09-11,16:00:00,79.69,79.79,79.385,79.45,13200,0
2017-09-11,17:00:00,79.4,79.59,79.04,79.1025,20613,0
2017-09-11,18:00:00,79.05,79.3,79.04,79.22,12654,0
2017-09-11,19:00:00,79.1,79.235,79.08,79.22,2500,0
2017-09-11,20:00:00,79.21,79.25,79.09,79.13,6001,0
2017-09-11,21:00:00,79.13,79.25,79.05,79.19,14800,0
2017-09-11,22:00:00,79.19,79.6,79.19,79.51,24201,0
2017-09-12,16:00:00,79.21,79.22,78.9,78.98,10185,0
2017-09-12,17:00:00,79,79.17,78.56,79.05,17772,0
2017-09-12,18:00:00,79.0568,79.39,79.0568,79.35,15816,0
2017-09-12,19:00:00,79.38,79.97,79.38,79.95,22865,0
2017-09-12,20:00:00,79.875,79.89,79.485,79.52,10626,0
2017-09-12,21:00:00,79.555,79.91,79.4,79.78,16613,0
2017-09-12,22:00:00,79.739,79.86,79.54,79.76,17043,0
2017-09-13,16:00:00,79.36,79.47,79.15,79.41,9996,0
2017-09-13,17:00:00,79.41,79.65,79.23,79.42,5501,0
2017-09-13,18:00:00,79.43,79.49,79.075,79.14,4539,0
2017-09-13,19:00:00,79.22,79.47,79.2,79.39,1543,0
2017-09-13,20:00:00,79.39,79.65,79.39,79.55,8171,0
2017-09-13,21:00:00,79.59,79.82,79.465,79.82,9977,0
2017-09-13,22:00:00,79.78,79.87,79.5,79.86,19889,0
2017-09-14,16:00:00,79.67,80.23,79.4,80.22,8514,0
2017-09-14,17:00:00,80.13,80.27,79.85,79.95,16537,0
2017-09-14,18:00:00,80.035,80.14,79.88,80.02,6067,0
2017-09-14,19:00:00,80.015,80.1,79.97,79.99,14496,0
2017-09-14,20:00:00,80.03,80.03,79.68,79.8,4501,0
2017-09-14,21:00:00,79.79,80.06,79.75,80.06,4409,0
2017-09-14,22:00:00,80,80.01,79.6,79.63,12932,0
2017-09-15,16:00:00,79.8,79.96,79.5915,79.85,9093,0
2017-09-15,17:00:00,79.6,79.61,79.31,79.4,7709,0
2017-09-15,18:00:00,79.46,79.75,79.46,79.69,1500,0
2017-09-15,19:00:00,79.71,79.79,79.53,79.53,2530,0
2017-09-15,20:00:00,79.56,79.66,79.54,79.56,2330,0
2017-09-15,21:00:00,79.59,79.75,79.52,79.72,4734,0
2017-09-15,22:00:00,79.74,79.92,79.61,79.78,28714,0
2017-09-18,16:00:00,80.81,80.91,80.5,80.61,16832,0
2017-09-18,17:00:00,80.58,80.92,80.52,80.59,18506,0
2017-09-18,18:00:00,80.47,81.19,80.41,81,19587,0
2017-09-18,19:00:00,81.05,81.87,80.95,81.64,64500,0
2017-09-18,20:00:00,81.585,81.65,81.38,81.39,11542,0
