Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-11-02,15:00:00,2.7615,2.7615,2.713,2.713,619,0
2016-11-02,19:00:00,2.9456,2.9552,2.9456,2.9552,628,0
2016-11-03,17:00:00,2.6646,2.6646,2.6646,2.6646,104,0
2016-11-04,15:00:00,2.9552,2.9552,2.9552,2.9552,104,0
2016-11-04,16:00:00,2.7314,2.7314,2.7314,2.7314,206,0
2016-11-08,19:00:00,2.6687,2.6687,2.6687,2.6687,826,0
2016-11-09,16:00:00,2.5871,2.5871,2.5871,2.5871,1032,0
2016-11-10,16:00:00,2.7838,2.7838,2.7838,2.7838,619,0
2016-11-10,21:00:00,2.6687,2.6687,2.6687,2.6687,516,0
2016-11-11,16:00:00,2.8099,2.8099,2.8099,2.8099,516,0
2016-11-14,20:00:00,2.8971,2.8971,2.8971,2.8971,154,0
2016-11-15,18:00:00,2.8891,2.8891,2.8891,2.8891,506,0
2016-11-15,22:00:00,2.868,2.868,2.868,2.868,854,0
2016-11-18,17:00:00,2.8487,2.9068,2.8487,2.9068,2583,0
2016-11-18,19:00:00,3.0037,3.0037,2.9068,3.0037,1548,0
2016-11-21,17:00:00,2.9552,2.9552,2.9552,2.9552,1239,0
2016-11-21,18:00:00,2.9598,2.9598,2.9598,2.9598,354,0
2016-11-22,17:00:00,2.9552,2.9552,2.9552,2.9552,206,0
2016-11-22,21:00:00,2.9573,2.9573,2.9553,2.9553,2065,0
2016-11-22,22:00:00,2.9844,2.9844,2.9844,2.9844,206,0
2016-11-23,22:00:00,2.994,2.994,2.994,2.994,104,0
2016-11-28,16:00:00,2.9844,2.9844,2.9844,2.9844,310,0
2016-11-29,22:00:00,2.9166,2.9166,2.9166,2.9166,104,0
2016-11-30,17:00:00,2.9068,3.0715,2.9068,3.0425,2425,0
2016-11-30,18:00:00,3.0748,3.0748,3.0748,3.0748,516,0
2016-11-30,19:00:00,3.0515,3.0515,3.0515,3.0515,1961,0
2016-11-30,20:00:00,3.0323,3.0323,3.0323,3.0323,413,0
2016-12-01,20:00:00,3.1975,3.2063,3.1975,3.2063,206,0
2016-12-05,19:00:00,3.1974,3.1974,3.1974,3.1974,104,0
2016-12-05,21:00:00,2.9068,3.0037,2.9068,3.0037,826,0
2016-12-05,22:00:00,2.9552,3.0037,2.9552,3.0037,1135,0
2016-12-07,17:00:00,3.149,3.149,3.149,3.149,104,0
2016-12-08,18:00:00,3.0363,3.0363,3.0363,3.0363,206,0
2016-12-12,18:00:00,2.8584,2.8584,2.8584,2.8584,529,0
2016-12-12,21:00:00,2.8628,2.8727,2.8628,2.8727,413,0
2016-12-15,17:00:00,2.8584,2.8584,2.8584,2.8584,826,0
2016-12-15,21:00:00,2.8826,2.9068,2.8826,2.9068,310,0
2016-12-16,17:00:00,2.9924,2.9924,2.9924,2.9924,206,0
2016-12-16,19:00:00,2.8584,2.8681,2.8584,2.8584,413,0
2016-12-16,22:00:00,2.9844,2.9844,2.9844,2.9844,413,0
2016-12-19,16:00:00,2.9359,2.9359,2.9359,2.9359,121,0
2016-12-20,16:00:00,2.8584,2.8584,2.8584,2.8584,310,0
2016-12-21,16:00:00,3.0517,3.0517,2.9786,2.9786,888,0
2016-12-21,18:00:00,3.0037,3.0521,3.0037,3.052,2701,0
2016-12-21,19:00:00,2.8585,2.8585,2.8585,2.8585,637,0
2016-12-22,22:00:00,2.8613,2.8962,2.8613,2.8962,559,0
2016-12-27,19:00:00,2.8829,2.8829,2.8829,2.8829,104,0
2016-12-27,22:00:00,2.7228,2.7518,2.7228,2.73,1548,0
2016-12-29,16:00:00,2.8541,2.8541,2.8541,2.8541,310,0
2016-12-30,19:00:00,2.7212,2.7212,2.7212,2.7212,258,0
