Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-06-05,16:00:00,4.12,4.12,4.12,4.12,100,0
2017-06-05,17:00:00,4.1182,4.12,4.1182,4.12,792,0
2017-06-05,18:00:00,4.1104,4.115,4.1,4.105,6826,0
2017-06-05,19:00:00,4.097,4.12,4.09,4.1101,1852,0
2017-06-05,20:00:00,4.11,4.11,4.11,4.11,300,0
2017-06-05,22:00:00,4.1097,4.11,4.1097,4.11,1000,0
2017-06-06,16:00:00,4.13,4.13,4.13,4.13,500,0
2017-06-06,17:00:00,4.0786,4.0786,4.0786,4.0786,1000,0
2017-06-06,18:00:00,4.11,4.11,4.07,4.07,2806,0
2017-06-06,19:00:00,4.0601,4.08,4.05,4.05,4760,0
2017-06-06,20:00:00,4.05,4.05,4.03,4.0336,2800,0
2017-06-06,21:00:00,4.025,4.025,4.01,4.01,300,0
2017-06-06,22:00:00,4.05,4.08,4.0417,4.07,7284,0
2017-06-07,18:00:00,4.06,4.07,4.0599,4.07,700,0
2017-06-07,20:00:00,4.102,4.1299,4.0924,4.105,463,0
2017-06-07,21:00:00,4.0972,4.0972,4.0972,4.0972,1000,0
2017-06-07,22:00:00,4.1,4.15,4.091,4.15,4076,0
2017-06-08,17:00:00,4.0651,4.1238,4.0651,4.1,734,0
2017-06-08,18:00:00,4.12,4.12,4.12,4.12,100,0
2017-06-08,19:00:00,4.043,4.105,4.043,4.105,236,0
2017-06-08,20:00:00,4.0751,4.095,4.0751,4.095,1285,0
2017-06-08,21:00:00,4.16,4.17,4.16,4.17,200,0
2017-06-08,22:00:00,4.17,4.19,4.17,4.19,200,0
2017-06-09,18:00:00,4.15,4.19,4.15,4.19,2600,0
2017-06-09,20:00:00,4.1714,4.19,4.1714,4.19,1400,0
2017-06-12,16:00:00,4.14,4.14,4.14,4.14,702,0
2017-06-12,19:00:00,4.08,4.12,4.08,4.12,882,0
2017-06-12,22:00:00,4.08,4.08,4.08,4.08,300,0
2017-06-13,16:00:00,4.06,4.06,4.06,4.06,1096,0
2017-06-13,17:00:00,4.04,4.0433,4.019,4.019,4192,0
2017-06-13,18:00:00,4.06,4.06,4.06,4.06,100,0
2017-06-13,20:00:00,4.0396,4.065,3.98,4.03,3675,0
2017-06-13,21:00:00,4.024,4.024,4.024,4.024,500,0
2017-06-13,22:00:00,3.99,4.05,3.9899,4.05,1000,0
2017-06-14,16:00:00,4.1,4.1,4.1,4.1,1234,0
2017-06-14,22:00:00,4.02,4.07,4.02,4.07,2200,0
2017-06-15,16:00:00,4.07,4.07,4.07,4.07,501,0
2017-06-15,17:00:00,4.11,4.11,4.04,4.04,300,0
2017-06-15,18:00:00,4.0234,4.0519,4.0234,4.0519,580,0
2017-06-15,20:00:00,4.0349,4.0349,4.0349,4.0349,100,0
2017-06-15,21:00:00,4.1,4.1,4.1,4.1,200,0
2017-06-16,19:00:00,3.985,4.01,3.985,4.01,500,0
2017-06-16,22:00:00,4.04,4.07,4.0201,4.07,400,0
2017-06-19,20:00:00,4.0452,4.0452,4.02,4.02,201,0
2017-06-19,22:00:00,4.07,4.07,4.07,4.07,100,0
2017-06-20,16:00:00,4.08,4.08,4.08,4.08,168,0
2017-06-20,17:00:00,4,4,3.98,3.98,16000,0
2017-06-20,18:00:00,3.98,3.99,3.98,3.99,3700,0
2017-06-20,20:00:00,3.97,3.97,3.97,3.97,500,0
2017-06-20,21:00:00,3.97,3.97,3.9531,3.9531,2500,0
2017-06-20,22:00:00,3.95,3.9799,3.95,3.9799,1046,0
2017-06-21,16:00:00,3.95,3.9501,3.95,3.9501,1146,0
2017-06-21,17:00:00,3.9501,3.9501,3.9501,3.9501,300,0
2017-06-21,18:00:00,3.95,3.95,3.95,3.95,200,0
2017-06-21,19:00:00,3.965,3.9701,3.9548,3.97,3250,0
2017-06-21,20:00:00,3.9632,3.975,3.96,3.96,4600,0
2017-06-22,16:00:00,3.96,4.023,3.96,4.023,616,0
2017-06-22,19:00:00,3.92,3.93,3.92,3.93,200,0
2017-06-22,20:00:00,3.98,3.98,3.95,3.95,1100,0
2017-06-22,21:00:00,3.94,3.98,3.94,3.96,1700,0
2017-06-22,22:00:00,3.99,3.99,3.99,3.99,100,0
2017-06-23,16:00:00,4.01,4.01,3.9735,3.9735,387,0
2017-06-23,17:00:00,3.99,3.99,3.99,3.99,1800,0
2017-06-23,19:00:00,4.01,4.01,4.01,4.01,100,0
2017-06-23,20:00:00,4.0101,4.02,3.94,3.94,3278,0
2017-06-23,21:00:00,3.99,3.99,3.96,3.99,5700,0
2017-06-23,22:00:00,3.99,3.99,3.93,3.94,12042,0
2017-06-26,16:00:00,3.9891,3.99,3.9891,3.99,435,0
2017-06-26,17:00:00,3.994,3.994,3.93,3.93,10641,0
2017-06-26,18:00:00,3.9277,3.9277,3.9277,3.9277,400,0
2017-06-26,20:00:00,3.96,3.9661,3.96,3.966,2000,0
2017-06-26,22:00:00,3.998,3.998,3.95,3.95,500,0
2017-06-28,18:00:00,3.933,4.14,3.933,4.06,11725,0
2017-06-28,20:00:00,4,4.12,3.69,4.11,25553,0
2017-06-28,21:00:00,4.0536,4.0536,4.0536,4.0536,1000,0
2017-06-28,22:00:00,4.03,4.05,4.03,4.05,400,0
2017-06-29,16:00:00,4.04,4.19,4.04,4.05,18557,0
2017-06-29,17:00:00,4.12,4.12,4.11,4.11,200,0
2017-06-29,18:00:00,4.095,4.12,4.05,4.05,6000,0
2017-06-29,19:00:00,4.05,4.05,4.05,4.05,389,0
2017-06-29,22:00:00,4.11,4.14,4.06,4.06,4908,0
2017-06-30,20:00:00,4.1,4.1005,4.09,4.1,1800,0
2017-06-30,22:00:00,4.1,4.1,4.1,4.1,100,0
2017-07-05,17:00:00,4.1243,4.15,4.1243,4.15,600,0
2017-07-05,18:00:00,4.14,4.15,4.14,4.15,2488,0
