Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-07-26,16:00:00,0.9769,0.9769,0.9769,0.9769,3000,0
2017-07-26,17:00:00,0.9978,0.9978,0.98,0.98,8100,0
2017-07-26,18:00:00,0.998,1.08,0.98,1.0799,8190,0
2017-07-26,19:00:00,1.07,1.08,1.0301,1.04,50820,0
2017-07-26,20:00:00,1.0313,1.04,1.0231,1.0231,2300,0
2017-07-26,21:00:00,1.05,1.05,1.01,1.01,23135,0
2017-07-26,22:00:00,1.01,1.04,0.97,0.98,18680,0
2017-07-27,17:00:00,1.0265,1.077,0.972,0.9831,1651,0
2017-07-27,18:00:00,1.03,1.0334,0.99,0.99,5570,0
2017-07-27,19:00:00,0.99,0.99,0.99,0.99,700,0
2017-07-27,20:00:00,0.99,0.9999,0.99,0.9998,1100,0
2017-07-27,21:00:00,0.99,0.9996,0.99,0.99,6360,0
2017-07-27,22:00:00,0.999,1,0.96,0.9705,15495,0
2017-07-28,16:00:00,1.016,1.016,0.98,0.98,902,0
2017-07-28,17:00:00,1.03,1.03,0.988,0.988,550,0
2017-07-28,18:00:00,1.0263,1.0263,0.9817,0.9818,2300,0
2017-07-28,19:00:00,0.982,0.982,0.982,0.982,100,0
2017-07-28,21:00:00,0.98,0.9815,0.98,0.9815,2700,0
2017-07-28,22:00:00,0.9815,1.0335,0.9815,0.9882,2439,0
2017-07-31,16:00:00,0.96,1.0499,0.95,1.02,15247,0
2017-07-31,17:00:00,1.01,1.0186,1,1.0081,17377,0
2017-07-31,18:00:00,1.0065,1.0099,0.99,1,13592,0
2017-07-31,19:00:00,1.029,1.03,1.02,1.03,9800,0
2017-07-31,20:00:00,1.02,1.04,1.015,1.02,3200,0
2017-07-31,22:00:00,1,1.01,1,1,8720,0
2017-08-01,16:00:00,1.05,1.05,1.05,1.05,400,0
2017-08-01,17:00:00,1.04,1.07,0.96,0.96,24457,0
2017-08-01,18:00:00,1.02,1.02,0.99,0.9987,16906,0
2017-08-01,19:00:00,0.9849,0.9849,0.9815,0.9815,1700,0
2017-08-01,20:00:00,1.007,1.007,1.007,1.007,500,0
2017-08-01,22:00:00,1.01,1.01,0.9815,0.9815,1800,0
2017-08-02,16:00:00,0.9815,0.9815,0.9815,0.9815,300,0
2017-08-02,17:00:00,1.01,1.02,0.9815,1.02,4874,0
2017-08-02,18:00:00,1.02,1.02,1.02,1.02,5000,0
2017-08-02,19:00:00,1.02,1.02,1.02,1.02,2200,0
2017-08-02,20:00:00,1.02,1.02,1.02,1.02,2500,0
2017-08-02,21:00:00,1.02,1.02,1.02,1.02,2300,0
2017-08-02,22:00:00,1.02,1.02,1.02,1.02,5975,0
2017-08-03,16:00:00,1.02,1.02,1.02,1.02,100,0
2017-08-03,17:00:00,0.989,1.0078,0.981,1.0078,1350,0
2017-08-03,20:00:00,0.9813,0.9813,0.9813,0.9813,400,0
2017-08-03,21:00:00,0.9985,1.02,0.9985,1,1800,0
2017-08-03,22:00:00,1.011,1.011,1.011,1.011,115,0
2017-08-04,16:00:00,1.01,1.015,1.01,1.015,2772,0
2017-08-04,17:00:00,1.0001,1.0001,1.0001,1.0001,600,0
2017-08-04,18:00:00,1.009,1.01,1,1,2100,0
2017-08-04,19:00:00,1.0075,1.01,1.0075,1.01,1500,0
2017-08-04,20:00:00,1.002,1.0083,1.002,1.0083,500,0
2017-08-04,22:00:00,1.0095,1.0095,1.0095,1.0095,100,0
2017-08-07,17:00:00,1,1.003,0.9862,0.9862,3914,0
2017-08-07,21:00:00,0.99,0.99,0.99,0.99,1000,0
2017-08-07,22:00:00,0.987,0.9885,0.981,0.981,2247,0
2017-08-08,16:00:00,0.9926,1,0.9926,1,1102,0
2017-08-08,17:00:00,1,1,1,1,600,0
