Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,7.25,7.5,7.25,7.445,4516,0
2017-09-05,17:00:00,7.4375,8,7.39,7.9225,24260,0
2017-09-05,18:00:00,7.92,7.92,7.575,7.6875,8385,0
2017-09-05,19:00:00,7.6875,7.75,7.4875,7.625,6879,0
2017-09-05,20:00:00,7.6208,7.6225,7.3975,7.4225,3945,0
2017-09-05,21:00:00,7.425,7.665,7.425,7.5025,4644,0
2017-09-05,22:00:00,7.5,7.6128,7.25,7.415,7397,0
2017-09-06,16:00:00,7.785,7.785,7.255,7.3475,4055,0
2017-09-06,17:00:00,7.345,7.7475,7.2625,7.4,4369,0
2017-09-06,18:00:00,7.495,7.62,7.265,7.2738,7681,0
2017-09-06,19:00:00,7.3603,7.4225,6.5625,6.925,16258,0
2017-09-06,20:00:00,6.96,6.9625,6.8775,6.9625,2363,0
2017-09-06,21:00:00,6.96,6.975,6.9475,6.95,1381,0
2017-09-06,22:00:00,6.95,6.9675,6.9225,6.925,2432,0
2017-09-07,16:00:00,7.2175,7.425,6.925,7.1225,4982,0
2017-09-07,17:00:00,7.0925,7.3225,7.0275,7.2452,13813,0
2017-09-07,18:00:00,7.1253,7.475,7.1253,7.1742,9431,0
2017-09-07,19:00:00,7.4475,7.4475,7.25,7.3625,2957,0
2017-09-07,20:00:00,7.2575,7.455,7.25,7.4225,1414,0
2017-09-07,21:00:00,7.4225,7.475,7.275,7.4175,4961,0
2017-09-07,22:00:00,7.425,7.745,7.2775,7.5,15570,0
2017-09-08,16:00:00,8.225,8.25,7.75,7.785,25854,0
2017-09-08,17:00:00,7.85,7.965,7.75,7.875,14621,0
2017-09-08,18:00:00,7.875,7.965,7.8,7.9025,7970,0
2017-09-08,19:00:00,7.875,7.92,7.525,7.8075,10168,0
2017-09-08,20:00:00,7.8225,7.8225,7.5875,7.6275,2191,0
2017-09-08,21:00:00,7.675,7.75,7.5875,7.735,3507,0
2017-09-08,22:00:00,7.7286,7.7375,7.5875,7.6625,5497,0
2017-09-11,16:00:00,8,8.1225,7.605,7.8,13556,0
2017-09-11,17:00:00,7.8475,7.85,7.64,7.7325,6843,0
2017-09-11,18:00:00,7.735,7.7375,7.735,7.7375,1910,0
2017-09-11,19:00:00,7.7375,7.8675,7.7353,7.7975,3758,0
2017-09-11,20:00:00,7.795,8.1,7.7475,8.0025,16951,0
2017-09-11,21:00:00,8.025,8.245,8,8.0525,4314,0
2017-09-11,22:00:00,8.0525,8.185,8.025,8.0375,5302,0
2017-09-12,16:00:00,8.5,8.5,8.25,8.3961,13786,0
2017-09-12,17:00:00,8.3975,8.75,8.3125,8.55,27875,0
2017-09-12,18:00:00,8.58,8.6225,8.3775,8.4975,6215,0
2017-09-12,19:00:00,8.38,8.5875,8.2525,8.2525,5533,0
2017-09-12,20:00:00,8.2528,8.375,7.6575,8.25,18748,0
2017-09-12,21:00:00,8.25,8.25,8.025,8.1,3852,0
2017-09-12,22:00:00,8.19,8.19,7.8775,7.9975,4134,0
2017-09-13,16:00:00,8.25,8.25,7.7,8,5294,0
2017-09-13,17:00:00,7.7028,8,7.7,7.92,8630,0
2017-09-13,18:00:00,7.92,7.92,7.7,7.7553,8453,0
2017-09-13,19:00:00,7.85,7.9875,7.75,7.9675,4416,0
2017-09-13,20:00:00,7.9675,7.9675,7.775,7.9675,1927,0
2017-09-13,21:00:00,7.9675,7.9675,7.75,7.9375,3973,0
2017-09-13,22:00:00,7.9375,7.9375,7.5,7.5,7340,0
2017-09-14,16:00:00,7.5,7.75,7.5,7.745,4267,0
2017-09-14,17:00:00,7.745,7.75,7.54,7.75,3929,0
2017-09-14,18:00:00,7.75,7.965,7.625,7.8725,8204,0
2017-09-14,19:00:00,7.85,7.875,7.5075,7.7,4326,0
2017-09-14,20:00:00,7.7225,7.7325,7.5025,7.6775,3400,0
2017-09-14,21:00:00,7.675,7.6875,7.5525,7.675,2330,0
2017-09-14,22:00:00,7.6275,7.67,7.275,7.275,11677,0
2017-09-15,16:00:00,7.475,7.475,6.75,7.1125,10756,0
2017-09-15,17:00:00,7.125,7.2475,7.025,7.2425,5275,0
2017-09-15,18:00:00,7.23,7.23,7.025,7.0825,2020,0
2017-09-15,19:00:00,7.085,7.2075,7.0625,7.07,4691,0
2017-09-15,20:00:00,7.2075,7.2075,7.05,7.125,9023,0
2017-09-15,21:00:00,7.2,7.2,7.125,7.1725,1073,0
2017-09-15,22:00:00,7.1883,7.475,7.0725,7.0725,4482,0
2017-09-18,16:00:00,7.25,7.375,7.1,7.25,4888,0
2017-09-18,17:00:00,7.255,7.375,7.15,7.1775,3689,0
2017-09-18,18:00:00,7.25,7.3725,7.18,7.3,1148,0
2017-09-18,19:00:00,7.305,7.305,7.175,7.1775,3162,0
2017-09-18,20:00:00,7.1775,7.1775,7.125,7.125,2288,0
2017-09-18,21:00:00,7.125,7.125,6.7525,7,8941,0
2017-09-18,22:00:00,6.905,7,6.75,6.75,4425,0
2017-09-19,16:00:00,7,7,6.525,6.635,12777,0
2017-09-19,17:00:00,6.7225,7,6.5675,6.75,4741,0
2017-09-19,18:00:00,6.75,6.9625,6.75,6.755,1779,0
2017-09-19,19:00:00,6.7625,6.87,6.75,6.75,2262,0
2017-09-19,20:00:00,6.75,6.8475,6.75,6.8475,6899,0
2017-09-19,21:00:00,6.8,6.96,6.75,6.7975,2341,0
2017-09-19,22:00:00,6.75,6.9075,6.675,6.675,6653,0
2017-09-20,16:00:00,6.5,6.85,6.25,6.825,11875,0
2017-09-20,17:00:00,6.825,6.85,6.55,6.6402,3199,0
2017-09-20,18:00:00,6.6402,6.75,6.625,6.6525,665,0
2017-09-20,19:00:00,6.655,6.825,6.655,6.76,3463,0
2017-09-20,20:00:00,6.7578,6.81,6.755,6.77,116,0
2017-09-20,21:00:00,6.765,6.825,6.755,6.755,1153,0
2017-09-20,22:00:00,6.755,6.81,6.625,6.6525,2323,0
2017-09-21,16:00:00,6.8,6.8,6.5,6.625,4890,0
2017-09-21,17:00:00,6.625,6.7475,6.5,6.7475,5944,0
2017-09-21,18:00:00,6.5474,6.7475,6.375,6.6875,6616,0
2017-09-21,19:00:00,6.6939,6.7475,6.5175,6.545,1884,0
2017-09-21,20:00:00,6.7375,6.875,6.7125,6.815,2873,0
2017-09-21,21:00:00,6.8725,6.95,6.825,6.9025,3415,0
2017-09-21,22:00:00,6.9025,7,6.825,7,2710,0
2017-09-22,16:00:00,7.25,7.25,6.8775,7.0225,2003,0
2017-09-22,17:00:00,7.0975,7.11,6.8775,7.0475,5185,0
2017-09-22,18:00:00,7.0425,7.05,7.0075,7.0375,1905,0
2017-09-22,19:00:00,7.05,7.75,7.05,7.6575,16626,0
