Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,13.3,13.6,13.3,13.35,15962,0
2017-09-05,17:00:00,13.3,13.4,13.25,13.3,5621,0
2017-09-05,18:00:00,13.25,13.275,13.075,13.075,11277,0
2017-09-05,19:00:00,13.1,13.1,12.85,12.895,5291,0
2017-09-05,20:00:00,12.875,12.975,12.85,12.975,10105,0
2017-09-05,21:00:00,12.975,13.05,12.95,13.025,6795,0
2017-09-05,22:00:00,13,13.125,12.85,13,51376,0
2017-09-06,16:00:00,13.05,13.425,13.05,13.41,12925,0
2017-09-06,17:00:00,13.425,13.65,13.1,13.1,20547,0
2017-09-06,18:00:00,13.1,13.13,12.9,12.95,13967,0
2017-09-06,19:00:00,12.95,13.25,12.925,13.05,15792,0
2017-09-06,20:00:00,13.1,13.175,13.05,13.1,2825,0
2017-09-06,21:00:00,13.1,13.275,13.1,13.15,24998,0
2017-09-06,22:00:00,13.1,13.25,13.05,13.15,25914,0
2017-09-07,16:00:00,13.15,13.425,12.75,12.8,32291,0
2017-09-07,17:00:00,12.85,12.95,12.5,12.665,29679,0
2017-09-07,18:00:00,12.65,12.725,12.6,12.6,8462,0
2017-09-07,19:00:00,12.65,12.725,12.6,12.725,9515,0
2017-09-07,20:00:00,12.725,12.75,12.65,12.7,4700,0
2017-09-07,21:00:00,12.7,12.7,12.6,12.65,25344,0
2017-09-07,22:00:00,12.7,12.75,12.6,12.65,26100,0
2017-09-08,16:00:00,12.65,12.65,12.55,12.55,3722,0
2017-09-08,17:00:00,12.65,12.675,12.6,12.65,15134,0
2017-09-08,18:00:00,12.7,12.7,12.5,12.55,17663,0
2017-09-08,19:00:00,12.55,12.55,12.45,12.5,14654,0
2017-09-08,20:00:00,12.45,12.625,12.45,12.6,10700,0
2017-09-08,21:00:00,12.6,12.66,12.55,12.6,5400,0
2017-09-08,22:00:00,12.6,12.7,12.5,12.55,34512,0
2017-09-11,16:00:00,12.7,12.8,12.575,12.6,6950,0
2017-09-11,17:00:00,12.65,12.75,12.6,12.75,11600,0
2017-09-11,18:00:00,12.75,12.925,12.65,12.925,20389,0
