Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,3.09,3.125,3.075,3.105,365853,0
2017-09-05,17:00:00,3.11,3.12,3.02,3.05,382324,0
2017-09-05,18:00:00,3.05,3.05,2.95,2.98,406006,0
2017-09-05,19:00:00,2.98,3.045,2.92,3.02,462992,0
2017-09-05,20:00:00,3.02,3.09,3.01,3.075,460489,0
2017-09-05,21:00:00,3.075,3.09,3.04,3.06,287631,0
2017-09-05,22:00:00,3.05,3.135,3.04,3.05,1203198,0
2017-09-06,16:00:00,3.09,3.16,3.085,3.128,208710,0
2017-09-06,17:00:00,3.125,3.16,3.09,3.1,231990,0
2017-09-06,18:00:00,3.105,3.105,3.055,3.06,169479,0
2017-09-06,19:00:00,3.065,3.09,3.05,3.075,132318,0
2017-09-06,20:00:00,3.075,3.115,3.065,3.09,360617,0
2017-09-06,21:00:00,3.09,3.115,3.09,3.1,178190,0
2017-09-06,22:00:00,3.1,3.11,3.05,3.07,903994,0
2017-09-07,16:00:00,3.06,3.12,3.06,3.08,127505,0
2017-09-07,17:00:00,3.08,3.12,3.07,3.115,86172,0
2017-09-07,18:00:00,3.115,3.15,3.11,3.13,211252,0
2017-09-07,19:00:00,3.135,3.14,3.11,3.135,184356,0
2017-09-07,20:00:00,3.135,3.145,3.12,3.125,86955,0
2017-09-07,21:00:00,3.125,3.14,3.12,3.125,124208,0
2017-09-07,22:00:00,3.125,3.15,3.12,3.13,512080,0
2017-09-08,16:00:00,3.14,3.15,3.1,3.14,106781,0
2017-09-08,17:00:00,3.14,3.15,3.105,3.13,130185,0
2017-09-08,18:00:00,3.125,3.15,3.095,3.12,107017,0
2017-09-08,19:00:00,3.13,3.13,3.11,3.13,46838,0
2017-09-08,20:00:00,3.125,3.15,3.12,3.15,133967,0
2017-09-08,21:00:00,3.145,3.16,3.14,3.155,158732,0
2017-09-08,22:00:00,3.155,3.18,3.125,3.17,559251,0
2017-09-11,16:00:00,3.18,3.23,3.15,3.1664,172886,0
2017-09-11,17:00:00,3.1694,3.18,3.13,3.1425,187158,0
2017-09-11,18:00:00,3.1433,3.23,3.14,3.225,185442,0
2017-09-11,19:00:00,3.23,3.23,3.2,3.22,148333,0
2017-09-11,20:00:00,3.215,3.22,3.2,3.21,134258,0
2017-09-11,21:00:00,3.21,3.23,3.2,3.22,198987,0
2017-09-11,22:00:00,3.2225,3.235,3.2,3.205,391098,0
2017-09-12,16:00:00,3.23,3.23,3.2,3.22,85085,0
2017-09-12,17:00:00,3.22,3.22,3.185,3.2,192419,0
2017-09-12,18:00:00,3.2,3.245,3.2,3.215,136973,0
2017-09-12,19:00:00,3.21,3.22,3.19,3.195,79895,0
2017-09-12,20:00:00,3.195,3.2,3.19,3.195,80095,0
2017-09-12,21:00:00,3.19,3.2,3.19,3.19,75997,0
2017-09-12,22:00:00,3.19,3.22,3.17,3.22,422921,0
2017-09-13,16:00:00,3.22,3.28,3.22,3.2335,164757,0
2017-09-13,17:00:00,3.235,3.26,3.23,3.235,133881,0
2017-09-13,18:00:00,3.235,3.25,3.21,3.215,116878,0
2017-09-13,19:00:00,3.21,3.23,3.195,3.2,149464,0
2017-09-13,20:00:00,3.2,3.22,3.2,3.22,85258,0
2017-09-13,21:00:00,3.22,3.22,3.2,3.2,88076,0
2017-09-13,22:00:00,3.2,3.21,3.19,3.21,479094,0
2017-09-14,16:00:00,3.22,3.25,3.2,3.24,146666,0
2017-09-14,17:00:00,3.235,3.24,3.19,3.235,146669,0
2017-09-14,18:00:00,3.235,3.25,3.23,3.245,86275,0
2017-09-14,19:00:00,3.25,3.25,3.23,3.24,74469,0
2017-09-14,20:00:00,3.23,3.24,3.22,3.225,83455,0
2017-09-14,21:00:00,3.22,3.23,3.2,3.215,94790,0
2017-09-14,22:00:00,3.22,3.25,3.211,3.24,400512,0
2017-09-15,16:00:00,3.24,3.29,3.22,3.24,969277,0
2017-09-15,17:00:00,3.245,3.3,3.24,3.28,596744,0
2017-09-15,18:00:00,3.285,3.29,3.255,3.2758,306996,0
2017-09-15,19:00:00,3.275,3.29,3.27,3.28,127201,0
2017-09-15,20:00:00,3.285,3.32,3.27,3.295,307483,0
2017-09-15,21:00:00,3.3,3.31,3.29,3.305,123502,0
2017-09-15,22:00:00,3.305,3.31,3.28,3.28,3525994,0
2017-09-18,16:00:00,3.31,3.33,3.27,3.305,397348,0
2017-09-18,17:00:00,3.3015,3.36,3.3015,3.345,219786,0
2017-09-18,18:00:00,3.35,3.35,3.34,3.35,70870,0
2017-09-18,19:00:00,3.345,3.36,3.34,3.349,115379,0
2017-09-18,20:00:00,3.35,3.35,3.29,3.31,296318,0
2017-09-18,21:00:00,3.305,3.315,3.29,3.31,332644,0
2017-09-18,22:00:00,3.31,3.34,3.3,3.31,852827,0
2017-09-19,16:00:00,3.37,3.37,3.3,3.3328,90381,0
2017-09-19,17:00:00,3.335,3.35,3.32,3.33,102016,0
2017-09-19,18:00:00,3.325,3.33,3.31,3.31,138502,0
2017-09-19,19:00:00,3.31,3.32,3.28,3.299,137166,0
2017-09-19,20:00:00,3.295,3.31,3.29,3.295,206377,0
2017-09-19,21:00:00,3.295,3.3,3.28,3.285,123733,0
2017-09-19,22:00:00,3.285,3.305,3.28,3.29,535961,0
2017-09-20,16:00:00,3.31,3.31,3.26,3.285,219858,0
