Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,26.4,26.4,25.8,25.99,35236,0
2017-09-06,17:00:00,25.93,26.57,25.28,25.915,61541,0
2017-09-06,18:00:00,25.87,25.87,25.51,25.695,30417,0
2017-09-06,19:00:00,25.56,25.7225,25.11,25.43,28191,0
2017-09-06,20:00:00,25.525,25.81,25.225,25.48,31258,0
2017-09-06,21:00:00,25.4,25.86,25,25.86,39694,0
2017-09-06,22:00:00,25.855,26.03,25.72,25.84,66946,0
2017-09-07,16:00:00,25.98,26.17,25.7,25.745,7859,0
2017-09-07,17:00:00,25.64,25.76,25.2765,25.7,21719,0
2017-09-07,18:00:00,25.66,25.66,25.25,25.3599,18834,0
2017-09-07,19:00:00,25.4,25.5,25.14,25.5,36225,0
2017-09-07,20:00:00,25.5,25.85,25.49,25.8,7917,0
2017-09-07,21:00:00,25.8,25.81,25.2,25.25,39751,0
2017-09-07,22:00:00,25.2,25.62,25.2,25.41,35759,0
2017-09-08,16:00:00,25.34,25.78,25.34,25.76,2365,0
2017-09-08,17:00:00,25.78,25.87,25.52,25.7,7667,0
2017-09-08,18:00:00,25.7,25.72,25.4,25.5,12615,0
2017-09-08,19:00:00,25.4999,25.6,25.27,25.521,15404,0
2017-09-08,20:00:00,25.47,25.5,25.35,25.4,7475,0
2017-09-08,21:00:00,25.4,25.4,25.2,25.3234,15550,0
2017-09-08,22:00:00,25.345,25.4,25.25,25.3,40404,0
2017-09-11,16:00:00,25.5,25.84,24.9,25.28,21491,0
2017-09-11,17:00:00,25.265,25.3,24.69,24.77,25455,0
2017-09-11,18:00:00,24.78,25.3,24.78,25.22,17995,0
2017-09-11,19:00:00,25.18,25.25,25.05,25.15,6850,0
2017-09-11,20:00:00,25.1988,25.22,24.75,25.005,19438,0
2017-09-11,21:00:00,24.98,25.11,24.875,25.035,28661,0
2017-09-11,22:00:00,25.02,25.08,24.83,24.96,35549,0
2017-09-12,16:00:00,25,25.33,24.67,25.2,6295,0
2017-09-12,17:00:00,25.05,25.2,24.94,25.1,17359,0
2017-09-12,18:00:00,25.1,25.33,25.04,25.18,21594,0
2017-09-12,19:00:00,25.15,25.21,25.06,25.21,8670,0
2017-09-12,20:00:00,25.135,25.14,24.9,24.98,24400,0
2017-09-12,21:00:00,25.01,25.0875,24.92,24.95,29668,0
2017-09-12,22:00:00,24.95,25.28,24.85,25.25,49494,0
2017-09-13,16:00:00,25.07,25.65,25.07,25.53,13990,0
2017-09-13,17:00:00,25.4,25.96,25.3,25.62,30722,0
2017-09-13,18:00:00,25.58,25.8599,25.49,25.73,12901,0
2017-09-13,19:00:00,25.65,25.91,25.5611,25.57,12830,0
2017-09-13,20:00:00,25.53,25.53,25.12,25.39,34990,0
2017-09-13,21:00:00,25.375,25.91,25.27,25.84,30999,0
2017-09-13,22:00:00,25.81,25.85,25.64,25.69,57721,0
2017-09-14,16:00:00,25.92,25.92,25.34,25.71,9901,0
2017-09-14,17:00:00,25.675,25.99,25.61,25.89,17584,0
2017-09-14,18:00:00,25.71,25.9,25.71,25.9,13207,0
2017-09-14,19:00:00,25.9,25.925,25.805,25.84,26082,0
2017-09-14,20:00:00,25.54,25.89,25.54,25.71,11085,0
2017-09-14,21:00:00,25.66,25.73,25.46,25.52,15737,0
2017-09-14,22:00:00,25.45,25.45,25.1,25.31,71011,0
2017-09-15,16:00:00,25.32,25.6,25.0659,25.28,3567,0
2017-09-15,17:00:00,25.33,25.57,24.91,25.4505,17658,0
2017-09-15,18:00:00,25.39,25.46,24.96,25.08,18566,0
2017-09-15,19:00:00,25,25.31,25,25.265,13000,0
2017-09-15,20:00:00,25.37,25.37,25.03,25.09,12630,0
2017-09-15,21:00:00,25.03,25.19,24.88,24.89,7537,0
2017-09-15,22:00:00,24.9,25.04,24.68,24.68,664150,0
2017-09-18,16:00:00,24.58,24.736,21.71,23.05,154381,0
2017-09-18,17:00:00,22.9,23.46,22.7701,23.26,95452,0
2017-09-18,18:00:00,23.38,23.38,23.05,23.05,45043,0
2017-09-18,19:00:00,23.08,23.3,23,23.07,35782,0
2017-09-18,20:00:00,23.07,23.34,23.02,23.17,59952,0
2017-09-18,21:00:00,23.2,23.29,23.06,23.17,61983,0
2017-09-18,22:00:00,23.16,23.31,23.11,23.26,112599,0
2017-09-19,16:00:00,23.03,23.38,23.0201,23.04,16514,0
2017-09-19,17:00:00,23.02,23.04,22.78,22.89,35703,0
2017-09-19,18:00:00,22.9,22.99,22.8,22.945,28167,0
2017-09-19,19:00:00,22.95,22.95,22.84,22.84,14813,0
2017-09-19,20:00:00,22.87,22.97,22.65,22.65,42965,0
2017-09-19,21:00:00,22.65,22.87,22.65,22.7,34260,0
2017-09-19,22:00:00,22.69,22.83,22.68,22.81,48793,0
2017-09-20,16:00:00,22.87,23.05,22.793,23.02,9944,0
2017-09-20,17:00:00,23.09,23.3,22.88,23.28,10882,0
2017-09-20,18:00:00,23.28,23.58,23.16,23.41,21488,0
2017-09-20,19:00:00,23.47,23.8,23.43,23.778,7994,0
2017-09-20,20:00:00,23.83,23.97,23.72,23.8972,14443,0
2017-09-20,21:00:00,23.92,23.94,23.7069,23.92,14542,0
2017-09-20,22:00:00,23.845,23.908,23.72,23.9,33163,0
2017-09-21,16:00:00,23.76,23.96,23.41,23.635,12864,0
2017-09-21,17:00:00,23.7,23.75,23.4,23.71,9642,0
2017-09-21,18:00:00,23.5,23.7,23.45,23.65,7771,0
2017-09-21,19:00:00,23.677,23.79,23.57,23.74,5447,0
2017-09-21,20:00:00,23.64,23.7399,23.49,23.73,6232,0
2017-09-21,21:00:00,23.66,23.71,23.63,23.66,8699,0
2017-09-21,22:00:00,23.675,23.79,23.65,23.7,22778,0
2017-09-22,16:00:00,23.32,23.77,22.92,23.75,3025,0
2017-09-22,17:00:00,23.71,23.88,23.71,23.87,10175,0
2017-09-22,18:00:00,23.87,24.5,23.8136,24.48,13830,0
2017-09-22,19:00:00,24.3955,24.63,24.3365,24.62,15092,0
2017-09-22,20:00:00,24.63,24.99,24.522,24.84,17093,0
2017-09-22,21:00:00,24.85,25,24.79,24.94,17360,0
2017-09-22,22:00:00,24.94,25.49,24.87,25.31,70662,0
2017-09-25,16:00:00,25.28,25.29,25.03,25.29,5127,0
2017-09-25,17:00:00,25.19,25.5,25.101,25.43,18365,0
2017-09-25,18:00:00,25.42,25.5,25.3,25.46,63358,0
2017-09-25,19:00:00,25.46,25.9675,25.41,25.9673,19499,0
2017-09-25,20:00:00,25.9,25.99,25.705,25.705,22923,0
2017-09-25,21:00:00,25.75,25.91,25.7,25.895,25827,0
2017-09-25,22:00:00,25.87,25.87,24.5,25.11,118524,0
2017-09-26,16:00:00,25.15,25.15,25.02,25.02,1398,0
2017-09-26,17:00:00,24.92,25.03,24.65,24.718,10330,0
2017-09-26,18:00:00,24.7883,25.1,24.7,25.1,5272,0
2017-09-26,19:00:00,25.0816,25.54,25.02,25.52,21961,0
2017-09-26,20:00:00,25.52,25.57,25.31,25.31,13100,0
2017-09-26,21:00:00,25.31,25.35,25.14,25.2,18725,0
2017-09-26,22:00:00,25.2,25.29,25.02,25.26,40282,0
2017-09-27,16:00:00,25.3,25.47,25.3,25.4244,1114,0
2017-09-27,17:00:00,25.26,25.535,25.13,25.435,26319,0
2017-09-27,18:00:00,25.475,25.9499,25.46,25.9492,37086,0
2017-09-27,19:00:00,25.95,26.5,25.95,26.47,63462,0
2017-09-27,20:00:00,26.47,26.65,26.399,26.57,29546,0
2017-09-27,21:00:00,26.57,26.85,26.275,26.275,28847,0
2017-09-27,22:00:00,26.38,26.85,26.23,26.69,91971,0
2017-09-28,16:00:00,26.85,28.19,26.55,27.9599,84360,0
2017-09-28,17:00:00,27.9499,27.99,27.38,27.6,45592,0
2017-09-28,18:00:00,27.7,28.1238,27.62,28.06,27734,0
2017-09-28,19:00:00,28.05,28.2337,27.68,27.68,22613,0
2017-09-28,20:00:00,27.65,27.66,26.83,26.8589,25883,0
2017-09-28,21:00:00,26.85,26.87,26.01,26.63,40118,0
2017-09-28,22:00:00,26.6559,26.6559,26.18,26.29,45312,0
2017-09-29,16:00:00,26.08,27.11,26.08,26.7,14051,0
2017-09-29,17:00:00,26.49,26.49,25.85,25.995,30726,0
2017-09-29,18:00:00,25.995,26.37,25.64,25.72,21312,0
2017-09-29,19:00:00,25.7701,26.3583,25.6426,26.22,11648,0
2017-09-29,20:00:00,26.14,26.57,26.14,26.4274,18750,0
2017-09-29,21:00:00,26.46,26.81,26.41,26.64,17472,0
2017-09-29,22:00:00,26.65,27.17,26.54,27.08,81939,0
2017-10-02,16:00:00,26.91,27.51,26.91,27.08,27402,0
2017-10-02,17:00:00,27,27,26.23,26.25,12800,0
2017-10-02,18:00:00,26.285,27,26.23,26.86,15720,0
2017-10-02,19:00:00,26.95,27.15,26.68,27.01,21528,0
2017-10-02,20:00:00,27.01,27.06,26.9,27,22253,0
2017-10-02,21:00:00,27,27.01,26.89,26.95,29979,0
2017-10-02,22:00:00,26.95,27.35,26.841,27.27,115488,0
2017-10-03,16:00:00,27.41,27.76,26.57,27.03,35848,0
2017-10-03,17:00:00,26.946,27.17,26.47,26.6,24899,0
2017-10-03,18:00:00,26.63,26.63,26.1,26.3501,15934,0
2017-10-03,19:00:00,26.3847,26.49,26.275,26.49,36268,0
2017-10-03,20:00:00,26.42,26.5,25.9,26.16,33214,0
2017-10-03,21:00:00,26.1288,26.3,25.9393,26.1,19843,0
2017-10-03,22:00:00,26.1708,26.23,25.8,26,44236,0
2017-10-04,16:00:00,25.98,26.34,25.98,26.34,267,0
2017-10-04,17:00:00,26.22,26.48,26.145,26.45,13812,0
2017-10-04,18:00:00,26.44,26.45,26.3126,26.4,16582,0
2017-10-04,19:00:00,26.43,26.83,26.4,26.44,21336,0
2017-10-04,20:00:00,26.58,26.7,26.411,26.64,7280,0
2017-10-04,21:00:00,26.58,26.89,26.53,26.67,19568,0
2017-10-04,22:00:00,26.56,26.67,26.35,26.5,23964,0
2017-10-05,16:00:00,26.55,27.02,26.4668,26.63,4726,0
2017-10-05,17:00:00,26.58,26.7061,26.3,26.37,13209,0
2017-10-05,18:00:00,26.4,26.5,26.37,26.47,6864,0
2017-10-05,19:00:00,26.39,26.5,26.33,26.3465,12408,0
