Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-30,16:00:00,7.6,7.8012,7.53,7.6,14306,0
2017-08-30,17:00:00,7.62,7.78,7.62,7.7,8901,0
2017-08-30,18:00:00,7.7,7.76,7.66,7.66,1940,0
2017-08-30,19:00:00,7.665,7.7,7.65,7.68,8469,0
2017-08-30,20:00:00,7.68,7.7,7.65,7.69,8018,0
2017-08-30,21:00:00,7.7,7.72,7.7,7.72,2626,0
2017-08-30,22:00:00,7.705,7.77,7.7,7.72,2858,0
2017-08-31,16:00:00,7.79,7.79,7.77,7.77,203,0
2017-08-31,17:00:00,7.75,7.77,7.73,7.765,1473,0
2017-08-31,18:00:00,7.7543,7.9,7.75,7.9,9740,0
2017-08-31,19:00:00,7.9,7.9,7.873,7.9,600,0
2017-08-31,20:00:00,7.9,7.94,7.89,7.89,1895,0
2017-08-31,21:00:00,7.92,7.92,7.88,7.91,1100,0
2017-08-31,22:00:00,7.91,7.91,7.86,7.88,5130,0
2017-09-01,16:00:00,7.94,7.94,7.94,7.94,469,0
2017-09-01,17:00:00,7.77,7.88,7.77,7.88,2200,0
2017-09-01,18:00:00,7.8501,7.9,7.8001,7.8501,4290,0
2017-09-01,19:00:00,7.8501,7.97,7.8501,7.9001,5850,0
2017-09-01,20:00:00,7.9001,7.98,7.9,7.9101,3700,0
2017-09-01,21:00:00,7.9001,7.9001,7.83,7.84,5795,0
2017-09-01,22:00:00,7.8401,7.94,7.8201,7.91,2972,0
2017-09-05,16:00:00,7.86,7.92,7.82,7.9,1009,0
2017-09-05,18:00:00,7.89,7.89,7.81,7.83,944,0
2017-09-05,19:00:00,7.8,7.8,7.7,7.71,10591,0
2017-09-05,20:00:00,7.76,7.81,7.72,7.74,2200,0
2017-09-05,21:00:00,7.8518,7.9,7.76,7.77,4000,0
2017-09-05,22:00:00,7.8665,7.8851,7.7,7.73,5466,0
2017-09-06,16:00:00,7.79,7.87,7.75,7.87,808,0
2017-09-06,17:00:00,7.85,7.87,7.82,7.82,3497,0
