Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-28,16:00:00,39.32,39.32,39.022,39.022,617,0
2017-08-28,17:00:00,38.923,39.022,38.823,38.972,3235,0
2017-08-28,19:00:00,38.972,39.271,38.923,39.271,704,0
2017-08-28,20:00:00,39.204,39.37,39.171,39.171,2112,0
2017-08-28,21:00:00,39.022,39.171,38.873,39.171,906,0
2017-08-28,22:00:00,39.071,39.096,38.823,39.022,5136,0
2017-08-29,16:00:00,38.823,38.972,38.823,38.823,1728,0
2017-08-29,17:00:00,38.972,39.121,38.723,39.071,4975,0
2017-08-29,18:00:00,39.121,39.171,38.773,38.773,3359,0
2017-08-29,19:00:00,38.915,38.972,38.873,38.972,679,0
2017-08-29,20:00:00,39.032,39.37,39.032,39.271,2661,0
2017-08-29,21:00:00,39.171,39.171,39.071,39.071,704,0
2017-08-29,22:00:00,39.121,39.196,38.923,39.071,3605,0
2017-08-30,16:00:00,38.923,39.081,38.923,39.081,1432,0
2017-08-30,17:00:00,39.419,39.419,38.723,39.171,2211,0
2017-08-30,18:00:00,38.988,39.221,38.988,38.997,774,0
2017-08-30,19:00:00,39.071,39.071,39.071,39.071,583,0
2017-08-30,20:00:00,39.196,39.196,39.022,39.121,1376,0
2017-08-30,21:00:00,39.071,39.171,39.021,39.071,739,0
2017-08-30,22:00:00,39.221,39.469,39.221,39.32,5608,0
2017-08-31,16:00:00,39.569,39.619,39.569,39.569,923,0
2017-08-31,17:00:00,39.668,39.772,39.519,39.772,1508,0
2017-08-31,18:00:00,39.917,40.265,39.917,40.265,926,0
2017-08-31,19:00:00,40.115,40.115,40.115,40.115,202,0
2017-08-31,20:00:00,40.016,40.016,39.867,39.867,402,0
2017-08-31,21:00:00,39.767,39.767,39.718,39.767,402,0
2017-08-31,22:00:00,39.817,39.817,39.469,39.619,8249,0
2017-09-01,16:00:00,39.619,39.619,39.619,39.619,100,0
2017-09-01,17:00:00,39.718,39.767,39.668,39.718,1413,0
2017-09-01,18:00:00,39.668,39.766,39.668,39.67,1408,0
2017-09-01,20:00:00,39.817,39.967,39.668,39.817,1086,0
2017-09-01,21:00:00,39.917,39.967,39.867,39.917,1207,0
2017-09-01,22:00:00,39.967,40.115,39.917,40.066,3772,0
2017-09-05,16:00:00,40.016,40.165,39.718,40.091,13754,0
2017-09-05,17:00:00,40.066,40.265,40.066,40.066,1141,0
