Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-07,16:00:00,7.9,8,7.8,7.85,2676,0
2017-08-07,17:00:00,7.95,7.95,7.85,7.85,3100,0
2017-08-07,18:00:00,7.85,7.85,7.85,7.85,200,0
2017-08-07,19:00:00,7.9,7.9,7.9,7.9,200,0
2017-08-07,20:00:00,7.9,7.9,7.85,7.85,401,0
2017-08-07,21:00:00,7.85,7.9,7.85,7.875,1343,0
2017-08-07,22:00:00,7.875,7.9,7.85,7.9,5835,0
2017-08-08,16:00:00,7.85,7.85,7.85,7.85,100,0
2017-08-08,17:00:00,7.95,8,7.95,7.975,2500,0
2017-08-08,18:00:00,8,8.05,8,8,2200,0
2017-08-08,19:00:00,8.05,8.05,8.05,8.05,800,0
2017-08-08,20:00:00,7.95,7.95,7.9,7.9,500,0
2017-08-08,21:00:00,7.95,7.95,7.95,7.95,900,0
2017-08-08,22:00:00,7.9,7.95,7.85,7.9,3511,0
2017-08-09,16:00:00,7.85,7.85,7.7,7.7,2367,0
2017-08-09,18:00:00,7.75,7.85,7.75,7.85,2886,0
2017-08-09,19:00:00,7.85,7.85,7.85,7.85,100,0
2017-08-09,20:00:00,7.9,7.9,7.9,7.9,100,0
2017-08-09,21:00:00,7.85,7.85,7.825,7.85,800,0
2017-08-09,22:00:00,7.825,7.85,7.8,7.8,5561,0
2017-08-10,16:00:00,7.85,7.85,7.85,7.85,370,0
2017-08-10,18:00:00,7.75,7.8,7.75,7.75,600,0
2017-08-10,20:00:00,7.75,7.75,7.75,7.75,500,0
2017-08-10,21:00:00,7.8,7.8,7.77,7.77,1300,0
2017-08-10,22:00:00,7.75,7.8,7.7,7.75,9930,0
2017-08-11,16:00:00,7.8,7.8,7.8,7.8,1037,0
2017-08-11,18:00:00,7.75,7.75,7.75,7.75,100,0
2017-08-11,20:00:00,7.75,7.75,7.7,7.75,7850,0
2017-08-11,21:00:00,7.7,7.75,7.7,7.7,8397,0
2017-08-11,22:00:00,7.725,7.75,7.7,7.7,3979,0
2017-08-14,16:00:00,7.7,7.85,7.65,7.85,302,0
2017-08-14,17:00:00,7.7,7.8,7.7,7.8,200,0
2017-08-14,19:00:00,7.7,7.75,7.7,7.75,400,0
2017-08-14,21:00:00,7.75,7.75,7.75,7.75,400,0
2017-08-14,22:00:00,7.75,7.85,7.65,7.85,5330,0
2017-08-15,16:00:00,7.85,7.95,7.85,7.95,902,0
2017-08-15,17:00:00,7.95,7.95,7.9,7.9,500,0
2017-08-15,18:00:00,7.8,7.8,7.8,7.8,100,0
2017-08-15,19:00:00,7.8883,7.9,7.8,7.8,1200,0
2017-08-15,20:00:00,7.8,7.8,7.8,7.8,100,0
2017-08-15,21:00:00,7.9,7.9,7.8,7.8,300,0
2017-08-15,22:00:00,7.9,7.9,7.8,7.85,1971,0
2017-08-16,16:00:00,7.75,7.85,7.75,7.85,600,0
2017-08-16,17:00:00,7.75,7.75,7.75,7.75,100,0
2017-08-16,18:00:00,7.7127,7.75,7.7,7.75,625,0
2017-08-16,20:00:00,7.8,7.8,7.8,7.8,100,0
2017-08-16,21:00:00,7.725,7.75,7.725,7.725,300,0
2017-08-16,22:00:00,7.8,7.8,7.7,7.75,2164,0
2017-08-17,16:00:00,7.7,7.7,7.65,7.65,204,0
2017-08-17,17:00:00,7.75,7.8,7.7,7.75,1100,0
2017-08-17,18:00:00,7.75,7.75,7.75,7.75,412,0
2017-08-17,19:00:00,7.75,7.75,7.7,7.75,300,0
2017-08-17,20:00:00,7.7,7.75,7.7,7.75,5600,0
2017-08-17,21:00:00,7.725,7.75,7.7,7.7,2100,0
2017-08-17,22:00:00,7.725,7.8,7.7,7.7,10672,0
2017-08-18,16:00:00,7.6,7.85,7.6,7.85,10466,0
