Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,78.06,78.06,77.21,77.68,28493,0
2017-09-06,17:00:00,77.66,77.815,77.36,77.77,48593,0
2017-09-06,18:00:00,77.78,77.79,77.32,77.45,34698,0
2017-09-06,19:00:00,77.4,77.505,76.98,77.13,34030,0
2017-09-06,20:00:00,77.13,77.37,77.13,77.25,32003,0
2017-09-06,21:00:00,77.2,77.57,77.08,77.56,45877,0
2017-09-06,22:00:00,77.6,77.68,77.32,77.58,353847,0
2017-09-07,16:00:00,77.48,77.88,76.71,77.645,14053,0
2017-09-07,17:00:00,77.575,77.575,76.72,77.14,26691,0
2017-09-07,18:00:00,77.16,77.4,76.91,77.06,20304,0
2017-09-07,19:00:00,76.99,77.32,76.845,77.32,31405,0
2017-09-07,20:00:00,77.26,77.48,77.1833,77.39,34758,0
2017-09-07,21:00:00,77.39,77.405,76.87,77.12,26283,0
2017-09-07,22:00:00,77.13,77.53,77,77.4,95190,0
2017-09-08,16:00:00,77.41,77.8,77.07,77.135,27187,0
2017-09-08,17:00:00,77.15,77.52,76.845,77.4,35199,0
2017-09-08,18:00:00,77.35,77.725,77.3,77.57,34265,0
2017-09-08,19:00:00,77.57,77.7,77.39,77.635,37262,0
2017-09-08,20:00:00,77.62,77.62,77.04,77.18,15685,0
2017-09-08,21:00:00,77.21,77.24,76.99,77.15,40018,0
2017-09-08,22:00:00,77.17,77.185,76.93,77.02,79249,0
2017-09-11,16:00:00,77.18,77.49,76.91,77.49,143462,0
2017-09-11,17:00:00,77.5,77.75,76.85,76.85,195727,0
2017-09-11,18:00:00,76.8664,77.25,76.8664,77.2,28749,0
2017-09-11,19:00:00,77.22,77.24,77.03,77.03,27494,0
2017-09-11,20:00:00,77.01,77.05,76.885,77.03,18691,0
2017-09-11,21:00:00,77.02,77.05,76.84,76.88,51864,0
2017-09-11,22:00:00,76.89,77.25,76.84,77.24,126726,0
2017-09-12,16:00:00,77.58,77.58,76.75,76.8399,20159,0
2017-09-12,17:00:00,76.75,77.08,76.3263,76.3263,59113,0
2017-09-12,18:00:00,76.33,76.75,76.33,76.61,62134,0
2017-09-12,19:00:00,76.6,76.61,76.2,76.33,26135,0
2017-09-12,20:00:00,76.32,76.37,76.07,76.07,35691,0
2017-09-12,21:00:00,76.09,76.32,75.8,75.87,50056,0
2017-09-12,22:00:00,75.87,76.41,75.82,76.41,87488,0
2017-09-13,16:00:00,76.4,76.4,75.2,75.32,16720,0
2017-09-13,17:00:00,75.31,75.345,74.68,74.96,66105,0
2017-09-13,18:00:00,74.95,74.97,74.735,74.83,39303,0
2017-09-13,19:00:00,74.87,75.02,74.8,74.8,25451,0
2017-09-13,20:00:00,74.83,74.88,74.41,74.53,51213,0
2017-09-13,21:00:00,74.51,74.7699,74.35,74.75,56275,0
2017-09-13,22:00:00,74.71,74.86,74.6,74.83,138634,0
2017-09-14,16:00:00,74.86,74.87,74.12,74.28,20367,0
2017-09-14,17:00:00,74.33,74.42,73.91,74.42,71176,0
2017-09-14,18:00:00,74.42,74.485,74.12,74.12,32873,0
2017-09-14,19:00:00,74.11,74.11,73.94,74.05,28050,0
2017-09-14,20:00:00,74.06,74.1,73.91,74.04,27145,0
2017-09-14,21:00:00,74.03,74.08,73.849,73.97,29899,0
2017-09-14,22:00:00,73.94,74,73.72,73.89,116951,0
2017-09-15,16:00:00,74.07,74.45,73.23,73.65,103074,0
2017-09-15,17:00:00,73.67,74.03,73.43,73.93,46385,0
2017-09-15,18:00:00,73.95,74.16,73.65,73.77,81247,0
2017-09-15,19:00:00,73.8,74.03,73.67,73.8,55466,0
2017-09-15,20:00:00,73.78,73.89,73.71,73.77,34678,0
2017-09-15,21:00:00,73.78,73.89,73.64,73.82,35054,0
2017-09-15,22:00:00,73.8,74.05,73.72,74,363514,0
2017-09-18,16:00:00,74.01,74.765,74.01,74.48,22332,0
2017-09-18,17:00:00,74.51,74.92,74.32,74.71,46345,0
2017-09-18,18:00:00,74.7,74.8,74.28,74.33,31840,0
2017-09-18,19:00:00,74.33,74.5899,74.33,74.53,17933,0
2017-09-18,20:00:00,74.56,74.79,74.49,74.76,56111,0
2017-09-18,21:00:00,74.77,74.94,74.65,74.92,76908,0
2017-09-18,22:00:00,74.93,75,74.84,74.94,156903,0
2017-09-19,16:00:00,75.14,75.34,74.75,75.17,55597,0
2017-09-19,17:00:00,75.12,75.4,74.45,74.77,176836,0
2017-09-19,18:00:00,74.74,75.14,74.705,74.97,109642,0
2017-09-19,19:00:00,74.97,75.275,74.9,75.045,124416,0
2017-09-19,20:00:00,75.0375,75.48,75.02,75.33,54256,0
2017-09-19,21:00:00,75.34,75.34,74.95,75.02,50667,0
2017-09-19,22:00:00,75.01,75.14,74.9,75.12,175700,0
2017-09-20,16:00:00,75.29,76.3,75.2552,76.23,40180,0
2017-09-20,17:00:00,76.16,76.61,75.83,75.99,131427,0
2017-09-20,18:00:00,75.99,76.275,75.95,76.27,63575,0
2017-09-20,19:00:00,76.25,76.31,75.7894,75.8,32560,0
2017-09-20,20:00:00,75.77,76.11,75.765,76.03,38735,0
2017-09-20,21:00:00,76,76,75.42,75.64,56352,0
2017-09-20,22:00:00,75.64,75.74,75.42,75.63,96968,0
2017-09-21,16:00:00,76.03,76.03,75.33,75.82,27944,0
2017-09-21,17:00:00,75.76,75.8,75.02,75.54,44420,0
2017-09-21,18:00:00,75.53,75.99,75.45,75.45,42774,0
2017-09-21,19:00:00,75.5,75.74,75.46,75.71,27492,0
2017-09-21,20:00:00,75.67,75.755,75.5,75.55,17330,0
2017-09-21,21:00:00,75.54,75.78,75.51,75.77,30080,0
2017-09-21,22:00:00,75.77,75.78,75.56,75.68,62411,0
2017-09-22,16:00:00,75.24,75.35,74.925,75.015,20617,0
2017-09-22,17:00:00,75,75.2,74.74,74.75,40005,0
2017-09-22,18:00:00,74.77,75.06,74.7,75.01,37599,0
2017-09-22,19:00:00,75.01,75.04,74.87,74.91,28193,0
2017-09-22,20:00:00,74.89,75.29,74.83,75.26,32163,0
2017-09-22,21:00:00,75.25,75.26,75.08,75.09,38590,0
2017-09-22,22:00:00,75.1,75.205,75.02,75.09,68549,0
2017-09-25,16:00:00,74.68,74.98,73.845,74.09,32404,0
2017-09-25,17:00:00,74.08,74.16,73.5,74.075,55013,0
2017-09-25,18:00:00,74.055,74.25,73.88,74.11,22203,0
2017-09-25,19:00:00,74.06,74.12,73.85,74,31115,0
2017-09-25,20:00:00,74.01,74.07,73.83,73.94,21763,0
2017-09-25,21:00:00,73.94,74.11,73.89,74.1,34064,0
2017-09-25,22:00:00,74.11,74.11,73.87,74.03,117977,0
2017-09-26,16:00:00,74.25,74.25,73.53,73.71,12277,0
2017-09-26,17:00:00,73.765,74.28,73.67,73.95,66509,0
2017-09-26,18:00:00,73.93,74.09,73.7401,74.03,38710,0
2017-09-26,19:00:00,74.04,74.075,73.77,73.9,29999,0
2017-09-26,20:00:00,73.93,74.05,73.9,74.05,28645,0
2017-09-26,21:00:00,74.05,74.06,73.81,73.95,39188,0
2017-09-26,22:00:00,73.97,74.03,73.82,73.85,276939,0
2017-09-27,16:00:00,74.23,76.24,74.175,75.86,56516,0
2017-09-27,17:00:00,75.85,75.85,75.22,75.47,66979,0
2017-09-27,18:00:00,75.51,75.58,75.37,75.45,37024,0
2017-09-27,19:00:00,75.42,75.73,75.37,75.37,34403,0
2017-09-27,20:00:00,75.4,75.81,75.26,75.81,39741,0
2017-09-27,21:00:00,75.76,75.82,75.56,75.66,42575,0
2017-09-27,22:00:00,75.69,76.04,75.58,75.85,142192,0
2017-09-28,16:00:00,75.91,76.75,75.91,76.18,30273,0
2017-09-28,17:00:00,76.2,76.36,75.63,75.8714,48421,0
2017-09-28,18:00:00,75.85,76.03,75.73,75.96,16913,0
2017-09-28,19:00:00,75.975,75.975,75.52,75.64,25843,0
2017-09-28,20:00:00,75.68,76.06,75.65,76.03,19618,0
2017-09-28,21:00:00,76.05,76.22,75.68,75.85,40104,0
2017-09-28,22:00:00,75.81,75.99,75.69,75.89,137031,0
