Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,55.9,56.0426,55.44,56.01,24788,0
2017-09-05,17:00:00,56.04,56.09,55.82,55.8788,49091,0
2017-09-05,18:00:00,55.86,55.97,55.77,55.935,36453,0
2017-09-05,19:00:00,55.92,55.92,55.45,55.7,117217,0
2017-09-05,20:00:00,55.7,55.77,55.51,55.76,51907,0
2017-09-05,21:00:00,55.715,55.94,55.62,55.88,48612,0
2017-09-05,22:00:00,55.87,55.975,55.76,55.93,133481,0
2017-09-06,16:00:00,56.2,56.29,55.89,56.11,28675,0
2017-09-06,17:00:00,56.1,56.2,55.8,56.09,85185,0
2017-09-06,18:00:00,56.09,56.13,55.91,56.11,56098,0
2017-09-06,19:00:00,56.08,56.08,55.92,56.025,59222,0
2017-09-06,20:00:00,56,56.195,55.98,56.06,35082,0
2017-09-06,21:00:00,56.04,56.09,55.82,55.9,142449,0
2017-09-06,22:00:00,55.9,56.05,55.85,55.905,138900,0
2017-09-07,16:00:00,56.06,56.2,55.86,55.975,16393,0
2017-09-07,17:00:00,55.96,56.04,55.51,55.93,204704,0
2017-09-07,18:00:00,55.88,55.92,55.66,55.68,64762,0
2017-09-07,19:00:00,55.63,55.8,55.53,55.76,85643,0
2017-09-07,20:00:00,55.81,55.97,55.81,55.84,19015,0
2017-09-07,21:00:00,55.83,55.93,55.69,55.705,55364,0
2017-09-07,22:00:00,55.71,55.76,55.48,55.61,175708,0
2017-09-08,16:00:00,55.62,55.735,55.44,55.48,19717,0
2017-09-08,17:00:00,55.52,55.985,55.46,55.96,49353,0
2017-09-08,18:00:00,55.96,56.07,55.64,55.9,84460,0
2017-09-08,19:00:00,55.841,55.89,55.73,55.73,44197,0
2017-09-08,20:00:00,55.68,55.74,55.39,55.3925,27372,0
2017-09-08,21:00:00,55.42,55.5,55.35,55.4,36399,0
2017-09-08,22:00:00,55.4,55.48,55.34,55.4,204943,0
2017-09-11,16:00:00,55.95,56.37,55.885,56.3642,49230,0
2017-09-11,17:00:00,56.37,56.43,55.74,55.75,72248,0
2017-09-11,18:00:00,55.73,55.86,55.5,55.5,109191,0
2017-09-11,19:00:00,55.57,55.77,55.53,55.64,94450,0
2017-09-11,20:00:00,55.66,56.03,55.64,56,61485,0
2017-09-11,21:00:00,56.01,56.02,55.82,55.86,42401,0
2017-09-11,22:00:00,55.88,56.12,55.83,56.05,217582,0
2017-09-12,16:00:00,56.1,56.29,56.1,56.2,117054,0
2017-09-12,17:00:00,56.18,56.21,55.8,55.95,248917,0
2017-09-12,18:00:00,55.95,55.97,55.58,55.65,121693,0
2017-09-12,19:00:00,55.66,56.19,55.64,56.13,45866,0
2017-09-12,20:00:00,56.13,56.18,55.99,56.04,56130,0
2017-09-12,21:00:00,56.05,56.19,55.96,55.99,93351,0
2017-09-12,22:00:00,55.99,56.32,55.99,56.27,145213,0
2017-09-13,16:00:00,56.18,56.18,55.66,55.82,22525,0
2017-09-13,17:00:00,55.81,56.14,55.75,56.06,177954,0
2017-09-13,18:00:00,56.06,56.08,55.78,55.89,161954,0
2017-09-13,19:00:00,55.91,56.13,55.91,56.03,27908,0
2017-09-13,20:00:00,56.05,56.229,56.05,56.155,31769,0
2017-09-13,21:00:00,56.16,56.32,56.11,56.24,60375,0
2017-09-13,22:00:00,56.24,56.26,56.02,56.05,165786,0
2017-09-14,16:00:00,55.92,56,55.26,55.435,41637,0
2017-09-14,17:00:00,55.46,55.67,55.35,55.45,48491,0
2017-09-14,18:00:00,55.44,55.5,55.28,55.34,71129,0
2017-09-14,19:00:00,55.33,55.5193,55.3,55.48,43431,0
2017-09-14,20:00:00,55.47,55.51,55.09,55.115,76824,0
2017-09-14,21:00:00,55.12,55.21,55.05,55.09,93320,0
2017-09-14,22:00:00,55.09,55.22,55.06,55.16,209452,0
2017-09-15,16:00:00,55.07,55.13,54.52,54.63,151172,0
2017-09-15,17:00:00,54.6,54.89,54.37,54.64,241102,0
2017-09-15,18:00:00,54.7,54.73,54.45,54.65,103224,0
2017-09-15,19:00:00,54.65,54.82,54.5,54.55,126336,0
2017-09-15,20:00:00,54.55,54.65,54.445,54.65,108376,0
2017-09-15,21:00:00,54.65,54.74,54.5,54.61,114560,0
2017-09-15,22:00:00,54.61,54.74,54.49,54.65,624136,0
2017-09-18,16:00:00,54.76,55.115,54.7,54.98,21569,0
2017-09-18,17:00:00,55.01,55.41,54.92,55.38,174040,0
2017-09-18,18:00:00,55.38,55.52,55.27,55.35,76871,0
2017-09-18,19:00:00,55.33,55.44,55.22,55.25,44957,0
2017-09-18,20:00:00,55.23,55.34,55.2,55.26,33336,0
2017-09-18,21:00:00,55.25,55.255,54.92,55.125,139817,0
2017-09-18,22:00:00,55.15,55.19,54.94,54.95,233162,0
2017-09-19,16:00:00,54.91,55.18,54.81,54.85,26121,0
2017-09-19,17:00:00,54.89,55.04,54.84,54.935,35785,0
2017-09-19,18:00:00,54.93,55.09,54.85,54.985,55885,0
2017-09-19,19:00:00,54.99,55.28,54.97,55.28,39912,0
2017-09-19,20:00:00,55.25,55.455,55.14,55.44,50404,0
2017-09-19,21:00:00,55.44,55.56,55.36,55.39,34117,0
2017-09-19,22:00:00,55.39,55.51,55.35,55.44,107702,0
2017-09-20,16:00:00,55.79,56.29,55.48,56.27,65947,0
2017-09-20,17:00:00,56.28,56.66,56.25,56.33,174661,0
2017-09-20,18:00:00,56.36,56.5,56.1,56.255,84832,0
2017-09-20,19:00:00,56.25,56.65,56.16,56.29,177787,0
2017-09-20,20:00:00,56.29,56.29,56.01,56.18,70416,0
2017-09-20,21:00:00,56.175,56.25,55.7,55.99,180168,0
2017-09-20,22:00:00,55.99,56.26,55.92,56.23,314643,0
2017-09-21,16:00:00,56.13,56.27,55.8989,56.08,28402,0
2017-09-21,17:00:00,56.07,56.24,55.915,56.24,42075,0
2017-09-21,18:00:00,56.19,56.27,56.1401,56.18,50130,0
2017-09-21,19:00:00,56.18,56.34,56.176,56.25,48262,0
2017-09-21,20:00:00,56.245,56.43,56.21,56.225,127869,0
2017-09-21,21:00:00,56.24,56.26,56.14,56.23,34616,0
2017-09-21,22:00:00,56.22,56.28,56.11,56.23,170133,0
2017-09-22,16:00:00,56.19,56.39,56.01,56.16,56695,0
2017-09-22,17:00:00,56.14,56.61,56.14,56.53,51985,0
2017-09-22,18:00:00,56.51,57.02,56.45,57.005,287178,0
2017-09-22,19:00:00,57,57.2,56.77,56.78,62161,0
2017-09-22,20:00:00,56.79,57.1,56.68,57.01,102673,0
2017-09-22,21:00:00,57.02,57.18,56.955,56.99,99891,0
2017-09-22,22:00:00,56.99,57,56.86,56.94,284138,0
2017-09-25,16:00:00,56.85,57.35,56.61,56.81,39803,0
