Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,1.86,1.8601,1.82,1.83,27528,0
2017-09-05,17:00:00,1.83,1.8362,1.75,1.785,94169,0
2017-09-05,18:00:00,1.79,1.7992,1.77,1.77,37346,0
2017-09-05,19:00:00,1.77,1.7712,1.76,1.76,38552,0
2017-09-05,20:00:00,1.751,1.77,1.72,1.76,98374,0
2017-09-05,21:00:00,1.75,1.77,1.74,1.75,24806,0
2017-09-05,22:00:00,1.74,1.7526,1.72,1.72,69457,0
2017-09-06,16:00:00,1.76,1.829,1.75,1.81,85745,0
2017-09-06,17:00:00,1.802,1.85,1.79,1.8157,86316,0
2017-09-06,18:00:00,1.8152,1.82,1.8,1.81,76596,0
2017-09-06,19:00:00,1.8,1.815,1.77,1.79,44670,0
2017-09-06,20:00:00,1.78,1.79,1.77,1.78,10678,0
2017-09-06,21:00:00,1.77,1.7862,1.77,1.78,14703,0
2017-09-06,22:00:00,1.78,1.8093,1.77,1.8,25768,0
2017-09-07,16:00:00,1.8,1.8,1.75,1.77,29018,0
2017-09-07,17:00:00,1.7607,1.79,1.75,1.7884,61851,0
2017-09-07,18:00:00,1.78,1.79,1.77,1.77,23716,0
2017-09-07,19:00:00,1.77,1.79,1.77,1.785,8854,0
2017-09-07,20:00:00,1.781,1.79,1.77,1.77,5176,0
2017-09-07,21:00:00,1.7879,1.79,1.76,1.77,41520,0
2017-09-07,22:00:00,1.77,1.79,1.7664,1.78,18454,0
2017-09-08,16:00:00,1.79,1.8,1.76,1.77,60311,0
2017-09-08,17:00:00,1.7779,1.81,1.7663,1.78,31618,0
2017-09-08,18:00:00,1.78,1.79,1.76,1.76,51525,0
2017-09-08,19:00:00,1.7601,1.77,1.74,1.749,67700,0
2017-09-08,20:00:00,1.749,1.76,1.73,1.7501,68453,0
2017-09-08,21:00:00,1.7501,1.7501,1.74,1.74,19850,0
2017-09-08,22:00:00,1.74,1.76,1.74,1.76,27120,0
2017-09-11,16:00:00,1.76,1.78,1.75,1.78,40320,0
2017-09-11,17:00:00,1.77,1.81,1.7599,1.7901,82398,0
2017-09-11,18:00:00,1.8,1.82,1.79,1.81,38798,0
2017-09-11,19:00:00,1.81,1.83,1.8,1.83,34562,0
2017-09-11,20:00:00,1.8201,1.84,1.8,1.83,70169,0
2017-09-11,21:00:00,1.83,1.83,1.7914,1.811,27572,0
2017-09-11,22:00:00,1.8137,1.8201,1.8,1.82,31004,0
2017-09-12,16:00:00,1.84,1.85,1.812,1.82,46621,0
2017-09-12,17:00:00,1.82,1.85,1.82,1.83,23968,0
2017-09-12,18:00:00,1.8376,1.86,1.83,1.85,39900,0
2017-09-12,19:00:00,1.845,1.8671,1.83,1.85,23569,0
2017-09-12,20:00:00,1.85,1.86,1.84,1.86,15520,0
2017-09-12,21:00:00,1.8539,1.8692,1.85,1.86,20484,0
2017-09-12,22:00:00,1.86,1.86,1.84,1.85,43660,0
2017-09-13,16:00:00,1.87,1.87,1.78,1.79,69291,0
2017-09-13,17:00:00,1.7806,1.85,1.78,1.8201,39087,0
2017-09-13,18:00:00,1.8201,1.84,1.81,1.83,12475,0
2017-09-13,19:00:00,1.8335,1.84,1.82,1.8293,13950,0
2017-09-13,20:00:00,1.82,1.83,1.81,1.811,21321,0
2017-09-13,21:00:00,1.83,1.8379,1.81,1.82,24350,0
2017-09-13,22:00:00,1.82,1.84,1.81,1.82,45034,0
2017-09-14,16:00:00,1.82,1.85,1.81,1.81,14221,0
2017-09-14,17:00:00,1.8107,1.85,1.8107,1.84,15221,0
2017-09-14,18:00:00,1.84,1.87,1.83,1.85,35341,0
2017-09-14,19:00:00,1.87,1.87,1.85,1.86,48413,0
2017-09-14,20:00:00,1.86,1.86,1.85,1.85,32532,0
2017-09-14,21:00:00,1.86,1.87,1.85,1.86,17585,0
2017-09-14,22:00:00,1.855,1.86,1.85,1.85,56705,0
2017-09-15,16:00:00,1.85,1.863,1.84,1.84,24337,0
2017-09-15,17:00:00,1.84,1.87,1.81,1.815,63576,0
2017-09-15,18:00:00,1.81,1.83,1.81,1.82,13587,0
2017-09-15,19:00:00,1.8264,1.83,1.82,1.83,10094,0
2017-09-15,20:00:00,1.8289,1.85,1.82,1.85,22433,0
2017-09-15,21:00:00,1.84,1.85,1.84,1.85,10327,0
2017-09-15,22:00:00,1.84,1.87,1.8,1.8,62322,0
2017-09-18,16:00:00,1.82,1.8698,1.82,1.8201,38506,0
2017-09-18,17:00:00,1.8201,1.8337,1.8,1.83,49996,0
