Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-30,16:00:00,5.9314,5.9314,5.8533,5.8533,2246,0
2017-08-30,17:00:00,5.9267,5.9314,5.9075,5.9115,4076,0
2017-08-30,18:00:00,5.8836,5.9314,5.8836,5.8836,2718,0
2017-08-30,19:00:00,5.9075,5.9075,5.9075,5.9075,590,0
2017-08-30,20:00:00,5.9032,5.9314,5.8836,5.9314,587,0
2017-08-30,21:00:00,5.9314,5.9314,5.8942,5.9075,2613,0
2017-08-30,22:00:00,5.9314,5.9314,5.8836,5.8836,2959,0
2017-08-31,16:00:00,5.9314,5.9314,5.8819,5.8819,959,0
2017-08-31,17:00:00,5.8836,5.9314,5.8836,5.9075,1207,0
2017-08-31,18:00:00,5.8836,5.9314,5.8358,5.8358,6063,0
2017-08-31,19:00:00,5.8358,5.8427,5.8358,5.8358,979,0
2017-08-31,20:00:00,5.8358,5.8596,5.7879,5.7879,744,0
2017-08-31,21:00:00,5.7975,5.8358,5.74,5.74,11790,0
2017-08-31,22:00:00,5.7879,5.8358,5.74,5.7879,10649,0
2017-09-01,16:00:00,5.8836,5.8836,5.8645,5.8645,2411,0
2017-09-01,17:00:00,5.8358,5.8358,5.7879,5.8358,523,0
2017-09-01,18:00:00,5.8358,5.8358,5.7879,5.7879,3345,0
2017-09-01,19:00:00,5.8119,5.8358,5.7879,5.7879,2003,0
2017-09-01,20:00:00,5.8119,5.8358,5.7879,5.8358,836,0
2017-09-01,21:00:00,5.8358,5.8358,5.7879,5.7879,6147,0
2017-09-01,22:00:00,5.8119,5.8358,5.7879,5.8358,7128,0
2017-09-05,16:00:00,5.8358,5.8358,5.74,5.7535,4246,0
2017-09-05,17:00:00,5.7821,5.7821,5.7821,5.7821,105,0
2017-09-05,18:00:00,5.764,5.7879,5.74,5.7686,3121,0
2017-09-05,19:00:00,5.74,5.764,5.74,5.764,3035,0
2017-09-05,21:00:00,5.74,5.74,5.74,5.74,568,0
2017-09-05,22:00:00,5.74,5.7879,5.74,5.74,4464,0
2017-09-06,16:00:00,5.74,5.74,5.74,5.74,313,0
2017-09-06,17:00:00,5.7879,5.7879,5.7568,5.7568,691,0
2017-09-06,18:00:00,5.7489,5.7879,5.74,5.7879,668,0
2017-09-06,19:00:00,5.764,5.764,5.74,5.764,2421,0
2017-09-06,20:00:00,5.764,5.764,5.764,5.764,105,0
2017-09-06,21:00:00,5.74,5.7449,5.74,5.7449,2300,0
