Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,76.2,76.8,76.2,76.65,7340,0
2017-09-05,17:00:00,76.8,76.8,76.25,76.3675,9113,0
2017-09-05,18:00:00,76.3,76.3,75.7,76.15,5650,0
2017-09-05,19:00:00,76.05,76.05,75,75.45,7000,0
2017-09-05,20:00:00,75.35,75.8,75.175,75.7,5522,0
2017-09-05,21:00:00,75.7,76,75.6,75.75,13160,0
2017-09-05,22:00:00,75.75,76.15,75.75,76.1,55913,0
2017-09-06,16:00:00,76.5,76.5,75.45,75.75,13664,0
2017-09-06,17:00:00,75.7,76.1,75.35,75.45,10831,0
2017-09-06,18:00:00,75.475,75.7,74.95,75.7,7162,0
2017-09-06,19:00:00,75.75,75.9,75.625,75.8,5509,0
2017-09-06,20:00:00,75.75,76.2,75.75,75.975,7700,0
2017-09-06,21:00:00,76,76.2,75.8,76.2,14014,0
2017-09-06,22:00:00,76.2,76.35,75.95,75.95,40631,0
2017-09-07,16:00:00,76.25,76.25,74.75,75.25,3292,0
2017-09-07,17:00:00,75.225,75.6,74.95,75.5,15627,0
2017-09-07,18:00:00,75.4,75.55,74.775,74.775,9530,0
2017-09-07,19:00:00,74.75,75,74.7,74.95,5421,0
2017-09-07,20:00:00,74.95,75.0989,74.8,74.8,7628,0
2017-09-07,21:00:00,74.75,74.85,74.65,74.7,6231,0
2017-09-07,22:00:00,74.65,74.9,74.6,74.65,74040,0
2017-09-08,16:00:00,74.55,74.7,74,74.1,3404,0
2017-09-08,17:00:00,74.15,74.4,73.85,74.4,7069,0
2017-09-08,18:00:00,74.4,74.55,74.1,74.35,10830,0
2017-09-08,19:00:00,74.4,74.4,73.4,73.85,52813,0
2017-09-08,20:00:00,73.9,74,73.15,73.525,76815,0
2017-09-08,21:00:00,73.6,73.65,73.15,73.25,12423,0
2017-09-08,22:00:00,73.25,73.4,72.9,73,93190,0
2017-09-11,16:00:00,73.75,75.15,73.75,75.025,9667,0
