Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-24,16:00:00,1.07,1.07,1.07,1.07,501,0
2017-08-24,17:00:00,1.0819,1.0824,1.04,1.0824,1475,0
2017-08-24,18:00:00,1.08,1.09,1.08,1.09,3949,0
2017-08-24,20:00:00,1.09,1.09,1.06,1.06,200,0
2017-08-24,21:00:00,1.06,1.06,1.06,1.06,2100,0
2017-08-24,22:00:00,1.06,1.09,1.0584,1.09,1012,0
2017-08-25,16:00:00,1.09,1.09,1.09,1.09,473,0
2017-08-25,17:00:00,1.1,1.1,1.1,1.1,100,0
2017-08-25,18:00:00,1.06,1.09,1.06,1.09,800,0
2017-08-25,20:00:00,1.08,1.08,1.08,1.08,266,0
2017-08-25,21:00:00,1.1,1.1,1.0974,1.1,5988,0
2017-08-25,22:00:00,1.09,1.09,1.09,1.09,238,0
2017-08-28,17:00:00,1.09,1.09,1.08,1.08,200,0
2017-08-28,18:00:00,1.0716,1.12,1.0716,1.12,2637,0
2017-08-28,19:00:00,1.12,1.12,1.1001,1.1001,10358,0
2017-08-28,20:00:00,1.09,1.12,1.09,1.12,10400,0
2017-08-28,21:00:00,1.1,1.1,1.09,1.09,3900,0
2017-08-28,22:00:00,1.09,1.09,1.05,1.05,7109,0
2017-08-29,17:00:00,1.0764,1.0794,1.0764,1.0794,1320,0
2017-08-29,18:00:00,1.07,1.0766,1.07,1.0715,3854,0
2017-08-29,20:00:00,1.07,1.07,1.07,1.07,100,0
2017-08-29,21:00:00,1.0711,1.0711,1.0711,1.0711,625,0
2017-08-29,22:00:00,1.07,1.0774,1.07,1.07,1000,0
2017-08-30,17:00:00,1.075,1.075,1.075,1.075,3882,0
2017-08-30,20:00:00,1.08,1.08,1.08,1.08,372,0
2017-08-30,21:00:00,1.0873,1.09,1.07,1.07,1362,0
2017-08-30,22:00:00,1.11,1.11,1.11,1.11,100,0
2017-08-31,16:00:00,1.1,1.1,1.1,1.1,260,0
2017-08-31,17:00:00,1.12,1.12,1.12,1.12,800,0
2017-08-31,18:00:00,1.11,1.11,1.11,1.11,400,0
2017-08-31,19:00:00,1.11,1.11,1.11,1.11,100,0
2017-08-31,20:00:00,1.1,1.1,1.1,1.1,100,0
2017-08-31,21:00:00,1.11,1.11,1.11,1.11,200,0
2017-08-31,22:00:00,1.11,1.11,1.1,1.11,497,0
2017-09-01,16:00:00,1.09,1.09,1.09,1.09,478,0
2017-09-01,17:00:00,1.0901,1.0901,1.0901,1.0901,1662,0
2017-09-01,18:00:00,1.09,1.09,1.09,1.09,100,0
2017-09-01,19:00:00,1.09,1.09,1.04,1.065,4496,0
2017-09-01,20:00:00,1.0676,1.0676,1.0601,1.065,700,0
2017-09-01,21:00:00,1.0601,1.0601,1.0601,1.0601,125,0
2017-09-01,22:00:00,1.0601,1.0605,1.06,1.06,635,0
2017-09-05,16:00:00,1.03,1.049,1,1.04,18640,0
2017-09-05,18:00:00,1.03,1.03,1.03,1.03,100,0
2017-09-05,19:00:00,1.03,1.03,1.03,1.03,1000,0
2017-09-05,20:00:00,1.0338,1.039,1.03,1.039,10600,0
2017-09-05,21:00:00,1.04,1.04,1.04,1.04,100,0
2017-09-05,22:00:00,1.04,1.0401,1.04,1.04,1300,0
2017-09-06,16:00:00,1.04,1.06,1.03,1.06,7123,0
2017-09-06,17:00:00,1.04,1.04,1.02,1.02,400,0
2017-09-06,18:00:00,1.03,1.03,1.03,1.03,500,0
2017-09-06,19:00:00,1.03,1.03,1.02,1.02,740,0
2017-09-06,20:00:00,1.03,1.0374,1.02,1.02,5700,0
2017-09-06,21:00:00,1.02,1.03,1.02,1.0226,1700,0
2017-09-06,22:00:00,1.02,1.0499,1.02,1.02,7729,0
2017-09-07,16:00:00,1.04,1.04,1.02,1.02,1527,0
2017-09-07,17:00:00,1.02,1.0559,1.02,1.0559,800,0
2017-09-07,18:00:00,1.03,1.03,1.02,1.02,500,0
2017-09-07,19:00:00,1.04,1.04,1.02,1.02,200,0
2017-09-07,20:00:00,1.02,1.02,1.011,1.02,11168,0
