Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,2.19,2.2,2.19,2.19,2934,0
2017-09-05,17:00:00,2.19,2.195,2.19,2.19,3235,0
2017-09-05,18:00:00,2.17,2.195,2.17,2.1934,27786,0
2017-09-05,19:00:00,2.19,2.2,2.19,2.19,1000,0
2017-09-05,20:00:00,2.195,2.2,2.13,2.13,29914,0
2017-09-05,21:00:00,2.111,2.19,2.111,2.19,1466,0
2017-09-05,22:00:00,2.1957,2.2,2.17,2.19,7983,0
2017-09-06,16:00:00,2.18,2.2,2.18,2.19,1882,0
2017-09-06,17:00:00,2.18,2.19,2.18,2.19,316,0
2017-09-06,18:00:00,2.18,2.18,2.17,2.17,2800,0
2017-09-06,19:00:00,2.19,2.19,2.17,2.17,200,0
2017-09-06,20:00:00,2.19,2.19,2.17,2.19,6100,0
2017-09-06,21:00:00,2.19,2.19,2.18,2.18,3233,0
2017-09-06,22:00:00,2.18,2.195,2.18,2.18,2600,0
2017-09-07,16:00:00,2.18,2.18,2.13,2.14,400,0
2017-09-07,17:00:00,2.19,2.21,2.1889,2.2,2266,0
2017-09-07,18:00:00,2.2,2.2,2.2,2.2,16129,0
2017-09-07,19:00:00,2.2,2.21,2.2,2.2,6201,0
2017-09-07,20:00:00,2.1966,2.2,2.195,2.2,2352,0
2017-09-07,21:00:00,2.191,2.2,2.19,2.192,8014,0
2017-09-07,22:00:00,2.2,2.2,2.1543,2.16,7551,0
2017-09-08,16:00:00,2.15,2.175,2.15,2.1713,555,0
2017-09-08,17:00:00,2.16,2.17,2.15,2.17,17660,0
2017-09-08,18:00:00,2.18,2.19,2.165,2.19,8235,0
2017-09-08,19:00:00,2.18,2.18,2.18,2.18,100,0
2017-09-08,20:00:00,2.19,2.19,2.17,2.19,400,0
2017-09-08,21:00:00,2.174,2.18,2.16,2.17,2417,0
2017-09-08,22:00:00,2.1646,2.2,2.16,2.1899,8633,0
2017-09-11,16:00:00,2.18,2.19,2.18,2.18,2170,0
2017-09-11,17:00:00,2.185,2.19,2.18,2.19,9815,0
2017-09-11,18:00:00,2.19,2.2,2.18,2.1956,3346,0
2017-09-11,19:00:00,2.19,2.19,2.15,2.19,20917,0
2017-09-11,20:00:00,2.1817,2.2,2.1817,2.2,500,0
2017-09-11,21:00:00,2.2,2.2,2.1737,2.18,1333,0
2017-09-11,22:00:00,2.2,2.2,2.19,2.2,4933,0
2017-09-12,16:00:00,2.2,2.24,2.19,2.2116,60916,0
2017-09-12,17:00:00,2.21,2.28,2.18,2.26,69361,0
2017-09-12,18:00:00,2.25,2.26,2.23,2.2504,56746,0
2017-09-12,19:00:00,2.25,2.28,2.24,2.2621,42773,0
2017-09-12,20:00:00,2.27,2.32,2.26,2.29,26407,0
2017-09-12,21:00:00,2.27,2.3,2.27,2.3,13950,0
2017-09-12,22:00:00,2.3,2.4,2.29,2.4,162262,0
2017-09-13,16:00:00,2.35,2.4,2.2,2.3,63532,0
2017-09-13,17:00:00,2.2971,2.2971,2.211,2.27,22850,0
2017-09-13,18:00:00,2.2881,2.35,2.285,2.3347,24575,0
2017-09-13,19:00:00,2.33,2.34,2.33,2.33,6500,0
2017-09-13,20:00:00,2.34,2.35,2.32,2.33,45548,0
2017-09-13,21:00:00,2.3301,2.34,2.32,2.33,28666,0
2017-09-13,22:00:00,2.3308,2.34,2.29,2.29,39350,0
2017-09-14,16:00:00,2.29,2.3568,2.29,2.3,6578,0
2017-09-14,17:00:00,2.3,2.307,2.3,2.3,11489,0
2017-09-14,18:00:00,2.3001,2.32,2.3,2.3,19751,0
2017-09-14,19:00:00,2.3,2.305,2.29,2.2914,19742,0
2017-09-14,20:00:00,2.2914,2.31,2.29,2.29,21206,0
2017-09-14,21:00:00,2.28,2.285,2.22,2.22,29282,0
2017-09-14,22:00:00,2.22,2.2221,2.2,2.21,21632,0
2017-09-15,16:00:00,2.23,2.27,2.131,2.27,11086,0
2017-09-15,17:00:00,2.27,2.3,2.12,2.23,31375,0
2017-09-15,18:00:00,2.23,2.24,2.22,2.24,4191,0
