Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,46.335,46.335,45.987,45.987,635,0
2017-09-05,17:00:00,46.027,46.454,46.027,46.454,302,0
2017-09-05,18:00:00,46.325,46.325,45.825,46.047,1561,0
2017-09-05,19:00:00,45.938,45.938,45.938,45.938,100,0
2017-09-05,20:00:00,45.531,45.6,45.531,45.6,504,0
2017-09-05,21:00:00,44.986,45.472,44.986,45.204,605,0
2017-09-05,22:00:00,45.134,45.293,45.006,45.224,14461,0
2017-09-06,16:00:00,45.442,45.442,45.402,45.432,558,0
2017-09-06,18:00:00,45.63,45.848,45.372,45.462,7238,0
2017-09-06,19:00:00,45.434,45.462,45.035,45.244,1901,0
2017-09-06,20:00:00,45.502,45.789,45.382,45.432,4537,0
2017-09-06,21:00:00,45.472,45.59,45.412,45.531,7872,0
2017-09-06,22:00:00,45.407,45.487,45.134,45.293,7995,0
2017-09-07,16:00:00,46.364,46.364,46.364,46.364,100,0
2017-09-07,17:00:00,45.094,45.194,44.549,44.856,2154,0
2017-09-07,18:00:00,44.35,44.36,44.35,44.36,404,0
2017-09-07,19:00:00,44.41,44.768,44.41,44.768,302,0
2017-09-07,20:00:00,44.941,44.941,44.227,44.227,911,0
2017-09-07,21:00:00,44.364,44.537,44.364,44.531,1008,0
2017-09-07,22:00:00,44.51,44.618,44.282,44.46,12757,0
2017-09-08,16:00:00,44.31,46.593,44.31,46.593,361,0
2017-09-08,17:00:00,44.34,45.342,44.34,44.37,404,0
2017-09-08,18:00:00,45.283,45.546,45.283,45.546,202,0
2017-09-08,19:00:00,45.094,45.412,45.055,45.264,766,0
2017-09-08,20:00:00,45.244,45.303,45.124,45.234,725,0
2017-09-08,21:00:00,45.209,45.61,45.209,45.442,2016,0
2017-09-08,22:00:00,45.452,45.452,45.016,45.184,7020,0
2017-09-11,16:00:00,45.432,45.898,45.432,45.898,353,0
2017-09-11,17:00:00,45.809,45.918,45.339,45.819,1333,0
2017-09-11,18:00:00,45.868,46.096,45.74,46.096,605,0
2017-09-11,19:00:00,45.754,46.478,45.72,45.987,7299,0
2017-09-11,20:00:00,46.047,46.255,46.047,46.255,404,0
2017-09-11,21:00:00,45.848,46.126,45.848,46.126,404,0
2017-09-11,22:00:00,46.077,46.245,45.898,46.235,10011,0
2017-09-12,16:00:00,46.146,46.265,45.963,46.265,3182,0
2017-09-12,17:00:00,46.176,46.771,46.007,46.771,1714,0
2017-09-12,18:00:00,46.786,46.959,46.711,46.959,404,0
2017-09-12,19:00:00,46.831,46.88,46.811,46.811,605,0
2017-09-12,20:00:00,46.781,46.89,46.771,46.89,987,0
2017-09-12,21:00:00,46.731,46.851,46.731,46.801,1008,0
2017-09-12,22:00:00,46.87,47.187,46.736,46.939,9937,0
2017-09-13,16:00:00,46.781,46.781,45.908,46.216,611,0
2017-09-13,17:00:00,46.255,47.029,45.878,46.959,20360,0
2017-09-13,18:00:00,46.999,46.999,46.816,46.816,404,0
2017-09-13,20:00:00,46.533,46.721,46.533,46.721,352,0
2017-09-13,21:00:00,46.642,47.099,46.602,46.93,2016,0
2017-09-13,22:00:00,47.049,47.109,46.92,46.949,12739,0
2017-09-14,16:00:00,47.029,47.029,47.029,47.029,127,0
2017-09-14,17:00:00,46.925,47.079,46.716,46.999,806,0
2017-09-14,18:00:00,47.079,47.197,46.553,46.701,1891,0
2017-09-14,19:00:00,46.632,46.632,46.632,46.632,504,0
2017-09-14,20:00:00,46.622,46.851,46.503,46.851,908,0
2017-09-14,21:00:00,46.751,46.771,46.642,46.642,618,0
2017-09-14,22:00:00,46.632,46.682,46.503,46.652,4339,0
2017-09-15,16:00:00,46.672,46.672,46.106,46.106,25153,0
2017-09-15,17:00:00,46.325,46.483,46.315,46.454,1411,0
2017-09-15,18:00:00,46.508,46.508,46.354,46.354,302,0
2017-09-15,19:00:00,46.588,46.711,46.588,46.662,706,0
2017-09-15,20:00:00,46.692,46.751,46.682,46.751,1280,0
2017-09-15,21:00:00,46.583,46.841,46.583,46.761,806,0
2017-09-15,22:00:00,46.672,46.989,46.662,46.791,35542,0
2017-09-18,16:00:00,47.069,47.069,46.829,46.829,624,0
2017-09-18,17:00:00,46.831,47.109,46.831,47.109,2067,0
2017-09-18,18:00:00,47.099,47.227,46.979,47.138,1008,0
2017-09-18,19:00:00,47.158,47.168,47.099,47.099,302,0
2017-09-18,20:00:00,47.247,47.406,46.969,47.217,35082,0
2017-09-18,21:00:00,47.357,47.465,47.168,47.337,5442,0
2017-09-18,22:00:00,47.337,47.337,47.187,47.267,5532,0
2017-09-19,16:00:00,47.337,47.415,47.059,47.059,536,0
2017-09-19,17:00:00,47.252,47.49,47.138,47.202,9632,0
2017-09-19,18:00:00,47.277,47.317,46.944,47.217,3448,0
2017-09-19,19:00:00,47.207,47.406,47.192,47.277,3259,0
2017-09-19,20:00:00,47.287,47.287,47.148,47.148,1819,0
2017-09-19,21:00:00,47.217,47.287,47.099,47.222,8475,0
2017-09-19,22:00:00,47.187,47.222,47.039,47.148,14614,0
2017-09-20,16:00:00,45.591,46.816,45.591,46.682,2047,0
2017-09-20,17:00:00,46.583,47.059,46.265,46.915,13101,0
2017-09-20,18:00:00,46.92,47.009,46.627,46.959,5169,0
2017-09-20,19:00:00,46.969,47.277,46.87,46.93,5019,0
2017-09-20,20:00:00,46.959,47.049,46.91,46.969,24195,0
2017-09-20,21:00:00,47.019,47.733,47.019,47.644,21559,0
2017-09-20,22:00:00,47.703,47.703,47.366,47.465,13409,0
2017-09-21,16:00:00,47.445,48.021,47.445,48.021,956,0
2017-09-21,17:00:00,47.773,48.111,47.644,47.986,3685,0
2017-09-21,18:00:00,47.961,48.139,47.863,47.971,4033,0
2017-09-21,19:00:00,47.921,48.001,47.901,47.911,2218,0
2017-09-21,20:00:00,47.882,47.901,47.693,47.773,3931,0
2017-09-21,21:00:00,47.753,47.901,47.723,47.733,1436,0
2017-09-21,22:00:00,47.743,47.813,47.683,47.733,8008,0
2017-09-22,16:00:00,48.041,48.329,47.386,47.843,14212,0
2017-09-22,17:00:00,47.773,48.249,47.773,48.249,1132,0
2017-09-22,18:00:00,48.219,48.378,48.134,48.378,1714,0
2017-09-22,19:00:00,48.289,48.339,48.199,48.339,2536,0
2017-09-22,20:00:00,48.378,48.487,48.264,48.329,5110,0
2017-09-22,21:00:00,48.309,48.319,48.209,48.219,2093,0
2017-09-22,22:00:00,48.081,48.139,47.991,48.041,13731,0
2017-09-25,16:00:00,48.051,48.349,47.595,48.319,3937,0
2017-09-25,17:00:00,48.329,48.447,48.101,48.13,2493,0
2017-09-25,18:00:00,48.091,48.091,48.031,48.031,706,0
2017-09-25,19:00:00,47.882,48.199,47.793,48.081,946,0
2017-09-25,20:00:00,48.101,48.139,48.081,48.126,706,0
2017-09-25,21:00:00,48.13,48.172,48.101,48.111,1460,0
2017-09-25,22:00:00,48.051,48.179,47.981,48.071,9952,0
