Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,64.17,64.46,63.75,63.88,86502,0
2017-09-05,17:00:00,63.89,63.96,63.63,63.665,145818,0
2017-09-05,18:00:00,63.66,63.725,63.53,63.66,163373,0
2017-09-05,19:00:00,63.65,63.66,63.31,63.55,453676,0
2017-09-05,20:00:00,63.51,63.57,63.27,63.57,160745,0
2017-09-05,21:00:00,63.57,63.77,63.53,63.68,295880,0
2017-09-05,22:00:00,63.69,63.835,63.63,63.64,521026,0
2017-09-06,16:00:00,63.81,63.9,63.49,63.5889,125598,0
2017-09-06,17:00:00,63.58,63.655,63.31,63.39,281628,0
2017-09-06,18:00:00,63.39,63.47,63.17,63.24,238262,0
2017-09-06,19:00:00,63.24,63.76,63.14,63.62,477158,0
2017-09-06,20:00:00,63.62,64.15,63.59,63.95,303080,0
2017-09-06,21:00:00,63.95,63.96,63.64,63.735,202454,0
2017-09-06,22:00:00,63.735,63.81,63.7,63.79,619871,0
2017-09-07,16:00:00,64.01,64.08,63.65,63.815,105576,0
2017-09-07,17:00:00,63.83,64.16,63.7,64.095,240774,0
2017-09-07,18:00:00,64.095,64.11,63.75,63.82,205321,0
2017-09-07,19:00:00,63.8,63.85,63.6,63.67,154934,0
2017-09-07,20:00:00,63.665,63.68,63.495,63.57,233480,0
2017-09-07,21:00:00,63.53,63.56,63.25,63.29,153395,0
2017-09-07,22:00:00,63.29,63.37,63.14,63.34,491892,0
2017-09-08,16:00:00,63.4,63.54,63.09,63.15,133494,0
2017-09-08,17:00:00,63.14,63.45,63.08,63.35,218696,0
2017-09-08,18:00:00,63.355,63.47,63.14,63.14,116891,0
2017-09-08,19:00:00,63.14,63.15,62.84,62.92,143439,0
2017-09-08,20:00:00,62.9239,62.975,62.67,62.8,113221,0
2017-09-08,21:00:00,62.81,62.9,62.585,62.61,246786,0
2017-09-08,22:00:00,62.615,62.85,62.595,62.73,596160,0
2017-09-11,16:00:00,63.16,63.5,63.065,63.0896,129735,0
2017-09-11,17:00:00,63.11,63.2,62.82,62.83,134668,0
2017-09-11,18:00:00,62.82,62.97,62.76,62.88,143746,0
2017-09-11,19:00:00,62.865,63.03,62.82,62.99,92270,0
2017-09-11,20:00:00,63,63,62.86,62.875,78861,0
2017-09-11,21:00:00,62.88,63.02,62.875,62.95,296588,0
2017-09-11,22:00:00,62.95,63.06,62.94,63.03,955222,0
2017-09-12,16:00:00,63.01,63.47,62.59,63.375,97646,0
2017-09-12,17:00:00,63.375,63.59,63.26,63.555,160658,0
2017-09-12,18:00:00,63.5637,63.76,63.22,63.24,242831,0
2017-09-12,19:00:00,63.225,63.24,63.06,63.11,67283,0
2017-09-12,20:00:00,63.1,63.24,63.05,63.105,145493,0
2017-09-12,21:00:00,63.1,63.15,62.86,62.96,119832,0
2017-09-12,22:00:00,62.98,63.01,62.875,62.98,455767,0
2017-09-13,16:00:00,62.93,63.33,62.8,63.31,102583,0
2017-09-13,17:00:00,63.3,63.43,62.8519,62.89,580562,0
2017-09-13,18:00:00,62.88,62.88,62.59,62.78,242033,0
2017-09-13,19:00:00,62.78,62.87,62.67,62.68,133177,0
2017-09-13,20:00:00,62.69,62.94,62.63,62.83,140970,0
2017-09-13,21:00:00,62.84,62.92,62.735,62.74,92302,0
2017-09-13,22:00:00,62.73,62.84,62.7,62.8,780547,0
2017-09-14,16:00:00,62.47,62.61,62.1,62.2,210630,0
2017-09-14,17:00:00,62.2,62.5,61.97,62.08,657985,0
2017-09-14,18:00:00,62.1,62.34,61.87,61.9,522878,0
2017-09-14,19:00:00,61.91,62.01,61.7,61.97,411107,0
2017-09-14,20:00:00,61.98,62.05,61.8099,61.81,178812,0
2017-09-14,21:00:00,61.81,61.83,61.08,61.35,801514,0
2017-09-14,22:00:00,61.34,61.56,61.14,61.17,1641408,0
2017-09-15,16:00:00,61.33,61.89,61.3,61.575,740491,0
2017-09-15,17:00:00,61.57,61.78,61.22,61.375,714803,0
2017-09-15,18:00:00,61.37,61.4,60.995,61.04,470001,0
2017-09-15,19:00:00,61.04,61.11,60.82,60.83,398829,0
2017-09-15,20:00:00,60.8396,61.13,60.82,60.97,352455,0
2017-09-15,21:00:00,60.96,61.23,60.73,61.08,428515,0
2017-09-15,22:00:00,61.089,61.2,60.92,61.17,1689617,0
2017-09-18,16:00:00,60.95,61.67,60.75,61.5,742908,0
2017-09-18,17:00:00,61.52,61.6,61.01,61.025,360118,0
2017-09-18,18:00:00,61.03,61.24,60.82,60.98,290857,0
2017-09-18,19:00:00,60.98,61.73,60.84,61.7,1045769,0
2017-09-18,20:00:00,61.69,61.99,61.55,61.9895,555137,0
2017-09-18,21:00:00,61.98,61.98,61.51,61.56,405304,0
2017-09-18,22:00:00,61.55,61.9,61.5284,61.8,837993,0
2017-09-19,16:00:00,62.01,63.5,61.33,62.31,1693603,0
2017-09-19,17:00:00,62.32,64.79,62.31,64.72,2970445,0
2017-09-19,18:00:00,64.7081,64.87,64.02,64.55,1552522,0
2017-09-19,19:00:00,64.54,64.86,64.43,64.765,930404,0
2017-09-19,20:00:00,64.76,65.06,64.76,65,895358,0
2017-09-19,21:00:00,65.005,65.18,64.9,65.1312,584485,0
2017-09-19,22:00:00,65.12,65.46,64.8,65.42,2301548,0
2017-09-20,16:00:00,65.32,65.47,64.52,64.71,424529,0
2017-09-20,17:00:00,64.75,64.77,64.03,64.03,490149,0
2017-09-20,18:00:00,64.06,64.25,63.69,63.89,594201,0
2017-09-20,19:00:00,63.895,64,63.745,63.86,350497,0
