Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,17:00:00,4.8,4.95,4.8,4.8573,6600,0
2017-09-05,18:00:00,4.85,4.8743,4.85,4.8743,1200,0
2017-09-05,19:00:00,4.85,4.85,4.75,4.8,2994,0
2017-09-05,20:00:00,4.8,4.8,4.8,4.8,100,0
2017-09-05,21:00:00,4.7625,4.8,4.75,4.8,1950,0
2017-09-05,22:00:00,4.7501,4.8,4.75,4.75,704,0
2017-09-06,17:00:00,4.75,4.9,4.75,4.9,4200,0
2017-09-06,18:00:00,4.8878,4.89,4.8878,4.89,1200,0
2017-09-06,19:00:00,4.85,4.9,4.85,4.8508,2920,0
2017-09-06,20:00:00,4.85,4.85,4.8,4.85,3400,0
2017-09-06,21:00:00,4.85,4.9,4.8,4.8,5300,0
2017-09-06,22:00:00,4.8,4.8,4.75,4.8,6400,0
2017-09-07,16:00:00,4.945,4.945,4.7513,4.7513,3660,0
2017-09-07,17:00:00,4.8008,4.825,4.8008,4.825,900,0
2017-09-07,18:00:00,4.8,4.8,4.8,4.8,1800,0
2017-09-07,19:00:00,4.9,4.9,4.9,4.9,100,0
2017-09-07,20:00:00,4.8,4.8,4.75,4.8,2400,0
2017-09-07,21:00:00,4.7857,4.7999,4.7857,4.7999,2000,0
2017-09-07,22:00:00,4.7999,4.85,4.775,4.85,13875,0
2017-09-08,16:00:00,4.8,4.95,4.8,4.9,2800,0
2017-09-08,17:00:00,4.9,4.9,4.75,4.75,2500,0
2017-09-08,18:00:00,4.8,4.835,4.8,4.835,2500,0
2017-09-08,19:00:00,4.8499,4.85,4.8499,4.85,1400,0
2017-09-08,20:00:00,4.875,4.9,4.75,4.8,7400,0
2017-09-08,21:00:00,4.8,4.85,4.8,4.8119,5950,0
2017-09-08,22:00:00,4.75,4.9,4.7165,4.7988,20025,0
2017-09-11,16:00:00,4.75,4.75,4.75,4.75,500,0
2017-09-11,17:00:00,4.75,4.8,4.55,4.55,14500,0
2017-09-11,18:00:00,4.5,4.65,4.5,4.6,6934,0
2017-09-11,19:00:00,4.6,4.6177,4.55,4.55,6420,0
2017-09-11,20:00:00,4.55,4.7,4.55,4.7,22600,0
2017-09-11,21:00:00,4.625,4.65,4.55,4.6,10300,0
2017-09-11,22:00:00,4.65,4.65,4.55,4.55,6486,0
2017-09-12,16:00:00,4.5,4.626,4.5,4.6,3386,0
2017-09-12,17:00:00,4.65,4.65,4.55,4.55,500,0
2017-09-12,18:00:00,4.6,4.6,4.55,4.575,650,0
2017-09-12,19:00:00,4.55,4.6,4.5,4.55,1100,0
2017-09-12,20:00:00,4.55,4.55,4.5,4.55,6457,0
2017-09-12,21:00:00,4.55,4.6,4.45,4.55,25682,0
2017-09-12,22:00:00,4.55,5.05,4.549,5.05,193257,0
2017-09-13,16:00:00,5.05,5.1,5.0307,5.05,19001,0
2017-09-13,17:00:00,5.1,5.3,5.1,5.1999,55656,0
2017-09-13,18:00:00,5.175,5.2,5.15,5.2,8404,0
2017-09-13,19:00:00,5.15,5.1895,5.15,5.15,2881,0
2017-09-13,20:00:00,5.1725,5.2,5.151,5.2,7100,0
2017-09-13,21:00:00,5.2,5.2,5.175,5.175,7798,0
2017-09-13,22:00:00,5.2,5.2,5.15,5.2,6679,0
2017-09-14,16:00:00,5.3,5.3,5.1,5.1,14774,0
2017-09-14,17:00:00,5.135,5.15,4.95,4.9891,21383,0
2017-09-14,18:00:00,5,5.1837,4.9754,5.15,16229,0
2017-09-14,19:00:00,5.1,5.1735,5.05,5.1,6910,0
2017-09-14,20:00:00,5.1,5.15,5.1,5.1,2100,0
2017-09-14,21:00:00,5.1,5.15,5.05,5.15,6850,0
2017-09-14,22:00:00,5.1,5.15,5.05,5.05,25682,0
2017-09-15,16:00:00,5.05,5.15,5.05,5.1,4700,0
2017-09-15,17:00:00,5.1,5.1001,5.055,5.1,8500,0
2017-09-15,18:00:00,5.15,5.15,5.05,5.05,6400,0
2017-09-15,19:00:00,5.075,5.1,5.05,5.05,3800,0
2017-09-15,20:00:00,5.1,5.1,5.05,5.05,12320,0
2017-09-15,21:00:00,5.1,5.1,5.05,5.05,6800,0
2017-09-15,22:00:00,5.05,5.1,5.05,5.05,13214,0
2017-09-18,16:00:00,5.05,5.0845,5.05,5.0845,2118,0
2017-09-18,17:00:00,5.05,5.35,5.05,5.2202,87895,0
2017-09-18,18:00:00,5.2499,5.25,5.1603,5.2,25253,0
2017-09-18,19:00:00,5.2,5.2,5.146,5.15,6825,0
2017-09-18,20:00:00,5.1,5.2,5.1,5.2,2926,0
2017-09-18,21:00:00,5.15,5.15,5.1,5.1,300,0
2017-09-18,22:00:00,5.15,5.15,5.051,5.051,3475,0
2017-09-19,16:00:00,5.05,5.1,5.05,5.1,3114,0
2017-09-19,17:00:00,5.15,5.15,5.05,5.15,6065,0
2017-09-19,18:00:00,5.15,5.15,5.1112,5.1112,12646,0
2017-09-19,19:00:00,5.15,5.15,5.125,5.125,500,0
2017-09-19,20:00:00,5.15,5.15,5.1265,5.15,1389,0
2017-09-19,21:00:00,5.15,5.15,5.0718,5.1,11457,0
2017-09-19,22:00:00,5.05,5.15,5.05,5.1,6319,0
2017-09-20,16:00:00,5.15,5.15,5.1,5.1,670,0
2017-09-20,17:00:00,5.05,5.0601,5.05,5.0601,800,0
2017-09-20,18:00:00,5.1,5.1,5.1,5.1,200,0
2017-09-20,19:00:00,5.1,5.1,5.0085,5.095,8700,0
2017-09-20,20:00:00,5.1,5.1,5.0001,5.084,590,0
2017-09-20,21:00:00,5.05,5.099,5.05,5.099,1500,0
2017-09-20,22:00:00,5.084,5.15,5.0084,5.1,11408,0
2017-09-21,16:00:00,5,5,4.8,4.85,12664,0
2017-09-21,17:00:00,4.895,4.9165,4.889,4.9165,15336,0
2017-09-21,18:00:00,4.9025,4.95,4.9,4.95,1232,0
2017-09-21,19:00:00,4.97,5.1,4.97,5.1,2000,0
2017-09-21,20:00:00,5,5.1,5,5.1,3200,0
2017-09-21,21:00:00,5.075,5.1,5.05,5.05,7780,0
2017-09-21,22:00:00,5.05,5.05,4.9,4.9,2580,0
2017-09-22,16:00:00,4.85,4.95,4.85,4.85,800,0
2017-09-22,17:00:00,4.8,5,4.75,4.9,15450,0
2017-09-22,18:00:00,5,5.15,5,5.15,21348,0
2017-09-22,19:00:00,5.15,5.15,5.1,5.1,3800,0
2017-09-22,20:00:00,5.125,5.125,5,5.05,6300,0
2017-09-22,21:00:00,5.0228,5.05,5.0228,5.05,3207,0
2017-09-22,22:00:00,5.05,5.15,5.05,5.1,11738,0
2017-09-25,16:00:00,5.1,5.15,5.1,5.1,2703,0
