Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,24.6,24.65,24.46,24.6,4306,0
2017-09-05,17:00:00,24.6,24.6,24.35,24.45,10002,0
2017-09-05,18:00:00,24.45,24.55,24.375,24.45,25533,0
2017-09-05,19:00:00,24.4,24.4,24.2,24.325,20748,0
2017-09-05,20:00:00,24.35,24.35,24.1,24.2,8852,0
2017-09-05,21:00:00,24.225,24.3,24.15,24.225,8696,0
2017-09-05,22:00:00,24.225,24.3,24.15,24.2,36763,0
2017-09-06,16:00:00,24.25,24.25,24,24.2,14610,0
2017-09-06,17:00:00,24.25,24.3,24.15,24.2,8174,0
2017-09-06,18:00:00,24.1,24.15,24,24,5476,0
2017-09-06,19:00:00,24,24.05,23.95,24,5959,0
2017-09-06,20:00:00,24,24.15,24,24.05,8864,0
2017-09-06,21:00:00,24.1,24.15,24,24.025,10200,0
2017-09-06,22:00:00,24,24.1,23.9,23.9,71979,0
2017-09-07,16:00:00,24,24,23.7,23.7,5604,0
2017-09-07,17:00:00,23.65,23.7,23.5,23.65,32981,0
2017-09-07,18:00:00,23.7,23.9,23.6,23.825,44431,0
2017-09-07,19:00:00,23.825,23.95,23.8,23.925,29719,0
2017-09-07,20:00:00,23.925,24,23.85,23.85,19544,0
2017-09-07,21:00:00,23.9,23.925,23.8,23.8,27077,0
2017-09-07,22:00:00,23.8,23.9,23.7,23.9,114353,0
2017-09-08,16:00:00,23.8,24,23.6,23.85,11543,0
2017-09-08,17:00:00,23.9,24.2,23.875,24.15,15201,0
2017-09-08,18:00:00,24.2,24.35,24.1,24.275,13941,0
2017-09-08,19:00:00,24.25,24.25,24.05,24.1,33544,0
2017-09-08,20:00:00,24.05,24.2,24.025,24.2,32492,0
2017-09-08,21:00:00,24.25,24.3,24.2,24.225,7500,0
2017-09-08,22:00:00,24.25,24.35,24.25,24.3,33571,0
2017-09-11,16:00:00,24.5,24.55,24.3,24.5,9775,0
2017-09-11,17:00:00,24.45,24.55,24.375,24.375,9353,0
2017-09-11,18:00:00,24.375,24.65,24.25,24.6,12752,0
2017-09-11,19:00:00,24.55,24.7,24.55,24.7,4900,0
2017-09-11,20:00:00,24.7,24.7,24.625,24.625,5454,0
2017-09-11,21:00:00,24.65,24.65,24.525,24.6,10796,0
2017-09-11,22:00:00,24.575,24.65,24.4,24.6,56309,0
2017-09-12,16:00:00,24.6,24.95,24.6,24.95,7582,0
2017-09-12,17:00:00,25,25.45,24.95,25.4,38313,0
2017-09-12,18:00:00,25.45,25.575,25.3,25.325,19043,0
2017-09-12,19:00:00,25.35,25.5,25.325,25.4,8879,0
2017-09-12,20:00:00,25.4,25.45,25.325,25.325,5679,0
2017-09-12,21:00:00,25.35,25.45,25.35,25.425,5362,0
2017-09-12,22:00:00,25.45,25.5,25.25,25.3,48972,0
2017-09-13,16:00:00,25.2,25.4,25.1,25.4,2697,0
2017-09-13,17:00:00,25.4,25.5,25.3,25.5,7622,0
2017-09-13,18:00:00,25.5,25.6,25.4,25.575,5999,0
2017-09-13,19:00:00,25.6,26,25.525,25.95,36481,0
2017-09-13,20:00:00,25.95,26.2,25.95,26.125,29182,0
2017-09-13,21:00:00,26.125,26.4,26.1,26.3,20370,0
2017-09-13,22:00:00,26.25,26.45,26.2,26.35,118557,0
2017-09-14,16:00:00,26.4,26.55,26.1,26.5,7382,0
2017-09-14,17:00:00,26.475,26.65,26.4,26.6,21561,0
2017-09-14,18:00:00,26.6,26.675,26.525,26.675,27141,0
2017-09-14,19:00:00,26.675,26.85,26.55,26.75,27719,0
2017-09-14,20:00:00,26.75,26.8,26.675,26.775,12341,0
2017-09-14,21:00:00,26.775,26.9,26.75,26.775,24300,0
2017-09-14,22:00:00,26.775,26.95,26.75,26.9,86525,0
2017-09-15,16:00:00,26.4,27,26,26.55,124850,0
2017-09-15,17:00:00,26.55,26.7,26.45,26.625,42725,0
2017-09-15,18:00:00,26.625,26.75,26.625,26.675,24417,0
2017-09-15,19:00:00,26.675,26.7,26.65,26.675,32900,0
2017-09-15,20:00:00,26.675,26.95,26.675,26.85,21286,0
2017-09-15,21:00:00,26.875,26.95,26.85,26.875,14350,0
2017-09-15,22:00:00,26.875,27,26.85,26.95,225774,0
2017-09-18,16:00:00,27,27,26.65,26.7,74239,0
2017-09-18,17:00:00,26.75,26.8,26.6,26.65,27953,0
2017-09-18,18:00:00,26.6,26.775,26.475,26.525,31709,0
2017-09-18,19:00:00,26.575,26.75,26.55,26.7,21463,0
2017-09-18,20:00:00,26.7,26.85,26.7,26.8,12000,0
2017-09-18,21:00:00,26.8,26.85,26.5,26.575,41553,0
2017-09-18,22:00:00,26.575,26.65,26.3,26.35,75469,0
2017-09-19,16:00:00,26.35,26.95,26.35,26.35,19745,0
2017-09-19,17:00:00,26.35,26.375,26.15,26.25,11948,0
2017-09-19,18:00:00,26.275,26.275,26.05,26.15,12349,0
2017-09-19,19:00:00,26.125,26.25,26.125,26.25,11939,0
2017-09-19,20:00:00,26.25,26.25,26.125,26.225,10550,0
2017-09-19,21:00:00,26.225,26.25,26.2,26.25,8849,0
2017-09-19,22:00:00,26.25,26.25,26.15,26.2,36765,0
2017-09-20,16:00:00,26.55,26.7,26.4,26.45,17276,0
2017-09-20,17:00:00,26.5,26.5,26.3,26.35,22503,0
2017-09-20,18:00:00,26.4,26.5,26.3,26.35,41664,0
2017-09-20,19:00:00,26.375,26.55,26.375,26.45,23853,0
