Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-18,16:00:00,8.6,8.65,8.6,8.65,800,0
2017-08-18,17:00:00,8.645,8.65,8.6,8.6,500,0
2017-08-18,18:00:00,8.625,8.625,8.625,8.625,200,0
2017-08-18,19:00:00,8.625,8.625,8.625,8.625,300,0
2017-08-18,20:00:00,8.6,8.625,8.6,8.625,1900,0
2017-08-18,21:00:00,8.6,8.625,8.55,8.55,10842,0
2017-08-18,22:00:00,8.575,8.6,8.5,8.55,8835,0
2017-08-21,16:00:00,8.45,8.5,8.45,8.45,10667,0
2017-08-21,17:00:00,8.45,8.4687,8.45,8.4687,723,0
2017-08-21,18:00:00,8.45,8.5,8.45,8.475,2060,0
2017-08-21,19:00:00,8.475,8.55,8.465,8.55,2696,0
2017-08-21,20:00:00,8.5,8.55,8.5,8.55,200,0
2017-08-21,22:00:00,8.55,8.55,8.45,8.5,16464,0
2017-08-22,18:00:00,8.5749,8.6,8.5749,8.6,500,0
2017-08-22,19:00:00,8.6,8.6,8.575,8.575,1100,0
2017-08-22,21:00:00,8.6,8.6,8.6,8.6,100,0
2017-08-22,22:00:00,8.55,8.6,8.55,8.6,700,0
2017-08-23,16:00:00,8.5,8.6,8.5,8.55,500,0
2017-08-23,17:00:00,8.6129,8.6313,8.6129,8.6313,1116,0
2017-08-23,18:00:00,8.6,8.6129,8.6,8.6129,1010,0
2017-08-23,19:00:00,8.6233,8.65,8.6233,8.65,922,0
2017-08-23,20:00:00,8.65,8.65,8.65,8.65,200,0
2017-08-23,21:00:00,8.65,8.7,8.65,8.675,800,0
2017-08-23,22:00:00,8.7,8.7,8.65,8.7,800,0
2017-08-24,16:00:00,8.7,8.7,8.7,8.7,202,0
2017-08-24,17:00:00,8.65,8.7,8.65,8.65,1100,0
2017-08-24,18:00:00,8.6933,8.6933,8.65,8.65,250,0
2017-08-24,19:00:00,8.6999,8.6999,8.65,8.65,400,0
2017-08-24,20:00:00,8.67,8.6999,8.65,8.65,700,0
2017-08-24,21:00:00,8.65,8.675,8.65,8.65,300,0
2017-08-24,22:00:00,8.7,8.75,8.6,8.6,6314,0
2017-08-25,16:00:00,8.65,8.65,8.55,8.55,301,0
2017-08-25,17:00:00,8.55,8.6,8.533,8.6,1480,0
2017-08-25,19:00:00,8.55,8.5501,8.55,8.55,750,0
2017-08-25,20:00:00,8.5999,8.5999,8.5,8.5,5036,0
2017-08-25,21:00:00,8.55,8.6,8.55,8.6,1800,0
2017-08-25,22:00:00,8.625,8.75,8.6,8.6,4860,0
2017-08-28,16:00:00,8.65,8.65,8.45,8.65,502,0
2017-08-28,17:00:00,8.6,8.6,8.575,8.575,200,0
2017-08-28,18:00:00,8.575,8.6,8.55,8.6,2800,0
2017-08-28,19:00:00,8.5787,8.6,8.55,8.55,2301,0
2017-08-28,20:00:00,8.6,8.6,8.55,8.575,400,0
2017-08-28,21:00:00,8.6,8.6,8.55,8.55,1100,0
2017-08-28,22:00:00,8.575,8.625,8.55,8.55,6072,0
2017-08-29,16:00:00,8.45,8.65,8.45,8.65,314,0
2017-08-29,17:00:00,8.5138,8.5138,8.5,8.5,1391,0
2017-08-29,18:00:00,8.5,8.5,8.5,8.5,200,0
2017-08-29,19:00:00,8.5,8.5,8.5,8.5,300,0
2017-08-29,20:00:00,8.5,8.5,8.5,8.5,500,0
2017-08-29,21:00:00,8.5,8.5105,8.5,8.5105,200,0
2017-08-29,22:00:00,8.55,8.55,8.4,8.4,7700,0
2017-08-30,16:00:00,8.4,8.4063,8.35,8.4063,341,0
2017-08-30,17:00:00,8.4,8.4,8.35,8.35,400,0
2017-08-30,18:00:00,8.3975,8.4,8.1,8.15,25835,0
2017-08-30,19:00:00,8.1,8.2,8.1,8.2,4566,0
2017-08-30,20:00:00,8.1497,8.2,8.1497,8.2,3000,0
2017-08-30,21:00:00,8.1,8.15,8.1,8.15,1000,0
2017-08-30,22:00:00,8.15,8.2,8.1,8.1,6858,0
2017-08-31,16:00:00,8.405,8.405,8.225,8.225,400,0
2017-08-31,17:00:00,8.2,8.2,8.175,8.175,1090,0
2017-08-31,18:00:00,8.15,8.15,8.15,8.15,300,0
2017-08-31,19:00:00,8.15,8.2,8.15,8.2,650,0
2017-08-31,20:00:00,8.15,8.2,8.15,8.15,700,0
2017-08-31,21:00:00,8.15,8.2,8.15,8.175,3490,0
2017-08-31,22:00:00,8.2,8.25,8.15,8.15,4562,0
2017-09-01,16:00:00,8.2,8.2,8.1,8.1919,510,0
2017-09-01,17:00:00,8.1,8.15,8.1,8.15,3177,0
2017-09-01,20:00:00,8.15,8.25,8.125,8.25,3700,0
2017-09-01,21:00:00,8.3,8.35,8.2583,8.35,893,0
2017-09-01,22:00:00,8.3478,8.35,8.3,8.35,3033,0
2017-09-05,16:00:00,8.35,8.4,8.15,8.15,6616,0
2017-09-05,17:00:00,8.2,8.25,8.2,8.2,800,0
2017-09-05,18:00:00,8.2,8.225,8.2,8.2,500,0
2017-09-05,19:00:00,8.2,8.25,8.2,8.25,1600,0
2017-09-05,20:00:00,8.25,8.35,8.225,8.3318,10387,0
2017-09-05,21:00:00,8.35,8.35,8.3,8.35,1869,0
2017-09-05,22:00:00,8.35,8.55,8.35,8.55,27325,0
2017-09-06,16:00:00,8.35,8.4,8.35,8.4,396,0
2017-09-06,18:00:00,8.2,8.4,8.2,8.4,2600,0
2017-09-06,19:00:00,8.4,8.425,8.4,8.4,12724,0
2017-09-06,20:00:00,8.4,8.4,8.4,8.4,300,0
2017-09-06,21:00:00,8.4,8.4175,8.4,8.4,1060,0
2017-09-06,22:00:00,8.4,8.55,8.4,8.5,5239,0
2017-09-07,16:00:00,8.6,8.6,8.55,8.55,1702,0
2017-09-07,17:00:00,8.5535,8.5821,8.55,8.55,1200,0
2017-09-07,18:00:00,8.55,8.575,8.55,8.575,300,0
2017-09-07,19:00:00,8.55,8.6,8.4874,8.4874,7979,0
2017-09-07,20:00:00,8.4,8.4,7.55,8.0511,39109,0
2017-09-07,21:00:00,8.05,8.1,8.05,8.05,6746,0
2017-09-07,22:00:00,8.05,8.1,8.05,8.075,6155,0
2017-09-08,16:00:00,8.1,8.2,8.1,8.2,1512,0
2017-09-08,17:00:00,8.1619,8.2,8.1,8.1,1245,0
2017-09-08,18:00:00,8.125,8.15,8.125,8.1305,700,0
2017-09-08,19:00:00,8.15,8.2,8.1,8.2,5858,0
2017-09-08,20:00:00,8.175,8.1958,8.15,8.1958,600,0
2017-09-08,21:00:00,8.2,8.2,8.15,8.2,1800,0
2017-09-08,22:00:00,8.025,8.1,8,8.05,5550,0
2017-09-11,16:00:00,8,8.05,7.8,7.875,4400,0
2017-09-11,17:00:00,7.901,8,7.901,8,4942,0
2017-09-11,18:00:00,8.0001,8.15,8.0001,8.125,4200,0
2017-09-11,19:00:00,8.3,8.3,8.2,8.2,6192,0
2017-09-11,20:00:00,8.2,8.2125,8.2,8.2,1600,0
2017-09-11,21:00:00,8.2,8.225,7.95,7.95,7696,0
2017-09-11,22:00:00,8.1,8.15,8.025,8.05,2224,0
2017-09-12,16:00:00,8.1,8.1,7.901,8.0104,746,0
2017-09-12,17:00:00,8,8.05,8,8,1670,0
2017-09-12,18:00:00,7.95,8.1,7.95,8.05,5998,0
2017-09-12,19:00:00,8.05,8.1,8.05,8.05,3300,0
2017-09-12,20:00:00,8.05,8.145,8.05,8.05,6350,0
2017-09-12,21:00:00,8.05,8.1,8.05,8.05,2100,0
2017-09-12,22:00:00,8.075,8.1,7.75,7.75,26354,0
2017-09-13,16:00:00,7.8,7.85,7.8,7.85,800,0
2017-09-13,17:00:00,7.9,7.925,7.85,7.925,4000,0
2017-09-13,18:00:00,7.9,7.9,7.85,7.9,300,0
2017-09-13,19:00:00,7.9,7.9,7.85,7.875,1290,0
2017-09-13,20:00:00,7.85,7.9,7.85,7.8999,500,0
2017-09-13,21:00:00,7.9,7.925,7.85,7.9,4500,0
2017-09-13,22:00:00,7.9,7.95,7.85,7.85,12396,0
2017-09-14,16:00:00,7.75,7.8,7.75,7.8,1046,0
2017-09-14,17:00:00,7.825,7.825,7.8,7.8,1376,0
2017-09-14,18:00:00,7.805,7.8412,7.8,7.8,7663,0
2017-09-14,19:00:00,7.8,7.8409,7.8,7.8234,604,0
2017-09-14,20:00:00,7.8,7.85,7.7,7.75,13800,0
2017-09-14,21:00:00,7.725,7.75,7.7,7.75,1300,0
2017-09-14,22:00:00,7.75,7.85,7.7,7.8,10462,0
2017-09-15,16:00:00,7.7,7.8346,7.7,7.8346,700,0
2017-09-15,17:00:00,7.775,7.8,7.75,7.75,2100,0
2017-09-15,18:00:00,7.775,7.775,7.75,7.75,2020,0
2017-09-15,19:00:00,7.75,7.85,7.75,7.75,3570,0
2017-09-15,20:00:00,7.75,7.75,7.75,7.75,912,0
2017-09-15,21:00:00,7.75,7.775,7.7,7.7,1800,0
2017-09-15,22:00:00,7.75,7.85,7.6,7.85,50989,0
2017-09-18,16:00:00,7.75,7.85,7.75,7.85,1399,0
2017-09-18,17:00:00,7.925,7.925,7.925,7.925,200,0
2017-09-18,18:00:00,7.95,7.95,7.875,7.9254,14760,0
2017-09-18,19:00:00,7.9,7.95,7.8657,7.8657,1107,0
2017-09-18,20:00:00,7.9333,7.9333,7.85,7.875,700,0
2017-09-18,21:00:00,7.9,7.9,7.85,7.85,1100,0
2017-09-18,22:00:00,7.85,7.9,7.75,7.9,7915,0
2017-09-19,16:00:00,7.95,8.09,7.95,8.09,7454,0
2017-09-19,17:00:00,8.15,8.15,8.05,8.05,400,0
2017-09-19,18:00:00,8.101,8.1757,8.1,8.1,3630,0
2017-09-19,19:00:00,8.2,8.2,8.1229,8.1229,1600,0
2017-09-19,20:00:00,8.1091,8.2,8.1,8.15,2754,0
2017-09-19,21:00:00,8.1434,8.15,8.1434,8.15,1000,0
2017-09-19,22:00:00,8.1,8.15,8.1,8.1499,5084,0
2017-09-20,16:00:00,8.15,8.15,8.1,8.1,1109,0
2017-09-20,17:00:00,8.2,8.2,8.1125,8.1125,250,0
2017-09-20,18:00:00,8.15,8.15,8.1124,8.1124,600,0
2017-09-20,19:00:00,8.15,8.15,8.1,8.1,1600,0
2017-09-20,20:00:00,8.1132,8.15,8.1132,8.15,800,0
2017-09-20,21:00:00,8.1499,8.2,8.1499,8.2,3793,0
2017-09-20,22:00:00,8.25,8.4,8.2,8.4,8081,0
2017-09-21,16:00:00,8.25,8.35,8.25,8.2675,1743,0
2017-09-21,17:00:00,8.299,8.316,8.299,8.316,570,0
2017-09-21,18:00:00,8.3,8.3335,8.25,8.25,559,0
2017-09-21,19:00:00,8.25,8.25,8.25,8.25,100,0
2017-09-21,20:00:00,8.3,8.35,8.3,8.35,400,0
2017-09-21,21:00:00,8.4,8.45,8.4,8.45,3784,0
2017-09-21,22:00:00,8.45,8.45,8.35,8.35,800,0
2017-09-22,16:00:00,8.4,8.4,7.9,8.209,400,0
2017-09-22,17:00:00,8.3029,8.3029,8.3,8.3,200,0
2017-09-22,19:00:00,8.379,8.379,8.379,8.379,200,0
2017-09-22,20:00:00,8.3677,8.3677,8.3677,8.3677,200,0
2017-09-22,21:00:00,8.3999,8.4,8.35,8.4,599,0
2017-09-22,22:00:00,8.4,8.5,8.4,8.5,2334,0
2017-09-25,16:00:00,8.1,8.45,8.1,8.45,835,0
