Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,17.414,17.566,17.325,17.414,173423,0
2017-09-05,17:00:00,17.405,17.441,17.235,17.252,192627,0
2017-09-05,18:00:00,17.252,17.307,17.225,17.262,114674,0
2017-09-05,19:00:00,17.252,17.262,16.993,17.092,249227,0
2017-09-05,20:00:00,17.083,17.195,17.065,17.145,171153,0
2017-09-05,21:00:00,17.137,17.172,17.092,17.123,128967,0
2017-09-05,22:00:00,17.123,17.145,16.984,17.038,949764,0
2017-09-06,16:00:00,17.128,17.424,17.128,17.23,251777,0
2017-09-06,17:00:00,17.245,17.252,17.101,17.137,248622,0
2017-09-06,18:00:00,17.137,17.182,17.065,17.079,189179,0
2017-09-06,19:00:00,17.083,17.101,16.962,16.976,198034,0
2017-09-06,20:00:00,16.989,17.164,16.989,17.137,188306,0
2017-09-06,21:00:00,17.137,17.172,17.051,17.056,216295,0
2017-09-06,22:00:00,17.061,17.164,17.056,17.101,449316,0
2017-09-07,16:00:00,17.101,17.387,16.993,17.003,224445,0
2017-09-07,17:00:00,17.021,17.225,17.021,17.056,223747,0
2017-09-07,18:00:00,17.048,17.101,16.993,17.056,223417,0
2017-09-07,19:00:00,17.065,17.074,16.94,16.958,184453,0
2017-09-07,20:00:00,16.966,16.984,16.859,16.908,203095,0
2017-09-07,21:00:00,16.904,16.913,16.832,16.908,216744,0
2017-09-07,22:00:00,16.904,16.913,16.815,16.824,482314,0
2017-09-08,16:00:00,16.743,16.908,16.457,16.461,376905,0
2017-09-08,17:00:00,16.466,16.546,16.296,16.413,461294,0
2017-09-08,18:00:00,16.421,16.564,16.413,16.466,389140,0
2017-09-08,19:00:00,16.475,16.502,16.376,16.448,252574,0
2017-09-08,20:00:00,16.448,16.493,16.439,16.449,187001,0
2017-09-08,21:00:00,16.451,16.502,16.386,16.457,248096,0
2017-09-08,22:00:00,16.448,16.73,16.439,16.69,801614,0
2017-09-11,16:00:00,16.752,16.949,16.707,16.922,127172,0
2017-09-11,17:00:00,16.931,17.074,16.869,17.021,281565,0
2017-09-11,18:00:00,17.026,17.065,16.896,16.931,185923,0
2017-09-11,19:00:00,16.937,16.966,16.869,16.958,136965,0
2017-09-11,20:00:00,16.956,16.966,16.904,16.922,174705,0
2017-09-11,21:00:00,16.922,16.94,16.77,16.784,210540,0
2017-09-11,22:00:00,16.779,16.779,16.6,16.61,909004,0
2017-09-12,16:00:00,16.61,16.762,16.502,16.717,183393,0
2017-09-12,17:00:00,16.699,16.878,16.68,16.725,174731,0
2017-09-12,18:00:00,16.725,16.881,16.712,16.874,124824,0
2017-09-12,19:00:00,16.886,16.931,16.815,16.832,139784,0
2017-09-12,20:00:00,16.832,16.851,16.752,16.752,169209,0
2017-09-12,21:00:00,16.752,16.842,16.739,16.824,192911,0
2017-09-12,22:00:00,16.828,16.851,16.734,16.824,497631,0
2017-09-13,16:00:00,16.815,17.038,16.815,17.021,145483,0
2017-09-13,17:00:00,17.011,17.11,16.878,16.881,188615,0
2017-09-13,18:00:00,16.886,16.922,16.779,16.881,284329,0
2017-09-13,19:00:00,16.878,17.011,16.851,16.859,176682,0
2017-09-13,20:00:00,16.842,16.891,16.824,16.824,172314,0
2017-09-13,21:00:00,16.824,16.842,16.725,16.81,261956,0
2017-09-13,22:00:00,16.81,16.908,16.739,16.851,714233,0
2017-09-14,16:00:00,16.842,16.886,16.546,16.77,167059,0
2017-09-14,17:00:00,16.754,17.003,16.752,16.976,276113,0
2017-09-14,18:00:00,16.984,17.083,16.806,16.904,279024,0
2017-09-14,19:00:00,16.922,16.976,16.824,16.839,217441,0
2017-09-14,20:00:00,16.837,16.837,16.699,16.717,275957,0
2017-09-14,21:00:00,16.707,16.725,16.627,16.68,254957,0
2017-09-14,22:00:00,16.686,16.686,16.483,16.493,1000029,0
2017-09-15,16:00:00,16.466,16.672,16.421,16.645,243974,0
2017-09-15,17:00:00,16.641,16.837,16.636,16.686,416204,0
2017-09-15,18:00:00,16.68,16.699,16.483,16.556,352328,0
2017-09-15,19:00:00,16.546,16.583,16.502,16.51,217482,0
2017-09-15,20:00:00,16.502,16.573,16.493,16.56,255703,0
2017-09-15,21:00:00,16.556,16.56,16.498,16.51,317461,0
2017-09-15,22:00:00,16.506,16.546,16.413,16.457,1896940,0
2017-09-18,16:00:00,16.448,16.663,16.448,16.6,416217,0
2017-09-18,17:00:00,16.59,16.636,16.51,16.59,628126,0
2017-09-18,18:00:00,16.59,16.672,16.551,16.573,433263,0
2017-09-18,19:00:00,16.573,16.573,16.234,16.319,554020,0
2017-09-18,20:00:00,16.323,16.323,15.992,16.001,576308,0
2017-09-18,21:00:00,16.005,16.153,15.608,15.652,932453,0
2017-09-18,22:00:00,15.65,15.706,15.527,15.625,1993959,0
2017-09-19,16:00:00,15.696,15.831,15.206,15.223,1188149,0
2017-09-19,17:00:00,15.223,15.428,15.151,15.254,678981,0
2017-09-19,18:00:00,15.253,15.267,14.856,15,941731,0
