Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,21.09,21.58,21.07,21.53,326635,0
2017-09-05,17:00:00,21.53,21.56,21.18,21.295,490206,0
2017-09-05,18:00:00,21.29,21.6,21.265,21.57,465872,0
2017-09-05,19:00:00,21.57,21.66,21.505,21.53,683576,0
2017-09-05,20:00:00,21.53,21.71,21.505,21.705,957665,0
2017-09-05,21:00:00,21.705,21.75,21.63,21.71,568973,0
2017-09-05,22:00:00,21.705,21.87,21.705,21.87,1722538,0
2017-09-06,16:00:00,22.04,22.28,21.96,21.99,562488,0
2017-09-06,17:00:00,21.99,22.12,21.69,21.72,496283,0
2017-09-06,18:00:00,21.72,21.9,21.66,21.79,261668,0
2017-09-06,19:00:00,21.79,21.84,21.7,21.785,236412,0
2017-09-06,20:00:00,21.79,21.895,21.72,21.73,254522,0
2017-09-06,21:00:00,21.73,21.81,21.7,21.765,269532,0
2017-09-06,22:00:00,21.77,22.09,21.755,22.01,1504863,0
2017-09-07,16:00:00,22.34,22.37,22.06,22.095,449225,0
2017-09-07,17:00:00,22.095,22.1,21.63,21.66,672893,0
2017-09-07,18:00:00,21.6699,21.79,21.5748,21.665,400193,0
2017-09-07,19:00:00,21.67,21.81,21.58,21.79,317313,0
2017-09-07,20:00:00,21.795,21.82,21.72,21.79,239830,0
2017-09-07,21:00:00,21.78,21.88,21.77,21.875,260285,0
2017-09-07,22:00:00,21.87,22.05,21.84,21.99,722367,0
2017-09-08,16:00:00,21.85,21.96,21.68,21.85,199733,0
2017-09-08,17:00:00,21.85,21.905,21.49,21.57,447839,0
2017-09-08,18:00:00,21.57,21.695,21.505,21.51,314419,0
2017-09-08,19:00:00,21.51,21.59,21.32,21.57,370709,0
2017-09-08,20:00:00,21.57,21.76,21.56,21.66,286904,0
2017-09-08,21:00:00,21.66,21.765,21.66,21.68,314580,0
2017-09-08,22:00:00,21.68,21.77,21.56,21.62,1254744,0
2017-09-11,16:00:00,21.7,21.85,21.6,21.61,111951,0
2017-09-11,17:00:00,21.585,21.795,21.57,21.745,227770,0
2017-09-11,18:00:00,21.75,21.815,21.68,21.765,197417,0
2017-09-11,19:00:00,21.775,21.845,21.74,21.81,191137,0
2017-09-11,20:00:00,21.82,21.87,21.74,21.74,107447,0
2017-09-11,21:00:00,21.75,21.87,21.71,21.76,261425,0
2017-09-11,22:00:00,21.755,21.79,21.635,21.79,747604,0
2017-09-12,16:00:00,21.9,22.16,21.85,22,273269,0
2017-09-12,17:00:00,22.005,22.3,22.0007,22.24,331378,0
2017-09-12,18:00:00,22.245,22.38,22.17,22.36,317922,0
2017-09-12,19:00:00,22.365,22.61,22.3,22.56,483659,0
2017-09-12,20:00:00,22.56,22.7,22.52,22.59,376077,0
2017-09-12,21:00:00,22.585,22.59,22.36,22.41,370619,0
2017-09-12,22:00:00,22.42,22.475,22.33,22.46,889593,0
2017-09-13,16:00:00,22.51,23.17,22.5,23.15,487272,0
2017-09-13,17:00:00,23.155,23.205,22.76,22.98,761611,0
2017-09-13,18:00:00,22.99,23.245,22.89,23.17,458679,0
2017-09-13,19:00:00,23.17,23.595,23.085,23.56,1053736,0
2017-09-13,20:00:00,23.56,23.57,23.37,23.42,532928,0
2017-09-13,21:00:00,23.42,23.54,23.35,23.5385,528342,0
2017-09-13,22:00:00,23.53,23.65,23.5,23.54,1666774,0
2017-09-14,16:00:00,23.32,23.32,22.73,22.84,323450,0
2017-09-14,17:00:00,22.85,23.03,22.82,22.97,371925,0
2017-09-14,18:00:00,22.98,22.99,22.7465,22.88,286746,0
2017-09-14,19:00:00,22.88,22.895,22.77,22.77,296625,0
2017-09-14,20:00:00,22.77,22.8,22.675,22.785,187682,0
2017-09-14,21:00:00,22.785,22.92,22.73,22.8,246589,0
2017-09-14,22:00:00,22.8,22.82,22.73,22.77,637890,0
2017-09-15,16:00:00,22.94,23.04,22.55,22.99,325537,0
2017-09-15,17:00:00,22.98,22.99,22.74,22.755,196868,0
2017-09-15,18:00:00,22.755,22.81,22.69,22.77,143650,0
2017-09-15,19:00:00,22.77,22.805,22.72,22.73,126958,0
2017-09-15,20:00:00,22.74,22.77,22.67,22.68,123547,0
2017-09-15,21:00:00,22.69,22.75,22.665,22.735,185997,0
2017-09-15,22:00:00,22.74,22.83,22.7,22.76,1685127,0
2017-09-18,16:00:00,22.82,23.11,22.82,23.02,168461,0
2017-09-18,17:00:00,23.015,23.04,22.88,22.91,183181,0
2017-09-18,18:00:00,22.9025,22.905,22.58,22.67,258191,0
2017-09-18,19:00:00,22.66,22.7292,22.59,22.69,123204,0
2017-09-18,20:00:00,22.685,22.7,22.59,22.635,123784,0
2017-09-18,21:00:00,22.635,22.68,22.56,22.58,137851,0
2017-09-18,22:00:00,22.58,22.73,22.52,22.68,678776,0
2017-09-19,16:00:00,22.76,22.93,22.65,22.79,182663,0
2017-09-19,17:00:00,22.79,22.875,22.66,22.71,224854,0
2017-09-19,18:00:00,22.7,22.84,22.605,22.82,267454,0
2017-09-19,19:00:00,22.81,22.97,22.79,22.94,181049,0
2017-09-19,20:00:00,22.9366,22.98,22.84,22.86,251746,0
2017-09-19,21:00:00,22.86,22.95,22.85,22.88,178207,0
2017-09-19,22:00:00,22.89,23.12,22.855,23.09,830744,0
2017-09-20,16:00:00,23.06,23.08,22.65,22.96,129054,0
2017-09-20,17:00:00,22.97,23.12,22.93,23.12,144581,0
2017-09-20,18:00:00,23.12,23.3,23.08,23.21,144060,0
2017-09-20,19:00:00,23.21,23.28,23.175,23.22,128839,0
2017-09-20,20:00:00,23.22,23.25,23.13,23.2271,167884,0
2017-09-20,21:00:00,23.22,23.49,23.17,23.45,336917,0
2017-09-20,22:00:00,23.44,23.495,23.29,23.38,508665,0
2017-09-21,16:00:00,23.51,23.55,23.04,23.08,248518,0
2017-09-21,17:00:00,23.06,23.11,22.865,22.95,379098,0
2017-09-21,18:00:00,22.96,22.98,22.715,22.87,538549,0
2017-09-21,19:00:00,22.875,22.98,22.84,22.95,124179,0
2017-09-21,20:00:00,22.96,22.96,22.8,22.83,100380,0
2017-09-21,21:00:00,22.82,22.88,22.69,22.725,177034,0
2017-09-21,22:00:00,22.73,22.78,22.7,22.74,484789,0
2017-09-22,16:00:00,22.82,22.82,22.54,22.68,186181,0
2017-09-22,17:00:00,22.67,22.76,22.61,22.74,218579,0
2017-09-22,18:00:00,22.74,22.8,22.64,22.69,221695,0
2017-09-22,19:00:00,22.67,22.71,22.62,22.65,163352,0
2017-09-22,20:00:00,22.64,22.81,22.61,22.8,151246,0
2017-09-22,21:00:00,22.79,22.95,22.745,22.915,176063,0
2017-09-22,22:00:00,22.915,22.96,22.855,22.87,866959,0
2017-09-25,16:00:00,23.04,23.74,22.71,23.7,214383,0
2017-09-25,17:00:00,23.7,23.72,23.475,23.57,373615,0
2017-09-25,18:00:00,23.58,23.71,23.47,23.5,534911,0
