Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-09-19,18:00:00,25.711,25.731,25.691,25.711,3888,0
2016-09-19,21:00:00,25.634,25.654,25.634,25.654,3309,0
2016-09-20,17:00:00,25.761,25.761,25.731,25.731,307,0
2016-09-20,18:00:00,25.711,25.711,25.605,25.691,10344,0
2016-09-20,19:00:00,25.659,25.664,25.644,25.644,59759,0
2016-09-20,20:00:00,25.634,25.644,25.634,25.644,410,0
2016-09-20,21:00:00,25.672,25.672,25.654,25.654,410,0
2016-09-21,18:00:00,25.654,25.673,25.575,25.575,12995,0
2016-09-21,19:00:00,25.615,25.615,25.496,25.496,3274,0
2016-09-21,20:00:00,25.545,25.575,25.545,25.545,921,0
2016-09-21,21:00:00,25.691,25.691,25.691,25.691,102,0
2016-09-21,22:00:00,25.751,25.751,25.751,25.751,1566,0
2016-09-22,18:00:00,26.073,26.073,26.073,26.073,410,0
2016-09-22,19:00:00,26.065,26.065,26.065,26.065,191,0
2016-09-23,16:00:00,25.985,26.014,25.985,25.985,2912,0
2016-09-23,17:00:00,25.991,26.028,25.991,26.028,1131,0
2016-09-23,18:00:00,26.03,26.093,26.03,26.063,9455,0
2016-09-23,19:00:00,26.054,26.073,26.054,26.073,2179,0
2016-09-26,16:00:00,25.909,25.927,25.899,25.922,16311,0
2016-09-26,18:00:00,25.845,25.894,25.845,25.894,307,0
2016-09-26,19:00:00,25.89,25.946,25.89,25.946,1433,0
2016-09-27,17:00:00,25.956,25.965,25.899,25.899,1320,0
2016-09-28,22:00:00,26.034,26.034,26.034,26.034,112,0
2016-09-29,17:00:00,25.946,25.995,25.946,25.995,3349,0
2016-09-29,19:00:00,25.946,25.956,25.879,25.879,2431,0
2016-09-29,20:00:00,25.746,25.84,25.746,25.82,8492,0
2016-09-30,16:00:00,25.8,25.873,25.79,25.8,6673,0
2016-09-30,17:00:00,25.83,25.83,25.83,25.83,102,0
2016-09-30,18:00:00,25.894,25.899,25.884,25.889,2661,0
2016-09-30,21:00:00,25.941,25.941,25.941,25.941,102,0
2016-10-03,17:00:00,25.795,25.849,25.795,25.83,12795,0
2016-10-03,20:00:00,25.711,25.79,25.711,25.78,29985,0
2016-10-03,22:00:00,25.731,25.756,25.731,25.746,921,0
2016-10-04,17:00:00,25.741,25.741,25.721,25.721,5817,0
2016-10-04,19:00:00,25.644,25.664,25.644,25.644,1739,0
2016-10-05,16:00:00,25.711,25.721,25.711,25.721,613,0
2016-10-05,17:00:00,25.711,25.711,25.701,25.701,690,0
2016-10-06,20:00:00,25.664,25.677,25.644,25.664,3070,0
2016-10-06,22:00:00,25.634,25.634,25.595,25.595,1591,0
2016-10-07,16:00:00,25.664,25.664,25.664,25.664,169,0
2016-10-07,20:00:00,25.595,25.595,25.595,25.595,102,0
2016-10-07,21:00:00,25.61,25.625,25.61,25.625,613,0
2016-10-07,22:00:00,25.585,25.605,25.565,25.565,613,0
2016-10-11,16:00:00,25.615,25.654,25.585,25.615,2385,0
2016-10-11,18:00:00,25.447,25.457,25.447,25.457,1382,0
2016-10-11,20:00:00,25.342,25.342,25.322,25.342,3981,0
2016-10-12,16:00:00,25.379,25.398,25.379,25.398,3893,0
2016-10-12,17:00:00,25.437,25.437,25.437,25.437,204,0
2016-10-12,19:00:00,25.457,25.457,25.457,25.457,102,0
2016-10-12,22:00:00,25.467,25.467,25.467,25.467,102,0
2016-10-13,20:00:00,25.447,25.447,25.447,25.447,204,0
2016-10-14,17:00:00,25.525,25.555,25.525,25.555,7257,0
2016-10-14,21:00:00,25.457,25.457,25.457,25.457,204,0
2016-10-17,16:00:00,25.312,25.312,25.312,25.312,613,0
2016-10-17,22:00:00,25.398,25.412,25.398,25.412,204,0
2016-10-18,18:00:00,25.496,25.496,25.496,25.496,410,0
2016-10-19,17:00:00,25.477,25.477,25.477,25.477,102,0
2016-10-19,18:00:00,25.57,25.595,25.555,25.555,3274,0
2016-10-19,19:00:00,25.56,25.575,25.545,25.545,2353,0
2016-10-20,16:00:00,25.605,25.605,25.467,25.58,2897,0
2016-10-20,17:00:00,25.575,25.585,25.575,25.585,512,0
2016-10-20,19:00:00,25.477,25.506,25.477,25.477,5322,0
2016-10-20,20:00:00,25.516,25.516,25.516,25.516,204,0
2016-10-20,22:00:00,25.487,25.516,25.487,25.516,953,0
2016-10-24,18:00:00,25.526,25.526,25.506,25.506,1043,0
2016-10-24,19:00:00,25.511,25.511,25.511,25.511,204,0
2016-10-25,18:00:00,25.467,25.467,25.447,25.447,56009,0
2016-10-25,19:00:00,25.437,25.472,25.379,25.472,1944,0
2016-10-25,22:00:00,25.417,25.417,25.398,25.408,921,0
2016-10-26,17:00:00,25.379,25.379,25.312,25.312,958,0
2016-10-26,18:00:00,25.408,25.408,25.408,25.408,102,0
2016-10-27,18:00:00,25.155,25.155,25.155,25.155,205,0
2016-10-27,19:00:00,25.185,25.205,25.145,25.145,5448,0
2016-10-27,20:00:00,25.145,25.205,25.145,25.185,5730,0
2016-10-27,21:00:00,25.214,25.214,25.214,25.214,10504,0
2016-10-28,21:00:00,25.165,25.195,25.165,25.185,13768,0
2016-10-31,16:00:00,25.293,25.312,25.243,25.243,4952,0
2016-10-31,17:00:00,25.283,25.361,25.283,25.361,7991,0
2016-10-31,18:00:00,25.337,25.337,25.337,25.337,184,0
2016-10-31,20:00:00,25.322,25.347,25.293,25.293,1330,0
2016-10-31,21:00:00,25.361,25.379,25.342,25.351,3582,0
2016-11-01,16:00:00,25.283,25.303,25.273,25.273,5705,0
2016-11-01,17:00:00,25.283,25.303,25.214,25.214,2251,0
2016-11-01,19:00:00,25.141,25.141,25.141,25.141,204,0
2016-11-02,17:00:00,25.059,25.136,25.059,25.086,1398,0
2016-11-02,19:00:00,25.039,25.039,25.039,25.039,1944,0
2016-11-02,20:00:00,25.126,25.155,24.999,25.077,9430,0
2016-11-03,15:00:00,24.999,25.019,24.999,25.019,19406,0
2016-11-03,16:00:00,25.024,25.029,25.024,25.029,1023,0
2016-11-03,18:00:00,24.994,24.994,24.934,24.934,3274,0
2016-11-03,20:00:00,24.872,24.872,24.843,24.843,1023,0
2016-11-03,21:00:00,24.863,24.872,24.765,24.813,3376,0
2016-11-04,16:00:00,24.959,24.959,24.959,24.959,194,0
2016-11-07,17:00:00,25.205,25.205,25.205,25.205,230,0
2016-11-09,22:00:00,25.437,25.437,25.437,25.437,102,0
2016-11-10,17:00:00,25.575,25.575,25.575,25.575,102,0
2016-11-10,18:00:00,25.526,25.526,25.487,25.487,347,0
2016-11-10,21:00:00,25.575,25.575,25.565,25.565,403,0
2016-11-10,22:00:00,25.585,25.595,25.585,25.595,225,0
2016-11-14,17:00:00,25.849,25.869,25.849,25.869,1023,0
2016-11-14,18:00:00,25.899,25.927,25.899,25.927,204,0
2016-11-14,19:00:00,25.889,25.889,25.859,25.889,716,0
2016-11-15,16:00:00,25.899,25.899,25.899,25.899,102,0
2016-11-15,22:00:00,26.054,26.054,26.054,26.054,87433,0
2016-11-16,16:00:00,26.083,26.083,26.014,26.014,307,0
2016-11-16,17:00:00,25.937,26.014,25.927,26.004,11563,0
2016-11-16,18:00:00,25.985,25.985,25.985,25.985,3991,0
2016-11-17,17:00:00,26.093,26.103,26.063,26.063,2047,0
2016-11-17,22:00:00,26.073,26.073,26.073,26.073,362,0
2016-11-18,18:00:00,26.004,26.004,25.995,25.995,358,0
2016-11-18,20:00:00,25.975,26.014,25.975,26.014,285,0
2016-11-21,17:00:00,26.153,26.153,26.133,26.133,1362,0
2016-11-21,19:00:00,26.133,26.133,26.133,26.133,181,0
2016-11-21,21:00:00,26.201,26.201,26.201,26.201,685,0
2016-11-22,17:00:00,26.318,26.318,26.318,26.318,15999,0
2016-11-22,18:00:00,26.279,26.279,26.279,26.279,1126,0
2016-11-22,19:00:00,26.299,26.299,26.299,26.299,7644,0
2016-11-22,21:00:00,26.318,26.318,26.318,26.318,921,0
2016-11-23,16:00:00,26.299,26.299,26.299,26.299,102,0
2016-11-23,17:00:00,26.337,26.357,26.337,26.357,512,0
2016-11-23,18:00:00,26.328,26.328,26.294,26.309,26248,0
2016-11-23,19:00:00,26.328,26.328,26.328,26.328,5608,0
2016-11-23,21:00:00,26.352,26.366,26.347,26.366,2824,0
2016-11-23,22:00:00,26.357,26.357,26.357,26.357,464,0
2016-11-28,17:00:00,26.493,26.493,26.466,26.466,1811,0
2016-11-28,18:00:00,26.407,26.407,26.407,26.407,204,0
2016-11-28,20:00:00,26.377,26.377,26.377,26.377,102,0
2016-11-29,18:00:00,26.456,26.456,26.427,26.427,5239,0
2016-11-29,19:00:00,26.543,26.543,26.543,26.543,307,0
2016-11-30,19:00:00,26.328,26.367,26.328,26.337,5117,0
2016-11-30,20:00:00,26.342,26.342,26.337,26.342,1023,0
2016-11-30,21:00:00,26.337,26.337,26.245,26.299,2527,0
2016-11-30,22:00:00,26.299,26.299,26.299,26.299,1739,0
2016-12-01,17:00:00,26.279,26.279,26.25,26.254,1278,0
2016-12-01,18:00:00,26.269,26.269,26.24,26.24,1791,0
2016-12-01,20:00:00,26.133,26.153,26.133,26.153,1126,0
2016-12-01,21:00:00,26.158,26.158,26.118,26.153,8084,0
2016-12-01,22:00:00,26.148,26.153,26.123,26.133,7469,0
2016-12-02,18:00:00,26.299,26.299,26.299,26.299,18961,0
2016-12-02,21:00:00,26.192,26.21,26.192,26.21,800,0
2016-12-02,22:00:00,26.23,26.23,26.23,26.23,102,0
2016-12-05,18:00:00,26.367,26.367,26.367,26.367,3685,0
2016-12-05,19:00:00,26.299,26.377,26.289,26.357,1433,0
2016-12-05,20:00:00,26.304,26.304,26.294,26.304,1023,0
2016-12-05,21:00:00,26.347,26.347,26.347,26.347,1535,0
2016-12-06,18:00:00,26.417,26.417,26.407,26.417,2600,0
2016-12-06,20:00:00,26.474,26.488,26.397,26.488,5046,0
2016-12-06,21:00:00,26.503,26.503,26.456,26.503,6753,0
2016-12-06,22:00:00,26.503,26.503,26.503,26.503,716,0
2016-12-07,16:00:00,26.503,26.592,26.474,26.592,737,0
2016-12-07,19:00:00,26.679,26.699,26.679,26.699,2456,0
2016-12-07,21:00:00,26.714,26.714,26.709,26.709,3274,0
2016-12-07,22:00:00,26.855,26.855,26.855,26.855,102,0
2016-12-08,16:00:00,26.787,26.885,26.787,26.885,2788,0
2016-12-08,19:00:00,26.885,26.982,26.885,26.982,820,0
2016-12-09,16:00:00,26.982,27.07,26.982,27.07,1309,0
2016-12-09,21:00:00,26.982,26.982,26.962,26.962,644,0
2016-12-12,17:00:00,26.953,27.05,26.95,26.982,1233,0
2016-12-12,18:00:00,26.982,27.002,26.958,26.958,6482,0
2016-12-13,16:00:00,27.105,27.105,27.105,27.105,235,0
2016-12-13,17:00:00,27,27,27,27,143,0
2016-12-14,17:00:00,26.914,26.962,26.914,26.939,3274,0
2016-12-14,18:00:00,26.863,26.929,26.863,26.9,2451,0
2016-12-14,22:00:00,26.699,26.699,26.699,26.699,410,0
2016-12-15,16:00:00,26.612,26.612,26.612,26.612,204,0
2016-12-15,18:00:00,26.784,26.784,26.784,26.784,179,0
2016-12-15,20:00:00,26.734,26.777,26.734,26.777,2353,0
2016-12-15,21:00:00,26.777,26.826,26.777,26.826,6242,0
2016-12-15,22:00:00,26.806,26.806,26.767,26.777,5730,0
2016-12-16,18:00:00,26.905,26.905,26.782,26.782,3154,0
2016-12-16,22:00:00,26.64,26.64,26.64,26.64,147,0
2016-12-19,16:00:00,26.974,26.974,26.729,26.729,223,0
2016-12-19,17:00:00,26.837,26.896,26.837,26.896,391,0
2016-12-19,18:00:00,26.91,26.925,26.91,26.925,24512,0
2016-12-19,21:00:00,26.827,26.827,26.822,26.822,509,0
2016-12-20,18:00:00,26.95,26.984,26.95,26.95,30171,0
2016-12-20,19:00:00,26.964,26.964,26.891,26.891,3661,0
2016-12-20,21:00:00,26.925,26.974,26.925,26.974,3499,0
2016-12-20,22:00:00,26.856,26.955,26.856,26.955,5004,0
2016-12-21,16:00:00,26.915,26.915,26.915,26.915,1251,0
2016-12-21,17:00:00,26.94,26.984,26.94,26.984,15523,0
2016-12-21,18:00:00,26.955,26.955,26.915,26.955,7351,0
2016-12-21,19:00:00,26.964,26.964,26.964,26.964,101,0
2016-12-21,21:00:00,26.886,26.886,26.886,26.886,254,0
2016-12-21,22:00:00,26.886,26.886,26.886,26.886,101,0
2016-12-22,16:00:00,26.827,26.827,26.827,26.827,101,0
2016-12-22,17:00:00,26.777,26.797,26.758,26.758,815,0
2016-12-22,18:00:00,26.719,26.719,26.719,26.719,101,0
2016-12-22,19:00:00,26.719,26.719,26.719,26.719,101,0
2016-12-22,20:00:00,26.739,26.777,26.739,26.777,3560,0
2016-12-22,21:00:00,26.777,26.777,26.709,26.709,946,0
2016-12-22,22:00:00,26.758,26.758,26.758,26.758,101,0
2016-12-23,17:00:00,26.719,26.762,26.719,26.762,1007,0
2016-12-27,16:00:00,26.896,26.896,26.896,26.896,101,0
2016-12-27,22:00:00,26.896,26.896,26.798,26.798,690,0
2016-12-28,18:00:00,26.679,26.679,26.679,26.679,203,0
2016-12-29,17:00:00,26.67,26.67,26.67,26.67,168,0
2017-01-03,17:00:00,26.777,26.777,26.777,26.777,3050,0
2017-01-03,21:00:00,26.739,26.739,26.739,26.739,101,0
2017-01-04,18:00:00,27.033,27.033,27.023,27.023,650,0
2017-01-04,21:00:00,27.033,27.075,27.004,27.075,2606,0
2017-01-04,22:00:00,27.072,27.072,27.072,27.072,111,0
2017-01-05,17:00:00,26.994,27.052,26.994,27.052,1536,0
2017-01-05,18:00:00,27.04,27.044,27.013,27.042,3605,0
2017-01-05,22:00:00,26.984,26.984,26.955,26.955,1220,0
2017-01-06,16:00:00,27.122,27.122,26.994,27.013,315,0
2017-01-09,16:00:00,26.945,26.955,26.866,26.866,2950,0
2017-01-09,21:00:00,26.867,26.867,26.867,26.867,355,0
2017-01-11,17:00:00,26.876,26.935,26.856,26.935,1079,0
2017-01-12,17:00:00,26.777,26.787,26.767,26.787,2645,0
2017-01-12,21:00:00,26.905,26.955,26.905,26.95,4169,0
2017-01-12,22:00:00,26.945,26.955,26.945,26.955,396,0
2017-01-17,16:00:00,27.023,27.023,27.023,27.023,142,0
2017-01-17,17:00:00,27.066,27.066,27.066,27.066,740,0
2017-01-17,22:00:00,26.984,26.984,26.984,26.984,101,0
2017-01-18,16:00:00,27.033,27.033,27.033,27.033,686,0
2017-01-19,18:00:00,26.964,26.964,26.964,26.964,4067,0
2017-01-20,19:00:00,26.974,26.974,26.974,26.974,683,0
2017-01-20,20:00:00,26.994,26.994,26.994,26.994,660,0
2017-01-20,21:00:00,26.964,26.964,26.964,26.964,244,0
2017-01-24,17:00:00,27.004,27.072,26.955,26.955,6162,0
2017-01-24,18:00:00,26.984,27.004,26.955,27.004,6814,0
2017-01-25,18:00:00,27.27,27.289,27.27,27.289,509,0
2017-01-25,19:00:00,27.21,27.25,27.21,27.25,1526,0
2017-01-25,21:00:00,27.24,27.27,27.24,27.27,406,0
2017-01-25,22:00:00,27.22,27.22,27.2,27.2,1017,0
2017-01-26,16:00:00,27.299,27.309,27.26,27.294,3457,0
2017-01-26,17:00:00,27.309,27.338,27.22,27.225,5186,0
2017-01-26,18:00:00,27.21,27.22,27.21,27.21,1526,0
2017-01-26,19:00:00,27.102,27.102,27.102,27.102,101,0
2017-01-27,17:00:00,27.102,27.102,27.013,27.013,224,0
2017-01-27,18:00:00,27.013,27.013,27.013,27.013,101,0
2017-01-30,16:00:00,27.102,27.102,27.102,27.102,101,0
2017-01-30,18:00:00,26.787,26.787,26.787,26.787,142,0
2017-01-31,16:00:00,26.785,26.785,26.785,26.785,101,0
2017-01-31,18:00:00,26.905,26.964,26.886,26.964,16976,0
2017-02-01,18:00:00,26.974,26.974,26.974,26.974,1007,0
2017-02-01,21:00:00,26.925,26.925,26.905,26.905,1464,0
2017-02-02,17:00:00,26.925,26.994,26.905,26.994,5242,0
2017-02-02,19:00:00,27.042,27.042,26.964,26.969,3967,0
2017-02-02,20:00:00,26.955,26.955,26.955,26.955,101,0
2017-02-03,18:00:00,27.171,27.171,27.151,27.151,2080,0
2017-02-03,20:00:00,27.189,27.189,27.189,27.189,203,0
2017-02-06,17:00:00,27.185,27.23,27.185,27.21,5086,0
2017-02-06,18:00:00,27.21,27.21,27.21,27.21,509,0
2017-02-06,21:00:00,27.102,27.102,27.092,27.092,1119,0
2017-02-06,22:00:00,27.102,27.102,27.092,27.092,305,0
2017-02-07,21:00:00,27.092,27.092,27.082,27.082,7321,0
2017-02-07,22:00:00,27.141,27.141,27.137,27.141,664,0
2017-02-08,19:00:00,27.141,27.141,27.112,27.112,915,0
2017-02-09,16:00:00,27.348,27.348,27.348,27.348,101,0
2017-02-09,18:00:00,27.373,27.418,27.373,27.418,305,0
2017-02-09,19:00:00,27.358,27.358,27.338,27.338,406,0
2017-02-10,21:00:00,27.495,27.495,27.485,27.485,544,0
2017-02-10,22:00:00,27.53,27.53,27.485,27.485,2846,0
2017-02-13,16:00:00,27.584,27.584,27.584,27.584,2950,0
2017-02-13,18:00:00,27.559,27.559,27.535,27.535,4621,0
2017-02-13,21:00:00,27.559,27.559,27.549,27.549,509,0
2017-02-14,16:00:00,27.564,27.574,27.564,27.574,3309,0
2017-02-14,20:00:00,27.525,27.525,27.525,27.525,101,0
2017-02-14,21:00:00,27.574,27.574,27.535,27.535,1364,0
2017-02-16,18:00:00,27.673,27.693,27.604,27.604,6986,0
2017-02-21,22:00:00,27.959,27.979,27.959,27.979,406,0
2017-02-22,19:00:00,27.83,27.87,27.83,27.84,2033,0
2017-02-22,21:00:00,27.894,27.909,27.88,27.88,1322,0
2017-02-22,22:00:00,27.88,27.88,27.88,27.88,406,0
2017-02-23,17:00:00,27.999,27.999,27.87,27.959,1322,0
2017-02-23,21:00:00,27.939,27.939,27.939,27.939,203,0
2017-02-24,16:00:00,27.959,27.959,27.959,27.959,1779,0
2017-02-24,18:00:00,27.959,27.959,27.959,27.959,101,0
2017-02-24,20:00:00,27.984,27.984,27.979,27.979,712,0
2017-02-27,16:00:00,28.027,28.119,28.027,28.119,7606,0
2017-02-27,21:00:00,28.084,28.094,28.074,28.074,6265,0
2017-02-27,22:00:00,28.114,28.114,28.114,28.114,101,0
2017-02-28,17:00:00,28.055,28.055,28.055,28.055,101,0
2017-02-28,19:00:00,27.969,27.969,27.959,27.959,2283,0
2017-02-28,21:00:00,27.949,27.974,27.919,27.919,12081,0
2017-03-01,17:00:00,28.139,28.139,28.084,28.084,4196,0
2017-03-01,18:00:00,28.094,28.094,28.094,28.094,23433,0
2017-03-02,16:00:00,28.017,28.017,28.017,28.017,101,0
2017-03-02,18:00:00,28.094,28.094,28.055,28.055,4967,0
2017-03-03,22:00:00,28.017,28.017,28.017,28.017,101,0
2017-03-06,18:00:00,27.89,27.909,27.89,27.909,1017,0
