Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,63.631,63.645,63.518,63.522,8082,0
2017-09-05,17:00:00,63.528,63.651,63.485,63.485,11604,0
2017-09-05,18:00:00,63.572,63.572,63.455,63.47,7968,0
2017-09-05,19:00:00,63.455,63.455,63.111,63.158,9086,0
2017-09-05,20:00:00,63.151,63.186,63.023,63.144,7146,0
2017-09-05,21:00:00,63.2,63.271,63.175,63.238,12461,0
2017-09-05,22:00:00,63.238,63.298,63.19,63.298,32236,0
2017-09-06,16:00:00,63.465,63.485,63.462,63.47,8586,0
2017-09-06,17:00:00,63.592,63.659,63.513,63.641,5317,0
2017-09-06,18:00:00,63.635,63.635,63.582,63.582,8236,0
2017-09-06,19:00:00,63.687,63.717,63.612,63.612,7001,0
2017-09-06,20:00:00,63.646,63.739,63.621,63.739,4050,0
2017-09-06,21:00:00,63.709,63.724,63.699,63.699,3333,0
2017-09-06,22:00:00,63.699,63.719,63.651,63.67,12255,0
2017-09-07,16:00:00,64.023,64.1,63.994,64.032,4995,0
2017-09-07,17:00:00,63.994,64.083,63.944,64.083,9307,0
2017-09-07,18:00:00,64.08,64.121,64.042,64.042,9864,0
2017-09-07,19:00:00,64.023,64.023,63.944,63.944,2083,0
2017-09-07,20:00:00,63.989,64.023,63.944,64.019,13636,0
2017-09-07,21:00:00,64.021,64.042,63.974,63.994,17223,0
2017-09-07,22:00:00,64,64.062,63.994,64.023,12842,0
2017-09-08,16:00:00,64.209,64.218,64.151,64.156,3307,0
2017-09-08,17:00:00,64.161,64.218,64.091,64.095,3282,0
2017-09-08,18:00:00,64.042,64.141,64.042,64.131,7106,0
2017-09-08,19:00:00,64.131,64.136,64.091,64.091,3285,0
2017-09-08,20:00:00,64.116,64.116,64.032,64.032,7378,0
2017-09-08,21:00:00,64.042,64.081,64.03,64.071,6936,0
2017-09-08,22:00:00,64.09,64.09,63.964,64.023,10344,0
2017-09-11,16:00:00,64.444,64.523,64.405,64.523,5207,0
2017-09-11,17:00:00,64.532,64.542,64.454,64.513,7021,0
2017-09-11,18:00:00,64.489,64.503,64.444,64.503,6389,0
2017-09-11,19:00:00,64.475,64.631,64.475,64.631,14859,0
2017-09-11,20:00:00,64.631,64.631,64.591,64.601,2464,0
2017-09-11,21:00:00,64.621,64.621,64.532,64.564,4404,0
2017-09-11,22:00:00,64.577,64.591,64.474,64.552,4372,0
2017-09-12,16:00:00,64.65,64.67,64.591,64.65,3493,0
2017-09-12,17:00:00,64.65,64.716,64.621,64.69,3936,0
2017-09-12,18:00:00,64.655,64.721,64.631,64.721,2202,0
2017-09-12,19:00:00,64.758,64.758,64.698,64.718,4992,0
2017-09-12,20:00:00,64.738,64.758,64.722,64.735,7646,0
2017-09-12,21:00:00,64.723,64.738,64.68,64.702,5603,0
2017-09-12,22:00:00,64.68,64.699,64.631,64.648,6058,0
2017-09-13,16:00:00,64.562,64.638,64.562,64.611,3407,0
2017-09-13,17:00:00,64.601,64.631,64.454,64.498,7918,0
2017-09-13,18:00:00,64.464,64.541,64.317,64.385,7032,0
2017-09-13,19:00:00,64.365,64.365,64.297,64.337,2602,0
2017-09-13,20:00:00,64.337,64.424,64.337,64.385,3218,0
2017-09-13,21:00:00,64.385,64.395,64.347,64.378,5371,0
2017-09-13,22:00:00,64.37,64.39,64.347,64.347,5134,0
2017-09-14,16:00:00,64.268,64.374,64.268,64.337,3705,0
2017-09-14,17:00:00,64.355,64.385,64.332,64.365,7848,0
2017-09-14,18:00:00,64.385,64.444,64.34,64.375,45883,0
2017-09-14,19:00:00,64.385,64.405,64.347,64.389,4073,0
2017-09-14,20:00:00,64.415,64.444,64.385,64.4,4783,0
2017-09-14,21:00:00,64.484,64.503,64.395,64.466,2868,0
2017-09-14,22:00:00,64.45,64.523,64.407,64.523,7310,0
2017-09-15,16:00:00,64.581,64.631,64.571,64.571,5721,0
2017-09-15,17:00:00,64.601,64.601,64.464,64.564,8036,0
2017-09-15,18:00:00,64.54,64.585,64.515,64.585,2078,0
2017-09-15,19:00:00,64.575,64.581,64.537,64.557,4464,0
2017-09-15,20:00:00,64.547,64.562,64.506,64.552,2849,0
2017-09-15,21:00:00,64.562,64.601,64.512,64.591,1259,0
2017-09-15,22:00:00,64.611,64.648,64.601,64.64,5239,0
2017-09-18,16:00:00,64.836,64.856,64.69,64.851,10687,0
2017-09-18,17:00:00,64.856,64.874,64.734,64.734,9060,0
2017-09-18,18:00:00,64.692,64.728,64.656,64.656,6539,0
2017-09-18,19:00:00,64.611,64.658,64.549,64.611,18255,0
2017-09-18,20:00:00,64.611,64.679,64.61,64.621,4931,0
2017-09-18,21:00:00,64.611,64.621,64.539,64.621,8511,0
2017-09-18,22:00:00,64.623,64.688,64.621,64.642,3367,0
2017-09-19,16:00:00,64.944,64.944,64.835,64.856,7419,0
2017-09-19,17:00:00,64.846,64.895,64.813,64.817,1014,0
2017-09-19,18:00:00,64.775,64.877,64.775,64.865,3438,0
2017-09-19,19:00:00,64.885,64.885,64.796,64.851,3336,0
2017-09-19,20:00:00,64.832,64.916,64.817,64.916,5660,0
2017-09-19,21:00:00,64.924,64.99,64.91,64.961,7055,0
2017-09-19,22:00:00,64.944,64.97,64.914,64.924,7695,0
2017-09-20,16:00:00,65.013,65.013,64.924,64.924,9729,0
2017-09-20,17:00:00,64.9,64.952,64.885,64.934,3513,0
2017-09-20,18:00:00,64.944,64.983,64.885,64.983,4407,0
2017-09-20,19:00:00,64.983,65.023,64.954,65.023,2843,0
2017-09-20,20:00:00,65.013,65.052,64.964,65.052,4005,0
2017-09-20,21:00:00,65.12,65.12,64.347,64.552,11115,0
2017-09-20,22:00:00,64.542,64.797,64.542,64.753,6689,0
2017-09-21,16:00:00,64.875,64.875,64.68,64.68,5041,0
2017-09-21,17:00:00,64.708,64.767,64.708,64.753,4712,0
2017-09-21,18:00:00,64.773,64.846,64.758,64.787,4897,0
2017-09-21,19:00:00,64.832,64.885,64.787,64.856,2743,0
2017-09-21,20:00:00,64.856,64.886,64.797,64.865,3951,0
2017-09-21,21:00:00,64.862,64.863,64.807,64.827,35296,0
2017-09-21,22:00:00,64.832,64.881,64.768,64.768,49045,0
2017-09-22,16:00:00,64.896,64.975,64.896,64.92,3600,0
2017-09-22,17:00:00,64.915,65.031,64.866,64.93,7214,0
2017-09-22,18:00:00,64.933,64.955,64.857,64.935,2240,0
2017-09-22,19:00:00,64.935,64.965,64.827,64.875,5518,0
2017-09-22,20:00:00,64.86,64.875,64.807,64.857,6768,0
2017-09-22,21:00:00,64.868,64.905,64.822,64.905,10669,0
2017-09-22,22:00:00,64.91,64.91,64.827,64.866,8064,0
2017-09-25,16:00:00,64.659,64.668,64.56,64.6,5969,0
2017-09-25,17:00:00,64.634,64.693,64.511,64.554,3490,0
2017-09-25,18:00:00,64.492,64.521,64.382,64.392,7213,0
2017-09-25,19:00:00,64.314,64.462,64.314,64.462,7249,0
2017-09-25,20:00:00,64.412,64.452,64.392,64.422,4717,0
2017-09-25,21:00:00,64.442,64.452,64.344,64.438,8462,0
2017-09-25,22:00:00,64.407,64.462,64.372,64.422,10085,0
2017-09-26,16:00:00,64.412,64.422,64.304,64.304,11613,0
2017-09-26,17:00:00,64.351,64.398,64.254,64.254,3667,0
