Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-07-25,17:00:00,6.843,6.881,6.843,6.881,250,0
2017-07-25,19:00:00,6.9,7,6.9,6.93,13600,0
2017-07-25,20:00:00,6.98,7.14,6.98,7.14,11404,0
2017-07-25,21:00:00,7.1203,7.1203,7.1203,7.1203,365,0
2017-07-25,22:00:00,7.08,7.08,7.08,7.08,1,0
2017-07-26,16:00:00,7,7,7,7,600,0
2017-07-26,17:00:00,7,7.1099,7,7.1099,2502,0
2017-07-26,21:00:00,7.1,7.1,7.1,7.1,1000,0
2017-07-26,22:00:00,7.125,7.14,7.125,7.14,362,0
2017-07-27,18:00:00,7.05,7.05,7.05,7.05,2575,0
2017-07-27,22:00:00,6.7501,7.1,6.7501,7.1,10800,0
2017-07-28,16:00:00,7.15,7.15,6.99,6.99,19534,0
2017-07-28,19:00:00,6.97,7,6.8,6.8,3400,0
2017-07-28,21:00:00,6.8932,6.9,6.84,6.84,3525,0
2017-07-31,17:00:00,6.72,6.72,6.711,6.711,1417,0
2017-07-31,18:00:00,6.76,6.9,6.76,6.9,1200,0
2017-07-31,22:00:00,6.89,6.89,6.89,6.89,200,0
2017-08-01,16:00:00,6.83,6.83,6.83,6.83,175,0
2017-08-01,22:00:00,6.83,6.83,6.83,6.83,175,0
2017-08-02,16:00:00,6.84,6.84,6.84,6.84,100,0
2017-08-03,20:00:00,6.6,6.725,6.6,6.6,5000,0
2017-08-03,22:00:00,6.6,6.603,6.6,6.6008,2000,0
2017-08-04,16:00:00,6.6,6.6,6.6,6.6,1300,0
2017-08-04,17:00:00,6.51,6.59,6.51,6.51,1602,0
2017-08-04,18:00:00,6.4,6.4,6.4,6.4,100,0
2017-08-04,22:00:00,6.38,6.38,6.38,6.38,300,0
2017-08-07,16:00:00,6.48,6.48,6.09,6.2,927,0
2017-08-07,17:00:00,6.5875,6.5875,6.5875,6.5875,183,0
2017-08-08,16:00:00,6.58,6.58,6.58,6.58,500,0
2017-08-08,21:00:00,6.379,6.379,6.379,6.379,1000,0
2017-08-08,22:00:00,6.35,6.37,6.35,6.37,419,0
2017-08-09,16:00:00,6.05,6.05,6.05,6.05,304,0
2017-08-09,17:00:00,6.05,6.6,6.01,6.6,4792,0
2017-08-09,18:00:00,6.3799,6.38,6.3799,6.38,685,0
2017-08-09,20:00:00,6.38,6.38,6.38,6.38,915,0
2017-08-09,21:00:00,6.697,7.43,6.697,7.25,3843,0
2017-08-09,22:00:00,7.08,7.08,6.73,6.98,5906,0
2017-08-10,16:00:00,6.99,6.9907,6.9507,6.9907,5241,0
2017-08-10,21:00:00,6.51,6.69,6.2888,6.69,5400,0
2017-08-10,22:00:00,6.69,6.7,6.5,6.5,4292,0
2017-08-11,16:00:00,7.0259,7.0259,6.8237,6.8237,2550,0
2017-08-11,17:00:00,6.25,6.56,6.2436,6.3,11017,0
