Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,21.62,21.68,21.53,21.56,2165,0
2017-09-06,17:00:00,21.61,21.61,21.29,21.34,9698,0
2017-09-06,18:00:00,21.445,21.5,21.295,21.47,9369,0
2017-09-06,19:00:00,21.5,21.56,21.465,21.495,4670,0
2017-09-06,20:00:00,21.49,21.78,21.49,21.74,7942,0
2017-09-06,21:00:00,21.72,21.84,21.7,21.8,8343,0
2017-09-06,22:00:00,21.8027,21.84,21.72,21.83,38060,0
2017-09-07,16:00:00,21.81,21.82,21.65,21.77,2355,0
2017-09-07,17:00:00,21.7,21.87,21.58,21.865,6432,0
2017-09-07,18:00:00,21.89,21.93,21.75,21.75,5400,0
2017-09-07,19:00:00,21.75,21.89,21.71,21.84,5123,0
2017-09-07,20:00:00,21.82,21.9,21.69,21.69,3397,0
2017-09-07,21:00:00,21.7,21.82,21.65,21.82,5254,0
2017-09-07,22:00:00,21.83,21.99,21.82,21.91,26285,0
2017-09-08,16:00:00,21.85,22.1,21.85,22.0475,2316,0
2017-09-08,17:00:00,21.9,22,21.74,22,22384,0
2017-09-08,18:00:00,22,22.32,21.72,22.25,10200,0
2017-09-08,19:00:00,22.15,22.25,22.035,22.25,3700,0
2017-09-08,20:00:00,22.22,22.29,22.18,22.29,9884,0
2017-09-08,21:00:00,22.275,22.275,22.09,22.24,5239,0
2017-09-08,22:00:00,22.225,22.31,22.12,22.3,27334,0
2017-09-11,16:00:00,22.34,22.765,22.22,22.62,5657,0
2017-09-11,17:00:00,22.62,22.62,22.22,22.44,11031,0
2017-09-11,18:00:00,22.4,22.68,22.4,22.68,5100,0
2017-09-11,19:00:00,22.66,22.77,22.58,22.6,4954,0
2017-09-11,20:00:00,22.55,22.81,22.55,22.81,3400,0
2017-09-11,21:00:00,22.81,22.82,22.5,22.6,15023,0
2017-09-11,22:00:00,22.61,22.84,22.61,22.8,37931,0
2017-09-12,16:00:00,22.77,22.96,22.67,22.86,8018,0
2017-09-12,17:00:00,22.965,22.965,22.5,22.52,19512,0
2017-09-12,18:00:00,22.525,22.79,22.525,22.79,7963,0
2017-09-12,19:00:00,22.76,22.82,22.65,22.72,6583,0
2017-09-12,20:00:00,22.715,22.81,22.64,22.665,5045,0
2017-09-12,21:00:00,22.64,22.68,22.53,22.53,22828,0
2017-09-12,22:00:00,22.55,22.63,22.49,22.63,29332,0
2017-09-13,16:00:00,22.55,22.8,22.23,22.3575,33199,0
2017-09-13,17:00:00,22.32,22.35,22.08,22.315,19350,0
2017-09-13,18:00:00,22.31,22.56,22.31,22.36,9220,0
2017-09-13,19:00:00,22.43,22.45,22.31,22.34,6400,0
2017-09-13,20:00:00,22.36,22.42,22.31,22.38,2400,0
2017-09-13,21:00:00,22.44,22.5,22.35,22.49,4402,0
2017-09-13,22:00:00,22.46,22.46,22.37,22.39,37865,0
2017-09-14,16:00:00,22.39,22.39,21.91,22.0551,3655,0
2017-09-14,17:00:00,22.06,22.165,22,22.12,15579,0
2017-09-14,18:00:00,22.12,22.15,22.06,22.1,17900,0
2017-09-14,19:00:00,22.12,22.13,22.04,22.065,4723,0
2017-09-14,20:00:00,22.02,22.04,21.88,21.91,16250,0
2017-09-14,21:00:00,21.91,21.99,21.75,21.77,9021,0
2017-09-14,22:00:00,21.77,21.775,21.68,21.72,28975,0
2017-09-15,16:00:00,21.8,21.8,21.21,21.55,71739,0
2017-09-15,17:00:00,21.68,21.85,21.42,21.84,4625,0
2017-09-15,18:00:00,21.82,21.89,21.7,21.8,12521,0
2017-09-15,19:00:00,21.8,21.8,21.63,21.67,3482,0
2017-09-15,20:00:00,21.66,21.8,21.64,21.67,5100,0
2017-09-15,21:00:00,21.7,21.8,21.68,21.7325,7834,0
2017-09-15,22:00:00,21.78,21.8,21.67,21.73,149117,0
2017-09-18,16:00:00,21.8,22,21.7,21.96,2287,0
2017-09-18,17:00:00,22.005,22.02,21.7,21.77,11072,0
2017-09-18,18:00:00,21.82,21.82,21.67,21.77,6586,0
2017-09-18,19:00:00,21.77,21.9,21.75,21.9,22154,0
