Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-08,16:00:00,3.19,3.33,3.1,3.1,4992,0
2017-08-08,17:00:00,3.1902,3.1902,3,3.02,8178,0
2017-08-08,18:00:00,3.17,3.17,3.0063,3.11,4961,0
2017-08-08,19:00:00,3.22,3.22,3.176,3.176,300,0
2017-08-08,20:00:00,3.1913,3.1913,3.085,3.09,1744,0
2017-08-08,21:00:00,3.0851,3.121,3.0239,3.06,3070,0
2017-08-08,22:00:00,3.0411,3.0411,3.02,3.02,600,0
2017-08-09,16:00:00,2.99,3.0045,2.99,3.0045,3168,0
2017-08-09,17:00:00,3,3.084,2.87,2.9,18350,0
2017-08-09,18:00:00,2.8543,2.88,2.71,2.88,7463,0
2017-08-09,19:00:00,2.8265,2.8265,2.8265,2.8265,500,0
2017-08-09,21:00:00,2.8783,2.8783,2.8,2.8,1008,0
2017-08-09,22:00:00,2.81,2.81,2.75,2.77,4600,0
2017-08-10,16:00:00,2.77,2.8558,2.77,2.8558,879,0
2017-08-10,17:00:00,2.76,2.7763,2.6,2.7763,14898,0
2017-08-10,18:00:00,2.7382,2.7382,2.56,2.64,3616,0
2017-08-10,19:00:00,2.64,2.7361,2.4,2.4058,11574,0
2017-08-10,20:00:00,2.54,2.55,2.45,2.52,5370,0
2017-08-10,21:00:00,2.5028,2.51,2.5028,2.51,200,0
2017-08-10,22:00:00,2.5001,2.5216,2.43,2.43,1912,0
2017-08-11,16:00:00,2.39,2.5,2.39,2.4,918,0
2017-08-11,17:00:00,2.39,2.46,2.2592,2.4001,2458,0
2017-08-11,18:00:00,2.4,2.4,2.3125,2.3125,866,0
2017-08-11,19:00:00,2.3537,2.3537,2.3537,2.3537,200,0
2017-08-11,20:00:00,2.3536,2.3536,2.31,2.33,820,0
2017-08-11,21:00:00,2.3,2.35,2.3,2.35,5600,0
2017-08-11,22:00:00,2.2826,2.2826,2.2096,2.2462,957,0
2017-08-14,16:00:00,2.35,2.74,2.35,2.35,1166,0
2017-08-14,17:00:00,2.36,2.41,2.3001,2.41,500,0
2017-08-14,18:00:00,2.4,2.4,2.36,2.3899,3000,0
