Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-06-27,16:00:00,2.29,2.29,2.29,2.29,250,0
2017-06-27,17:00:00,2.29,2.3,2.2308,2.2308,3200,0
2017-06-27,19:00:00,2.3,2.33,2.29,2.33,3478,0
2017-06-27,20:00:00,2.33,2.33,2.24,2.2923,9440,0
2017-06-27,21:00:00,2.32,2.33,2.32,2.33,900,0
2017-06-27,22:00:00,2.2535,2.33,2.2535,2.29,2186,0
2017-06-28,16:00:00,2.35,2.35,2.26,2.26,2487,0
2017-06-28,17:00:00,2.33,2.33,2.27,2.33,1121,0
2017-06-28,18:00:00,2.34,2.34,2.33,2.34,600,0
2017-06-28,20:00:00,2.34,2.4,2.32,2.39,6498,0
2017-06-28,21:00:00,2.39,2.39,2.29,2.37,5600,0
2017-06-28,22:00:00,2.37,2.37,2.29,2.3,4964,0
2017-06-29,16:00:00,2.33,2.33,2.312,2.312,847,0
2017-06-29,17:00:00,2.32,2.32,2.32,2.32,100,0
2017-06-29,18:00:00,2.3,2.3,2.3,2.3,200,0
2017-06-29,19:00:00,2.26,2.3,2.26,2.3,400,0
2017-06-29,20:00:00,2.3,2.3,2.26,2.26,300,0
2017-06-29,21:00:00,2.27,2.272,2.24,2.27,900,0
2017-06-29,22:00:00,2.3,2.32,2.29,2.29,2547,0
2017-06-30,17:00:00,2.25,2.25,2.2266,2.2266,600,0
2017-06-30,18:00:00,2.25,2.31,2.25,2.31,870,0
2017-06-30,20:00:00,2.3251,2.3251,2.3251,2.3251,1104,0
2017-06-30,21:00:00,2.33,2.36,2.33,2.35,300,0
2017-06-30,22:00:00,2.34,2.34,2.31,2.33,1938,0
2017-07-03,16:00:00,2.32,2.32,2.32,2.32,189,0
2017-07-03,17:00:00,2.32,2.38,2.31,2.34,9708,0
2017-07-03,18:00:00,2.36,2.36,2.36,2.36,100,0
2017-07-03,19:00:00,2.31,2.35,2.28,2.28,1320,0
2017-07-05,16:00:00,2.36,2.36,2.36,2.36,100,0
2017-07-05,17:00:00,2.36,2.36,2.35,2.35,2050,0
2017-07-05,18:00:00,2.3,2.3,2.25,2.25,2832,0
2017-07-05,19:00:00,2.25,2.25,2.22,2.25,1300,0
2017-07-05,20:00:00,2.2999,2.2999,2.2999,2.2999,100,0
2017-07-05,21:00:00,2.28,2.29,2.26,2.26,300,0
2017-07-05,22:00:00,2.2999,2.3,2.27,2.29,2765,0
2017-07-06,17:00:00,2.27,2.28,2.27,2.28,500,0
2017-07-06,18:00:00,2.27,2.28,2.27,2.28,3400,0
2017-07-06,19:00:00,2.2799,2.28,2.27,2.28,400,0
2017-07-06,20:00:00,2.28,2.32,2.28,2.31,3060,0
2017-07-06,21:00:00,2.31,2.32,2.2901,2.32,1609,0
2017-07-06,22:00:00,2.3,2.305,2.15,2.17,9906,0
2017-07-07,17:00:00,2.18,2.18,2.1748,2.1748,505,0
2017-07-07,18:00:00,2.19,2.19,2.1864,2.19,1300,0
