Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,13.15,13.8,13,13.8,193112,0
2017-09-06,17:00:00,13.75,15.65,13.65,15.65,733005,0
2017-09-06,18:00:00,15.65,16.1,13.8,13.85,876333,0
2017-09-06,19:00:00,13.9,14.4,13.7,14.25,218933,0
2017-09-06,20:00:00,14.3,15.1,14.2,14.6,357231,0
2017-09-06,21:00:00,14.6,14.75,14.36,14.65,75814,0
2017-09-06,22:00:00,14.6849,14.7,14.4,14.65,189835,0
2017-09-07,16:00:00,15.35,15.5,14.85,15.15,193260,0
2017-09-07,17:00:00,15.15,15.25,14.95,15.125,204395,0
2017-09-07,18:00:00,15.125,15.275,15.035,15.1,126038,0
2017-09-07,19:00:00,15.0837,15.35,14.95,15.1531,221389,0
2017-09-07,20:00:00,15.15,15.275,15,15.1,85334,0
2017-09-07,21:00:00,15.1,15.5875,15.05,15.5,296105,0
2017-09-07,22:00:00,15.5,15.65,15.3,15.45,338667,0
2017-09-08,16:00:00,15.5,16.2,15.45,15.8375,106981,0
2017-09-08,17:00:00,15.8499,15.975,15.5,15.85,114162,0
2017-09-08,18:00:00,15.8,16.2,15.8,15.9725,137656,0
2017-09-08,19:00:00,16,16.1,15.825,15.85,101166,0
2017-09-08,20:00:00,15.85,16.2,15.85,16.1,121380,0
2017-09-08,21:00:00,16.1,16.2,15.9,16.175,144624,0
2017-09-08,22:00:00,16.2,16.4,16,16.25,352365,0
2017-09-11,16:00:00,16.25,16.5,15.45,15.7,133502,0
2017-09-11,17:00:00,15.65,15.65,14.8,15.05,182630,0
2017-09-11,18:00:00,15,15.25,14.95,15.1,94817,0
2017-09-11,19:00:00,15.1,15.125,14.951,15.1,43068,0
2017-09-11,20:00:00,15.0999,15.15,14.95,15.15,39684,0
2017-09-11,21:00:00,15.15,15.5,15.1,15.3,107997,0
2017-09-11,22:00:00,15.3,15.65,15.2,15.5,212054,0
2017-09-12,16:00:00,15.65,16.161,15.6,15.75,79022,0
2017-09-12,17:00:00,15.7,15.95,15.6,15.775,81383,0
2017-09-12,18:00:00,15.775,15.85,15.6,15.7,52935,0
2017-09-12,19:00:00,15.65,15.7875,15.55,15.55,33390,0
2017-09-12,20:00:00,15.6,15.8,15.575,15.6,53498,0
