Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-09-02,19:00:00,11.752,11.761,11.743,11.743,14215,0
2015-09-02,20:00:00,11.752,11.752,11.752,11.752,13359,0
2015-09-03,17:00:00,12.089,12.123,12.023,12.089,21058,0
2015-09-03,18:00:00,12.145,12.145,12.126,12.135,10902,0
2015-09-03,19:00:00,12.126,12.145,12.023,12.06,45423,0
2015-09-03,20:00:00,12.06,12.06,11.977,12.023,15491,0
2015-09-03,22:00:00,11.958,11.995,11.929,11.967,13115,0
2015-09-04,16:00:00,11.602,11.845,11.602,11.705,2832,0
2015-09-04,21:00:00,11.509,11.536,11.509,11.527,1265,0
2015-09-08,16:00:00,12.416,12.416,12.416,12.416,165,0
2015-09-08,17:00:00,12.341,12.341,12.341,12.341,107,0
2015-09-08,19:00:00,12.613,12.613,12.613,12.613,107,0
2015-09-08,20:00:00,12.518,12.518,12.518,12.518,107,0
2015-09-08,21:00:00,12.473,12.473,12.473,12.473,213,0
2015-09-08,22:00:00,12.575,12.575,12.565,12.565,1710,0
2015-09-09,20:00:00,12.575,12.575,12.565,12.565,1879,0
2015-09-10,19:00:00,12.809,12.856,12.772,12.8,15349,0
2015-09-10,20:00:00,12.818,12.865,12.809,12.865,2138,0
2015-09-10,21:00:00,12.846,12.846,12.838,12.838,213,0
2015-09-10,22:00:00,12.733,12.763,12.733,12.763,641,0
2015-09-11,19:00:00,12.753,12.941,12.753,12.941,532,0
2015-09-11,21:00:00,12.543,12.543,12.543,12.543,107,0
2015-09-15,16:00:00,12.211,12.211,12.182,12.182,534,0
2015-09-16,17:00:00,12.996,12.996,12.996,12.996,107,0
2015-09-16,18:00:00,12.999,12.999,12.999,12.999,213,0
2015-09-16,19:00:00,13.314,13.324,13.314,13.324,225,0
2015-09-16,20:00:00,13.248,13.248,13.071,13.127,962,0
2015-09-17,19:00:00,12.949,12.949,12.911,12.911,213,0
2015-09-18,16:00:00,13.324,13.324,13.324,13.324,107,0
