Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,43.979,44.128,43.879,43.879,9999,0
2017-09-06,17:00:00,43.909,43.909,43.511,43.819,10791,0
2017-09-06,18:00:00,43.849,44.009,43.639,44.009,22263,0
2017-09-06,19:00:00,43.98,44.06,43.899,44.06,5260,0
2017-09-06,20:00:00,44.029,44.158,44.029,44.158,8355,0
2017-09-06,21:00:00,44.148,44.378,44.148,44.378,11602,0
2017-09-06,22:00:00,44.359,44.378,44.188,44.258,20137,0
2017-09-07,16:00:00,44.427,44.927,44.427,44.927,5869,0
2017-09-07,17:00:00,44.786,45.156,44.517,45.086,8167,0
2017-09-07,18:00:00,45.106,45.565,45.106,45.534,23748,0
2017-09-07,19:00:00,45.515,45.855,45.515,45.855,10944,0
2017-09-07,20:00:00,45.869,46.015,45.792,45.795,23987,0
2017-09-07,21:00:00,45.775,45.872,45.735,45.765,6609,0
2017-09-07,22:00:00,45.765,45.775,45.586,45.725,9183,0
2017-09-08,16:00:00,45.406,46.141,45.311,46.097,17007,0
2017-09-08,17:00:00,46.214,46.294,45.935,46.177,21546,0
2017-09-08,18:00:00,46.172,46.404,46.172,46.404,16224,0
2017-09-08,19:00:00,46.414,46.564,46.304,46.49,12456,0
2017-09-08,20:00:00,46.394,46.584,46.364,46.374,13565,0
2017-09-08,21:00:00,46.334,46.404,46.144,46.404,9398,0
2017-09-08,22:00:00,46.374,46.464,46.174,46.314,22757,0
2017-09-11,16:00:00,46.912,47.154,46.813,47.092,12729,0
2017-09-11,17:00:00,47.098,47.098,46.659,46.724,23662,0
2017-09-11,18:00:00,46.714,47.041,46.664,47.022,10901,0
2017-09-11,19:00:00,47.032,47.313,47.022,47.192,15475,0
2017-09-11,20:00:00,47.212,47.298,47.132,47.272,12586,0
2017-09-11,21:00:00,47.252,47.342,47.222,47.292,10545,0
2017-09-11,22:00:00,47.292,47.531,47.242,47.531,31489,0
2017-09-12,16:00:00,47.621,47.711,47.238,47.382,23576,0
2017-09-12,17:00:00,47.312,47.422,47.212,47.292,17212,0
2017-09-12,18:00:00,47.282,47.462,47.212,47.402,10966,0
2017-09-12,19:00:00,47.432,47.432,47.242,47.322,10996,0
2017-09-12,20:00:00,47.372,47.382,47.152,47.152,21421,0
2017-09-12,21:00:00,47.192,47.512,47.192,47.492,13329,0
2017-09-12,22:00:00,47.535,47.711,47.432,47.711,24639,0
2017-09-13,16:00:00,47.452,47.761,47.452,47.761,5005,0
2017-09-13,17:00:00,47.791,47.791,47.172,47.212,8654,0
2017-09-13,18:00:00,47.192,47.333,47.112,47.212,19784,0
2017-09-13,19:00:00,47.242,47.252,47,47.164,5168,0
2017-09-13,20:00:00,47.163,47.224,47.122,47.132,6923,0
2017-09-13,21:00:00,47.102,47.122,46.902,47.002,24161,0
2017-09-13,22:00:00,46.962,47.182,46.942,47.152,19974,0
2017-09-14,16:00:00,46.654,46.862,46.344,46.774,24942,0
2017-09-14,17:00:00,46.882,47.112,46.823,47.042,5919,0
2017-09-14,18:00:00,47.062,47.561,47.062,47.531,15479,0
2017-09-14,19:00:00,47.543,47.543,47.342,47.49,7995,0
2017-09-14,20:00:00,47.442,47.512,47.352,47.362,3557,0
2017-09-14,21:00:00,47.322,47.432,47.322,47.342,5680,0
2017-09-14,22:00:00,47.332,47.352,47.202,47.352,14427,0
