Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-12-08,16:00:00,13.595,13.646,13.595,13.636,6335,0
2016-12-08,18:00:00,13.636,13.636,13.636,13.636,195,0
2016-12-08,19:00:00,13.657,13.657,13.657,13.657,780,0
2016-12-08,20:00:00,13.666,13.666,13.666,13.666,1365,0
2016-12-08,21:00:00,13.641,13.641,13.641,13.641,195,0
2016-12-08,22:00:00,13.646,13.646,13.625,13.625,2336,0
2016-12-09,16:00:00,13.641,13.641,13.641,13.641,585,0
2016-12-09,17:00:00,13.652,13.652,13.652,13.652,195,0
2016-12-09,18:00:00,13.666,13.671,13.666,13.671,1559,0
2016-12-09,19:00:00,13.682,13.682,13.682,13.682,1365,0
2016-12-09,20:00:00,13.671,13.671,13.671,13.671,1365,0
2016-12-09,21:00:00,13.682,13.687,13.682,13.687,2165,0
2016-12-09,22:00:00,13.687,13.687,13.687,13.687,195,0
2016-12-12,16:00:00,13.606,13.606,13.59,13.59,975,0
2016-12-12,17:00:00,13.611,13.611,13.595,13.595,2924,0
2016-12-12,19:00:00,13.543,13.543,13.519,13.519,2705,0
2016-12-12,20:00:00,13.509,13.509,13.498,13.503,1365,0
2016-12-12,21:00:00,13.514,13.514,13.498,13.509,4873,0
2016-12-12,22:00:00,13.509,13.524,13.477,13.477,22806,0
2016-12-13,16:00:00,13.641,13.641,13.631,13.641,585,0
2016-12-13,17:00:00,13.646,13.646,13.625,13.625,1169,0
2016-12-13,18:00:00,13.616,13.646,13.616,13.646,1660,0
2016-12-13,19:00:00,13.641,13.652,13.641,13.652,1652,0
2016-12-13,22:00:00,13.657,13.657,13.641,13.641,585,0
2016-12-14,16:00:00,13.483,13.488,13.483,13.488,3314,0
2016-12-14,17:00:00,13.483,13.503,13.472,13.483,19103,0
2016-12-14,18:00:00,13.483,13.488,13.477,13.483,18713,0
2016-12-14,20:00:00,13.509,13.509,13.509,13.509,195,0
2016-12-14,21:00:00,13.58,13.6,13.58,13.58,6238,0
2016-12-14,22:00:00,13.554,13.59,13.554,13.59,6728,0
2016-12-15,16:00:00,13.606,13.616,13.595,13.616,2339,0
2016-12-15,17:00:00,13.631,13.641,13.631,13.641,3508,0
2016-12-15,18:00:00,13.646,13.646,13.636,13.636,4483,0
2016-12-15,19:00:00,13.616,13.625,13.611,13.611,1949,0
2016-12-15,20:00:00,13.616,13.616,13.595,13.595,2144,0
2016-12-15,22:00:00,13.631,13.631,13.631,13.631,585,0
2016-12-16,16:00:00,13.559,13.559,13.559,13.559,195,0
2016-12-16,17:00:00,13.543,13.559,13.543,13.559,585,0
2016-12-16,18:00:00,13.543,13.543,13.543,13.543,1559,0
2016-12-16,20:00:00,13.493,13.509,13.493,13.509,648,0
2016-12-16,22:00:00,13.493,13.524,13.493,13.524,390,0
