Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,30.991,31.021,30.972,30.972,2320,0
2017-09-05,17:00:00,30.982,31.001,30.942,30.942,4789,0
2017-09-05,18:00:00,30.932,30.942,30.893,30.915,11991,0
2017-09-05,19:00:00,30.893,30.893,30.777,30.777,2392,0
2017-09-05,20:00:00,30.763,30.77,30.728,30.729,4834,0
2017-09-05,21:00:00,30.787,30.828,30.769,30.787,6690,0
2017-09-05,22:00:00,30.777,30.913,30.777,30.913,51701,0
2017-09-06,16:00:00,30.805,30.868,30.757,30.767,14216,0
2017-09-06,17:00:00,30.787,30.846,30.787,30.796,4453,0
2017-09-06,18:00:00,30.787,30.845,30.787,30.835,2188,0
2017-09-06,19:00:00,30.818,30.922,30.818,30.883,4229,0
2017-09-06,20:00:00,30.893,30.92,30.893,30.903,4701,0
2017-09-06,21:00:00,30.883,30.903,30.855,30.873,6210,0
2017-09-06,22:00:00,30.883,30.923,30.863,30.863,9101,0
2017-09-07,16:00:00,31.021,31.06,30.901,31.02,4138,0
2017-09-07,17:00:00,31.031,31.127,31.031,31.108,3739,0
2017-09-07,18:00:00,31.092,31.092,31.092,31.092,1896,0
2017-09-07,19:00:00,31.117,31.117,31.063,31.089,1940,0
2017-09-07,20:00:00,31.068,31.119,31.047,31.047,4945,0
2017-09-07,21:00:00,31.107,31.137,31.082,31.101,3657,0
2017-09-07,22:00:00,31.117,31.167,31.087,31.167,13943,0
2017-09-08,16:00:00,31.05,31.093,31.04,31.041,8682,0
2017-09-08,17:00:00,31.041,31.07,30.952,30.952,2519,0
2017-09-08,18:00:00,30.893,30.972,30.893,30.923,3372,0
2017-09-08,19:00:00,30.923,30.942,30.903,30.942,15869,0
2017-09-08,20:00:00,30.923,30.942,30.873,30.908,2429,0
2017-09-08,21:00:00,30.919,30.952,30.913,30.942,7995,0
2017-09-08,22:00:00,30.913,30.942,30.873,30.932,13945,0
2017-09-11,16:00:00,30.923,30.997,30.863,30.997,3995,0
2017-09-11,17:00:00,31.041,31.041,30.972,30.991,10365,0
2017-09-11,18:00:00,30.982,31.011,30.962,31.011,11569,0
2017-09-11,19:00:00,31.011,31.021,30.991,31.021,5145,0
2017-09-11,20:00:00,31.011,31.05,30.991,31.041,9508,0
2017-09-11,21:00:00,30.992,31.031,30.972,31.031,5538,0
2017-09-11,22:00:00,31.034,31.05,30.975,31.041,14908,0
2017-09-12,16:00:00,30.952,31.07,30.952,31.031,29296,0
2017-09-12,17:00:00,31.041,31.041,30.917,30.942,20062,0
2017-09-12,18:00:00,30.957,30.991,30.915,30.991,3596,0
2017-09-12,19:00:00,30.962,31.005,30.962,30.963,5230,0
2017-09-12,20:00:00,31.011,31.031,30.972,31.011,17406,0
2017-09-12,21:00:00,30.966,31.015,30.957,30.97,9816,0
2017-09-12,22:00:00,30.952,30.982,30.945,30.982,7670,0
2017-09-13,16:00:00,30.728,30.863,30.688,30.728,7617,0
2017-09-13,17:00:00,30.728,30.747,30.629,30.649,10404,0
2017-09-13,18:00:00,30.649,30.737,30.639,30.669,8154,0
2017-09-13,19:00:00,30.669,30.708,30.639,30.708,2854,0
2017-09-13,20:00:00,30.714,30.747,30.701,30.737,8944,0
2017-09-13,21:00:00,30.723,30.738,30.643,30.728,3840,0
2017-09-13,22:00:00,30.728,30.728,30.626,30.698,11045,0
2017-09-14,16:00:00,30.669,30.669,30.561,30.573,6765,0
2017-09-14,17:00:00,30.671,30.747,30.653,30.689,2375,0
2017-09-14,18:00:00,30.698,30.737,30.698,30.737,2305,0
2017-09-14,19:00:00,30.727,30.727,30.698,30.718,3785,0
2017-09-14,20:00:00,30.7,30.736,30.669,30.711,4895,0
2017-09-14,21:00:00,30.669,30.747,30.669,30.747,10419,0
2017-09-14,22:00:00,30.737,30.767,30.687,30.767,9499,0
2017-09-15,16:00:00,30.895,30.895,30.658,30.787,18296,0
2017-09-15,17:00:00,30.757,30.824,30.687,30.767,5610,0
2017-09-15,18:00:00,30.757,30.8,30.707,30.8,1567,0
2017-09-15,19:00:00,30.826,30.826,30.777,30.777,2166,0
2017-09-15,20:00:00,30.821,30.821,30.777,30.8,2068,0
2017-09-15,21:00:00,30.777,30.885,30.777,30.787,12418,0
2017-09-15,22:00:00,30.787,30.895,30.787,30.836,18128,0
2017-09-18,16:00:00,31.015,31.123,31.015,31.055,4431,0
2017-09-18,17:00:00,31.043,31.053,30.915,30.951,8148,0
2017-09-18,18:00:00,30.935,30.935,30.885,30.885,4270,0
2017-09-18,19:00:00,30.895,30.925,30.865,30.9,1978,0
2017-09-18,20:00:00,30.9,30.924,30.9,30.915,6255,0
2017-09-18,21:00:00,30.905,30.912,30.824,30.841,5598,0
2017-09-18,22:00:00,30.849,30.945,30.826,30.945,8885,0
2017-09-19,16:00:00,30.905,30.915,30.788,30.915,1639,0
2017-09-19,17:00:00,30.787,30.885,30.747,30.852,3786,0
2017-09-19,18:00:00,30.796,30.81,30.747,30.757,6235,0
2017-09-19,19:00:00,30.767,30.826,30.757,30.777,3360,0
2017-09-19,20:00:00,30.787,30.862,30.787,30.797,3395,0
2017-09-19,21:00:00,30.864,30.905,30.826,30.865,6164,0
2017-09-19,22:00:00,30.836,30.935,30.836,30.855,14560,0
2017-09-20,16:00:00,30.935,30.965,30.826,30.905,9731,0
2017-09-20,17:00:00,30.905,30.905,30.806,30.816,5326,0
2017-09-20,18:00:00,30.81,30.846,30.81,30.821,3720,0
2017-09-20,19:00:00,30.826,30.885,30.826,30.836,1997,0
2017-09-20,20:00:00,30.906,30.906,30.826,30.836,5020,0
2017-09-20,21:00:00,30.836,30.836,30.538,30.558,1612,0
2017-09-20,22:00:00,30.558,30.717,30.558,30.717,3844,0
2017-09-21,16:00:00,30.727,30.727,30.677,30.677,351,0
2017-09-21,17:00:00,30.677,30.687,30.608,30.672,8159,0
2017-09-21,18:00:00,30.637,30.717,30.628,30.674,2680,0
2017-09-21,19:00:00,30.667,30.75,30.657,30.75,1974,0
2017-09-21,20:00:00,30.697,30.777,30.697,30.722,1061,0
2017-09-21,21:00:00,30.687,30.737,30.687,30.687,2094,0
2017-09-21,22:00:00,30.687,30.75,30.677,30.677,4771,0
2017-09-22,16:00:00,30.528,30.637,30.528,30.627,3141,0
2017-09-22,17:00:00,30.634,30.634,30.568,30.568,2346,0
2017-09-22,18:00:00,30.578,30.596,30.578,30.578,2595,0
2017-09-22,19:00:00,30.598,30.598,30.59,30.593,1274,0
2017-09-22,20:00:00,30.576,30.586,30.489,30.499,12086,0
2017-09-22,21:00:00,30.505,30.568,30.505,30.529,2779,0
2017-09-22,22:00:00,30.519,30.548,30.518,30.528,6781,0
2017-09-25,16:00:00,30.35,30.357,30.102,30.32,37727,0
2017-09-25,17:00:00,30.363,30.363,30.218,30.27,4422,0
2017-09-25,18:00:00,30.209,30.21,30.141,30.141,4334,0
2017-09-25,19:00:00,30.151,30.161,30.072,30.151,13854,0
2017-09-25,20:00:00,30.155,30.201,30.123,30.201,5820,0
2017-09-25,21:00:00,30.191,30.201,30.121,30.147,8065,0
2017-09-25,22:00:00,30.171,30.23,30.132,30.181,4539,0
2017-09-26,16:00:00,30.27,30.27,30.201,30.25,2734,0
2017-09-26,17:00:00,30.25,30.34,30.191,30.191,5581,0
2017-09-26,18:00:00,30.171,30.191,30.132,30.151,2807,0
