Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-04,16:00:00,23.035,23.035,23.035,23.035,102,0
2017-08-04,18:00:00,22.928,22.928,22.928,22.928,102,0
2017-08-04,20:00:00,22.92,22.92,22.92,22.92,297,0
2017-08-04,21:00:00,22.868,22.868,22.868,22.868,102,0
2017-08-04,22:00:00,22.842,22.842,22.842,22.842,290,0
2017-08-07,16:00:00,22.731,22.731,22.731,22.731,184,0
2017-08-07,17:00:00,22.825,22.825,22.825,22.825,408,0
2017-08-07,18:00:00,22.806,22.806,22.712,22.712,255,0
2017-08-07,19:00:00,22.741,22.779,22.741,22.779,653,0
2017-08-07,20:00:00,22.848,22.848,22.84,22.84,600,0
2017-08-07,21:00:00,22.815,22.83,22.76,22.76,816,0
2017-08-07,22:00:00,22.812,22.812,22.812,22.812,263,0
2017-08-08,16:00:00,22.491,22.491,22.491,22.491,1020,0
2017-08-08,18:00:00,22.638,22.638,22.594,22.594,315,0
2017-08-08,19:00:00,22.486,22.502,22.478,22.493,2009,0
2017-08-08,20:00:00,22.443,22.443,22.383,22.383,1246,0
2017-08-08,21:00:00,22.378,22.378,22.378,22.378,159,0
2017-08-08,22:00:00,22.33,22.33,22.228,22.251,978,0
2017-08-09,16:00:00,22.163,22.404,22.163,22.404,856,0
2017-08-09,17:00:00,22.481,22.545,22.468,22.468,337,0
2017-08-09,18:00:00,22.408,22.408,22.397,22.408,1445,0
2017-08-09,19:00:00,22.36,22.398,22.353,22.355,1902,0
2017-08-09,20:00:00,22.408,22.408,22.408,22.408,102,0
2017-08-09,21:00:00,22.376,22.378,22.347,22.378,2201,0
2017-08-09,22:00:00,22.366,22.369,22.366,22.369,240,0
2017-08-10,16:00:00,22.271,22.271,22.271,22.271,307,0
2017-08-10,17:00:00,22.34,22.374,22.333,22.374,1027,0
2017-08-10,19:00:00,22.271,22.271,22.18,22.18,1076,0
2017-08-10,20:00:00,22.152,22.192,22.133,22.133,1020,0
2017-08-10,22:00:00,22.046,22.046,22.02,22.027,26316,0
2017-08-11,16:00:00,22.036,22.036,21.918,21.918,735,0
2017-08-11,17:00:00,21.918,21.976,21.918,21.976,286,0
2017-08-11,20:00:00,21.992,21.992,21.938,21.938,5158,0
2017-08-14,16:00:00,21.908,22.006,21.908,22.006,1530,0
2017-08-14,17:00:00,22.006,22.006,22.006,22.006,102,0
2017-08-14,18:00:00,22.136,22.142,22.124,22.129,3391,0
2017-08-14,19:00:00,22.071,22.071,22.071,22.071,207,0
2017-08-14,20:00:00,22.051,22.052,22.051,22.052,237,0
2017-08-14,21:00:00,22.066,22.066,22.028,22.052,506,0
2017-08-14,22:00:00,21.963,21.978,21.938,21.938,1267,0
2017-08-15,16:00:00,21.78,21.78,21.78,21.78,230,0
2017-08-15,17:00:00,21.749,21.749,21.653,21.653,269,0
2017-08-15,18:00:00,21.665,21.673,21.665,21.673,361,0
2017-08-15,19:00:00,21.653,21.693,21.653,21.693,5308,0
2017-08-15,20:00:00,21.683,21.693,21.683,21.693,1119,0
2017-08-15,21:00:00,21.737,21.76,21.737,21.76,788,0
2017-08-15,22:00:00,21.8,21.809,21.766,21.766,625,0
2017-08-16,16:00:00,21.781,21.781,21.781,21.781,153,0
2017-08-16,17:00:00,21.781,21.781,21.781,21.781,307,0
2017-08-16,18:00:00,21.796,21.796,21.705,21.705,1866,0
2017-08-16,20:00:00,21.644,21.644,21.644,21.644,102,0
2017-08-16,22:00:00,21.621,21.631,21.621,21.631,299,0
2017-08-17,16:00:00,21.478,21.586,21.478,21.586,9615,0
2017-08-17,17:00:00,21.576,21.615,21.57,21.57,919,0
2017-08-17,20:00:00,21.615,21.615,21.615,21.615,255,0
2017-08-17,22:00:00,21.536,21.543,21.458,21.522,7565,0
2017-08-18,16:00:00,21.4,21.464,21.4,21.464,1184,0
2017-08-18,17:00:00,21.448,21.463,21.38,21.38,612,0
2017-08-18,19:00:00,21.592,21.6,21.592,21.6,438,0
2017-08-18,20:00:00,21.6,21.6,21.6,21.6,115,0
2017-08-18,21:00:00,21.595,21.609,21.595,21.609,2152,0
2017-08-18,22:00:00,21.608,21.625,21.599,21.625,702,0
2017-08-21,17:00:00,21.475,21.524,21.475,21.524,1104,0
2017-08-21,18:00:00,21.504,21.504,21.498,21.498,1225,0
2017-08-21,19:00:00,21.429,21.456,21.429,21.456,391,0
2017-08-21,20:00:00,21.463,21.463,21.463,21.463,102,0
2017-08-21,21:00:00,21.459,21.459,21.459,21.459,120,0
2017-08-21,22:00:00,21.421,21.457,21.421,21.451,561,0
2017-08-22,17:00:00,21.625,21.722,21.609,21.712,12680,0
2017-08-22,18:00:00,21.702,21.702,21.644,21.644,3711,0
2017-08-22,20:00:00,21.791,21.791,21.761,21.761,800,0
2017-08-22,21:00:00,21.791,21.799,21.73,21.791,2777,0
2017-08-23,16:00:00,21.752,21.752,21.752,21.752,102,0
2017-08-23,17:00:00,21.997,22.024,21.997,22.024,374,0
2017-08-23,18:00:00,22.024,22.024,22.024,22.024,172,0
2017-08-23,19:00:00,22.049,22.049,22.049,22.049,154,0
2017-08-23,20:00:00,22.103,22.177,22.103,22.177,580,0
2017-08-23,21:00:00,22.182,22.182,22.133,22.146,2374,0
2017-08-23,22:00:00,22.133,22.133,22.129,22.129,408,0
2017-08-24,16:00:00,22.097,22.097,22.097,22.097,418,0
2017-08-24,17:00:00,22.134,22.134,22.134,22.134,142,0
2017-08-24,19:00:00,22.161,22.18,22.161,22.18,1207,0
2017-08-24,20:00:00,22.161,22.161,22.161,22.161,145,0
2017-08-24,21:00:00,22.182,22.182,22.182,22.182,136,0
2017-08-24,22:00:00,22.178,22.178,22.16,22.16,924,0
2017-08-25,16:00:00,22.468,22.468,22.133,22.182,980,0
2017-08-25,17:00:00,22.221,22.221,22.173,22.173,1086,0
2017-08-25,18:00:00,22.173,22.251,22.173,22.202,823,0
2017-08-25,19:00:00,22.197,22.251,22.197,22.251,1054,0
2017-08-25,20:00:00,22.271,22.271,22.242,22.242,510,0
2017-08-25,21:00:00,22.261,22.28,22.261,22.261,1531,0
2017-08-25,22:00:00,22.271,22.28,22.242,22.242,635,0
2017-08-28,16:00:00,22.378,22.378,22.378,22.378,562,0
2017-08-28,17:00:00,22.182,22.182,22.143,22.143,413,0
2017-08-28,18:00:00,22.094,22.094,22.085,22.085,307,0
2017-08-28,19:00:00,22.009,22.026,22.009,22.026,350,0
2017-08-28,22:00:00,22.049,22.076,22.049,22.056,3872,0
2017-08-29,16:00:00,22.114,22.114,22.114,22.114,306,0
2017-08-29,18:00:00,21.898,21.898,21.831,21.841,432,0
2017-08-29,19:00:00,21.928,21.928,21.928,21.928,115,0
2017-08-29,20:00:00,22.028,22.028,22.028,22.028,139,0
2017-08-29,21:00:00,22.076,22.104,22.035,22.085,3012,0
2017-08-29,22:00:00,22.117,22.117,22.094,22.094,581,0
2017-08-30,16:00:00,22.3,22.3,21.978,22.001,893,0
2017-08-30,17:00:00,21.978,21.978,21.978,21.978,204,0
2017-08-30,18:00:00,21.988,22.039,21.988,22.039,516,0
2017-08-30,19:00:00,22.072,22.076,22.072,22.076,525,0
2017-08-30,20:00:00,22.114,22.124,22.059,22.097,3563,0
2017-08-30,21:00:00,22.056,22.124,22.056,22.104,2065,0
2017-08-30,22:00:00,22.094,22.114,22.094,22.094,2559,0
2017-08-31,17:00:00,22.251,22.251,22.213,22.213,2371,0
2017-08-31,18:00:00,22.228,22.275,22.228,22.275,1429,0
2017-08-31,21:00:00,22.389,22.448,22.352,22.364,3431,0
2017-08-31,22:00:00,22.438,22.438,22.438,22.438,133,0
2017-09-01,16:00:00,23.995,23.995,22.506,22.506,16949,0
2017-09-01,17:00:00,22.443,22.506,22.428,22.491,1386,0
2017-09-01,18:00:00,22.516,22.516,22.516,22.516,102,0
2017-09-01,19:00:00,22.506,22.526,22.506,22.506,13070,0
2017-09-01,20:00:00,22.506,22.528,22.506,22.528,265,0
2017-09-01,21:00:00,22.512,22.584,22.512,22.58,2262,0
2017-09-01,22:00:00,22.57,22.613,22.57,22.603,11808,0
2017-09-05,16:00:00,22.496,22.653,22.496,22.653,644,0
2017-09-05,17:00:00,22.603,22.623,22.603,22.623,510,0
2017-09-05,18:00:00,22.574,22.578,22.514,22.578,588,0
2017-09-05,19:00:00,22.545,22.545,22.448,22.448,495,0
2017-09-05,21:00:00,22.516,22.526,22.504,22.504,547,0
2017-09-05,22:00:00,22.526,22.545,22.526,22.545,1225,0
