Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-01,16:00:00,49.845,49.845,49.795,49.825,1979,0
2017-09-01,17:00:00,49.735,49.755,49.735,49.745,1462,0
2017-09-01,18:00:00,49.765,49.785,49.744,49.781,671,0
2017-09-01,19:00:00,49.785,49.786,49.755,49.775,1841,0
2017-09-01,20:00:00,49.795,49.8,49.765,49.795,6699,0
2017-09-01,21:00:00,49.765,49.805,49.735,49.76,4995,0
2017-09-01,22:00:00,49.755,49.795,49.745,49.795,7420,0
2017-09-05,16:00:00,49.865,49.865,49.821,49.821,4769,0
2017-09-05,17:00:00,49.85,49.875,49.85,49.87,2739,0
2017-09-05,18:00:00,49.87,49.894,49.87,49.884,12814,0
2017-09-05,19:00:00,49.865,49.913,49.865,49.899,3449,0
2017-09-05,20:00:00,49.894,49.913,49.875,49.886,7137,0
2017-09-05,21:00:00,49.878,49.913,49.878,49.913,1168,0
2017-09-05,22:00:00,49.899,49.923,49.845,49.845,9369,0
2017-09-06,16:00:00,49.943,49.943,49.884,49.884,2003,0
2017-09-06,17:00:00,49.884,49.958,49.884,49.953,2404,0
2017-09-06,18:00:00,49.958,49.964,49.953,49.964,407,0
2017-09-06,19:00:00,49.962,49.963,49.923,49.923,1875,0
2017-09-06,20:00:00,49.923,49.923,49.876,49.904,1556,0
2017-09-06,21:00:00,49.893,49.893,49.816,49.884,2210,0
2017-09-06,22:00:00,49.875,49.904,49.845,49.904,5273,0
2017-09-07,16:00:00,49.963,49.963,49.948,49.948,1145,0
2017-09-07,17:00:00,49.982,49.992,49.972,49.972,1216,0
2017-09-07,18:00:00,49.994,50.002,49.994,50.002,240,0
2017-09-07,19:00:00,50.022,50.051,49.978,49.994,2250,0
2017-09-07,20:00:00,50.012,50.018,49.953,49.982,7412,0
2017-09-07,21:00:00,49.982,49.992,49.974,49.992,2231,0
2017-09-07,22:00:00,50.002,50.041,49.953,50.002,2533,0
2017-09-08,16:00:00,50.002,50.002,50.002,50.002,814,0
2017-09-08,19:00:00,49.982,50.001,49.982,49.982,3286,0
2017-09-08,20:00:00,50.002,50.002,49.98,49.982,778,0
2017-09-08,21:00:00,49.986,49.986,49.963,49.963,2117,0
2017-09-08,22:00:00,50.002,50.002,49.963,49.972,2814,0
2017-09-11,16:00:00,49.894,49.904,49.855,49.855,13696,0
2017-09-11,17:00:00,49.894,49.894,49.86,49.884,1216,0
2017-09-11,18:00:00,49.875,49.894,49.846,49.846,2423,0
2017-09-11,19:00:00,49.846,49.871,49.846,49.87,3187,0
2017-09-11,20:00:00,49.865,49.875,49.835,49.835,2734,0
2017-09-11,21:00:00,49.845,49.884,49.845,49.865,3589,0
2017-09-11,22:00:00,49.855,49.86,49.821,49.845,4986,0
2017-09-12,16:00:00,49.755,49.763,49.74,49.74,1910,0
2017-09-12,17:00:00,49.74,49.748,49.73,49.73,1296,0
2017-09-12,18:00:00,49.726,49.734,49.719,49.721,1107,0
2017-09-12,19:00:00,49.716,49.735,49.706,49.715,1881,0
2017-09-12,21:00:00,49.735,49.755,49.727,49.746,2199,0
2017-09-12,22:00:00,49.735,49.785,49.735,49.785,7458,0
2017-09-13,16:00:00,49.805,49.805,49.755,49.776,932,0
