Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,13.026,13.026,12.997,13.006,12727,0
2017-09-05,17:00:00,13.016,13.045,13.016,13.016,4874,0
2017-09-05,18:00:00,13.007,13.007,12.997,13,12785,0
2017-09-05,19:00:00,12.997,13.002,12.937,12.939,29030,0
2017-09-05,20:00:00,12.942,12.944,12.937,12.937,3905,0
2017-09-05,21:00:00,12.966,12.967,12.947,12.96,53665,0
2017-09-05,22:00:00,12.963,12.977,12.957,12.967,32051,0
2017-09-06,16:00:00,13.036,13.036,13.001,13.017,18678,0
2017-09-06,17:00:00,13.036,13.045,13.031,13.036,6805,0
2017-09-06,18:00:00,13.048,13.048,13.026,13.036,9193,0
2017-09-06,19:00:00,13.045,13.045,13.036,13.043,12530,0
2017-09-06,20:00:00,13.044,13.074,13.036,13.058,216334,0
2017-09-06,21:00:00,13.054,13.067,13.054,13.061,9313,0
2017-09-06,22:00:00,13.062,13.064,13.05,13.054,14706,0
2017-09-07,16:00:00,13.164,13.173,13.16,13.173,3197,0
2017-09-07,17:00:00,13.164,13.178,13.149,13.178,17892,0
2017-09-07,18:00:00,13.173,13.174,13.164,13.169,27719,0
2017-09-07,19:00:00,13.169,13.169,13.139,13.144,10176,0
2017-09-07,20:00:00,13.144,13.154,13.135,13.149,9776,0
2017-09-07,21:00:00,13.144,13.154,13.144,13.15,11645,0
2017-09-07,22:00:00,13.154,13.174,13.144,13.164,22133,0
2017-09-08,16:00:00,13.184,13.204,13.164,13.204,8728,0
2017-09-08,17:00:00,13.197,13.201,13.174,13.193,4505,0
2017-09-08,18:00:00,13.184,13.217,13.184,13.21,3817,0
2017-09-08,19:00:00,13.217,13.224,13.204,13.204,10890,0
2017-09-08,20:00:00,13.185,13.204,13.185,13.204,5083,0
2017-09-08,21:00:00,13.203,13.208,13.199,13.204,4861,0
2017-09-08,22:00:00,13.201,13.203,13.174,13.174,7952,0
2017-09-11,16:00:00,13.332,13.342,13.293,13.342,10539,0
2017-09-11,17:00:00,13.342,13.362,13.342,13.357,8226,0
2017-09-11,18:00:00,13.356,13.362,13.352,13.356,7236,0
2017-09-11,19:00:00,13.356,13.362,13.343,13.362,12958,0
2017-09-11,20:00:00,13.362,13.372,13.357,13.357,18637,0
2017-09-11,21:00:00,13.372,13.372,13.352,13.372,9138,0
2017-09-11,22:00:00,13.362,13.362,13.352,13.362,27508,0
2017-09-12,16:00:00,13.332,13.372,13.332,13.367,5177,0
2017-09-12,17:00:00,13.382,13.401,13.362,13.391,33353,0
2017-09-12,18:00:00,13.388,13.401,13.372,13.401,43242,0
2017-09-12,19:00:00,13.391,13.401,13.382,13.391,31358,0
2017-09-12,20:00:00,13.401,13.401,13.391,13.391,30354,0
2017-09-12,21:00:00,13.391,13.401,13.391,13.401,63251,0
2017-09-12,22:00:00,13.391,13.401,13.372,13.387,32518,0
2017-09-13,16:00:00,13.372,13.391,13.362,13.391,6324,0
2017-09-13,17:00:00,13.382,13.382,13.332,13.346,24785,0
2017-09-13,18:00:00,13.332,13.342,13.289,13.303,27198,0
2017-09-13,19:00:00,13.322,13.322,13.293,13.293,8408,0
2017-09-13,20:00:00,13.312,13.312,13.293,13.303,11604,0
2017-09-13,21:00:00,13.293,13.312,13.293,13.303,12992,0
2017-09-13,22:00:00,13.293,13.303,13.283,13.293,21945,0
2017-09-14,16:00:00,13.293,13.322,13.293,13.309,4101,0
2017-09-14,17:00:00,13.322,13.332,13.303,13.317,11170,0
2017-09-14,18:00:00,13.317,13.342,13.317,13.322,5927,0
2017-09-14,19:00:00,13.335,13.336,13.322,13.336,645,0
2017-09-14,20:00:00,13.349,13.362,13.346,13.361,4199,0
2017-09-14,21:00:00,13.362,13.372,13.352,13.362,151592,0
2017-09-14,22:00:00,13.367,13.372,13.352,13.372,6619,0
2017-09-15,16:00:00,13.391,13.401,13.362,13.401,11748,0
2017-09-15,17:00:00,13.379,13.391,13.364,13.391,11446,0
2017-09-15,18:00:00,13.377,13.382,13.372,13.382,45621,0
2017-09-15,19:00:00,13.382,13.382,13.371,13.371,1058,0
2017-09-15,20:00:00,13.357,13.367,13.352,13.367,10658,0
2017-09-15,21:00:00,13.343,13.382,13.343,13.378,13999,0
2017-09-15,22:00:00,13.368,13.391,13.362,13.391,10671,0
2017-09-18,16:00:00,13.401,13.421,13.384,13.421,18457,0
2017-09-18,17:00:00,13.421,13.421,13.387,13.401,17029,0
2017-09-18,18:00:00,13.401,13.401,13.371,13.371,11767,0
2017-09-18,19:00:00,13.367,13.372,13.352,13.354,24366,0
2017-09-18,20:00:00,13.362,13.381,13.36,13.364,6895,0
2017-09-18,21:00:00,13.366,13.379,13.362,13.379,9396,0
2017-09-18,22:00:00,13.382,13.391,13.372,13.391,28751,0
2017-09-19,16:00:00,13.471,13.471,13.431,13.461,28870,0
2017-09-19,17:00:00,13.461,13.461,13.443,13.451,10343,0
2017-09-19,18:00:00,13.451,13.451,13.434,13.451,2163,0
2017-09-19,19:00:00,13.441,13.451,13.421,13.431,31736,0
2017-09-19,20:00:00,13.436,13.461,13.432,13.447,26569,0
2017-09-19,21:00:00,13.455,13.471,13.455,13.471,11527,0
2017-09-19,22:00:00,13.471,13.471,13.451,13.461,26484,0
2017-09-20,16:00:00,13.501,13.501,13.461,13.487,53493,0
2017-09-20,17:00:00,13.474,13.501,13.468,13.491,11448,0
2017-09-20,18:00:00,13.484,13.501,13.473,13.501,5458,0
2017-09-20,19:00:00,13.503,13.521,13.497,13.521,11026,0
2017-09-20,20:00:00,13.518,13.531,13.503,13.53,9547,0
2017-09-20,21:00:00,13.511,13.527,13.391,13.44,16527,0
2017-09-20,22:00:00,13.409,13.451,13.392,13.441,10235,0
2017-09-21,16:00:00,13.411,13.411,13.385,13.401,33347,0
2017-09-21,17:00:00,13.406,13.421,13.396,13.421,33061,0
2017-09-21,18:00:00,13.411,13.434,13.411,13.434,21206,0
2017-09-21,19:00:00,13.435,13.441,13.421,13.441,14558,0
2017-09-21,20:00:00,13.433,13.44,13.422,13.431,18243,0
2017-09-21,21:00:00,13.431,13.431,13.416,13.425,12596,0
2017-09-21,22:00:00,13.431,13.441,13.421,13.431,22522,0
2017-09-22,16:00:00,13.441,13.461,13.431,13.45,15160,0
2017-09-22,17:00:00,13.441,13.471,13.441,13.462,12770,0
2017-09-22,18:00:00,13.457,13.46,13.431,13.448,7956,0
2017-09-22,19:00:00,13.441,13.451,13.423,13.423,6484,0
2017-09-22,20:00:00,13.439,13.441,13.422,13.441,9363,0
2017-09-22,21:00:00,13.432,13.451,13.431,13.445,6962,0
2017-09-22,22:00:00,13.444,13.451,13.431,13.431,8789,0
2017-09-25,16:00:00,13.401,13.401,13.375,13.401,11108,0
2017-09-25,17:00:00,13.401,13.419,13.391,13.391,11113,0
2017-09-25,18:00:00,13.388,13.391,13.364,13.372,9212,0
2017-09-25,19:00:00,13.368,13.368,13.342,13.353,12164,0
2017-09-25,20:00:00,13.362,13.378,13.362,13.377,5596,0
2017-09-25,21:00:00,13.372,13.382,13.352,13.352,11110,0
2017-09-25,22:00:00,13.352,13.372,13.352,13.372,21627,0
2017-09-26,16:00:00,13.362,13.362,13.343,13.352,10244,0
2017-09-26,17:00:00,13.342,13.348,13.312,13.313,29951,0
2017-09-26,18:00:00,13.319,13.322,13.292,13.302,19563,0
2017-09-26,19:00:00,13.309,13.328,13.302,13.328,16566,0
2017-09-26,20:00:00,13.332,13.359,13.322,13.359,17860,0
2017-09-26,21:00:00,13.342,13.351,13.332,13.343,14224,0
2017-09-26,22:00:00,13.349,13.352,13.342,13.352,12331,0
2017-09-27,16:00:00,13.342,13.351,13.318,13.335,9740,0
2017-09-27,17:00:00,13.332,13.352,13.327,13.332,14528,0
2017-09-27,18:00:00,13.332,13.342,13.322,13.332,15105,0
2017-09-27,19:00:00,13.322,13.352,13.322,13.342,2542,0
2017-09-27,20:00:00,13.338,13.362,13.332,13.353,27391,0
2017-09-27,21:00:00,13.36,13.372,13.352,13.372,8251,0
2017-09-27,22:00:00,13.362,13.372,13.352,13.352,155167,0
2017-09-28,16:00:00,13.372,13.401,13.372,13.391,64882,0
2017-09-28,17:00:00,13.382,13.391,13.373,13.382,18511,0
2017-09-28,18:00:00,13.382,13.401,13.382,13.401,34945,0
2017-09-28,19:00:00,13.394,13.411,13.391,13.401,23204,0
2017-09-28,20:00:00,13.396,13.421,13.396,13.421,5930,0
2017-09-28,21:00:00,13.416,13.421,13.401,13.421,19670,0
2017-09-28,22:00:00,13.421,13.421,13.396,13.406,44536,0
2017-09-29,16:00:00,13.481,13.51,13.461,13.481,31388,0
2017-09-29,17:00:00,13.489,13.501,13.471,13.498,24452,0
2017-09-29,18:00:00,13.506,13.529,13.502,13.529,10073,0
2017-09-29,19:00:00,13.531,13.531,13.522,13.531,16387,0
2017-09-29,20:00:00,13.531,13.535,13.521,13.528,8631,0
2017-09-29,21:00:00,13.521,13.551,13.521,13.541,33493,0
2017-09-29,22:00:00,13.551,13.569,13.551,13.551,31256,0
2017-10-02,16:00:00,13.501,13.515,13.501,13.511,7996,0
2017-10-02,17:00:00,13.512,13.529,13.501,13.505,14338,0
2017-10-02,18:00:00,13.504,13.531,13.501,13.528,15614,0
2017-10-02,19:00:00,13.521,13.541,13.521,13.532,58276,0
2017-10-02,20:00:00,13.539,13.541,13.535,13.537,9376,0
2017-10-02,21:00:00,13.537,13.551,13.535,13.551,17782,0
2017-10-02,22:00:00,13.548,13.549,13.536,13.541,6630,0
2017-10-03,16:00:00,13.551,13.582,13.551,13.573,4835,0
2017-10-03,17:00:00,13.59,13.61,13.589,13.59,63443,0
2017-10-03,18:00:00,13.585,13.62,13.585,13.595,10397,0
2017-10-03,19:00:00,13.599,13.607,13.588,13.607,9341,0
2017-10-03,20:00:00,13.606,13.607,13.589,13.589,14298,0
2017-10-03,21:00:00,13.59,13.6,13.58,13.593,20544,0
2017-10-03,22:00:00,13.6,13.61,13.59,13.6,134751,0
2017-10-04,16:00:00,13.501,13.501,13.481,13.487,10211,0
2017-10-04,17:00:00,13.491,13.501,13.479,13.481,42780,0
2017-10-04,18:00:00,13.491,13.491,13.472,13.481,60201,0
2017-10-04,19:00:00,13.486,13.491,13.471,13.476,37768,0
2017-10-04,20:00:00,13.481,13.481,13.467,13.471,76025,0
2017-10-04,21:00:00,13.474,13.481,13.461,13.469,13002,0
2017-10-04,22:00:00,13.481,13.481,13.461,13.475,18621,0
2017-10-05,16:00:00,13.441,13.49,13.441,13.471,15922,0
2017-10-05,17:00:00,13.481,13.491,13.471,13.471,59142,0
2017-10-05,18:00:00,13.464,13.481,13.461,13.478,44710,0
2017-10-05,19:00:00,13.481,13.491,13.471,13.481,16573,0
2017-10-05,20:00:00,13.481,13.491,13.471,13.481,19599,0
2017-10-05,21:00:00,13.474,13.481,13.471,13.477,14920,0
2017-10-05,22:00:00,13.481,13.491,13.471,13.481,7637,0
2017-10-06,16:00:00,13.401,13.401,13.37,13.382,55367,0
2017-10-06,17:00:00,13.382,13.415,13.372,13.408,39759,0
2017-10-06,18:00:00,13.411,13.421,13.391,13.421,8423,0
2017-10-06,19:00:00,13.411,13.421,13.401,13.411,11252,0
2017-10-06,20:00:00,13.407,13.421,13.407,13.421,21945,0
2017-10-06,21:00:00,13.411,13.431,13.411,13.427,18360,0
2017-10-06,22:00:00,13.431,13.451,13.421,13.436,57857,0
2017-10-09,16:00:00,13.441,13.441,13.418,13.421,17637,0
2017-10-09,17:00:00,13.417,13.421,13.409,13.411,8330,0
2017-10-09,18:00:00,13.42,13.441,13.411,13.441,14048,0
2017-10-09,19:00:00,13.431,13.441,13.43,13.431,27118,0
2017-10-09,20:00:00,13.431,13.441,13.431,13.431,17952,0
2017-10-09,21:00:00,13.431,13.431,13.421,13.425,16499,0
2017-10-09,22:00:00,13.421,13.431,13.411,13.411,8332,0
2017-10-10,16:00:00,13.501,13.521,13.501,13.501,12722,0
2017-10-10,17:00:00,13.492,13.521,13.491,13.521,19681,0
2017-10-10,18:00:00,13.518,13.527,13.511,13.511,19624,0
2017-10-10,19:00:00,13.511,13.511,13.496,13.511,9071,0
2017-10-10,20:00:00,13.503,13.56,13.503,13.541,44903,0
2017-10-10,21:00:00,13.544,13.551,13.541,13.551,19869,0
2017-10-10,22:00:00,13.551,13.56,13.548,13.551,57259,0
