Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,24.869,24.898,24.869,24.883,2654,0
2017-09-05,17:00:00,24.893,24.899,24.82,24.82,2050,0
2017-09-05,18:00:00,24.86,24.869,24.82,24.859,14453,0
2017-09-05,19:00:00,24.82,24.859,24.73,24.73,5270,0
2017-09-05,20:00:00,24.73,24.73,24.688,24.721,6933,0
2017-09-05,21:00:00,24.731,24.789,24.721,24.746,4285,0
2017-09-05,22:00:00,24.771,24.78,24.731,24.751,11046,0
2017-09-06,16:00:00,24.8,24.815,24.78,24.815,5027,0
2017-09-06,17:00:00,24.859,24.902,24.82,24.874,5069,0
2017-09-06,18:00:00,24.898,24.908,24.878,24.908,10386,0
2017-09-06,19:00:00,24.898,24.898,24.88,24.888,5538,0
2017-09-06,20:00:00,24.908,24.913,24.86,24.893,3289,0
2017-09-06,21:00:00,24.908,24.926,24.869,24.895,10681,0
2017-09-06,22:00:00,24.895,24.917,24.84,24.84,3242,0
2017-09-07,16:00:00,25.055,25.084,25.035,25.035,4235,0
2017-09-07,17:00:00,25.035,25.035,25.005,25.035,1660,0
2017-09-07,18:00:00,25.055,25.055,25.015,25.04,6206,0
2017-09-07,19:00:00,24.995,25.005,24.963,24.963,4300,0
2017-09-07,20:00:00,24.981,25.02,24.958,25.009,13966,0
2017-09-07,21:00:00,25.025,25.025,24.976,25.01,5400,0
2017-09-07,22:00:00,24.995,25.064,24.988,25.064,16949,0
2017-09-08,16:00:00,25.074,25.079,25.045,25.079,1215,0
2017-09-08,17:00:00,25.094,25.099,25.035,25.04,10309,0
2017-09-08,18:00:00,25.055,25.064,25.035,25.035,1554,0
2017-09-08,19:00:00,25.06,25.079,25.035,25.035,2661,0
2017-09-08,20:00:00,25.064,25.064,25.017,25.035,15889,0
2017-09-08,21:00:00,25.045,25.064,25.016,25.055,7076,0
2017-09-08,22:00:00,25.042,25.055,25.015,25.035,21703,0
