Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-10-28,16:00:00,26.98,27.52,26.98,27.48,716,0
2016-10-28,21:00:00,28.16,28.16,28.16,28.16,50,0
2016-10-28,22:00:00,28.1,28.192,28.1,28.192,550,0
2016-11-01,20:00:00,29.037,29.037,28.96,29,150,0
2016-11-02,15:00:00,28.86,28.926,28.84,28.86,500,0
2016-11-02,17:00:00,29.16,29.16,29.16,29.16,50,0
2016-11-02,21:00:00,29.14,29.16,29.12,29.14,2500,0
2016-11-04,16:00:00,29.3,29.3,29.3,29.3,175,0
2016-11-04,17:00:00,28.87,28.88,28.8,28.8,725,0
2016-11-07,16:00:00,27.93,27.93,27.855,27.855,100,0
2016-11-07,17:00:00,27.44,27.524,27.44,27.52,1100,0
2016-11-07,22:00:00,27.267,27.267,27.267,27.267,210,0
2016-11-08,18:00:00,27.2,27.2,27,27,550,0
2016-11-08,20:00:00,26.9,26.94,26.836,26.836,3930,0
2016-11-08,22:00:00,26.98,26.98,26.98,26.98,50,0
2016-11-09,16:00:00,27.44,27.44,24.539,24.572,10902,0
2016-11-09,17:00:00,25.32,25.58,25.26,25.39,766,0
2016-11-09,18:00:00,24.4,24.4,24.4,24.4,50,0
2016-11-09,20:00:00,24.02,24.02,23.84,23.86,3100,0
2016-11-09,21:00:00,23.64,23.64,23.4,23.4,150,0
2016-11-09,22:00:00,23.4,23.76,23.38,23.76,3000,0
2016-11-10,16:00:00,21.074,21.13,21.074,21.13,350,0
2016-11-10,17:00:00,21.22,21.938,21.22,21.86,493,0
2016-11-10,18:00:00,21.883,21.942,21.88,21.9,4224,0
2016-11-10,19:00:00,21.648,21.648,21.648,21.648,276,0
2016-11-10,20:00:00,21.348,21.348,20.94,20.94,144,0
2016-11-10,21:00:00,20.848,20.94,20.8,20.88,754,0
2016-11-11,17:00:00,21.24,21.46,21.222,21.222,1400,0
2016-11-11,18:00:00,21.44,21.5,21.2,21.5,965,0
2016-11-11,22:00:00,20.793,20.893,20.793,20.893,1684,0
2016-11-14,16:00:00,20,20,20,20,75,0
2016-11-14,17:00:00,19.12,19.51,19.04,19.51,550,0
2016-11-14,18:00:00,19.486,19.486,19.486,19.486,1000,0
2016-11-14,19:00:00,19.571,19.571,19.571,19.571,52,0
2016-11-14,20:00:00,19.582,19.582,19.541,19.541,230,0
2016-11-14,21:00:00,19.715,19.715,19.715,19.715,52,0
2016-11-14,22:00:00,19.6,19.6,19.6,19.6,550,0
2016-11-15,16:00:00,19.88,20.335,19.88,20.335,650,0
2016-11-15,17:00:00,20.083,20.24,19.98,20.24,18000,0
2016-11-15,18:00:00,20.16,20.18,19.92,19.92,5100,0
2016-11-15,20:00:00,19.82,19.82,19.74,19.74,800,0
2016-11-15,21:00:00,19.74,19.74,19.595,19.595,1050,0
2016-11-15,22:00:00,19.5,19.5,19.398,19.398,2136,0
2016-11-16,16:00:00,20.72,20.72,20,20.1,450,0
2016-11-16,17:00:00,20.16,20.34,20.12,20.12,1750,0
2016-11-16,21:00:00,20.12,20.12,20.12,20.12,50,0
2016-11-17,17:00:00,19.658,19.838,19.658,19.838,345,0
2016-11-17,20:00:00,19.412,19.412,19.412,19.412,50,0
2016-11-17,22:00:00,19.579,19.579,19.579,19.579,50,0
2016-11-18,16:00:00,19.7,19.7,19.7,19.7,500,0
2016-11-18,18:00:00,19.393,19.393,19.393,19.393,80,0
2016-11-18,20:00:00,19.28,19.32,19.28,19.282,1538,0
2016-11-18,21:00:00,19.26,19.26,19.26,19.26,250,0
2016-11-18,22:00:00,19.37,19.37,19.37,19.37,52,0
2016-11-21,17:00:00,19.46,19.46,19.46,19.46,200,0
2016-11-21,18:00:00,19.4,19.4,19.4,19.4,300,0
2016-11-21,19:00:00,19.438,19.438,19.306,19.306,415,0
2016-11-21,20:00:00,19.308,19.351,19.308,19.351,208,0
2016-11-21,22:00:00,19.335,19.36,19.3,19.36,350,0
2016-11-22,16:00:00,18.94,19.017,18.94,19,305,0
2016-11-22,17:00:00,19.011,19.207,19.011,19.207,7080,0
2016-11-22,18:00:00,19.18,19.18,19.16,19.16,150,0
2016-11-22,21:00:00,19.394,19.394,19.28,19.28,6550,0
2016-11-23,22:00:00,18.808,18.808,18.808,18.808,50,0
2016-11-25,19:00:00,18.739,18.739,18.739,18.739,150,0
2016-11-28,16:00:00,19.46,19.46,19,19.06,896,0
2016-11-28,17:00:00,19.064,19.064,19.064,19.064,500,0
2016-11-28,19:00:00,19.2,19.2,19.2,19.2,150,0
2016-11-28,22:00:00,19.349,19.526,19.32,19.526,775,0
2016-11-29,18:00:00,19.1,19.2,19.1,19.2,300,0
