Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,34.973,34.973,34.691,34.709,15463,0
2017-09-05,17:00:00,34.719,34.827,34.69,34.787,44821,0
2017-09-05,18:00:00,34.767,34.787,34.761,34.777,2155,0
2017-09-05,19:00:00,34.777,34.851,34.777,34.851,1026,0
2017-09-05,20:00:00,34.846,34.846,34.787,34.787,4185,0
2017-09-05,21:00:00,34.801,34.807,34.758,34.787,31827,0
2017-09-05,22:00:00,34.771,34.865,34.771,34.846,7989,0
2017-09-06,16:00:00,35.091,35.091,34.81,34.828,4741,0
2017-09-06,17:00:00,34.817,34.836,34.787,34.836,4257,0
2017-09-06,18:00:00,34.853,34.885,34.787,34.836,3691,0
2017-09-06,19:00:00,34.836,34.836,34.797,34.797,3585,0
2017-09-06,20:00:00,34.797,34.797,34.684,34.69,5000,0
2017-09-06,21:00:00,34.69,34.729,34.66,34.705,6722,0
2017-09-06,22:00:00,34.709,34.738,34.69,34.709,6656,0
2017-09-07,16:00:00,34.777,34.787,34.714,34.787,2488,0
2017-09-07,17:00:00,34.83,34.982,34.83,34.954,4277,0
2017-09-07,18:00:00,34.954,34.954,34.885,34.903,12073,0
2017-09-07,19:00:00,34.895,34.895,34.809,34.827,2213,0
2017-09-07,20:00:00,34.812,34.846,34.805,34.832,1973,0
2017-09-07,21:00:00,34.865,34.895,34.856,34.872,3373,0
2017-09-07,22:00:00,34.878,34.954,34.856,34.946,9123,0
2017-09-08,16:00:00,35.061,35.061,34.885,34.895,1649,0
2017-09-08,17:00:00,34.924,34.973,34.924,34.954,5579,0
2017-09-08,18:00:00,34.964,34.964,34.924,34.924,1581,0
2017-09-08,19:00:00,34.934,35.031,34.934,35.031,8007,0
2017-09-08,20:00:00,35.03,35.031,35,35,1331,0
2017-09-08,21:00:00,35.031,35.113,35.012,35.113,3444,0
2017-09-08,22:00:00,35.123,35.129,35.091,35.109,3793,0
2017-09-11,16:00:00,35.091,35.218,35.071,35.188,9669,0
