Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-24,16:00:00,78.658,78.669,78.658,78.669,1423,0
2017-08-24,17:00:00,78.686,78.697,78.667,78.667,6327,0
2017-08-24,18:00:00,78.727,78.767,78.727,78.767,765,0
2017-08-24,19:00:00,78.747,78.747,78.747,78.747,717,0
2017-08-24,20:00:00,78.757,78.767,78.757,78.757,2512,0
2017-08-24,21:00:00,78.747,78.754,78.737,78.737,1121,0
2017-08-24,22:00:00,78.707,78.707,78.658,78.658,14167,0
2017-08-25,16:00:00,78.796,78.806,78.707,78.717,36285,0
2017-08-25,17:00:00,78.786,79.166,78.786,79.054,22853,0
2017-08-25,18:00:00,79.114,79.114,78.895,78.895,14832,0
2017-08-25,19:00:00,78.977,78.984,78.977,78.984,1474,0
2017-08-25,20:00:00,79.024,79.024,78.994,78.994,2108,0
2017-08-25,21:00:00,79.022,79.022,79.022,79.022,663,0
2017-08-25,22:00:00,79.014,79.104,79.014,79.084,4237,0
2017-08-28,16:00:00,79.123,79.124,79.121,79.124,2412,0
2017-08-28,17:00:00,79.084,79.084,79.064,79.081,4320,0
2017-08-28,18:00:00,79.294,79.294,79.225,79.225,1859,0
2017-08-28,19:00:00,79.217,79.224,79.204,79.214,1805,0
2017-08-28,20:00:00,79.294,79.344,79.292,79.324,22747,0
2017-08-28,21:00:00,79.334,79.344,79.334,79.344,200,0
2017-08-28,22:00:00,79.398,79.398,79.294,79.304,7004,0
2017-08-29,16:00:00,79.374,79.424,79.325,79.344,10246,0
2017-08-29,17:00:00,79.334,79.464,79.274,79.464,9163,0
2017-08-29,18:00:00,79.354,79.414,79.344,79.414,9205,0
2017-08-29,19:00:00,79.324,79.324,79.324,79.324,100,0
2017-08-29,20:00:00,79.294,79.294,79.294,79.294,5827,0
2017-08-29,21:00:00,79.232,79.232,79.232,79.232,100,0
2017-08-29,22:00:00,79.203,79.203,79.144,79.144,657,0
2017-08-30,16:00:00,78.957,78.989,78.895,78.895,1252,0
2017-08-30,17:00:00,78.894,78.894,78.717,78.717,4039,0
2017-08-30,18:00:00,78.737,78.737,78.667,78.707,2663,0
2017-08-30,19:00:00,78.717,78.722,78.687,78.687,3547,0
2017-08-30,20:00:00,78.663,78.707,78.663,78.707,253,0
2017-08-30,21:00:00,78.67,78.67,78.668,78.668,200,0
2017-08-30,22:00:00,78.701,78.707,78.667,78.667,5699,0
2017-08-31,16:00:00,78.737,78.806,78.727,78.727,1908,0
2017-08-31,17:00:00,78.816,78.865,78.776,78.865,2218,0
2017-08-31,18:00:00,79.024,79.024,78.885,78.895,5659,0
2017-08-31,19:00:00,78.924,78.924,78.924,78.924,10145,0
2017-08-31,20:00:00,78.974,78.974,78.974,78.974,200,0
2017-08-31,21:00:00,79.134,79.134,79.124,79.124,2927,0
2017-08-31,22:00:00,79.144,79.154,79.094,79.154,4623,0
2017-09-01,16:00:00,79.544,79.574,79.334,79.334,3978,0
2017-09-01,17:00:00,79.204,79.429,79.174,79.429,31462,0
2017-09-01,18:00:00,79.433,79.454,79.374,79.454,1113,0
2017-09-01,19:00:00,79.484,79.484,79.484,79.484,100,0
2017-09-01,20:00:00,79.43,79.43,79.43,79.43,409,0
2017-09-01,21:00:00,79.424,79.424,79.387,79.389,1332,0
2017-09-01,22:00:00,79.384,79.394,79.364,79.364,2389,0
