Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-07-18,16:00:00,26.969,26.969,26.963,26.963,2834,0
2017-07-18,17:00:00,26.961,26.974,26.961,26.974,1217,0
2017-07-18,20:00:00,26.969,26.969,26.969,26.969,315,0
2017-07-18,21:00:00,26.928,26.928,26.928,26.928,524,0
2017-07-18,22:00:00,26.962,26.962,26.962,26.962,682,0
2017-07-19,16:00:00,27.102,27.102,27.102,27.102,105,0
2017-07-19,17:00:00,27.061,27.061,27.061,27.061,210,0
2017-07-20,16:00:00,27.207,27.207,27.207,27.207,945,0
2017-07-20,17:00:00,27.227,27.227,27.217,27.217,766,0
2017-07-20,18:00:00,27.198,27.198,27.136,27.188,498,0
2017-07-20,22:00:00,27.224,27.225,27.207,27.207,2086,0
2017-07-21,16:00:00,27.178,27.254,27.178,27.254,210,0
2017-07-21,17:00:00,26.993,27.008,26.993,27.008,955,0
2017-07-21,18:00:00,27.102,27.102,27.102,27.102,147,0
2017-07-21,20:00:00,27.149,27.149,27.149,27.149,210,0
2017-07-21,21:00:00,27.117,27.157,27.117,27.157,735,0
2017-07-21,22:00:00,27.139,27.159,27.139,27.146,2394,0
2017-07-24,16:00:00,27.159,27.159,27.159,27.159,734,0
2017-07-24,17:00:00,27.069,27.069,27.069,27.069,184,0
2017-07-24,18:00:00,27.038,27.038,27.038,27.038,115,0
2017-07-24,20:00:00,27.042,27.083,27.042,27.083,210,0
2017-07-24,21:00:00,27.136,27.136,27.136,27.136,210,0
2017-07-24,22:00:00,27.124,27.127,27.119,27.119,1680,0
2017-07-25,16:00:00,27.254,27.261,27.254,27.261,474,0
2017-07-25,17:00:00,27.198,27.198,27.177,27.177,959,0
2017-07-25,19:00:00,27.135,27.139,27.112,27.139,1258,0
2017-07-25,22:00:00,27.122,27.147,27.122,27.147,330,0
2017-07-26,16:00:00,27.121,27.121,27.121,27.121,1049,0
2017-07-26,17:00:00,27.188,27.188,27.188,27.188,105,0
2017-07-26,19:00:00,27.198,27.198,27.16,27.178,2010,0
2017-07-26,20:00:00,27.169,27.169,27.169,27.169,473,0
2017-07-26,21:00:00,27.186,27.186,27.123,27.123,1248,0
2017-07-26,22:00:00,27.141,27.192,27.121,27.159,4306,0
2017-07-27,17:00:00,27.245,27.245,27.245,27.245,105,0
2017-07-27,18:00:00,27.17,27.178,27.083,27.178,637,0
2017-07-27,19:00:00,27.184,27.188,27.178,27.188,625,0
2017-07-27,20:00:00,27.178,27.178,27.178,27.178,184,0
2017-07-27,21:00:00,27.136,27.139,27.054,27.117,3111,0
2017-07-27,22:00:00,27.133,27.17,27.045,27.17,1332,0
2017-07-28,16:00:00,27.149,27.149,27.068,27.068,1258,0
2017-07-28,17:00:00,27.142,27.142,27.142,27.142,105,0
2017-07-28,18:00:00,27.188,27.188,27.188,27.188,524,0
2017-07-28,19:00:00,27.144,27.144,27.144,27.144,280,0
2017-07-28,21:00:00,27.122,27.122,27.106,27.106,1071,0
2017-07-28,22:00:00,27.234,27.234,27.234,27.234,737,0
2017-07-31,16:00:00,27.225,27.225,27.225,27.225,107,0
2017-07-31,20:00:00,27.34,27.34,27.34,27.34,105,0
2017-07-31,22:00:00,27.255,27.36,27.254,27.254,3079,0
2017-08-01,17:00:00,27.449,27.449,27.444,27.444,2581,0
2017-08-01,19:00:00,27.315,27.362,27.315,27.362,889,0
2017-08-01,22:00:00,27.331,27.341,27.315,27.315,593,0
2017-08-02,16:00:00,27.254,27.254,27.254,27.254,496,0
2017-08-02,17:00:00,27.3,27.3,27.3,27.3,263,0
2017-08-02,18:00:00,27.254,27.295,27.254,27.295,251,0
2017-08-02,19:00:00,27.254,27.254,27.254,27.254,3735,0
2017-08-03,17:00:00,27.139,27.272,27.13,27.272,512,0
2017-08-03,19:00:00,27.13,27.214,27.13,27.214,1716,0
2017-08-03,20:00:00,27.13,27.13,27.13,27.13,419,0
2017-08-03,21:00:00,27.254,27.254,27.075,27.075,1057,0
2017-08-03,22:00:00,27.183,27.225,27.159,27.159,2082,0
2017-08-04,16:00:00,27.245,27.245,27.245,27.245,105,0
2017-08-04,17:00:00,27.169,27.245,27.169,27.23,3243,0
2017-08-04,18:00:00,27.225,27.225,27.225,27.225,210,0
2017-08-04,19:00:00,27.188,27.23,27.188,27.23,630,0
2017-08-04,20:00:00,27.234,27.235,27.232,27.235,1392,0
2017-08-04,21:00:00,27.235,27.235,27.235,27.235,524,0
2017-08-04,22:00:00,27.235,27.235,27.235,27.235,524,0
2017-08-07,16:00:00,27.102,27.22,27.102,27.22,613,0
2017-08-07,17:00:00,27.161,27.161,27.148,27.148,505,0
2017-08-07,19:00:00,27.154,27.202,27.149,27.149,4060,0
2017-08-07,20:00:00,27.159,27.192,27.149,27.192,509,0
2017-08-07,21:00:00,27.188,27.188,27.149,27.167,2498,0
2017-08-07,22:00:00,27.187,27.207,27.149,27.149,3165,0
2017-08-08,16:00:00,27.083,27.083,27.083,27.083,235,0
2017-08-08,18:00:00,27.064,27.064,27.064,27.064,163,0
2017-08-08,19:00:00,27.163,27.163,27.163,27.163,185,0
2017-08-08,20:00:00,27.064,27.064,26.886,26.886,2430,0
2017-08-08,21:00:00,26.916,26.942,26.835,26.942,2428,0
2017-08-08,22:00:00,27.032,27.032,27.032,27.032,734,0
2017-08-09,18:00:00,27.007,27.007,26.692,26.692,746,0
2017-08-09,19:00:00,26.851,26.851,26.851,26.851,158,0
2017-08-09,20:00:00,26.78,26.846,26.78,26.824,1128,0
2017-08-09,21:00:00,26.778,26.874,26.778,26.825,2329,0
2017-08-09,22:00:00,26.826,26.871,26.778,26.805,6619,0
2017-08-10,16:00:00,26.692,26.74,26.692,26.74,1282,0
2017-08-10,18:00:00,26.902,26.902,26.902,26.902,131,0
2017-08-10,19:00:00,26.797,26.797,26.797,26.797,210,0
2017-08-10,20:00:00,26.778,26.778,26.778,26.778,8080,0
2017-08-10,21:00:00,26.549,26.662,26.549,26.662,1416,0
2017-08-10,22:00:00,26.656,26.661,26.598,26.598,2601,0
