Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-29,16:00:00,25.141,25.141,25.001,25.071,5713,0
2017-08-29,17:00:00,25.141,25.141,25.047,25.091,4142,0
2017-08-29,18:00:00,25.091,25.171,25.091,25.121,5992,0
2017-08-29,19:00:00,25.09,25.101,25.079,25.101,1164,0
2017-08-29,20:00:00,25.111,25.131,25.093,25.121,3722,0
2017-08-29,21:00:00,25.114,25.121,25.089,25.116,2520,0
2017-08-29,22:00:00,25.121,25.125,25.081,25.081,9877,0
2017-08-30,16:00:00,25.111,25.141,25.111,25.141,666,0
2017-08-30,17:00:00,25.141,25.151,25.141,25.151,3396,0
2017-08-30,18:00:00,25.141,25.141,25.131,25.131,14162,0
2017-08-30,19:00:00,25.127,25.127,25.127,25.127,100,0
2017-08-30,20:00:00,25.112,25.131,25.112,25.123,5218,0
2017-08-30,21:00:00,25.121,25.141,25.101,25.101,4420,0
2017-08-30,22:00:00,25.136,25.136,25.091,25.091,496,0
2017-08-31,16:00:00,25.161,25.161,25.113,25.141,6815,0
2017-08-31,17:00:00,25.149,25.161,25.122,25.122,2100,0
2017-08-31,18:00:00,25.144,25.155,25.131,25.15,4168,0
2017-08-31,19:00:00,25.166,25.166,25.121,25.154,1300,0
2017-08-31,20:00:00,25.131,25.16,25.131,25.16,1724,0
2017-08-31,21:00:00,25.153,25.191,25.153,25.19,958,0
2017-08-31,22:00:00,25.191,25.191,25.181,25.181,3902,0
2017-09-01,16:00:00,25.279,25.458,25.279,25.454,5237,0
2017-09-01,17:00:00,25.281,25.323,25.249,25.249,1755,0
2017-09-01,18:00:00,25.337,25.349,25.312,25.319,861,0
2017-09-01,19:00:00,25.349,25.379,25.332,25.355,1663,0
2017-09-01,20:00:00,25.337,25.337,25.279,25.279,612,0
2017-09-01,21:00:00,25.362,25.369,25.355,25.355,1916,0
2017-09-01,22:00:00,25.368,25.368,25.319,25.319,2003,0
2017-09-05,16:00:00,25.289,25.339,25.171,25.191,10847,0
2017-09-05,17:00:00,25.209,25.289,25.209,25.254,1188,0
2017-09-05,18:00:00,25.269,25.279,25.259,25.266,6097,0
2017-09-05,19:00:00,25.24,25.24,25.071,25.105,5363,0
2017-09-05,20:00:00,25.116,25.121,25.051,25.086,3251,0
2017-09-05,21:00:00,25.13,25.161,25.092,25.161,2070,0
2017-09-05,22:00:00,25.174,25.174,25.111,25.111,5692,0
2017-09-06,16:00:00,25.269,25.269,25.269,25.269,300,0
2017-09-06,17:00:00,25.346,25.374,25.307,25.307,2676,0
2017-09-06,18:00:00,25.329,25.344,25.329,25.334,890,0
2017-09-06,19:00:00,25.372,25.379,25.371,25.379,1637,0
2017-09-06,20:00:00,25.415,25.415,25.415,25.415,202,0
2017-09-06,21:00:00,25.404,25.404,25.385,25.39,2572,0
2017-09-06,22:00:00,25.389,25.429,25.369,25.369,4419,0
2017-09-07,16:00:00,25.547,25.547,25.535,25.547,912,0
2017-09-07,17:00:00,25.546,25.546,25.501,25.501,8944,0
2017-09-07,18:00:00,25.502,25.547,25.502,25.527,8233,0
2017-09-07,19:00:00,25.527,25.527,25.519,25.519,1108,0
2017-09-07,20:00:00,25.497,25.502,25.478,25.478,2660,0
2017-09-07,21:00:00,25.507,25.507,25.507,25.507,100,0
2017-09-07,22:00:00,25.496,25.537,25.479,25.537,1921,0
2017-09-08,16:00:00,25.497,25.557,25.497,25.497,1185,0
2017-09-08,17:00:00,25.517,25.537,25.439,25.439,9052,0
2017-09-08,18:00:00,25.439,25.439,25.399,25.429,7193,0
2017-09-08,19:00:00,25.468,25.468,25.441,25.441,315,0
2017-09-08,20:00:00,25.453,25.458,25.399,25.429,14648,0
2017-09-08,21:00:00,25.429,25.444,25.428,25.444,3778,0
2017-09-08,22:00:00,25.409,25.438,25.409,25.409,7521,0
2017-09-11,16:00:00,25.587,25.627,25.587,25.627,5387,0
2017-09-11,17:00:00,25.647,25.711,25.647,25.696,5430,0
2017-09-11,18:00:00,25.687,25.702,25.677,25.695,3862,0
2017-09-11,19:00:00,25.697,25.726,25.697,25.716,4082,0
2017-09-11,20:00:00,25.707,25.707,25.697,25.698,4132,0
2017-09-11,21:00:00,25.707,25.716,25.692,25.707,10513,0
2017-09-11,22:00:00,25.707,25.707,25.667,25.667,17492,0
2017-09-12,16:00:00,25.697,25.697,25.597,25.597,7520,0
2017-09-12,17:00:00,25.617,25.637,25.607,25.607,6925,0
2017-09-12,18:00:00,25.613,25.613,25.597,25.597,1028,0
2017-09-12,19:00:00,25.619,25.627,25.616,25.627,2643,0
2017-09-12,20:00:00,25.627,25.637,25.617,25.617,4702,0
2017-09-12,21:00:00,25.553,25.637,25.553,25.607,16828,0
2017-09-12,22:00:00,25.597,25.617,25.552,25.57,6695,0
2017-09-13,16:00:00,25.557,25.557,25.557,25.557,903,0
2017-09-13,17:00:00,25.537,25.547,25.458,25.458,7498,0
2017-09-13,18:00:00,25.478,25.478,25.405,25.405,7066,0
2017-09-13,19:00:00,25.424,25.429,25.406,25.406,2045,0
2017-09-13,20:00:00,25.399,25.429,25.399,25.429,5242,0
2017-09-13,21:00:00,25.428,25.428,25.419,25.424,1320,0
2017-09-13,22:00:00,25.384,25.419,25.384,25.389,2520,0
2017-09-14,16:00:00,25.329,25.379,25.329,25.379,1245,0
2017-09-14,17:00:00,25.349,25.369,25.319,25.329,3286,0
2017-09-14,18:00:00,25.329,25.387,25.32,25.372,5596,0
2017-09-14,19:00:00,25.343,25.343,25.343,25.343,3226,0
2017-09-14,20:00:00,25.379,25.388,25.349,25.349,2793,0
2017-09-14,21:00:00,25.359,25.359,25.359,25.359,202,0
2017-09-14,22:00:00,25.349,25.501,25.349,25.468,21540,0
2017-09-15,16:00:00,25.517,25.537,25.497,25.537,4282,0
2017-09-15,17:00:00,25.497,25.497,25.497,25.497,8567,0
2017-09-15,18:00:00,25.449,25.449,25.442,25.442,1108,0
2017-09-15,19:00:00,25.449,25.503,25.442,25.488,9726,0
2017-09-15,20:00:00,25.497,25.497,25.481,25.488,1506,0
2017-09-15,21:00:00,25.488,25.493,25.454,25.478,12498,0
2017-09-15,22:00:00,25.449,25.537,25.449,25.507,4498,0
2017-09-18,16:00:00,25.507,25.537,25.478,25.519,1677,0
2017-09-18,17:00:00,25.527,25.527,25.468,25.468,3014,0
2017-09-18,18:00:00,25.468,25.478,25.449,25.478,4316,0
2017-09-18,19:00:00,25.449,25.468,25.404,25.449,13282,0
2017-09-18,20:00:00,25.449,25.468,25.429,25.429,2430,0
2017-09-18,21:00:00,25.458,25.488,25.399,25.399,3655,0
2017-09-18,22:00:00,25.458,25.468,25.409,25.409,3135,0
2017-09-19,16:00:00,25.527,25.527,25.449,25.449,2426,0
2017-09-19,17:00:00,25.463,25.468,25.419,25.419,3359,0
2017-09-19,18:00:00,25.408,25.408,25.408,25.408,465,0
2017-09-19,19:00:00,25.418,25.418,25.418,25.418,327,0
2017-09-19,20:00:00,25.429,25.454,25.429,25.439,1063,0
2017-09-19,21:00:00,25.449,25.478,25.449,25.478,394,0
2017-09-19,22:00:00,25.419,25.463,25.419,25.463,1525,0
2017-09-20,17:00:00,25.488,25.488,25.359,25.409,1266,0
2017-09-20,18:00:00,25.409,25.439,25.409,25.439,942,0
2017-09-20,19:00:00,25.448,25.468,25.448,25.451,1613,0
2017-09-20,20:00:00,25.448,25.478,25.439,25.439,3678,0
2017-09-20,21:00:00,25.429,25.439,25.151,25.201,8263,0
2017-09-20,22:00:00,25.241,25.338,25.226,25.23,2737,0
2017-09-21,16:00:00,25.249,25.249,25.249,25.249,120,0
2017-09-21,17:00:00,25.349,25.349,25.287,25.287,3242,0
2017-09-21,18:00:00,25.323,25.359,25.303,25.333,1304,0
2017-09-21,19:00:00,25.354,25.359,25.354,25.355,1166,0
2017-09-21,20:00:00,25.32,25.32,25.32,25.32,858,0
2017-09-21,21:00:00,25.349,25.349,25.339,25.339,508,0
2017-09-22,16:00:00,25.399,25.409,25.349,25.349,2612,0
2017-09-22,17:00:00,25.369,25.458,25.369,25.445,2287,0
2017-09-22,18:00:00,25.435,25.435,25.435,25.435,105,0
2017-09-22,20:00:00,25.414,25.429,25.414,25.429,5229,0
2017-09-22,21:00:00,25.427,25.429,25.415,25.429,2507,0
2017-09-22,22:00:00,25.429,25.439,25.429,25.439,751,0
2017-09-25,16:00:00,25.259,25.269,25.23,25.23,13860,0
2017-09-25,17:00:00,25.257,25.257,25.151,25.151,6119,0
2017-09-25,18:00:00,25.177,25.19,25.121,25.121,1862,0
2017-09-25,19:00:00,25.071,25.071,25.022,25.029,2384,0
2017-09-25,20:00:00,25.081,25.101,25.071,25.091,1412,0
2017-09-25,22:00:00,25.091,25.101,25.081,25.081,5479,0
2017-09-26,16:00:00,25.051,25.151,24.922,25.151,1510,0
2017-09-26,17:00:00,25.091,25.095,24.998,24.998,6861,0
2017-09-26,18:00:00,24.972,25.001,24.962,24.972,3203,0
2017-09-26,19:00:00,24.978,24.991,24.923,24.972,5789,0
2017-09-26,20:00:00,24.982,25.051,24.955,25.04,4725,0
2017-09-26,21:00:00,25.03,25.035,24.962,25.003,7215,0
2017-09-26,22:00:00,25.021,25.023,24.922,24.922,8329,0
2017-09-27,16:00:00,24.812,24.902,24.733,24.772,11130,0
2017-09-27,17:00:00,24.783,24.812,24.783,24.81,3615,0
2017-09-27,18:00:00,24.812,24.832,24.786,24.786,3541,0
2017-09-27,19:00:00,24.802,24.832,24.742,24.83,2096,0
2017-09-27,20:00:00,24.822,24.862,24.822,24.852,3294,0
2017-09-27,21:00:00,24.862,24.875,24.812,24.848,5851,0
2017-09-27,22:00:00,24.892,24.892,24.822,24.822,3469,0
2017-09-28,16:00:00,24.922,24.962,24.902,24.902,5277,0
2017-09-28,17:00:00,24.958,25.001,24.952,24.952,823,0
2017-09-28,18:00:00,24.946,24.946,24.907,24.907,320,0
2017-09-28,19:00:00,24.937,24.946,24.937,24.942,818,0
2017-09-28,20:00:00,24.942,24.982,24.942,24.972,1797,0
2017-09-28,21:00:00,24.962,24.962,24.962,24.962,301,0
2017-09-28,22:00:00,24.981,24.981,24.892,24.942,4134,0
2017-09-29,16:00:00,25.011,25.029,24.983,25.029,1840,0
2017-09-29,17:00:00,25.021,25.051,24.985,25.041,3212,0
2017-09-29,18:00:00,25.041,25.07,25.007,25.07,1084,0
2017-09-29,19:00:00,25.1,25.1,25.051,25.08,1755,0
2017-09-29,20:00:00,25.055,25.081,25.055,25.081,3088,0
2017-09-29,21:00:00,25.091,25.091,25.061,25.069,1556,0
2017-09-29,22:00:00,25.071,25.131,25.071,25.131,301,0
2017-10-02,16:00:00,24.932,24.932,24.872,24.872,1576,0
2017-10-02,17:00:00,24.912,24.952,24.911,24.922,4732,0
2017-10-02,18:00:00,24.921,24.922,24.903,24.922,5286,0
2017-10-02,19:00:00,24.936,24.936,24.936,24.936,503,0
2017-10-02,20:00:00,24.922,25.001,24.922,25.001,11949,0
2017-10-02,21:00:00,24.951,24.994,24.951,24.974,648,0
2017-10-02,22:00:00,24.989,25.006,24.933,24.972,3377,0
2017-10-03,16:00:00,25.021,25.051,25.021,25.051,803,0
2017-10-03,17:00:00,25.051,25.131,25.051,25.131,9194,0
2017-10-03,18:00:00,25.111,25.16,25.051,25.081,23496,0
2017-10-03,19:00:00,25.081,25.086,25.01,25.032,53089,0
2017-10-03,20:00:00,25.031,25.06,25.006,25.011,10052,0
2017-10-03,21:00:00,25.011,25.051,24.986,25.051,28302,0
2017-10-03,22:00:00,25.098,25.098,25.021,25.071,5396,0
2017-10-04,16:00:00,25.077,25.077,25.001,25.001,331,0
2017-10-04,17:00:00,25.001,25.001,24.962,24.982,1147,0
2017-10-04,18:00:00,24.969,24.991,24.952,24.991,1184,0
2017-10-04,19:00:00,24.972,24.982,24.972,24.976,340,0
2017-10-04,20:00:00,24.965,24.991,24.965,24.991,2936,0
2017-10-04,21:00:00,24.998,25.011,24.983,25.011,2339,0
2017-10-04,22:00:00,25.001,25.011,24.991,24.991,4925,0
2017-10-05,16:00:00,25.051,25.051,25.051,25.051,435,0
2017-10-05,17:00:00,25.111,25.118,25.101,25.101,1314,0
2017-10-05,18:00:00,25.091,25.121,25.091,25.121,2094,0
2017-10-05,20:00:00,25.121,25.121,25.081,25.091,1278,0
2017-10-05,21:00:00,25.105,25.105,25.071,25.071,2711,0
2017-10-05,22:00:00,25.06,25.089,25.015,25.021,7124,0
2017-10-06,16:00:00,24.932,25.011,24.812,24.946,5184,0
2017-10-06,17:00:00,24.88,24.913,24.877,24.913,4639,0
2017-10-06,18:00:00,24.922,24.942,24.912,24.942,1355,0
2017-10-06,19:00:00,24.942,24.942,24.942,24.942,351,0
2017-10-06,20:00:00,24.932,24.942,24.932,24.942,248,0
2017-10-06,21:00:00,24.942,24.964,24.933,24.964,3071,0
2017-10-06,22:00:00,24.982,25.001,24.982,25.001,529,0
2017-10-09,16:00:00,24.982,24.982,24.872,24.872,1270,0
2017-10-09,17:00:00,24.902,24.922,24.846,24.912,4446,0
2017-10-09,18:00:00,24.922,24.972,24.922,24.971,5883,0
2017-10-09,19:00:00,24.932,24.982,24.932,24.952,1734,0
2017-10-09,20:00:00,24.982,24.982,24.973,24.973,562,0
2017-10-09,21:00:00,24.981,24.981,24.981,24.981,6514,0
2017-10-09,22:00:00,24.962,24.981,24.952,24.952,2028,0
2017-10-10,16:00:00,25.121,25.221,25.121,25.191,2033,0
2017-10-10,17:00:00,25.191,25.22,25.181,25.191,7041,0
2017-10-10,18:00:00,25.201,25.211,25.191,25.191,1907,0
2017-10-10,19:00:00,25.181,25.221,25.181,25.201,13190,0
2017-10-10,20:00:00,25.192,25.27,25.192,25.26,2409,0
2017-10-10,21:00:00,25.26,25.26,25.26,25.26,376,0
2017-10-10,22:00:00,25.234,25.31,25.234,25.26,3561,0
2017-10-11,16:00:00,25.27,25.32,25.27,25.32,1126,0
2017-10-11,17:00:00,25.312,25.33,25.312,25.32,2627,0
2017-10-11,18:00:00,25.34,25.35,25.34,25.35,4524,0
2017-10-11,19:00:00,25.349,25.35,25.33,25.33,4846,0
2017-10-11,20:00:00,25.34,25.34,25.32,25.32,4618,0
2017-10-11,21:00:00,25.4,25.4,25.351,25.36,3083,0
2017-10-11,22:00:00,25.41,25.42,25.36,25.36,3305,0
2017-10-12,17:00:00,25.36,25.375,25.339,25.35,2849,0
2017-10-12,19:00:00,25.36,25.36,25.353,25.353,278,0
2017-10-12,20:00:00,25.36,25.389,25.36,25.389,1545,0
2017-10-12,21:00:00,25.409,25.409,25.37,25.37,5179,0
2017-10-12,22:00:00,25.39,25.4,25.33,25.34,13051,0
2017-10-13,16:00:00,25.539,25.557,25.529,25.557,1423,0
2017-10-13,17:00:00,25.579,25.599,25.519,25.519,3392,0
2017-10-13,18:00:00,25.548,25.548,25.499,25.499,804,0
2017-10-13,19:00:00,25.556,25.558,25.531,25.558,8237,0
2017-10-13,20:00:00,25.546,25.546,25.538,25.538,1746,0
2017-10-13,21:00:00,25.519,25.519,25.506,25.509,837,0
2017-10-13,22:00:00,25.48,25.509,25.48,25.509,2840,0
2017-10-16,16:00:00,25.569,25.579,25.49,25.49,4796,0
2017-10-16,17:00:00,25.49,25.49,25.411,25.44,6356,0
2017-10-16,18:00:00,25.405,25.46,25.405,25.459,1451,0
2017-10-16,19:00:00,25.423,25.44,25.423,25.44,3022,0
2017-10-16,20:00:00,25.452,25.455,25.43,25.43,7178,0
2017-10-16,21:00:00,25.435,25.44,25.435,25.44,1840,0
2017-10-16,22:00:00,25.439,25.439,25.429,25.429,675,0
2017-10-17,16:00:00,25.34,25.347,25.192,25.344,2989,0
2017-10-17,17:00:00,25.29,25.29,25.191,25.217,7068,0
2017-10-17,18:00:00,25.245,25.245,25.167,25.191,5325,0
2017-10-17,19:00:00,25.181,25.201,25.171,25.201,1104,0
2017-10-17,20:00:00,25.201,25.231,25.201,25.221,4618,0
2017-10-17,21:00:00,25.221,25.26,25.221,25.221,741,0
2017-10-17,22:00:00,25.241,25.29,25.241,25.26,2196,0
2017-10-18,16:00:00,25.25,25.25,25.201,25.22,3144,0
2017-10-18,17:00:00,25.201,25.211,25.201,25.211,3525,0
2017-10-18,18:00:00,25.211,25.211,25.151,25.178,6995,0
2017-10-18,19:00:00,25.222,25.241,25.191,25.241,1709,0
2017-10-18,20:00:00,25.222,25.225,25.222,25.225,306,0
2017-10-18,21:00:00,25.26,25.28,25.26,25.26,1861,0
2017-10-18,22:00:00,25.267,25.28,25.221,25.221,3772,0
2017-10-19,17:00:00,25.131,25.161,25.131,25.161,1807,0
2017-10-19,18:00:00,25.191,25.191,25.17,25.17,1326,0
2017-10-19,19:00:00,25.145,25.145,25.145,25.145,1595,0
2017-10-19,20:00:00,25.153,25.154,25.153,25.154,1178,0
2017-10-19,21:00:00,25.166,25.19,25.166,25.166,3049,0
2017-10-19,22:00:00,25.171,25.182,25.141,25.151,3964,0
2017-10-20,17:00:00,25.171,25.171,25.151,25.171,502,0
2017-10-20,18:00:00,25.143,25.151,25.121,25.121,6842,0
2017-10-20,19:00:00,25.138,25.15,25.121,25.121,1499,0
2017-10-20,20:00:00,25.131,25.154,25.131,25.131,1772,0
2017-10-20,21:00:00,25.151,25.171,25.151,25.171,402,0
2017-10-20,22:00:00,25.17,25.17,25.141,25.141,2521,0
2017-10-23,16:00:00,25.051,25.138,25.051,25.131,1627,0
2017-10-23,17:00:00,25.061,25.061,25.021,25.031,1757,0
