Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-23,16:00:00,17.38,17.38,17.38,17.38,935,0
2017-08-23,17:00:00,17.326,17.439,17.257,17.439,10554,0
2017-08-23,18:00:00,17.425,17.429,17.392,17.411,1321,0
2017-08-23,19:00:00,17.392,17.428,17.392,17.428,2542,0
2017-08-23,20:00:00,17.398,17.447,17.398,17.439,5251,0
2017-08-23,21:00:00,17.452,17.457,17.452,17.457,774,0
2017-08-23,22:00:00,17.477,17.486,17.258,17.457,4859,0
2017-08-24,16:00:00,17.477,17.477,17.457,17.457,514,0
2017-08-24,17:00:00,17.447,17.457,17.447,17.457,623,0
2017-08-24,18:00:00,17.474,17.474,17.457,17.457,2342,0
2017-08-24,19:00:00,17.484,17.486,17.4,17.457,4710,0
2017-08-24,20:00:00,17.432,17.495,17.432,17.495,1479,0
2017-08-24,21:00:00,17.477,17.496,17.423,17.47,4352,0
2017-08-24,22:00:00,17.47,17.496,17.467,17.486,4875,0
2017-08-25,16:00:00,17.42,17.441,17.42,17.441,453,0
2017-08-25,17:00:00,17.478,17.478,17.478,17.478,362,0
2017-08-25,18:00:00,17.467,17.483,17.361,17.361,4082,0
2017-08-25,19:00:00,17.408,17.422,17.408,17.422,709,0
2017-08-25,20:00:00,17.38,17.554,17.361,17.447,12297,0
2017-08-25,21:00:00,17.554,17.554,17.525,17.525,1454,0
2017-08-25,22:00:00,17.554,17.564,17.506,17.554,5185,0
2017-08-28,16:00:00,17.544,17.585,17.544,17.585,1345,0
2017-08-28,17:00:00,17.525,17.525,17.525,17.525,263,0
2017-08-28,18:00:00,17.519,17.535,17.37,17.37,6224,0
2017-08-28,19:00:00,17.555,17.555,17.36,17.486,3419,0
2017-08-28,20:00:00,17.493,17.517,17.37,17.439,8300,0
2017-08-28,21:00:00,17.517,17.517,17.37,17.385,6680,0
2017-08-28,22:00:00,17.36,17.53,17.36,17.38,1389,0
2017-08-29,16:00:00,17.448,17.448,17.448,17.448,180,0
2017-08-29,17:00:00,17.498,17.498,17.397,17.397,1230,0
2017-08-29,18:00:00,17.486,17.486,17.438,17.467,1660,0
2017-08-29,20:00:00,17.486,17.486,17.486,17.486,517,0
2017-08-29,21:00:00,17.415,17.583,17.415,17.583,1522,0
2017-08-29,22:00:00,17.573,17.593,17.457,17.457,4410,0
2017-08-30,16:00:00,17.447,17.447,17.447,17.447,208,0
2017-08-30,18:00:00,17.566,17.592,17.467,17.589,3938,0
2017-08-30,19:00:00,17.506,17.525,17.506,17.525,1319,0
2017-08-30,20:00:00,17.542,17.542,17.457,17.496,1897,0
2017-08-30,21:00:00,17.557,17.557,17.504,17.504,2050,0
2017-08-30,22:00:00,17.593,17.593,17.447,17.457,2075,0
2017-08-31,16:00:00,17.554,17.554,17.554,17.554,836,0
2017-08-31,17:00:00,17.447,17.552,17.447,17.544,2850,0
2017-08-31,18:00:00,17.543,17.543,17.525,17.541,623,0
2017-08-31,19:00:00,17.523,17.67,17.523,17.64,3850,0
2017-08-31,20:00:00,17.628,17.64,17.628,17.64,623,0
2017-08-31,21:00:00,17.65,17.65,17.581,17.581,2530,0
2017-08-31,22:00:00,17.623,17.728,17.591,17.718,8382,0
2017-09-01,16:00:00,17.728,17.728,17.57,17.57,3266,0
2017-09-01,18:00:00,17.599,17.609,17.599,17.609,2084,0
2017-09-01,19:00:00,17.618,17.71,17.599,17.672,6701,0
2017-09-01,20:00:00,17.7,17.728,17.65,17.65,2874,0
2017-09-01,21:00:00,17.66,17.66,17.652,17.652,841,0
2017-09-01,22:00:00,17.593,17.662,17.593,17.601,3144,0
2017-09-05,16:00:00,17.775,17.775,17.718,17.728,2099,0
2017-09-05,17:00:00,17.786,17.786,17.711,17.711,2075,0
2017-09-05,18:00:00,17.747,17.747,17.67,17.67,4524,0
2017-09-05,20:00:00,17.737,17.737,17.611,17.64,14058,0
2017-09-05,21:00:00,17.71,17.775,17.645,17.737,24991,0
2017-09-05,22:00:00,17.738,17.738,17.593,17.593,36899,0
2017-09-06,17:00:00,17.611,17.611,17.611,17.611,104,0
2017-09-06,19:00:00,17.727,17.727,17.727,17.727,216,0
2017-09-06,20:00:00,17.621,17.737,17.611,17.737,8361,0
2017-09-06,21:00:00,17.737,17.737,17.737,17.737,415,0
2017-09-06,22:00:00,17.737,17.747,17.695,17.747,1799,0
2017-09-07,16:00:00,17.775,17.775,17.775,17.775,104,0
2017-09-07,17:00:00,17.679,17.705,17.65,17.676,3211,0
2017-09-07,18:00:00,17.67,17.691,17.67,17.67,1041,0
2017-09-07,19:00:00,17.718,17.718,17.718,17.718,104,0
2017-09-07,20:00:00,17.725,17.725,17.725,17.725,169,0
2017-09-07,21:00:00,17.728,17.728,17.718,17.723,994,0
2017-09-07,22:00:00,17.742,17.775,17.69,17.69,2235,0
2017-09-08,16:00:00,17.71,17.71,17.594,17.594,3310,0
2017-09-08,17:00:00,17.755,17.755,17.601,17.601,1867,0
2017-09-08,18:00:00,17.584,17.756,17.584,17.756,302,0
2017-09-08,19:00:00,17.702,17.765,17.631,17.765,960,0
2017-09-08,20:00:00,17.629,17.737,17.601,17.71,4523,0
2017-09-08,21:00:00,17.69,17.73,17.601,17.67,14178,0
2017-09-08,22:00:00,17.67,17.752,17.658,17.68,64004,0
2017-09-11,16:00:00,17.631,17.631,17.621,17.621,310,0
2017-09-11,17:00:00,17.659,17.731,17.659,17.731,665,0
2017-09-11,18:00:00,17.657,17.657,17.657,17.657,104,0
