Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,100.54,101.07,100.45,100.45,6191,0
2017-09-05,17:00:00,100.49,100.78,100.49,100.59,7066,0
2017-09-05,18:00:00,100.53,100.67,100.44,100.49,7861,0
2017-09-05,19:00:00,100.45,100.46,100.06,100.13,8569,0
2017-09-05,20:00:00,100.12,100.15,99.98,100.11,13841,0
2017-09-05,21:00:00,100.21,100.45,100.11,100.45,9921,0
2017-09-05,22:00:00,100.47,100.61,100.4,100.57,31662,0
2017-09-06,16:00:00,100.95,101.02,100.68,100.99,25360,0
2017-09-06,17:00:00,101.17,101.28,101.03,101.18,5745,0
2017-09-06,18:00:00,101.12,101.12,100.94,100.97,7199,0
2017-09-06,19:00:00,100.96,101.05,100.91,100.93,5578,0
2017-09-06,20:00:00,100.93,101.11,100.89,101.07,6552,0
2017-09-06,21:00:00,100.94,100.99,100.87,100.91,17288,0
2017-09-06,22:00:00,100.86,100.9,100.59,100.67,18706,0
2017-09-07,16:00:00,101.03,101.03,100.82,100.82,3923,0
2017-09-07,17:00:00,101.04,101.47,100.94,100.94,44487,0
2017-09-07,18:00:00,101.02,101.2,101.02,101.17,3370,0
2017-09-07,19:00:00,101.23,101.33,101.13,101.33,9239,0
2017-09-07,20:00:00,101.4,101.44,101.37,101.4,4236,0
2017-09-07,21:00:00,101.48,101.67,101.47,101.6,3873,0
2017-09-07,22:00:00,101.65,101.66,101.36,101.47,17119,0
2017-09-08,16:00:00,101.42,101.82,100.92,101.32,3062,0
2017-09-08,17:00:00,101.38,101.58,101.38,101.58,7169,0
2017-09-08,18:00:00,101.56,101.87,101.56,101.81,32082,0
2017-09-08,19:00:00,101.79,101.86,101.68,101.82,4230,0
2017-09-08,20:00:00,101.84,101.84,101.68,101.79,5166,0
2017-09-08,21:00:00,101.76,101.91,101.76,101.84,38771,0
2017-09-08,22:00:00,101.84,101.84,101.45,101.53,50943,0
2017-09-11,16:00:00,101.5,102.2,101.5,102.16,7624,0
2017-09-11,17:00:00,102.22,102.45,102.13,102.24,8192,0
2017-09-11,18:00:00,102.1,102.32,102.07,102.3,45770,0
2017-09-11,19:00:00,102.3,102.49,102.25,102.45,14318,0
2017-09-11,20:00:00,102.47,102.51,102.39,102.48,66755,0
2017-09-11,21:00:00,102.52,102.52,102.36,102.36,6861,0
2017-09-11,22:00:00,102.33,102.48,102.23,102.46,42631,0
2017-09-12,16:00:00,102.68,102.73,101.96,102.48,14039,0
2017-09-12,17:00:00,102.44,102.47,101.81,101.81,15526,0
2017-09-12,18:00:00,101.59,101.62,101.39,101.58,6967,0
2017-09-12,19:00:00,101.61,101.61,101.42,101.49,10499,0
2017-09-12,20:00:00,101.48,101.48,101.19,101.19,8057,0
2017-09-12,21:00:00,101.02,101.13,100.98,101.04,15286,0
2017-09-12,22:00:00,100.97,101.18,100.74,101.14,37481,0
2017-09-13,16:00:00,101.43,101.43,100.78,100.94,7097,0
2017-09-13,17:00:00,100.9,100.98,100.81,100.98,2763,0
2017-09-13,18:00:00,100.93,100.94,100.76,100.82,29261,0
2017-09-13,19:00:00,100.77,100.88,100.75,100.85,16336,0
2017-09-13,20:00:00,100.8,100.86,100.66,100.66,46128,0
2017-09-13,21:00:00,100.6,100.66,100.41,100.54,94118,0
2017-09-13,22:00:00,100.51,100.86,100.49,100.86,171378,0
2017-09-14,16:00:00,100.53,100.61,100.46,100.61,3093,0
2017-09-14,17:00:00,100.61,101.12,100.61,101.01,15402,0
2017-09-14,18:00:00,101.05,101.29,101.03,101.26,23173,0
2017-09-14,19:00:00,101.28,101.49,101.27,101.37,12385,0
2017-09-14,20:00:00,101.36,101.68,101.35,101.66,6352,0
2017-09-14,21:00:00,101.63,101.69,101.52,101.62,13118,0
2017-09-14,22:00:00,101.62,101.84,101.48,101.84,65381,0
