Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-30,16:00:00,118.14,118.21,118.14,118.21,1596,0
2017-08-30,17:00:00,118.2,118.49,118.2,118.48,802,0
2017-08-30,18:00:00,118.54,118.54,118.54,118.54,133,0
2017-08-30,19:00:00,118.58,118.6,118.58,118.6,1154,0
2017-08-30,21:00:00,118.93,118.93,118.9,118.9,1740,0
2017-08-30,22:00:00,119.01,119.01,118.95,118.96,913,0
2017-08-31,16:00:00,119.38,119.43,119.38,119.43,475,0
2017-08-31,17:00:00,119.56,119.56,119.55,119.55,252,0
2017-08-31,19:00:00,119.87,119.94,119.8,119.94,1399,0
2017-08-31,20:00:00,119.87,119.95,119.87,119.9,1392,0
2017-08-31,21:00:00,120.04,120.04,120.04,120.04,249,0
2017-08-31,22:00:00,120.12,120.12,120.06,120.06,331,0
2017-09-01,16:00:00,120.47,120.59,120.47,120.59,762,0
2017-09-01,17:00:00,120.54,120.54,120.54,120.54,1667,0
2017-09-01,18:00:00,120.49,120.52,120.47,120.52,598,0
2017-09-01,19:00:00,120.5,120.56,120.5,120.56,231,0
2017-09-01,20:00:00,120.74,120.74,120.64,120.64,677,0
2017-09-01,21:00:00,120.63,120.63,120.63,120.63,241,0
2017-09-01,22:00:00,120.68,120.68,120.54,120.54,3561,0
2017-09-05,16:00:00,120.56,120.7,120.45,120.62,4185,0
2017-09-05,17:00:00,120.49,120.49,120.1,120.1,1791,0
2017-09-05,18:00:00,120.06,120.06,120.04,120.06,960,0
2017-09-05,19:00:00,119.86,119.86,119.35,119.35,2555,0
2017-09-05,20:00:00,119.13,119.23,119.07,119.23,2710,0
2017-09-05,21:00:00,119.49,119.62,119.42,119.45,2657,0
2017-09-05,22:00:00,119.46,119.6,119.42,119.57,3087,0
2017-09-06,16:00:00,119.94,119.94,119.72,119.72,1530,0
2017-09-06,17:00:00,119.78,119.78,119.64,119.64,1017,0
2017-09-06,18:00:00,119.43,119.43,119.39,119.39,1456,0
2017-09-06,19:00:00,119.38,119.38,119.38,119.38,514,0
2017-09-06,20:00:00,119.63,119.63,119.63,119.63,101,0
2017-09-06,21:00:00,119.6,119.68,119.57,119.57,2458,0
2017-09-06,22:00:00,119.74,119.76,119.55,119.55,1899,0
2017-09-07,16:00:00,119.71,119.71,119.34,119.34,1221,0
2017-09-07,17:00:00,119.2,119.24,119.12,119.23,1062,0
2017-09-07,18:00:00,119.31,119.39,118.99,118.99,625,0
2017-09-07,19:00:00,119.04,119.11,119.04,119.1,782,0
2017-09-07,20:00:00,119.25,119.31,119.16,119.16,3333,0
2017-09-07,21:00:00,119.21,119.21,119.21,119.21,294,0
2017-09-07,22:00:00,119.24,119.29,119.21,119.23,3376,0
2017-09-08,16:00:00,119.08,119.09,118.9,118.98,1592,0
2017-09-08,17:00:00,119.04,119.33,119.02,119.33,3527,0
2017-09-08,18:00:00,119.42,119.56,119.37,119.56,1067,0
2017-09-08,19:00:00,119.33,119.36,119.33,119.36,202,0
2017-09-08,20:00:00,119.6,119.6,119.55,119.56,533,0
2017-09-08,21:00:00,119.59,119.67,119.59,119.67,509,0
2017-09-08,22:00:00,119.69,119.69,119.45,119.5,2223,0
2017-09-11,16:00:00,120.19,120.6,120.19,120.6,2762,0
2017-09-11,17:00:00,120.73,120.77,120.48,120.56,2624,0
2017-09-11,18:00:00,120.58,120.7,120.51,120.66,1746,0
2017-09-11,19:00:00,120.72,120.82,120.72,120.82,202,0
2017-09-11,20:00:00,120.78,120.78,120.72,120.77,706,0
2017-09-11,21:00:00,120.74,120.81,120.74,120.81,404,0
2017-09-11,22:00:00,120.74,120.84,120.65,120.78,2360,0
2017-09-12,16:00:00,120.95,121.13,120.95,121.13,1334,0
2017-09-12,17:00:00,121.24,121.24,120.89,120.94,916,0
2017-09-12,18:00:00,121.13,121.13,121.1,121.1,1545,0
2017-09-12,19:00:00,121.12,121.36,121.12,121.36,1091,0
2017-09-12,21:00:00,121.18,121.27,121.18,121.27,587,0
2017-09-12,22:00:00,121.31,121.41,121.25,121.41,2673,0
2017-09-13,16:00:00,121.34,121.34,121.31,121.31,1215,0
2017-09-13,17:00:00,121.26,121.37,121.24,121.37,834,0
2017-09-13,18:00:00,121.37,121.43,121.23,121.29,2533,0
2017-09-13,19:00:00,121.28,121.45,121.28,121.43,754,0
2017-09-13,20:00:00,121.34,121.34,121.27,121.32,2012,0
