Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-29,16:00:00,118.07,118.38,118.07,118.38,1496,0
2017-08-29,17:00:00,118.36,118.51,118.3,118.49,1344,0
2017-08-29,18:00:00,118.43,118.51,118.43,118.48,2151,0
2017-08-29,19:00:00,118.44,118.44,118.44,118.44,203,0
2017-08-29,20:00:00,118.51,118.54,118.51,118.52,563,0
2017-08-29,21:00:00,118.57,118.57,118.51,118.55,682,0
2017-08-29,22:00:00,118.56,118.65,118.56,118.6,2122,0
2017-08-30,16:00:00,118.55,118.62,118.5,118.5,2067,0
2017-08-30,17:00:00,118.55,118.55,118.51,118.51,203,0
2017-08-30,18:00:00,118.56,118.56,118.49,118.49,697,0
2017-08-30,19:00:00,118.49,118.64,118.49,118.64,890,0
2017-08-30,20:00:00,118.82,118.86,118.82,118.85,507,0
2017-08-30,21:00:00,118.86,118.91,118.86,118.9,9758,0
2017-08-30,22:00:00,118.83,118.85,118.65,118.84,26885,0
2017-08-31,16:00:00,118.92,118.92,118.92,118.92,446,0
2017-08-31,17:00:00,119.2,119.2,119.2,119.2,845,0
2017-08-31,18:00:00,119.13,119.13,119.13,119.13,117,0
2017-08-31,20:00:00,119.15,119.22,119.15,119.22,322,0
2017-08-31,21:00:00,119.18,119.27,119.12,119.27,1175,0
2017-08-31,22:00:00,119.27,119.29,119.17,119.17,2400,0
2017-09-01,16:00:00,119.45,119.45,119.45,119.45,152,0
2017-09-01,17:00:00,119.67,119.77,119.67,119.77,750,0
2017-09-01,18:00:00,119.6,119.67,119.58,119.67,5472,0
2017-09-01,19:00:00,119.68,119.81,119.68,119.81,1403,0
2017-09-01,20:00:00,119.8,119.84,119.8,119.8,639,0
2017-09-01,21:00:00,119.77,119.77,119.77,119.77,101,0
2017-09-01,22:00:00,119.82,119.91,119.79,119.91,2884,0
2017-09-05,16:00:00,119.65,119.67,119.65,119.67,443,0
2017-09-05,17:00:00,119.62,119.69,119.43,119.5,2412,0
2017-09-05,18:00:00,119.55,119.55,119.51,119.51,1361,0
2017-09-05,19:00:00,119.3,119.3,119.1,119.1,203,0
2017-09-05,20:00:00,118.92,119.18,118.92,119.14,1746,0
2017-09-05,21:00:00,119.39,119.39,119.27,119.27,1623,0
2017-09-05,22:00:00,119.33,119.62,119.31,119.58,4822,0
2017-09-06,16:00:00,119.73,119.73,119.67,119.67,349,0
2017-09-06,17:00:00,119.52,119.54,119.5,119.5,642,0
2017-09-06,18:00:00,119.54,119.58,119.49,119.58,831,0
2017-09-06,19:00:00,119.71,119.71,119.71,119.71,101,0
2017-09-06,20:00:00,119.67,119.71,119.67,119.71,247,0
2017-09-06,21:00:00,119.73,119.75,119.7,119.75,8796,0
2017-09-06,22:00:00,119.79,119.94,119.77,119.79,21318,0
2017-09-07,16:00:00,119.89,119.93,119.89,119.92,1161,0
2017-09-07,17:00:00,119.73,119.83,119.73,119.83,629,0
2017-09-07,18:00:00,119.61,119.61,119.56,119.59,507,0
2017-09-07,19:00:00,119.6,119.63,119.58,119.62,2429,0
2017-09-07,20:00:00,119.7,119.8,119.68,119.8,2015,0
2017-09-07,21:00:00,119.8,119.95,119.8,119.89,856,0
2017-09-07,22:00:00,119.88,119.89,119.8,119.89,941,0
2017-09-08,17:00:00,119.68,119.76,119.6,119.75,22784,0
2017-09-08,18:00:00,119.76,119.8,119.67,119.67,1771,0
2017-09-08,19:00:00,119.47,119.53,119.39,119.53,1489,0
2017-09-08,20:00:00,119.5,119.5,119.5,119.5,406,0
2017-09-08,21:00:00,119.54,119.54,119.45,119.47,1333,0
2017-09-08,22:00:00,119.52,119.69,119.48,119.69,14268,0
2017-09-11,16:00:00,119.91,120.33,119.91,120.33,1318,0
2017-09-11,17:00:00,120.44,120.47,120.44,120.45,304,0
2017-09-11,18:00:00,120.43,120.68,120.41,120.65,4271,0
2017-09-11,19:00:00,120.64,120.64,120.64,120.64,101,0
2017-09-11,21:00:00,120.73,120.77,120.73,120.73,1163,0
2017-09-11,22:00:00,120.7,120.73,120.57,120.73,4033,0
2017-09-12,16:00:00,120.79,120.79,120.79,120.79,301,0
2017-09-12,17:00:00,120.83,120.83,120.83,120.83,253,0
2017-09-12,18:00:00,120.65,120.66,120.65,120.66,756,0
2017-09-12,19:00:00,120.59,120.69,120.59,120.69,2004,0
2017-09-12,20:00:00,120.7,120.7,120.7,120.7,331,0
2017-09-12,21:00:00,120.6,120.7,120.6,120.7,507,0
2017-09-12,22:00:00,120.62,120.74,120.62,120.74,1493,0
2017-09-13,16:00:00,120.75,120.75,120.75,120.75,203,0
2017-09-13,18:00:00,120.91,120.91,120.91,120.91,101,0
2017-09-13,19:00:00,120.92,120.93,120.88,120.93,615,0
2017-09-13,20:00:00,120.78,120.81,120.78,120.81,710,0
2017-09-13,21:00:00,120.75,120.75,120.73,120.73,275,0
2017-09-13,22:00:00,120.72,120.76,120.66,120.67,19738,0
2017-09-14,16:00:00,120.69,120.69,120.69,120.69,229,0
2017-09-14,17:00:00,120.47,120.47,120.41,120.41,342,0
2017-09-14,18:00:00,120.54,120.59,120.54,120.59,243,0
2017-09-14,19:00:00,120.62,120.76,120.62,120.76,1250,0
2017-09-14,20:00:00,120.67,120.71,120.66,120.7,507,0
2017-09-14,21:00:00,120.71,120.79,120.71,120.79,527,0
2017-09-14,22:00:00,120.75,120.81,120.7,120.81,2593,0
2017-09-15,17:00:00,120.68,120.74,120.68,120.73,381,0
2017-09-15,18:00:00,120.8,120.8,120.8,120.8,163,0
2017-09-15,19:00:00,120.98,120.98,120.82,120.82,489,0
2017-09-15,21:00:00,120.9,120.9,120.9,120.9,101,0
2017-09-15,22:00:00,120.89,121.03,120.89,121.03,17598,0
2017-09-18,16:00:00,121.2,121.2,121.2,121.2,406,0
2017-09-18,17:00:00,121.23,121.23,121.17,121.17,716,0
2017-09-18,18:00:00,121.1,121.1,121.1,121.1,101,0
2017-09-18,19:00:00,121.01,121.01,120.98,120.98,203,0
2017-09-18,20:00:00,120.92,120.93,120.91,120.93,689,0
2017-09-18,21:00:00,120.86,120.94,120.8,120.93,2592,0
2017-09-18,22:00:00,121,121.1,121,121.1,1476,0
2017-09-19,16:00:00,121,121,120.78,120.78,3603,0
2017-09-19,17:00:00,120.65,120.71,120.65,120.71,482,0
2017-09-19,18:00:00,120.86,120.86,120.86,120.86,946,0
2017-09-19,19:00:00,120.91,120.95,120.9,120.92,2354,0
2017-09-19,20:00:00,120.9,120.96,120.9,120.96,497,0
2017-09-19,21:00:00,120.99,120.99,120.84,120.85,523,0
2017-09-19,22:00:00,120.84,120.91,120.8,120.81,5326,0
2017-09-20,16:00:00,120.72,120.72,120.72,120.72,347,0
2017-09-20,17:00:00,120.74,120.74,120.56,120.56,9893,0
2017-09-20,18:00:00,120.5,120.6,120.5,120.6,507,0
2017-09-20,19:00:00,120.59,120.59,120.59,120.59,101,0
2017-09-20,21:00:00,120.24,120.24,119.61,119.94,1889,0
2017-09-20,22:00:00,119.99,120.16,119.99,120.12,14602,0
2017-09-21,16:00:00,120.12,120.12,119.84,119.86,583,0
2017-09-21,17:00:00,119.89,119.89,119.72,119.72,304,0
2017-09-21,18:00:00,119.74,119.75,119.54,119.54,779,0
2017-09-21,19:00:00,119.46,119.49,119.46,119.48,406,0
2017-09-21,21:00:00,119.22,119.22,119.16,119.16,7654,0
2017-09-21,22:00:00,119.22,119.26,119.19,119.26,2356,0
2017-09-22,16:00:00,119.16,119.45,119.16,119.45,580,0
2017-09-22,17:00:00,119.46,119.46,119.46,119.46,101,0
2017-09-22,18:00:00,119.27,119.3,119.27,119.3,278,0
2017-09-22,19:00:00,119.39,119.39,119.27,119.27,1002,0
2017-09-22,20:00:00,119.17,119.18,119.1,119.1,1856,0
2017-09-22,22:00:00,119.03,119.11,119.03,119.07,41356,0
2017-09-25,16:00:00,119.23,119.47,119.23,119.47,659,0
2017-09-25,17:00:00,119.55,119.62,119.34,119.34,15201,0
2017-09-25,18:00:00,119.22,119.37,119.22,119.36,497,0
2017-09-25,19:00:00,119.39,119.39,119.39,119.39,125,0
2017-09-25,20:00:00,119.45,119.45,119.39,119.43,1442,0
